"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1540796819.A.2DB#00000", "nico5516", "如題<br><br>這個問題，自從第一集開播我想了很久<br><br>同樣是異世界風格的動畫，多如牛毛<br><br>耍屌極致：overlord、寫實類：灰與幻想的xxoo、<br><br>詼諧類：美好世界、神作類：re0<br><br><br>大家都知道，哥布林殺手這部作品能吸引它作沒有的關注、討論度<br><br>無非於哥布林姦淫人類少女，以及第一集的強暴戲碼<br><br><br>簡單來說就是強暴賣點<br><br><br>那麼去掉這個要素，本作還能紅嗎？ 有什麼要素紅呢？<br><br>反過來說如果只是因為強暴紅的......<br><br>代表未成年的觀眾特別多嗎？？<br>就像是小學時有人帶個a圖就一群人幹幹叫的概念？<br><br><br><br>大家怎麼看？<br><br><br><br><br>--<br>", "", ""
"C_Chat#M.1540796819.A.2DB#00001", "eiw123", "還有櫃檯小姐", "10/29 15:07", "0"
"C_Chat#M.1540796819.A.2DB#00002", "linceass", "這餌第一集就用過了 還來", "10/29 15:07", "0"
"C_Chat#M.1540796819.A.2DB#00003", "e49523", "哥布林", "10/29 15:07", "0"
"C_Chat#M.1540796819.A.2DB#00004", "ryan49700", "就算沒有強暴 主角是一個神經質只殺小怪的冒險者 我還是會有興趣", "10/29 15:07", "1"
"C_Chat#M.1540796819.A.2DB#00005", "dustlike", "把鐵砧放去哪ㄌ", "10/29 15:07", "0"
"C_Chat#M.1540796819.A.2DB#00006", "roywow", "那個耳朵會動 我就O起了", "10/29 15:08", "0"
"C_Chat#M.1540796819.A.2DB#00007", "belmontc", "裸睡的牛妹", "10/29 15:08", "0"
"C_Chat#M.1540796819.A.2DB#00008", "sasakihiroto", "你會問這問題不就是你只想看強暴嗎", "10/29 15:08", "0"
"C_Chat#M.1540796819.A.2DB#00009", "cattyvirus", "這種神經質主角還不夠有魅力嗎", "10/29 15:08", "0"
"C_Chat#M.1540796819.A.2DB#00010", "mk4188623", "到底是要幾篇", "10/29 15:09", "0"
"C_Chat#M.1540796819.A.2DB#00011", "polanco", "去掉強暴還有哥布林啊幹", "10/29 15:09", "0"
"C_Chat#M.1540796819.A.2DB#00012", "hoe1101", "強暴哥布林，想辦法弄出女哥布林，穴債穴償", "10/29 15:09", "0"
"C_Chat#M.1540796819.A.2DB#00013", "simpson083", "想幹櫃檯", "10/29 15:10", "0"
"C_Chat#M.1540796819.A.2DB#00014", "skyofme", "我怎麼就不知道哥殺的賣點是強暴了", "10/29 15:11", "0"
"C_Chat#M.1540796819.A.2DB#00015", "bwilly2544", "re0神作", "10/29 15:11", "0"
"C_Chat#M.1540796819.A.2DB#00016", "sarspieya521", "沒看過撒餌那麼粗糙的", "10/29 15:11", "0"
"C_Chat#M.1540796819.A.2DB#00017", "babuturtle", "你是從三個星期前穿越過來的古代人嗎", "10/29 15:12", "0"
