"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1542079326.A.F1A#00000", "Pixis", "官推傳送門： https://twitter.com/kemono_anime/status/1062178337043316736<br><br>12月17日に東京、18日に大阪にてTVアニメ「けものフレンズ２」先行上映会を開催！<br>あにてれ、ニコニコ生放送では『先行上映会特番「けものフレンズアワー２」in 新宿ピカデリー』を生配信！<br>そして…TVアニメ新ビジュアルを公開！！<br><br>心得：這是哪門子的生鮮食品廣告宣傳圖啊    w<br><br>https://i.imgur.com/1S2DNfv.jpg<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"C_Chat#M.1542079326.A.F1A#00001", "ghostxx     ", "RayGun來救+%z%啦", "06/14 19:26", "0"
"C_Chat#M.1542079326.A.F1A#00002", "mrporing    ", "跟卡邦醬一起訓練比較好", "06/14 19:36", "0"
"C_Chat#M.1542079326.A.F1A#00003", "A880507", "我先 FYK", "11/13 11:22", "0"
"C_Chat#M.1542079326.A.F1A#00004", "benomy", "我先，FYK", "11/13 11:22", "0"
"C_Chat#M.1542079326.A.F1A#00005", "munchlax", "幹你角川", "11/13 11:23", "0"
"C_Chat#M.1542079326.A.F1A#00006", "Syoshinsya", "FYK", "11/13 11:23", "0"
"C_Chat#M.1542079326.A.F1A#00007", "none049", "補噓，FYK", "11/13 11:24", "0"
"C_Chat#M.1542079326.A.F1A#00008", "mnbvcxz2411", "FYK", "11/13 11:24", "0"
"C_Chat#M.1542079326.A.F1A#00009", "ks3290", "FYK", "11/13 11:24", "0"
"C_Chat#M.1542079326.A.F1A#00010", "DivineSX", "跟上FYK", "11/13 11:24", "0"
"C_Chat#M.1542079326.A.F1A#00011", "su831118", "卡邦已死，FYK", "11/13 11:25", "0"
"C_Chat#M.1542079326.A.F1A#00012", "killme323", "FYK", "11/13 11:25", "0"
"C_Chat#M.1542079326.A.F1A#00013", "outsmart33", "FYK", "11/13 11:25", "0"
"C_Chat#M.1542079326.A.F1A#00014", "dces6107", "各位就不要真香了", "11/13 11:25", "0"
"C_Chat#M.1542079326.A.F1A#00015", "Hazelburn", "滾", "11/13 11:26", "0"
"C_Chat#M.1542079326.A.F1A#00016", "AdomiZA", "砂星疊這樣是要蓋宇宙電梯逆", "11/13 11:26", "0"
"C_Chat#M.1542079326.A.F1A#00017", "KingDedede", "FYK", "11/13 11:26", "0"
"C_Chat#M.1542079326.A.F1A#00018", "aa123458910", "FYK", "11/13 11:26", "0"
"C_Chat#M.1542079326.A.F1A#00019", "qazwsx855193", "到底播出後會fyk還是真香呢 好期待", "11/13 11:26", "0"
"C_Chat#M.1542079326.A.F1A#00020", "devilkool", "FYK", "11/13 11:26", "0"
"C_Chat#M.1542079326.A.F1A#00021", "u120221826", "FYK", "11/13 11:27", "0"
"C_Chat#M.1542079326.A.F1A#00022", "WindSpread", "瑪德智障 FYK", "11/13 11:27", "0"
"C_Chat#M.1542079326.A.F1A#00023", "DDG114514", "QQ", "11/13 11:27", "0"
"C_Chat#M.1542079326.A.F1A#00024", "akisumi", "FYK", "11/13 11:27", "0"
"C_Chat#M.1542079326.A.F1A#00025", "darknoice", "智障感完全沒了，變成沒特色的普通萌...QQ", "11/13 11:27", "0"
"C_Chat#M.1542079326.A.F1A#00026", "Kowdan", "嘔噁噁噁噁噁噁", "11/13 11:28", "0"
