"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1545392365.A.05D#00000", "cloudlaba", "畫風醜就算了<br><br>我就不噴那個大眼睛了<br><br>那些搞笑梗又很尷尬  一點都不好笑<br><br>完全不是正常人類幽默感會笑出來的等級<br><br>我記得我好像看到風子吧<br><br>一直刻海星的怪人<br><br>這段看的很煩躁<br><br>看動畫難感到滿滿的煩躁<br><br>之後就沒看了<br><br>簡單來說  又臭又長<br><br>是不是過譽？<br><br><br>--<br>", "", ""
"C_Chat#M.1545392365.A.05D#00001", "gamania0515", "幫噓", "12/21 19:39", "0"
"C_Chat#M.1545392365.A.05D#00002", "Amulet1", "經典你敢嘴?", "12/21 19:39", "0"
"C_Chat#M.1545392365.A.05D#00003", "kaj1983", "先補血，你會被噓到劣退，水桶理由是刻意引戰，我估計你文最多活不過10點", "12/21 19:40", "0"
"C_Chat#M.1545392365.A.05D#00004", "io45for222", "你都講完了 還要別人回答什麼", "12/21 19:40", "0"
"C_Chat#M.1545392365.A.05D#00005", "yang560831", "也許吧 畢竟是很久的作品了", "12/21 19:41", "0"
"C_Chat#M.1545392365.A.05D#00006", "devilkool", "大家真客氣", "12/21 19:41", "0"
"C_Chat#M.1545392365.A.05D#00007", "phoenix286", "10年前的作品 不知道現在還有多少人看過", "12/21 19:41", "0"
"C_Chat#M.1545392365.A.05D#00008", "jasmine2015", "來 我先", "12/21 19:41", "0"
"C_Chat#M.1545392365.A.05D#00009", "IMPMatthew", "每過一陣子就會有人出來自殺", "12/21 19:41", "0"
"C_Chat#M.1545392365.A.05D#00010", "loliconOji", "對 我也才哭兩三次而已 根本不感人", "12/21 19:42", "0"
"C_Chat#M.1545392365.A.05D#00011", "sinnerck1", "吃警告囉", "12/21 19:43", "0"
"C_Chat#M.1545392365.A.05D#00012", "puma1011", "來", "12/21 19:43", "0"
"C_Chat#M.1545392365.A.05D#00013", "VegetMen", "菜", "12/21 19:44", "0"
"C_Chat#M.1545392365.A.05D#00014", "Sougetu", "得啦", "12/21 19:44", "0"
"C_Chat#M.1545392365.A.05D#00015", "YoruHentai", "當你個版?", "12/21 19:45", "0"
"C_Chat#M.1545392365.A.05D#00016", "Heat13633", "你用現在的眼光看 米老鼠說不定也會被罵成垃圾", "12/21 19:45", "0"
"C_Chat#M.1545392365.A.05D#00017", "Luzumi2225", "我學三樓幫你補血 不知道你是來亂的還是發自內心發表看法", "12/21 19:45", "1"
"C_Chat#M.1545392365.A.05D#00018", "CJonQuil", "這是年輕犯下的錯", "12/21 19:46", "0"
"C_Chat#M.1545392365.A.05D#00019", "devilkool", "還沒X1", "12/21 19:47", "0"
"C_Chat#M.1545392365.A.05D#00020", "badend8769", "4", "12/21 19:47", "0"
"C_Chat#M.1545392365.A.05D#00021", "kyle87222", "==", "12/21 19:48", "0"
"C_Chat#M.1545392365.A.05D#00022", "david011063", "^_^", "12/21 19:48", "0"
"C_Chat#M.1545392365.A.05D#00023", "nightseer", "是，真的看不下去", "12/21 19:48", "0"
"C_Chat#M.1545392365.A.05D#00024", "game147", "10年前的作品了……", "12/21 19:49", "0"
"C_Chat#M.1545392365.A.05D#00025", "PersonaS", "哦哦嗯嗯", "12/21 19:50", "0"
"C_Chat#M.1545392365.A.05D#00026", "angryfatball", "我認為CLANNAD重點是AS的後15集左右...", "12/21 19:50", "0"
"C_Chat#M.1545392365.A.05D#00027", "kmte019", "經典你不懂", "12/21 19:51", "0"
"C_Chat#M.1545392365.A.05D#00028", "Hybridchaos", "很小的雲蟲", "12/21 19:51", "0"
"C_Chat#M.1545392365.A.05D#00029", "ken841520", "掰掰", "12/21 19:52", "0"
"C_Chat#M.1545392365.A.05D#00030", "lanjack", "看ID不意外", "12/21 19:52", "0"
"C_Chat#M.1545392365.A.05D#00031", "cookiey", "掰 好作品你看不到", "12/21 19:52", "0"
"C_Chat#M.1545392365.A.05D#00032", "devilkool", "還沒X2喔", "12/21 19:53", "0"
"C_Chat#M.1545392365.A.05D#00033", "gxu66", "有些實話不能講", "12/21 19:53", "0"
"C_Chat#M.1545392365.A.05D#00034", "KiriyamaRei", "這我得噓", "12/21 19:53", "0"
"C_Chat#M.1545392365.A.05D#00035", "davidliudmc", "當你個板?樓下幫噓", "12/21 19:54", "0"
"C_Chat#M.1545392365.A.05D#00036", "woody78963", "眼睛比柳丁大但我可以接受", "12/21 19:54", "0"
"C_Chat#M.1545392365.A.05D#00037", "xxxxae86", "滾==", "12/21 19:54", "0"
"C_Chat#M.1545392365.A.05D#00038", "OldYuanshen", "假日一到什麼妖魔鬼怪都出現了", "12/21 19:54", "0"
"C_Chat#M.1545392365.A.05D#00039", "GTaLon5566", "明天不是補課？", "12/21 19:55", "0"
"C_Chat#M.1545392365.A.05D#00040", "saiboos", "先幫原po QQ", "12/21 19:55", "0"
"C_Chat#M.1545392365.A.05D#00041", "j8ininder4ni", "來", "12/21 19:56", "0"
"C_Chat#M.1545392365.A.05D#00042", "lovecat5566", "小雲蟲給尊重", "12/21 19:56", "0"
"C_Chat#M.1545392365.A.05D#00043", "devilkool", "CLANNAD算糞的話那麻枝在你眼中大概是糞作生產機", "12/21 19:57", "0"
