"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1546232155.A.72F#00000", "TsushimaRiko", "尤其是皇城討論越熱絡的番<br><br><br>剛剛試著打開佐賀偶像第一集<br>看了幾秒鐘<br>突然有種厭惡感油然而生<br><br>"這樣我不就變成跟風仔了嗎？"<br><br>又把影片關了<br><br>討論越熱烈的番<br>這種症狀越嚴重<br><br>自從宣布LLSS劇場版公開後<br><br>就持續到現在<br><br>欸     好想念善子<br><br>好像趕快看到劇場版<br>好想看好想看好想看好想看好想看<br><br><br>有人知道這是甚麼症狀嗎？<br><br>善子可愛<br>https://i.imgur.com/DgjeZfB.jpg<br>我很好騎<br><br><br>--<br>", "", ""
"C_Chat#M.1546232155.A.72F#00001", "ga652206", "建議不要發廢文", "12/31 12:56", "0"
"C_Chat#M.1546232155.A.72F#00002", "olkl1234", "在西洽跟風發廢文就不會自我厭惡嗎", "12/31 12:56", "0"
"C_Chat#M.1546232155.A.72F#00003", "mod980", "看來你只適合LL這種糞作", "12/31 12:56", "0"
"C_Chat#M.1546232155.A.72F#00004", "ahw12000", "中二病", "12/31 12:57", "0"
"C_Chat#M.1546232155.A.72F#00005", "Lance0722", "K", "12/31 12:58", "0"
"C_Chat#M.1546232155.A.72F#00006", "qqq3892005", "中二自以為", "12/31 12:58", "0"
"C_Chat#M.1546232155.A.72F#00007", "l47695456", "你可以去看魔法戰爭", "12/31 12:59", "0"
"C_Chat#M.1546232155.A.72F#00008", "cjkdaniel", "就自以為清流啊 所謂糞青", "12/31 12:59", "0"
"C_Chat#M.1546232155.A.72F#00009", "rronbang", "去看live BD ?", "12/31 12:59", "0"
"C_Chat#M.1546232155.A.72F#00010", "SaberMyWifi", "那你幹嘛跟風上PTT？  有種關掉PTT阿  我笑你不敢關", "12/31 12:59", "0"
"C_Chat#M.1546232155.A.72F#00011", "zop", "說到底，你也不過是因為別人看而不看，無視作品好壞。跟因為別人看而看，你所謂的跟風，根本一個模樣。", "12/31 12:59", "0"
