"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1547492172.A.A36#00000", "reigon1126", "剛剛看到出了去看一下...<br><br>抱歉 看到這段後我眼淚已經停不住了所以沒看完<br><br>哭哭貓防雷...<br><br>https://i.imgur.com/FmKyeyd.jpg<br>https://i.imgur.com/uKOKq02.png<br>https://i.imgur.com/BWEzLQK.png<br>https://i.imgur.com/PVF1oMq.png<br>這卡邦的背影讓我淚腺潰堤了<br><br>https://i.imgur.com/gpz6XgV.png<br>我可能要先調整好心情再去看了...<br><br>實在忍不住了...<br><br>我從剛看到那段開始到發這篇文章眼淚一直流不停有點鼻塞了...<br><br>我實在搞不懂為什麼要弄這樣的劇情...<br><br><br>--<br>", "", ""
"C_Chat#M.1547492172.A.A36#00001", "ikaros35", "幹你老師這到底是三小QQ", "01/15 02:57", "0"
"C_Chat#M.1547492172.A.A36#00002", "handofn0xus", "樓下真香警告", "01/15 02:57", "0"
"C_Chat#M.1547492172.A.A36#00003", "Heat13633", "就叫你素描本醬吧  幹幹幹幹幹", "01/15 02:57", "0"
"C_Chat#M.1547492172.A.A36#00004", "Ben40", "假毒沒辦法讓你吸 只好騙你淚點 FYK", "01/15 02:57", "0"
"C_Chat#M.1547492172.A.A36#00005", "greedystar1", "髒東西 別看了 越看越傷心", "01/15 02:58", "0"
"C_Chat#M.1547492172.A.A36#00006", "reigon1126", "馬的 我以為我會是真香的反應 結果這段讓我哭慘，我還頭一次看動畫馬上哭出來的", "01/15 02:59", "0"
"C_Chat#M.1547492172.A.A36#00007", "david011063", "為什麼忘了?", "01/15 02:59", "0"
"C_Chat#M.1547492172.A.A36#00008", "ikaros35", "因為大人的理由忘了", "01/15 03:00", "0"
"C_Chat#M.1547492172.A.A36#00009", "Heat13633", "小浣跟飛內褲還沒出來 我就先不行了", "01/15 03:01", "0"
"C_Chat#M.1547492172.A.A36#00010", "tuna0214", "感受到了世界的惡意", "01/15 03:01", "0"
"C_Chat#M.1547492172.A.A36#00011", "Ben40", "川要妳死 妳不得不死 川要妳忘 妳不得不忘", "01/15 03:01", "0"
"C_Chat#M.1547492172.A.A36#00012", "poke001", "再真香阿 再香阿 =3=，第一集就跟你說上一期通通忘光光 爽不爽 =3=", "01/15 03:02", "0"
"C_Chat#M.1547492172.A.A36#00013", "sd950283", "有夠噁 我要去看煙草了…", "01/15 03:05", "0"
"C_Chat#M.1547492172.A.A36#00014", "d125383957", "幹  笑爛  角川真會玩", "01/15 03:06", "0"
"C_Chat#M.1547492172.A.A36#00015", "Kowdan", "忘你媽幹你娘操你媽角川", "01/15 03:07", "0"
"C_Chat#M.1547492172.A.A36#00016", "Heat13633", "http//i.imgur.com/GIM2OSl.jpg", "01/15 03:07", "0"
"C_Chat#M.1547492172.A.A36#00017", "Kowdan", "幹嘔噁噁噁噁噁噁", "01/15 03:09", "0"
"C_Chat#M.1547492172.A.A36#00018", "Heat13633", "http//i.imgur.com/RAianJ2.jpg，http//i.imgur.com/e1quknf.jpg", "01/15 03:09", "0"
"C_Chat#M.1547492172.A.A36#00019", "d125383957", "等明天漫吐看會不會炸裂", "01/15 03:09", "0"
"C_Chat#M.1547492172.A.A36#00020", "pdexter", "FYK 幹你角川", "01/15 03:10", "0"
"C_Chat#M.1547492172.A.A36#00021", "cheric", "看了真的虐心 不想相信藪貓會忘記卡邦醬，最好不要結局變成 咕嚕嚕是從卡邦轉世來的 那真夠噁心", "01/15 03:10", "0"
"C_Chat#M.1547492172.A.A36#00022", "narihira2000", "幹這三小  感受到滿滿的惡意QQQQ，我無法想像聲優在配這邊的時候是什麼心情...", "01/15 03:11", "0"
"C_Chat#M.1547492172.A.A36#00023", "reigon1126", "幹 眼淚一直停不下來怎麼辦啦...", "01/15 03:11", "0"
"C_Chat#M.1547492172.A.A36#00024", "littleaoc", "這根本不香啦幹", "01/15 03:11", "0"
"C_Chat#M.1547492172.A.A36#00025", "poke001", "吃屎吧 第一集重開機 後面就算牽拖轉世只是更噁心拉，角川爸爸教你作人 真香484? 直接給你一坨屎 叫你香", "01/15 03:12", "0"
"C_Chat#M.1547492172.A.A36#00026", "Heat13633", "說好要有更多的旅程的 結果你現在跟別人跑了 嗚嗚", "01/15 03:12", "0"
"C_Chat#M.1547492172.A.A36#00027", "qsakurayuki", "看到這個我只想罵粗話", "01/15 03:12", "0"
"C_Chat#M.1547492172.A.A36#00028", "Mosasaurus", "嘔嘔嘔嘔嘔嘔", "01/15 03:12", "0"
"C_Chat#M.1547492172.A.A36#00029", "d125383957", "殺人兼鞭屍  偉哉角川XDDDDD", "01/15 03:13", "0"
"C_Chat#M.1547492172.A.A36#00030", "poke001", "說動朋2說不定神作的還不香起來??我耖他媽的自從鐵血最後一集之後沒有這麼火過 肏", "01/15 03:14", "0"
"C_Chat#M.1547492172.A.A36#00031", "reigon1126", "馬的 原本兩點就該睡了 結果才看不到十分鐘眼淚一直，停不住 拜託誰能告訴我眼淚要怎麼停下來 第一次流成這樣", "01/15 03:14", "0"
"C_Chat#M.1547492172.A.A36#00032", "greedystar1", "誰說神作的 我一個個拖出來打", "01/15 03:14", "0"
"C_Chat#M.1547492172.A.A36#00033", "d125383957", "角川：生氣了嗎，這完全是在羞辱一期的粉絲吧", "01/15 03:15", "0"
"C_Chat#M.1547492172.A.A36#00034", "Kowdan", "還好我還沒看 幹幹幹 他媽的角川有膽給我滾出來", "01/15 03:15", "0"
"C_Chat#M.1547492172.A.A36#00035", "joe199277", "真香", "01/15 03:15", "0"
"C_Chat#M.1547492172.A.A36#00036", "f871114", "氣昏", "01/15 03:16", "0"
"C_Chat#M.1547492172.A.A36#00037", "CornyDragon", "直接挑釁一期觀眾 很會", "01/15 03:16", "0"
"C_Chat#M.1547492172.A.A36#00038", "gininder", "你媽的角川夠了沒", "01/15 03:17", "0"
"C_Chat#M.1547492172.A.A36#00039", "icrticrt1682", "我生氣了啊啊啊啊啊", "01/15 03:18", "0"
"C_Chat#M.1547492172.A.A36#00040", "killme323", "臭死", "01/15 03:18", "0"
"C_Chat#M.1547492172.A.A36#00041", "Kowdan", "說二期會好看的ID給我滾出來", "01/15 03:19", "0"
"C_Chat#M.1547492172.A.A36#00042", "joe199277", "角川呵 你們這麼氣 代表你們一定有看 呵呵，角川做二期就是要直接餵屎給你們一期粉絲吃 怎麼樣香嗎？", "01/15 03:20", "0"
"C_Chat#M.1547492172.A.A36#00043", "moe584586", "挖", "01/15 03:21", "0"
"C_Chat#M.1547492172.A.A36#00044", "reigon1126", "我看我喝個冰水冷靜一下好了 這樣下去不用睡了...明，天還要上班...我能理解要噓的心情 我現在是眼淚停不下來的狀態 這個打擊真的太大了", "01/15 03:22", "0"
"C_Chat#M.1547492172.A.A36#00045", "r901700216", "這是我第一次點進動朋2的相關文章吧 抱歉我一定要噓..", "01/15 03:22", "1"
"C_Chat#M.1547492172.A.A36#00046", "eric10902", "嘔嘔嘔嘔嘔嘔嘔嘔 我決定轉職當動朋黑一輩子", "01/15 03:26", "0"
"C_Chat#M.1547492172.A.A36#00047", "ihateants", "一期的友情都忘光了，幹你娘", "01/15 03:26", "0"
"C_Chat#M.1547492172.A.A36#00048", "bean44", "幫補推 比預想的還糞 唉", "01/15 03:26", "0"
"C_Chat#M.1547492172.A.A36#00049", "CityRanger", "叛徒!", "01/15 03:27", "0"
"C_Chat#M.1547492172.A.A36#00050", "wj12240522", "幹你媽現在宣戰是不是", "01/15 03:27", "0"
"C_Chat#M.1547492172.A.A36#00051", "zh76283122", "靠杯 這招真的很糞", "01/15 03:27", "0"
"C_Chat#M.1547492172.A.A36#00052", "jaolleny", "忘你媽啦，幹你角川", "01/15 03:30", "0"
"C_Chat#M.1547492172.A.A36#00053", "chch9013", "角川太噁心了吧 嘔嘔嘔嘔嘔", "01/15 03:31", "0"
"C_Chat#M.1547492172.A.A36#00054", "Top5566", "真香", "01/15 03:32", "0"
"C_Chat#M.1547492172.A.A36#00055", "poke001", "角川有必要宣戰嗎? 直接拿屎一樣有人真香阿 戰?憑甚麼戰?", "01/15 03:32", "1"
"C_Chat#M.1547492172.A.A36#00056", "areysky", "這幕出現馬上就關了", "01/15 03:34", "0"
"C_Chat#M.1547492172.A.A36#00057", "pHyrz", "三小", "01/15 03:35", "0"
"C_Chat#M.1547492172.A.A36#00058", "mkcg5825", "超噁心", "01/15 03:36", "0"
"C_Chat#M.1547492172.A.A36#00059", "Heat13633", "http//i.imgur.com/G3ViBMl.jpg", "01/15 03:36", "0"
"C_Chat#M.1547492172.A.A36#00060", "Erichikaunkr", "…...…..................", "01/15 03:37", "0"
"C_Chat#M.1547492172.A.A36#00061", "abc1234586", "如果真的能做出讓人覺得真香的作品也就認了 做這三小", "01/15 03:41", "1"
"C_Chat#M.1547492172.A.A36#00062", "Erichikaunkr", "我只是想看卡邦跟海豚的互動有這麼難嗎QQ", "01/15 03:42", "0"
"C_Chat#M.1547492172.A.A36#00063", "ykes60513", "擺明不認第一季直接切割是怎樣？", "01/15 03:44", "0"
"C_Chat#M.1547492172.A.A36#00064", "wry54960", "笑死 回頭看第一次結尾真諷刺", "01/15 03:45", "0"
"C_Chat#M.1547492172.A.A36#00065", "greedystar1", "卡邦醬 ( 生 2017/01/10 --- 卒 2019/01/15 )", "01/15 03:45", "0"
"C_Chat#M.1547492172.A.A36#00066", "jacksnowman", "噁心", "01/15 03:45", "0"
"C_Chat#M.1547492172.A.A36#00067", "ykes60513", "怎麼可以忘記....說好的浮蓮子呢....", "01/15 03:48", "0"
"C_Chat#M.1547492172.A.A36#00068", "luxaky", "乾 拎 娘 還 敢 消 費 卡 邦", "01/15 03:54", "0"
"C_Chat#M.1547492172.A.A36#00069", "coldfrost", "真令人難過...", "01/15 03:57", "0"
"C_Chat#M.1547492172.A.A36#00070", "melvin8052", "有夠噁心 FYK", "01/15 04:04", "0"
"C_Chat#M.1547492172.A.A36#00071", "Shirase", "幹 角川真的有夠無恥 炎上", "01/15 04:05", "0"
"C_Chat#M.1547492172.A.A36#00072", "tonyyuan", "FYK", "01/15 04:05", "0"
"C_Chat#M.1547492172.A.A36#00073", "david28941", "FYK", "01/15 04:06", "0"
"C_Chat#M.1547492172.A.A36#00074", "deathdog", "FYK，藪貓怎麼可以把卡邦醬給忘了", "01/15 04:06", "0"
"C_Chat#M.1547492172.A.A36#00075", "ggchioinder", "幹你的操，還敢消費卡邦，媽的按到推，補噓想想還是很氣，吃屎啦作為芙蓮子的藪貓這樣說話！？", "01/15 04:08", "0"
"C_Chat#M.1547492172.A.A36#00076", "dustsstar79", "這三小 操", "01/15 04:08", "0"
"C_Chat#M.1547492172.A.A36#00077", "b2481", "原本打算以看笑話的心態看一下第一集，但看到截圖就不想看了 唉", "01/15 04:09", "1"
"C_Chat#M.1547492172.A.A36#00078", "ggchioinder", "垃圾操蛋角川", "01/15 04:10", "0"
"C_Chat#M.1547492172.A.A36#00079", "heybro", "謝謝角川讓我們知道什麼叫做鞭屍", "01/15 04:13", "0"
"C_Chat#M.1547492172.A.A36#00080", "Shirase", "原PO抱歉，再噓一次，媽的垃圾角川", "01/15 04:13", "0"
"C_Chat#M.1547492172.A.A36#00081", "gaduoray", "幹你娘垃圾角川", "01/15 04:18", "0"
"C_Chat#M.1547492172.A.A36#00082", "ZuraJiaNai", "假藪貓 嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔", "01/15 04:30", "0"
"C_Chat#M.1547492172.A.A36#00083", "drowsyPre", "垃圾角川 幹", "01/15 05:01", "0"
"C_Chat#M.1547492172.A.A36#00084", "lovekfc456", "FYK", "01/15 05:37", "0"
"C_Chat#M.1547492172.A.A36#00085", "coobie", "幹! 偽物", "01/15 06:23", "0"
"C_Chat#M.1547492172.A.A36#00086", "jrr661", "他媽的這偽物！！！！", "01/15 06:47", "0"
"C_Chat#M.1547492172.A.A36#00087", "shell5566", "這樣", "01/15 06:47", "0"
"C_Chat#M.1547492172.A.A36#00088", "bigcho", "強制戒毒 一堆戒斷反應", "01/15 06:51", "0"
"C_Chat#M.1547492172.A.A36#00089", "davidiid", "無言以對", "01/15 06:56", "0"
"C_Chat#M.1547492172.A.A36#00090", "ttrop", "噁心", "01/15 07:09", "0"
"C_Chat#M.1547492172.A.A36#00091", "Deparic", "我真的笑不出來，就一句話：噁心！", "01/15 07:28", "0"
"C_Chat#M.1547492172.A.A36#00092", "yang560831", "不過是卡通嘛 氣成這樣", "01/15 07:31", "0"
"C_Chat#M.1547492172.A.A36#00093", "IFeelSoAlive", "嗚嗚嗚嗚嗚嗚", "01/15 07:32", "0"
"C_Chat#M.1547492172.A.A36#00094", "meruaoi48", "一早起來看到超難過....", "01/15 07:33", "0"
"C_Chat#M.1547492172.A.A36#00095", "dzshdavid", "你他媽的…", "01/15 07:36", "0"
"C_Chat#M.1547492172.A.A36#00096", "asiaking5566", "正版推", "01/15 07:39", "0"
"C_Chat#M.1547492172.A.A36#00097", "frostwater", "幹…", "01/15 07:44", "0"
"C_Chat#M.1547492172.A.A36#00098", "badend8769", "神", "01/15 07:45", "0"
"C_Chat#M.1547492172.A.A36#00099", "Hazelburn", "昨晚先睡不熬夜是正確的，不然真的氣死", "01/15 07:47", "0"
"C_Chat#M.1547492172.A.A36#00100", "laplacian", "幹幹幹幹幹", "01/15 07:53", "0"
"C_Chat#M.1547492172.A.A36#00101", "gn01172011", "這篇文章把最臭的部分拿出來了 不香", "01/15 07:55", "0"
"C_Chat#M.1547492172.A.A36#00102", "infi23", "幹你娘喔", "01/15 07:58", "0"
"C_Chat#M.1547492172.A.A36#00103", "yangjam", "幹你角川 坐等爆死", "01/15 08:07", "0"
"C_Chat#M.1547492172.A.A36#00104", "devilkool", "不要看這種垃圾", "01/15 08:07", "0"
"C_Chat#M.1547492172.A.A36#00105", "t128595", "為啥非得換主角不可", "01/15 08:08", "0"
"C_Chat#M.1547492172.A.A36#00106", "WindSpread", "殺人誅心R", "01/15 08:19", "0"
"C_Chat#M.1547492172.A.A36#00107", "MIOAAZO", "幹你娘 真的是幹你娘角川", "01/15 08:21", "0"
"C_Chat#M.1547492172.A.A36#00108", "wuj", "FYK", "01/15 08:21", "0"
"C_Chat#M.1547492172.A.A36#00109", "UtsuhoReiuzi", "開場就神作我不行嘔嘔嘔嘔嘔嘔嘔", "01/15 08:22", "0"
"C_Chat#M.1547492172.A.A36#00110", "windowxp", "FYK", "01/15 08:26", "0"
"C_Chat#M.1547492172.A.A36#00111", "sustainer123", "香你老師 媽的糞作", "01/15 08:29", "0"
"C_Chat#M.1547492172.A.A36#00112", "HOLDSTEAK", "(我有了新的想法) 嘔嘔嘔嘔嘔嘔", "01/15 08:35", "0"
"C_Chat#M.1547492172.A.A36#00113", "acas6993", "我X你角川 真噁心人的劇情", "01/15 08:35", "0"
"C_Chat#M.1547492172.A.A36#00114", "longkiss0618", "幹 這三小 還我數貓", "01/15 08:37", "0"
"C_Chat#M.1547492172.A.A36#00115", "HOLDSTEAK", "啊不行 我要報警了...", "01/15 08:39", "0"
"C_Chat#M.1547492172.A.A36#00116", "qaz223gy", "安定的廢到笑", "01/15 08:53", "0"
"C_Chat#M.1547492172.A.A36#00117", "ryanmulee", "https//i.imgur.com/2P16Ng1.jpg，不要傷害我的眼睛", "01/15 08:56", "0"
"C_Chat#M.1547492172.A.A36#00118", "freedomwing5", "http//i.imgur.com/PvgjSh2.jpg", "01/15 09:00", "0"
"C_Chat#M.1547492172.A.A36#00119", "v2v2123", "氣到眼淚流下來", "01/15 09:01", "0"
"C_Chat#M.1547492172.A.A36#00120", "qqclu123", "幹幹幹幹 嘔嘔嘔嘔嘔", "01/15 09:03", "0"
"C_Chat#M.1547492172.A.A36#00121", "YeSerD", "幹你娘老雞掰這到底是什麼精神污染物", "01/15 09:04", "0"
"C_Chat#M.1547492172.A.A36#00122", "hyuchi0202", "??????????????????????????", "01/15 09:06", "0"
"C_Chat#M.1547492172.A.A36#00123", "MaxGDAM", "幹你娘角川", "01/15 09:16", "0"
"C_Chat#M.1547492172.A.A36#00124", "pool3690", "噁心的東西", "01/15 09:18", "0"
"C_Chat#M.1547492172.A.A36#00125", "zaimokuzaaki", "幹幹幹幹噁噁噁噁噁 鞭屍", "01/15 09:26", "0"
"C_Chat#M.1547492172.A.A36#00126", "mark82824", "FYK 幹消費卡邦醬是三小啦QQ", "01/15 09:26", "0"
"C_Chat#M.1547492172.A.A36#00127", "huontw", "有種青澀之戀2的感覺= =a", "01/15 09:42", "0"
"C_Chat#M.1547492172.A.A36#00128", "Zerogos", "FYK我覺得非常不舒服多了…", "01/15 09:43", "0"
"C_Chat#M.1547492172.A.A36#00129", "lord1031", "噁心！", "01/15 09:44", "0"
"C_Chat#M.1547492172.A.A36#00130", "anumber", "https//i.imgur.com/2X0n0vT.png", "01/15 09:46", "0"
"C_Chat#M.1547492172.A.A36#00131", "superpaden", "FYK", "01/15 09:55", "0"
"C_Chat#M.1547492172.A.A36#00132", "maple2378", "幹 真他媽噁爆 什麼低能劇情", "01/15 10:00", "0"
"C_Chat#M.1547492172.A.A36#00133", "inanna38", "幹你媽官方挑釁耶", "01/15 10:29", "0"
"C_Chat#M.1547492172.A.A36#00134", "sai007788", "青澀之戀沒有2，動物朋友也是", "01/15 10:42", "0"
"C_Chat#M.1547492172.A.A36#00135", "biollante", "幹咧 角川你這個垃…", "01/15 10:50", "0"
"C_Chat#M.1547492172.A.A36#00136", "stfang925", "真香", "01/15 10:51", "0"
"C_Chat#M.1547492172.A.A36#00137", "ArtFree", "FYK", "01/15 11:08", "0"
"C_Chat#M.1547492172.A.A36#00138", "joker7788996", "幹你角川這三小", "01/15 11:16", "0"
"C_Chat#M.1547492172.A.A36#00139", "melvin8052", "再噓一次", "01/15 11:21", "0"
"C_Chat#M.1547492172.A.A36#00140", "SoQXuanChi", "太棒了吧 角川", "01/15 11:33", "0"
"C_Chat#M.1547492172.A.A36#00141", "dada1475", "幹你角川", "01/15 11:36", "0"
"C_Chat#M.1547492172.A.A36#00142", "BEDA", "如果二期是全新故事也就算了，硬要跟一期沾上邊真的是噁心人", "01/15 11:53", "1"
"C_Chat#M.1547492172.A.A36#00143", "helloLOLI", "三小", "01/15 12:28", "0"
"C_Chat#M.1547492172.A.A36#00144", "raepopo", "卡邦醬會消失還不是角川你殺的 幹你角川", "01/15 12:35", "0"
"C_Chat#M.1547492172.A.A36#00145", "okaward271", "硬要沾上一期的邊欸黑人問號https//i.imgur.com/KUMhIrQ.jpg", "01/15 13:17", "1"
"C_Chat#M.1547492172.A.A36#00146", "frostwater", "再噓一次", "01/15 15:42", "0"
"C_Chat#M.1547492172.A.A36#00147", "WinRARdotrar", "這什麼垃圾劇情", "01/15 17:29", "0"
"C_Chat#M.1547492172.A.A36#00148", "Lupin97", "幹", "01/15 19:15", "0"
"C_Chat#M.1547492172.A.A36#00149", "qoo3184", "拉機劇情", "01/15 19:16", "0"
"C_Chat#M.1547492172.A.A36#00150", "PLEASE974853", "幹這三小 秀下限?", "01/15 19:30", "0"
"C_Chat#M.1547492172.A.A36#00151", "WinRARdotrar", "https//imgur.com/M8KgscC.jpg", "01/15 21:58", "0"
"C_Chat#M.1547492172.A.A36#00152", "sarspieya521", "垃圾角川", "01/22 20:04", "0"
