"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1547622702.A.60A#00000", "surimodo", "為了大家是五等分<br>雞毛蒜皮的東西<br>而隱藏喜歡的心情<br>但是別人關心又嗆<br>考最好就要告白<br>根本沒考慮其他人的心情<br>活該打臉氣到發抖<br>到旅館一下要男主滾<br>一下又猜猜我是誰<br>真是個心機肥婆<br>不過三玖好可愛喔喔<br><br><br>--<br>", "", ""
"C_Chat#M.1547622702.A.60A#00001", "frank8233", "燻雞誰比的上四葉==", "01/16 15:12", "0"
"C_Chat#M.1547622702.A.60A#00002", "d125383957", "都是一家人  OO一家親", "01/16 15:12", "0"
"C_Chat#M.1547622702.A.60A#00003", "tomuy", "https//i.imgur.com/rogXaxj.jpg", "01/16 15:12", "0"
"C_Chat#M.1547622702.A.60A#00004", "hikari22", "誰侮辱39就是與我為敵", "01/16 15:13", "0"
"C_Chat#M.1547622702.A.60A#00005", "sasaki3630", "公三玖", "01/16 15:13", "0"
"C_Chat#M.1547622702.A.60A#00006", "rkkyosoro", "0.0", "01/16 15:13", "0"
"C_Chat#M.1547622702.A.60A#00007", "sdd5426", "推", "01/16 15:13", "0"
"C_Chat#M.1547622702.A.60A#00008", "money990160", "藏頭推", "01/16 15:14", "0"
"C_Chat#M.1547622702.A.60A#00009", "a125g", "說他燻雞我可以接受 但肥婆不能忍", "01/16 15:16", "0"
"C_Chat#M.1547622702.A.60A#00010", "asc5543", "欠噓", "01/16 15:18", "0"
"C_Chat#M.1547622702.A.60A#00011", "jason1515", "哪裡有五月巴肥", "01/16 15:20", "0"
"C_Chat#M.1547622702.A.60A#00012", "qqq3892005", "https//i.imgur.com/OIp3WfM.jpg", "01/16 15:21", "0"
"C_Chat#M.1547622702.A.60A#00013", "same60710", "喔", "01/16 15:22", "0"
"C_Chat#M.1547622702.A.60A#00014", "x17cvbnm", "炮灰是能心機到哪啦", "01/16 15:23", "0"
"C_Chat#M.1547622702.A.60A#00015", "kinomon", "3939889 pissahot", "01/16 15:24", "0"
"C_Chat#M.1547622702.A.60A#00016", "saiboos", "戰屁", "01/16 15:24", "0"
"C_Chat#M.1547622702.A.60A#00017", "Arstoo", "討噓就直說", "01/16 15:26", "0"
"C_Chat#M.1547622702.A.60A#00018", "motsu", "不能忍", "01/16 15:27", "0"
"C_Chat#M.1547622702.A.60A#00019", "WARgame723", "https//i.imgur.com/g8XwRbE.jpg", "01/16 15:28", "0"
"C_Chat#M.1547622702.A.60A#00020", "michaellu792", "心機個屁，就39對所有姐妹最資訊揭露", "01/16 15:35", "0"
"C_Chat#M.1547622702.A.60A#00021", "opeminbod001", "我一花派 也喜歡23 不能接受黑39", "01/16 15:37", "0"
"C_Chat#M.1547622702.A.60A#00022", "Agent5566", "幹", "01/16 15:37", "0"
"C_Chat#M.1547622702.A.60A#00023", "james3510", "貝西 你要有所成長", "01/16 15:39", "0"
"C_Chat#M.1547622702.A.60A#00024", "dasuininder", "三番軍特攻隊長在此，你抽牌吧", "01/16 15:39", "0"
"C_Chat#M.1547622702.A.60A#00025", "Snymhgy", "你是不是討厭五月、四葉和三玖==", "01/16 15:39", "0"
"C_Chat#M.1547622702.A.60A#00026", "qwer338859", "總比某人玻璃心好吧ㄏㄏ", "01/16 15:40", "0"
"C_Chat#M.1547622702.A.60A#00027", "joejerry", "一花才燻雞 嘻嘻", "01/16 15:41", "0"
"C_Chat#M.1547622702.A.60A#00028", "linceass", "39是天使", "01/16 15:42", "0"
"C_Chat#M.1547622702.A.60A#00029", "andy991217", "噓一樓 四葉是天使", "01/16 15:44", "0"
"C_Chat#M.1547622702.A.60A#00030", "michaellu792", "2就臭玻璃", "01/16 15:44", "0"
"C_Chat#M.1547622702.A.60A#00031", "corlos", "加藤葉：？", "01/16 15:44", "0"
"C_Chat#M.1547622702.A.60A#00032", "matt1991", "這篇也只是來討噓的吧", "01/16 15:44", "0"
