"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1548577058.A.AB9#00000", "Zuminox", "大家好 我這邊是在八卦版發文的原PO<br><br>這文除了跟跟凱文道歉跟證明他的清白以外<br><br>順便爆掛跟八卦一下 希望大家廣為擴散<br><br>歡迎轉貼跟分享各大平台 希望能夠把資訊完整傳達<br><br>倘若只想要寫部分內容 也請將整個段落完整複製 不要學妓者斷章取義<br><br>大家有甚麼想問的盡管提出 在我能回答的範圍內我會盡可能回答<br><br>-<br><br>所以特別發這篇文幫凱文洗白<br><br>由於因為誤把 13門中道那個團誤認為是凱文團<br><br>經過查證以及 13門中道的團提供當時夜排寫的列隊順序表<br><br>凱文團並沒有在上面 凱文本人只是被找去幫忙排隊跟聊天的<br><br>1/26當天他並沒有在13門排隊<br><br>這部分查證後發現是真的搞錯了...<br><br>嚴重造成凱文本人在工作上的困難<br><br>以及身邊朋友對他的質疑我真的感到抱歉<br><br>-<br><br>當然 我相信只是道歉文我相信根本沒人想看<br><br>所以我決定來多爆幾個掛<br><br>順便回覆一下前幾篇文章想討論的東西<br><br>以及有些留言中有人提出的疑問<br><br>-<br><br>我這邊先自爆 雖然我本人在原文中<br><br>把自己的身分寫的就像是廠商參展的廠商一樣<br>(至少我給自己的設定是這樣)<br><br>其實我本人是 排在17門的第一團的團長<br><br>本身夜排也是行之有年 但要不是偶像來還真的很懶得排<br><br>在13門發生的狀況我全程參與<br><br>不然不可能寫得那麼鉅細靡遺<br><br>甚至忘了發懶人包 在這邊跟大家道歉<br><br>這篇文要爆的主要是幾個重點<br><br>    1. 李O天集團到底是誰 有沒有照片 他們運作方式?<br><br>    2. 轉賣好賺嗎? 通常會以甚麼東西下手 對象通常是誰<br><br>    3. 夜排的情況有沒有辦法遏止? 有沒有改良方案?<br><br>    4. 本次主辦單位的事前預防措施以及我個人的一些見解<br><br>    5. 孫安佐昨天有沒有出現 (至少八卦版有人問<br><br>    6. 目前已知 Y君 後續採取的法律行動<br><br>    7. 南港夜排趣事(有空再補)<br><br>    8. 以上總結<br><br>    9. 有需要會再補充<br><br><br>老樣子 文長慎入<br><br><br><br><br>1. 李O天集團到底是誰 有沒有照片 他們的運作方式<br><br>好的 反正我還是碼一下<br><br>不過前幾篇文已經有人做出解碼選項了<br><br>想要他們首腦照片的話直接估狗圖片會有<br><br>插隊的那個就是<br><br>他們的運作方式跟電影演的販毒商有點像<br><br>他們很少自己出面處理事情<br><br>除非是簽名這種會跑票或是跟其他團談判要點聲望的<br><br>他們才會自己出來 不然都叫小弟去辦事<br><br>排隊都叫小弟或是找人排隊<br><br>自己爽爽回家睡到飽 幹部群早上再來解壓縮<br><br>甚至叫小弟去當魁儡團長 出事都是他的錯 自己沒問題<br><br><br><br>南港也有他們的事情 後面可以看看<br><br><br><br>2. 轉賣廚好賺嗎? 通常會以甚麼東西下手 對象是誰<br><br>以這次PS攤位上面發生的事情來說<br><br>他們可以不用任何商品成本 就可以開始獲利了<br><br>上篇文章說他賣3000那個還算是客氣的呢<br><br>我目前已經打聽到有人跟他們5000收昨天那張簽名板<br><br>但我想這東西還會再往上漲 沒毛病<br><br><br>撇開這次PS<br><br>這群轉賣廚還會專挑BL、高人氣作品、無本萬利的限量商品去搶<br><br>特別針對BL向的作品去搶購<br><br>因為他們覺得宅女的消費力比起宅男更加強大<br><br>而且宅女買到之後<br><br>還會感謝這群轉賣廚讓他有機會可以用錢就機會見到偶像<br><br>甚至形成忠實顧客 還幫他口碑行銷<br><br>不要說不可能 或是說這想法太扯了<br><br>只要想你有的是錢<br><br>只要你有一個很喜歡的偶像<br><br>只要你能負擔比原價多上個一倍以上的價錢<br><br>你就可以近距離見到偶像本人<br><br>甚至跟他握手 跟他合照 拿他相關作品的簽名板<br><br>你還不用花時間排隊或是等機台<br><br>這買賣值不值? 值!!!<br><br>是我 我也想要 但我沒錢 ((燦笑<br><br>從這樣的角度來看他們會有這樣的行為<br><br>也就只是轉賣廚跟宅男宅女供需問題而已<br><br>準確地抓住消費者的心理<br><br>這也是轉賣廚跟黃牛的共通點<br><br>我告訴你 你一定想買 但你也抵制不了<br><br>只要還符合我上述黃字三個條件 就沒機會<br><br>能控制這狀況的也只有活動主辦單位能夠做到<br><br>這在後續再談<br><br><br>3. 夜排的情況有沒有辦法遏止? 有沒有改良方案?<br><br>好的 當然這是我的一些見解跟想法<br><br>這部分可以討論的範圍真的很大<br><br>大家可以在留言熱烈的討論<br><br>除了現場搶 目前常見的有：<br><br>        (1) 現場抽獎<br>        (2) 網路抽獎<br>        (3) 機台搶<br>        (4) 網路搶<br>        (5) 待補充<br><br>(1)現場抽獎<br><br>簡單的說<br><br>現場抽獎是我覺得目前可能比較公平的一個行為<br><br>但總會出現特例<br><br>詳細請看 2015年 FATE川澄綾子禮物盒抽簽名<br><br>17人團在颱風天連排3天<br><br>看起來除了工作證以及一個搶到的鄉民以外<br><br>他們應該是把簽名全部包下了<br><br>一方面這個抽獎的機率太高了<br><br>理論值是一個禮物盒至少30%的機率<br><br>當然 這是排列組合中 取後不放回的狀況<br><br>如果抽獎是取後放回呢?<br><br>我想 機率要是設在10%以下<br><br>大概結束之後還會有剩吧...<br><br>雖然這樣做真的可以賺得很飽<br><br>也能一定程度上遏止夜排行為<br><br><br>(2)網路抽獎<br><br>以東O出版社來說<br><br>從2015年以後大多採取這樣的方式去做資格選取<br><br>目前來說 爭議性很低 出版社也發展出實名制<br><br>是最確實遏止夜排的手法 但公平性有待考量<br><br>但洗人頭跟洗證件甚麼的 他們的機率肯定不比我們小<br><br>更不要說你那個駕照只是用一般護貝機<br><br>撕開換照片就好 官方還不是照看<br><br>洗這人頭根本不難<br><br>另外還有聽到風聲說 疑似出版社黑箱作業???<br><br>這我可以說明一下 但哪個出版社不明說<br><br>當然 我之前有跟某出版社打過交道<br><br>知道他們自己會保留份數 只是份數會壓<br><br>這部分也有跟日方做過溝通跟協調 這是允許的<br><br>不然我相信他們要是真的被發現<br><br>以後這出版社簽名會不用辦就算了<br><br>想代理作品都會有難度<br><br><br>(3)機台搶<br><br>這玩意兒除了擾民 讓需要用機台的人不能用以外<br><br>以目前來說 還非常好轉賣呢<br><br>但是人就必須站在機台來操作了<br><br>這也是唯一的優點<br><br><br>(4)網路搶<br><br>這我就不多說了<br><br>看看米津 你以為跟你搶票的都是人嗎???<br><br>醒醒吧 都是程式在跑 米津這次2秒就搶完了<br><br>還得考量網站是否能支撐等等的<br><br>雖然這是最一開始抵制夜排的方法<br><br>但隨著科技的演進<br><br>根本就變成了程式優化程度以及網路速度的競賽啊!!!<br><br>-<br><br>如果只是考量能否遏止夜排<br><br>上述的方法都能防止<br><br>但能不能防轉賣就不一定了<br><br>防轉賣的話 基本就是實名制 以及作品問題問答<br><br>實名制除非只用身分證 不然bug太多了<br><br>作品問題問答還得要考量粉絲到底能不能答出來<br><br>通常真粉都能答啦 轉賣廚就真的看情況了<br><br><br><br>4. 本次主辦單位的預防措施以及我個人的一些見解<br><br>直接說啦 雖然已經有人提醒過主辦單位<br><br>但時間上有點晚 人家工作證全部發出去了<br><br>而且 我相信電玩展主辦<br><br>大概是第一次碰到這麼棘手的問題<br><br>官方主要都把人都當成君子看<br><br>但防的了君子 防不了小人<br><br>把廠商參展證或是採訪證<br><br>從5 6 9 10 14出口的吸菸區往外送<br><br>或是直接放在背包夾帶出去再解壓縮進場<br><br>這些是可以用一次性的手環<br><br>或是當日限定且一次性的東西來代替<br><br>當然偽造參展證及採訪證這問題很嚴重<br><br>比起上述的鑽漏洞是直接面臨法律問題<br><br>更別說這次的證上沒有專屬編號<br><br>即使現場抓到也沒辦法溯源<br><br><br>當然這次我覺得部分官方工作人員也有疏失<br><br>但顯然這比較是我們這些夜排仔才會有的問題<br><br>比較不影響大眾 但我還是稍微提一下<br><br>這次放門的時間基本上都晚了<br><br>除了我17門這邊我跟他們打好關係請他們準時開門<br><br>不然我還聽說4門那邊的哀嚎說<br><br>他們的門前工作人員沒有無線電就算了<br><br>幾個人還聊得很開心<br><br>開場還是他們提醒開場才放入的<br><br>13門中道貌似除了晚放 還被運貨的廠商給擋住<br><br>導致他們搶的不如預期很多<br><br><br>5. 孫安佐昨天有沒有出現<br><br>先說 我覺得孫安佐很無辜<br><br>但我還是想把他提出來((和善的微笑<br><br>當時打架打完 PS的攤位人員把李O天集團的首腦<br><br>押到官方服務台的這段期間<br><br>我跟其他人從15門往外繞<br><br>就看見一個既熟悉又陌生的面孔<br><br>穿著那件阿嘿顏的衣服 瀟灑的在從PS攤位旁<br><br>從15門出去後左轉<br><br>對 沒有然後 這就只是八卦而已 沒甚麼<br><br><br><br>6. 目前 Y君採取之法律行動<br><br>目前已知簽名板以及財務毀損<br><br>但由於沒有外傷可以佐證他是真的受到攻擊<br><br>所以目前已經請PS幫我們看一下有沒有當時的現場錄影<br><br>要是各位有相關的資料<br><br>還請麻煩站內信跟我聯絡一下<br><br>我這陣子會勤一點上線看的...<br><br><br>說一下總結<br><br>我希望大家用力分享這個文章<br><br>一方面 我讓凱文受到傷害了<br><br>雖然他過去做的事情不對<br><br>但今天他很無辜 我希望可以還他一個公道<br><br>畢竟今天跟他沒關係<br><br>所以我今天起床後知道訊息馬上又撰了這篇文<br><br>希望大家可以幫忙轉發<br><br>更希望讓這件事情用力燒起來<br><br>讓主辦看到 讓主辦重視 讓主辦有改進的空間<br><br>不論是電腦公會也好 還是各個活動主辦的參展廠商也好<br><br>我希望的是以讓他們改進為優先<br><br>針對這件事情進行宣傳 而不是一昧的謾罵<br><br><br>以上 希望夜排文化從此消失的不知名夜排團團長敬上<br><br>--<br>", "", ""
"C_Chat#M.1548577058.A.AB9#00001", "Firstshadow", "(づ′・ω・）づ 10.所以你們有解壓縮嗎?", "01/27 16:20", "0"
"C_Chat#M.1548577058.A.AB9#00002", "seiya2000", "打架過程怎麼沒說明？打人的是誰？被打的是誰？", "01/27 16:21", "0"
"C_Chat#M.1548577058.A.AB9#00003", "a3118", "其實現場30張競標就好了 廠商能賺 還能有話題 轉賣廚也沒，錢ㄎㄎ", "01/27 16:22", "0"
"C_Chat#M.1548577058.A.AB9#00004", "ian5771016", "這文章我也是笑了。", "01/27 16:22", "0"
"C_Chat#M.1548577058.A.AB9#00005", "kumaliu", "對啊解壓縮呢？", "01/27 16:22", "0"
"C_Chat#M.1548577058.A.AB9#00006", "andy0481", "看半天沒看到哪裡洗白了 所以有沒有解壓縮?", "01/27 16:22", "0"
"C_Chat#M.1548577058.A.AB9#00007", "rockyao", "妳有沒有解壓縮 一句話", "01/27 16:24", "0"
"C_Chat#M.1548577058.A.AB9#00008", "p200404", "解壓縮有好到那邊去嗎 不也是插隊", "01/27 16:24", "0"
"C_Chat#M.1548577058.A.AB9#00009", "zxzxcv", "都臭到翻了還洗什麼白", "01/27 16:26", "0"
