"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1548754111.A.C49#00000", "blackwind910", "在youtube上聽歌的時候<br><br>https://www.youtube.com/watch?v=R7kfc0V7mWw<br>聽到戀愛循環的live啊<br><br>怎麼剛開始大家都在喊韓國瑜<br><br>是我們中華民族的救星也感化了小日本嗎<br><br>各位怎麼看呢<br><br>--<br>", "", ""
"C_Chat#M.1548754111.A.C49#00001", "lucky1lk", "你不知道 五樓把四樓膜弄破以後 就生出三樓了", "05/12 20:49", "0"
"C_Chat#M.1548754111.A.C49#00002", "Originalvoid", "二樓見證了這一切", "05/12 20:59", "0"
"C_Chat#M.1548754111.A.C49#00003", "windswith68", "<(★v★)/我愛把拔、我愛馬麻", "05/12 21:21", "0"
"C_Chat#M.1548754111.A.C49#00004", "Kristoflower", "五樓你說我是把拔還是馬麻", "05/12 21:24", "0"
"C_Chat#M.1548754111.A.C49#00005", "ciscoboy604", "樓上是把拔", "05/12 21:29", "0"
"C_Chat#M.1548754111.A.C49#00006", "Edison1174", "喔", "01/29 17:29", "0"
"C_Chat#M.1548754111.A.C49#00007", "mnbvcxz2411", "下去", "01/29 17:29", "0"
"C_Chat#M.1548754111.A.C49#00008", "poor147", "??", "01/29 17:29", "0"
"C_Chat#M.1548754111.A.C49#00009", "mod980", "== 我怎麼記得有一篇一模一樣的", "01/29 17:29", "0"
"C_Chat#M.1548754111.A.C49#00010", "Koyomiiii", "幽默喔", "01/29 17:29", "0"
"C_Chat#M.1548754111.A.C49#00011", "Jin63916", "你那邊還來得及", "01/29 17:30", "0"
"C_Chat#M.1548754111.A.C49#00012", "blackwind910", "活在未來的各位，我們民主的燈塔當選了嗎", "01/29 17:31", "0"
"C_Chat#M.1548754111.A.C49#00013", "nut7470", "姆咪", "01/29 17:31", "0"
"C_Chat#M.1548754111.A.C49#00014", "diabolica", "腿多久啦", "01/29 17:31", "0"
"C_Chat#M.1548754111.A.C49#00015", "CavendishJr", "跨年腿到現在", "01/29 17:31", "0"
"C_Chat#M.1548754111.A.C49#00016", "keyboard2", "/國瑜就一篇一樣的", "01/29 17:32", "0"
"C_Chat#M.1548754111.A.C49#00017", "rufjvm12345", "你那邊還來的及 賭盤押他就對了==", "01/29 17:32", "0"
"C_Chat#M.1548754111.A.C49#00018", "pilimovies", "去看耳鼻喉科好嗎", "01/29 17:33", "0"
"C_Chat#M.1548754111.A.C49#00019", "blackwind910", "喔喔，我們白色力量最強菜農當選了?迪士尼蓋好了嗎", "01/29 17:33", "0"
"C_Chat#M.1548754111.A.C49#00020", "jason1515", "幹 媽的有夠火", "01/29 17:34", "0"
"C_Chat#M.1548754111.A.C49#00021", "a5160999", "滾！看到他的名字就來氣！", "01/29 17:35", "0"
"C_Chat#M.1548754111.A.C49#00022", "leamaSTC", "老哏", "01/29 17:36", "0"
"C_Chat#M.1548754111.A.C49#00023", "finzaghi", "安可", "01/29 17:36", "0"
"C_Chat#M.1548754111.A.C49#00024", "coon182", "政治文掰", "01/29 17:37", "0"
"C_Chat#M.1548754111.A.C49#00025", "rul284dl", "中夭?", "01/29 17:38", "0"
"C_Chat#M.1548754111.A.C49#00026", "kk4789", "政治文滾", "01/29 17:38", "0"
"C_Chat#M.1548754111.A.C49#00027", "KiriyamaRei", "是要腿多久", "01/29 17:38", "0"
