"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1548782504.A.8CE#00000", "hoanbeh", "3D 更加進步的《動物朋友 2》或許這才是原本的傑帕力公園？<br><br>（特約編輯 玻璃罐頭） 2019-01-29 18:49:43<br><br>兩年前由吉崎觀音的人設作為主打的跨媒體企劃《動物朋友》，對許多動漫迷來說想必記<br>憶猶新。那原本不被待見，連手機遊戲都在開播前被關閉的企劃，靠著一部僵硬的 3D 動<br>畫扭轉了整個戰局，從此搖身一變成了一線級的熱門作品。<br><br>而雖然中間經歷了人員更迭等諸多狀況，但在這個冬天，全新的《動物朋友 2》終於還是<br>正式開播了。現在就讓我們透過動畫瘋，來看看《動物朋友 2》能否延續一期的傳說吧！<br><br>https://p2.bahamut.com.tw/B/2KU/52/bce931192ef8794a02972fc02913u2g5.JPG<br>《動物朋友 2》的舞台，一樣是建立在我們熟悉的傑帕力公園裡，在這個公園中居住了許<br>多「朋友化」的動物們。而這次的故事就是敘述藪貓與獰貓，在某日遇到了一個失去記憶<br>的人類「咕嚕嚕」。並為了幫他找到棲地而一同踏上旅程。<br><br>在熟悉的傑帕力公園中，藪貓與獰貓在某日遇到了一名失去記憶的人類<br>https://p2.bahamut.com.tw/B/2KU/53/0a7fb4f27353b64da834c9e65113u2h5.JPG<br>但他除了寫生簿之外幾乎什麼都想不起來，藪貓用肚子餓的聲音幫他取名為「咕嚕嚕」<br>https://p2.bahamut.com.tw/B/2KU/54/1094c991acef8ffea44f38008013u2i5.JPG<br>為了幫助咕嚕嚕回家，他們只好用寫生簿中的地點當作線索<br>https://p2.bahamut.com.tw/B/2KU/55/3d3bf94e3db5f980d6440361e613u2j5.JPG<br>而這段會不停遇到其他朋友的尋鄉旅程，就是本期故事的主軸<br>https://p2.bahamut.com.tw/B/2KU/56/2e70ca739950f63c89e01270f513u2k5.JPG<br>本次的製作組已經不是一期的 YAOYOROZU 了，而是換成以前主要做教育動畫和廣告CM的<br>Tomason。監督則換成了《Aikatsu！偶像活動！》的木村隆一。目前看起來，3DCG 的狀<br>況的確是比人力稀缺的一期好上了不少，雖然張數在平常一樣很低，但動作相對之下沒有<br>那麼僵硬了。只是整體節奏處理有點拖沓，這可能就要看之後系列構成的本領了。<br><br>張數一樣不高，但明顯比一期靈活了一點<br>https://p2.bahamut.com.tw/B/2KU/57/58eaaf8a97e0ee4b7dd2fdcef313u2l5.JPG<br>敘事方式有點拖沓<br>https://p2.bahamut.com.tw/B/2KU/58/52645245e2c10a326d34cf46e813u2m5.JPG<br>至於聲優方面，幸運的是關鍵的尾崎由香、本宮佳奈、小野早稀依舊會在本季出場，且這<br>次還多拉了一位小池理子來扮演獰貓。一期的經典台詞「すごーい！」等句依然有出現，<br>但或許是因為尾崎由香成長了，即便同樣的台詞，但感覺就沒有像一期那種生澀的魔性了<br>。<br><br>順道一提，一期主角小背包的聲優內田彩其實也還在，只是這次她只負責配幸運獸。應該<br>還是能夠期待一期的當機演出。<br><br>「すごーい！」因為聲優進步了反而沒那麼有魔性了<br>https://p2.bahamut.com.tw/B/2KU/59/635d3345de3e26cece9ea0369b13u2n5.JPG<br>這次內田彩只負責幸運獸，希望能有多一點演出空間<br>https://p2.bahamut.com.tw/B/2KU/60/53d437d341610e0caca5cbf80513u2o5.JPG<br>經歷了一期的夢幻旅程後，回頭看看二期想必會覺得「或許這才是動物朋友最初預期的樣<br>貌吧？」<br><br>整個作品的格局和製作水準雖然與一期沒有太大差別，但不只是拿掉了慣例的動物解說，<br>演出方式和畫風也變得更像是子供作品。且雖然不能由一話就妄臆劇本的水準，但應該也<br>不會有像一期那樣的異端故事。仔細想想，或許這種作品調性才是當初企劃的原案呢。<br><br>只是或許是為了抓緊一期的粉絲，明明作品風格和客群都已經做出了相當程度的改變，製<br>作組卻仍然在許多地方塞入一期的捏他和致敬，至於這種方式是否對觀眾受用，就留待各<br>位自行判斷了。<br><br>其實單論作品製作本身，與一期的差距沒有多大，只是方向變了<br>https://p2.bahamut.com.tw/B/2KU/61/a6ea43f2a92aad9952bc4ad59813u2p5.JPG<br>其實還是有想秀出動物特色的演出，但感覺上還是有旁白說明比較習慣<br>https://p2.bahamut.com.tw/B/2KU/62/4748b2cbfdc44c57f77c4c422613u2q5.JPG<br>或許這種子供向的作品，才是當初預定的形象<br>https://p2.bahamut.com.tw/B/2KU/63/a0c47199223c13d8a8b49aa4af13u2r5.JPG<br>不太理解刻意塞入一期梗的用意，其實當成新作品會好一點<br>https://p2.bahamut.com.tw/B/2KU/64/bb3439a5156bcdd432743f3cbe13u2s5.JPG<br>總結來說，《動物朋友 2》是一部相當標準的子供向作品。與一期不管是方向、敘事方式<br>，還是演出有相當大的差距，但具體的技術和聲優表現的進步確實存在，若是與一期的第<br>一話相比，那本話毫無疑問是壓勝的。在這邊推薦給給沒看過《動物朋友》一期的觀眾，<br>或是能夠將之視為兩部作品來看待的觀眾，相信這樣能讓你更加客觀地看待這部作品。<br><br>https://gnn.gamer.com.tw/7/174797.html<br><br>--<br>", "", ""
"C_Chat#M.1548782504.A.8CE#00001", "Xavy", "收了多少", "01/30 01:22", "0"
"C_Chat#M.1548782504.A.8CE#00002", "BBguy", "原你個頭", "01/30 01:23", "0"
"C_Chat#M.1548782504.A.8CE#00003", "Syoshinsya", "FYK", "01/30 01:23", "0"
"C_Chat#M.1548782504.A.8CE#00004", "A880507", "壓勝 呸 FYK", "01/30 01:24", "0"
"C_Chat#M.1548782504.A.8CE#00005", "WeasoN", "是擅長反串的朋友呢", "01/30 01:24", "0"
"C_Chat#M.1548782504.A.8CE#00006", "shuanpaopao", "大家別這樣，拿錢辦事而已。", "01/30 01:24", "0"
"C_Chat#M.1548782504.A.8CE#00007", "makinoyui", "未看先猜一堆人順口跟風留推文", "01/30 01:25", "0"
"C_Chat#M.1548782504.A.8CE#00008", "s50189", "FYK", "01/30 01:26", "0"
"C_Chat#M.1548782504.A.8CE#00009", "thundelet", "子供向放深夜給誰看啦", "01/30 01:27", "0"
"C_Chat#M.1548782504.A.8CE#00010", "gm79227922", "嗯 你說的對", "01/30 01:28", "0"
"C_Chat#M.1548782504.A.8CE#00011", "silver00", "end", "01/30 01:28", "0"
"C_Chat#M.1548782504.A.8CE#00012", "as3366700", "都已經暴死了還敢吹啊，要不是挾著動物朋友名字，我看折線會更難看吧ˊ", "01/30 01:28", "0"
"C_Chat#M.1548782504.A.8CE#00013", "devilkool", "業配滾", "01/30 01:29", "0"
"C_Chat#M.1548782504.A.8CE#00014", "lexmrkz32", "或個屁", "01/30 01:32", "0"
"C_Chat#M.1548782504.A.8CE#00015", "senma", "支持", "01/30 01:32", "0"
"C_Chat#M.1548782504.A.8CE#00016", "cupG", "總覺得這個編輯也偷偷的在裱動朋2wwww", "01/30 01:34", "0"
"C_Chat#M.1548782504.A.8CE#00017", "badend8769", "神作", "01/30 01:35", "0"
"C_Chat#M.1548782504.A.8CE#00018", "mshockwave", "角川的走狗 滾", "01/30 01:35", "0"
"C_Chat#M.1548782504.A.8CE#00019", "OochunoO", "我的良心很大的~~~多塞幾張", "01/30 01:36", "0"
"C_Chat#M.1548782504.A.8CE#00020", "algebraic", "FYK", "01/30 01:36", "0"
"C_Chat#M.1548782504.A.8CE#00021", "as3366700", "其實結論滿中肯的啊，技術(錢)跟聲優(配第一季的經驗)除此之外演出差異大(其他方面都輸慘了)", "01/30 01:36", "1"
"C_Chat#M.1548782504.A.8CE#00022", "john0909", "對對對  然後我一集都不會看  FYK", "01/30 01:36", "0"
"C_Chat#M.1548782504.A.8CE#00023", "kinomon", "台角急了?", "01/30 01:36", "0"
"C_Chat#M.1548782504.A.8CE#00024", "senma", "神作我還不推爆", "01/30 01:37", "0"
"C_Chat#M.1548782504.A.8CE#00025", "poke001", "結論算中肯拉 本來動朋就是爆死的子供向IP 連小孩都不買單現在就打回原型而已", "01/30 01:39", "1"
"C_Chat#M.1548782504.A.8CE#00026", "gundamwu", "????", "01/30 01:40", "0"
"C_Chat#M.1548782504.A.8CE#00027", "eric10902", "噁心", "01/30 01:41", "0"
"C_Chat#M.1548782504.A.8CE#00028", "aram9527", "三小啦", "01/30 01:48", "0"
"C_Chat#M.1548782504.A.8CE#00029", "heybro", "他說的很有道理啦 不過還是想噓", "01/30 01:51", "0"
"C_Chat#M.1548782504.A.8CE#00030", "wilson219", "從標題就覺得噁心", "01/30 01:52", "0"
"C_Chat#M.1548782504.A.8CE#00031", "abd86731", "我來崩潰噓了", "01/30 02:02", "0"
"C_Chat#M.1548782504.A.8CE#00032", "salamender", "特 約 編 輯  這是廣編嗎", "01/30 02:05", "0"
"C_Chat#M.1548782504.A.8CE#00033", "porian20", "他說的沒錯啊，別看標題斷章取義好嗎，跟記者一樣。這才是原本(註定爆死)的動物朋友", "01/30 02:07", "1"
"C_Chat#M.1548782504.A.8CE#00034", "wahaha99", "3D更加進步所以我的470會Lag 是這樣的概念嘛?", "01/30 02:13", "0"
"C_Chat#M.1548782504.A.8CE#00035", "SuicideWorks", "怎麼看標題就噓== 內文也沒有捧阿", "01/30 02:18", "0"
"C_Chat#M.1548782504.A.8CE#00036", "joker7788996", "嘔嘔嘔嘔嘔嘔嘔嘔嘔", "01/30 02:18", "0"
"C_Chat#M.1548782504.A.8CE#00037", "dickec35", "不意外一堆人在罵小編，只能講缺點不能提優點", "01/30 02:23", "0"
"C_Chat#M.1548782504.A.8CE#00038", "KONosic", "真香", "01/30 02:24", "0"
"C_Chat#M.1548782504.A.8CE#00039", "clint00721", "銅臭朋友", "01/30 02:25", "0"
"C_Chat#M.1548782504.A.8CE#00040", "MinuteMan", "文章沒有在捧，分析很多面向，也微婉點出塞s1梗的噁心", "01/30 02:25", "1"
"C_Chat#M.1548782504.A.8CE#00041", "asiaking5566", "不在乎盜版正版 但第一集還是慘輸一季", "01/30 02:30", "0"
