"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1549947143.A.9BA#00000", "Lumial020", "※ 引述《SilverFlare (銀白閃焰)》之銘言：<br>: 就算真的靠裏蓮華<br>: 讓他有機會打贏我愛羅<br>: 但是放完這招基本上<br>: 手腳四肢的肌肉筋腱都斷光光了<br>: 還會全身多處骨折<br>: (即使扣掉左手左腳被沙子弄粉碎的部分<br>: 大小腿骨應該還是會有多處骨裂骨折)<br>: 怎麼樣也是半年內不可能好的重傷<br>: 又怎麼趕得上一個月後的第二回合正賽??<br>: 這些應該事前就可以想的到了吧??<br>: 所以就算用裏蓮華打贏晉級了<br>: 後面正賽還是會因傷棄賽不是嗎～<br>: 那用裏蓮華還有什麼意義嗎??<br>: 484開到第二門就好 多用幾次表蓮華賭看看<br>: 搞不好對方的沙之替身有機會失敗啊<br>: 當然輸贏先不論 至少也不會住院半年吧??<br>: 小李是不是開大絕之前沒想清楚啊<br><br>住院半年這個就是假議題<br><br>剛剛找時間軸來看 七月中忍報名 十月佐助就叛變<br><br>記得當月滿月時小李決定要開刀<br>到佐助叛逃的下弦月特寫<br>才不到半個月啊<br><br>回歸後那速度又升一個檔次<br>搞不好能屌虐中忍試驗的我愛羅<br><br>而且在火影的世界觀裡<br>前面還在比較正常的時候<br>一個月可以練：<br>螺旋丸<br>千鳥<br><br>更速成的還有一天就完成的咒印狀態二<br><br>給一個月的時間已經十分充分了好不<br><br>--<br>", "", ""
"C_Chat#M.1549947143.A.9BA#00001", "ClawRage", "沒有捏,我愛羅說小李揍他的時候比跟君麻呂幹架還快", "02/12 12:57", "0"
"C_Chat#M.1549947143.A.9BA#00002", "ClawRage", "小李打君麻呂是帶病+兩個月空窗。實力是退步只是靠喝酒在體術應變性上讓君麻呂能玩很久", "02/12 12:59", "1"
"C_Chat#M.1549947143.A.9BA#00003", "SilverFlare", "那是因為有綱手而且手術成功 沒綱手前木葉沒一個醫療忍者敢幫小李開刀 只能一直做沒用的復健 問題是中忍考試石岡手這號人物都還沒出現名字呢 別上帝視角R", "02/12 13:00", "1"
"C_Chat#M.1549947143.A.9BA#00004", "ClawRage", "有名字啦 天天有說他很崇拜剛手，就是在小李打我愛羅那戰", "02/12 13:02", "0"
"C_Chat#M.1549947143.A.9BA#00005", "SilverFlare", "天天那句應該不是在中忍考試初試之前吧", "02/12 13:03", "0"
"C_Chat#M.1549947143.A.9BA#00006", "gintamancf", "沒人敢開刀是因為粉碎性骨折 照你講法只評估里連華本身傷害是來得及的", "02/12 13:03", "1"
"C_Chat#M.1549947143.A.9BA#00007", "SilverFlare", "筋肉斷裂肌腱損傷 就算扣掉我愛羅弄的粉碎性骨折小李身上還是有多處骨傷是裏蓮華本身造成的吧媽的最好你都事前就知道綱手會幫你治 還能提高手術成", "02/12 13:05", "1"
"C_Chat#M.1549947143.A.9BA#00008", "ClawRage", "就在阿凱回憶新人報道的那幕就有綱手名字了，小李身上最嚴重要綱手才敢治的傷的確是我愛羅搞的", "02/12 13:06", "0"
"C_Chat#M.1549947143.A.9BA#00009", "SilverFlare", "功率 還知道這種禁術的後遺症一個月內一定可以好，不只吧 綱手就明確講了 因為蓮華的後遺症 她還要找能", "02/12 13:07", "0"
"C_Chat#M.1549947143.A.9BA#00010", "ClawRage", "沙瀑送葬用沙子壓碎所以把小李的碎骨壓進神經，現場的急救人員就點明小李左手左腳的傷是沒辦法再當忍者", "02/12 13:08", "0"
"C_Chat#M.1549947143.A.9BA#00011", "SilverFlare", "同時一口氣活性化大範圍組織的方法成功率才過5成，但問題是之所以一般醫療的掌仙術治不好是因為蓮華後遺症導致細胞無法自我修復 到底有沒有好好看啊", "02/12 13:09", "0"
"C_Chat#M.1549947143.A.9BA#00012", "gintamancf", "媽的最好你都事前都知道我愛羅會把小李輾過去 說不定一開大招就打贏了不一定輸的局 又不知道會被打成粉碎性骨折 你也不能確定除了這種傷勢 其他傷木葉醫療忍者能不能治好", "02/12 13:09", "1"
"C_Chat#M.1549947143.A.9BA#00013", "ClawRage", "誰知道原來三忍有一個是醫術高ㄕㄡˇ", "02/12 13:10", "0"
"C_Chat#M.1549947143.A.9BA#00014", "SilverFlare", "誰在跟你講說一定會輸 問題就是無論輸贏蓮華開到五門一定會造成全身的筋肉多處斷裂 當下卡卡西就看到了你是一個腦子正常的人 你當下會覺得這場打完全身肌肉", "02/12 13:11", "1"
"C_Chat#M.1549947143.A.9BA#00015", "gintamancf", "那幹嘛不開? 直接認輸那小李之前的塑造就變笑話，對 會造成筋肉斷裂 但有說單是這種傷勢來不及治好嗎", "02/12 13:11", "0"
"C_Chat#M.1549947143.A.9BA#00016", "ClawRage", "這就很好笑了,現場人員說他左手腳廢了其他能救,綱手事，後看報告卻提他一直包著的地方歸究在蓮華上卻不提他一直包著的左手腳", "02/12 13:12", "0"
"C_Chat#M.1549947143.A.9BA#00017", "SilverFlare", "斷光光還會失去再生能力的 會覺得你一個月可以康復??他媽的你哪來這種自信 又不是隔壁棚的金鋼狼所以就是腦子不正常啊認為自己一定趕得及一個月康復參加正賽才很奇怪吧"全身"都肌肉斷裂 跟重訓微型撕裂傷是不一樣的", "02/12 13:13", "1"
"C_Chat#M.1549947143.A.9BA#00018", "gintamancf", "我腦子正常 但我不是忍者也不是小李，不用這麼激動一直攻擊別人 樓上不是告訴你治的好了", "02/12 13:13", "0"
"C_Chat#M.1549947143.A.9BA#00019", "ClawRage", "肌肉斷裂是小事....正常人全力狂揮三十拳就開始斷了啦", "02/12 13:14", "0"
"C_Chat#M.1549947143.A.9BA#00020", "gintamancf", "而且 小李體術練這麼久了 不提有沒有開到五門過 他對Y開了八門遁甲的傷勢一定知道 你會比他了解自己嗎", "02/12 13:15", "1"
"C_Chat#M.1549947143.A.9BA#00021", "SilverFlare", "哪裡治的好 沒綱手出現就是治不好 且是八門後遺症，造成遲遲無法康復 原作都講了 跟骨折其實沒什麼關係那既然了解為什麼最後綱手是說那樣的結論呢??很明顯就不是一個月內來得及康復到可出賽的傷 還凹", "02/12 13:15", "0"
"C_Chat#M.1549947143.A.9BA#00022", "gintamancf", "因為綱手的結論建立在我愛羅造成的傷害 你一定要全部混一起講?", "02/12 13:18", "1"
