"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1550999070.A.E45#00000", "joug", "《還願》惹禍 傳香港投資人將宣布終止投資台灣新創業者<br><br><br><br><br><br>由赤燭遊戲開發的《還願》遊戲，因嘲諷大陸領導人習近平被大陸地區下架，投資商並將<br>向赤燭求償。不僅如此，一位在遊戲業25年的業者透露，香港已有投資人近期內會宣佈中<br><br>止對台灣獨立團隊的投資，《還願》惹出的雪球越滾越大，害到台灣遊戲創業者，有網友<br>怒轟「赤燭可是開始要踩著台灣獨立開發者的屍體了」。<br><br>台產遊戲《還願》被眼尖網友發現遊戲中的符咒寫著，「呢嘛叭唭」，並蓋上紅印「習近<br>平小熊維尼」，《還願》製作赤燭團隊稍早也為此道歉、立即更新遊戲。但事件越滾越大<br>，也害到其他台灣遊戲業者。<br><br>一位在遊戲產業25年的業者說「據在大陸工作的業界朋友說...香港已有投資人近期內會<br>宣佈中止對台灣獨立團隊的投資，嗯.....這看來雪球是越滾越大了，對遊戲界來說不是<br>一件好事!對創業者來說，這可是一大打擊啊....」。<br><br>該位業者又在臉書繼續發文說明「我不是針對遊戲公司說什麼，但一旁吶喊助威或同溫層<br>的覺青豬隊友真的是夠了.....<br><br>1.你開心支持國產遊戲我覺得很棒，盡量用新台幣扶助遊戲公司渡過難關很好。<br><br>2.Steam有中國區，中國大陸的人可以直接購買下載，不是都在玩盜版，而且正版購買的<br>人佔Steam全球總額30%，在淘寶上看到大多是外掛或其他有的沒，賣遊戲本體的不能說沒<br>有，但不能以偏概全，這種覺青式洗腦真的令人無言。<br><br>3.也許在大家的鼓噪吹捧下，當事遊戲公司能回收或渡過難關，但你們沒有想到其他正在<br>萌芽中的獨立團隊可能因此斷去生路，有可能活了一家公司而死了一片產業小草。<br><br>4.再自吹自擂下去，中國升級壓力，你想會不會連Steam都屈服了，反而自造難關進而封<br>殺台灣?不要自己爽了，害死產業，沒創過業的人真的不知創業的苦。」<br><br>有人也在底下留言怒轟赤燭「這跟賣甚麼銷量一點關係都沒有，重點是害到別人，再來，<br>說個謊，美術素材不小心，你覺得說得過去嗎?想搞台獨發聲是個人自由，沒顧慮到其他<br><br>人生計，又想賺RMB在圓謊，這就是這個團隊的大義?之前跟赤燭返校某人談過，他說有人<br>想要踩白色恐怖受難著的屍體，他絕對會跟那人過不去。今天赤燭可是開始要踩著台灣獨<br>立開發者的屍體了，我這話就原封不動的還回去吧」。<br><br>臉書「黑框作業」粉絲頁也引述遊戲業者的發文說「獨派一時爽，創投火葬場」。<br><br><br><br>https://www.chinatimes.com/realtimenews/20190224001543-260407<br><br><br><br>--<br>", "", ""
"C_Chat#M.1550999070.A.E45#00001", "Teng0615", "好了啦 中時", "02/24 17:04", "0"
"C_Chat#M.1550999070.A.E45#00002", "s32244153", "0_0，又是這記者阿", "02/24 17:04", "0"
"C_Chat#M.1550999070.A.E45#00003", "kkenex", "台灣悲歌", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00004", "hayate232", "中時 就你最會造謠", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00005", "JoeGibsonJr", "好了啦", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00006", "mardi", "要幾篇", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00007", "testlab", "chinatimes", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00008", "jpg31415926", "喔 我也宣布我不投資中國香港創業者", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00009", "g20064", "垃圾狗報先噓", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00010", "andy3580", "9000套的垃圾市場 還想跟人談條件 吃屎吧，等你們那邊可以賣個900萬套再來大聲吧 13億人口 我呸", "02/24 17:05", "0"
"C_Chat#M.1550999070.A.E45#00011", "linceass", "有沒有這麼急", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00012", "leamaSTC", "怕什麼 他們會說台灣人靠中國以外市場就夠了", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00013", "discoveryray", "中時", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00014", "AizenSousuke", "傳傳傳 恐恐恐", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00015", "feyster", "乾脆直接說夢到的好了", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00016", "xxx60709", "支那時報", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00017", "Losaria", "造謠媒體全家死好啦 操，滾去含韓國瑜和護家盟的懶趴 少來這邊", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00018", "tuna0214", "恐", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00019", "itsmyspirit", "chinatimes", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00020", "tim0922", "好了啦 中時", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00021", "umdfk", "這人他媽誰啊？", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00022", "utamaru", "傳", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00023", "a5378623", "所以說那個香港投資人呢？", "02/24 17:06", "0"
"C_Chat#M.1550999070.A.E45#00024", "DarkHolbach", "所以具體是哪個", "02/24 17:07", "0"
"C_Chat#M.1550999070.A.E45#00025", "updowntheof", "等真的發生了再來靠腰都還不遲啦，傳個屁", "02/24 17:07", "0"
"C_Chat#M.1550999070.A.E45#00026", "devilkool", "造謠關三天", "02/24 17:07", "0"
