"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1551145232.A.F33#00000", "gundamguy", "※ 引述《wizardfizban (瘋法師)》之銘言：<br>: 不管人家是真的需要弄到下架才能解決後台問題。<br>: 又或著是想要避風頭什麼的......<br>: 說真的，就放過人家吧！<br>: 赤燭明擺著就是不相變成政治風暴中心，雖然己經是了......<br>: 某些人瘋狂操作成政治話題，他們就明顯很無奈呀！<br>: 我還是第一次看到政黑和C洽的熱門話題一模一樣的咧！<br>: 赤燭現在最大問題就是和唯晶的合約了......<br>: 再鬧下去可能真的不只脫一層皮這麼簡單了。<br><br>一間挺綠營的遊戲公司和團隊還裝中立<br>真是噁心至極<br>綠吱吱就只會用這種垃圾遊戲和看民視來自慰<br>還自慰到雞雞和鮑魚都瘀血<br><br>--<br>", "", ""
"C_Chat#M.1551145232.A.F33#00001", "jim924211", "這個可以桶吧？", "02/26 09:40", "0"
"C_Chat#M.1551145232.A.F33#00002", "HeterCompute", "慢走不送", "02/26 09:40", "0"
"C_Chat#M.1551145232.A.F33#00003", "aa1052026", "版主不出來嗎?這咖鬧好幾篇了", "02/26 09:40", "0"
"C_Chat#M.1551145232.A.F33#00004", "gy5566gy", "《登入次數》200 次  風向公司申請多少ID了?", "02/26 09:41", "0"
"C_Chat#M.1551145232.A.F33#00005", "linceass", "開分身鬧版", "02/26 09:41", "0"
"C_Chat#M.1551145232.A.F33#00006", "symphoeuni", "閱", "02/26 09:41", "0"
"C_Chat#M.1551145232.A.F33#00007", "asdf70044", "掰掰==", "02/26 09:41", "0"
"C_Chat#M.1551145232.A.F33#00008", "telessy", "喔。", "02/26 09:41", "0"
"C_Chat#M.1551145232.A.F33#00009", "iovoecu", "這傢伙昨天不是也一篇==", "02/26 09:41", "0"
"C_Chat#M.1551145232.A.F33#00010", "sdfsonic", "進桶吧 五毛", "02/26 09:42", "0"
"C_Chat#M.1551145232.A.F33#00011", "orze04", "《有效文章》3 篇 (退0)", "02/26 09:42", "0"
"C_Chat#M.1551145232.A.F33#00012", "jim924211", "這個可以劣退嗎，嚴重鬧板", "02/26 09:42", "0"
"C_Chat#M.1551145232.A.F33#00013", "qaz223gy", "分身 鬧版 永桶", "02/26 09:42", "0"
"C_Chat#M.1551145232.A.F33#00014", "water903", "888888888888888", "02/26 09:43", "0"
"C_Chat#M.1551145232.A.F33#00015", "Yijhen0525", "鬧版", "02/26 09:43", "0"
"C_Chat#M.1551145232.A.F33#00016", "Athanasius", "88 88 88 88 88", "02/26 09:44", "0"
"C_Chat#M.1551145232.A.F33#00017", "rochiou28", "掰", "02/26 09:44", "0"
"C_Chat#M.1551145232.A.F33#00018", "takaoila", "就這麼點水準嗎？我看當年斷水流大師兄開會時你也在場吧？", "02/26 09:45", "1"
"C_Chat#M.1551145232.A.F33#00019", "PTTRush", "從哪裏冒出來的 滾", "02/26 09:45", "0"
"C_Chat#M.1551145232.A.F33#00020", "akbba", "版龜做事啊", "02/26 09:45", "0"
"C_Chat#M.1551145232.A.F33#00021", "aram9527", "滾", "02/26 09:45", "0"
"C_Chat#M.1551145232.A.F33#00022", "moeispop", "滾啦嘔嘔嘔嘔嘔", "02/26 09:45", "0"
"C_Chat#M.1551145232.A.F33#00023", "walhalla", "直接永封吧~", "02/26 09:46", "0"
"C_Chat#M.1551145232.A.F33#00024", "gundamguy", "綠營就是會用這種題材刺激對岸來衝選票可惜沒用了", "02/26 09:46", "0"
"C_Chat#M.1551145232.A.F33#00025", "abc5555590", "開本尊好嗎", "02/26 09:46", "0"
"C_Chat#M.1551145232.A.F33#00026", "law2301", "888888888", "02/26 09:46", "0"
"C_Chat#M.1551145232.A.F33#00027", "BBguy", "兩篇文字都一樣是有多懶", "02/26 09:47", "0"
"C_Chat#M.1551145232.A.F33#00028", "paul31788", "板主快桶好嗎 不要搞臭西恰", "02/26 09:47", "0"
"C_Chat#M.1551145232.A.F33#00029", "Xpwa563704ju", "哈哈哈真好笑", "02/26 09:47", "0"
"C_Chat#M.1551145232.A.F33#00030", "gundamguy", "像返校這垃圾遊戲就是用恐怖遊戲偽裝，實際上這間遊戲公司就是綠營用來鬥藍營的一個工具", "02/26 09:48", "0"
"C_Chat#M.1551145232.A.F33#00031", "orze04", "https//www.ianalyseur.org/wordcloud/gundamguy/", "02/26 09:48", "0"
"C_Chat#M.1551145232.A.F33#00032", "windersword", "原來是9.2五毛", "02/26 09:48", "0"
"C_Chat#M.1551145232.A.F33#00033", "nightops", "這到底跟綠營有什麼關聯？", "02/26 09:49", "0"
"C_Chat#M.1551145232.A.F33#00034", "RoaringWolf", "再會了，現在PTT不能申請，會越來越貴", "02/26 09:49", "0"
"C_Chat#M.1551145232.A.F33#00035", "koty6069", "888888888888", "02/26 09:51", "0"
"C_Chat#M.1551145232.A.F33#00036", "Hyouri", "下去前打多一點話啊 加油喔", "02/26 09:51", "0"
"C_Chat#M.1551145232.A.F33#00037", "gundamguy", "釣出一群綠吱吱", "02/26 09:51", "0"
"C_Chat#M.1551145232.A.F33#00038", "tim0619123", "何必自殺 帳號越來越珍貴了喔", "02/26 09:51", "0"
"C_Chat#M.1551145232.A.F33#00039", "a1598742002", "哈哈 哈哈", "02/26 09:52", "0"
"C_Chat#M.1551145232.A.F33#00040", "cornsoup", "你應該去八卦版發==", "02/26 09:52", "0"
"C_Chat#M.1551145232.A.F33#00041", "sundazlas", "鬥藍營XD", "02/26 09:52", "0"
"C_Chat#M.1551145232.A.F33#00042", "j123456669", "用詞這麼激烈衝動  我都搞不懂是不是反反串了", "02/26 09:53", "0"
"C_Chat#M.1551145232.A.F33#00043", "Ericz7000", "五毛滾", "02/26 09:53", "0"
"C_Chat#M.1551145232.A.F33#00044", "cn93016", "8888", "02/26 09:53", "0"
"C_Chat#M.1551145232.A.F33#00045", "ciafbi007", "才養這麼大的分身就這樣被捨棄了，也太急了", "02/26 09:53", "0"
"C_Chat#M.1551145232.A.F33#00046", "Xpwa563704ju", "拜託有事情的話去看看心理醫生，不要在網路上發這種廢文來抒發情感", "02/26 09:55", "1"
"C_Chat#M.1551145232.A.F33#00047", "asuna147", "退文了啦", "02/26 09:55", "0"
"C_Chat#M.1551145232.A.F33#00048", "sashimi8535", "當八卦二版還是個版？下去", "02/26 09:55", "0"
"C_Chat#M.1551145232.A.F33#00049", "Blazeleo819", "有病就要看醫生，加油好嗎？", "02/26 09:56", "0"
"C_Chat#M.1551145232.A.F33#00050", "k1400", "別這樣說  ，民視有Ada姊，誰知道有沒有人真的看民視打手槍", "02/26 09:56", "0"
"C_Chat#M.1551145232.A.F33#00051", "s87879961", "88888888", "02/26 09:57", "0"
"C_Chat#M.1551145232.A.F33#00052", "Teng0615", "好了啦", "02/26 09:57", "0"
"C_Chat#M.1551145232.A.F33#00053", "hmcedamon", "？Ada姐真的讚", "02/26 09:57", "0"
"C_Chat#M.1551145232.A.F33#00054", "KiwiSoda01", "要不就反串 要不就政治腦", "02/26 09:57", "0"
"C_Chat#M.1551145232.A.F33#00055", "k10055960", "？？ 崩潰三小", "02/26 09:59", "0"
"C_Chat#M.1551145232.A.F33#00056", "jim924211", "看民視ada尻槍就是爽辣幹", "02/26 09:59", "0"
"C_Chat#M.1551145232.A.F33#00057", "scropio1190", "==兄day要洗文章也他媽有點創意好不", "02/26 09:59", "0"
"C_Chat#M.1551145232.A.F33#00058", "sustainer123", "開分身呵呵", "02/26 09:59", "0"
"C_Chat#M.1551145232.A.F33#00059", "VUVCOM", "你跟激進中國人一個樣", "02/26 10:01", "0"
"C_Chat#M.1551145232.A.F33#00060", "hjk56789", "政黑在左邊啦  記得把韓粉帶回去", "02/26 10:01", "0"
"C_Chat#M.1551145232.A.F33#00061", "trohlens", "什麼水準發什麼文章 跟你同陣營真衰", "02/26 10:01", "0"
"C_Chat#M.1551145232.A.F33#00062", "moonfire", "罵人帶髒字，弱", "02/26 10:01", "0"
"C_Chat#M.1551145232.A.F33#00063", "nakagawa", "c洽版主是死光了嗎", "02/26 10:01", "0"
"C_Chat#M.1551145232.A.F33#00064", "qaayy444", "意圖真明顯啊", "02/26 10:02", "0"
"C_Chat#M.1551145232.A.F33#00065", "s87879961", "加油   好嗎", "02/26 10:02", "0"
"C_Chat#M.1551145232.A.F33#00066", "AceCash", "慢走", "02/26 10:03", "0"
"C_Chat#M.1551145232.A.F33#00067", "martintp6", "下面趁亂跟著罵的有種也發一篇？", "02/26 10:03", "0"
"C_Chat#M.1551145232.A.F33#00068", "hjbe5932", "罵人只敢開分身，有沒有那麼孬", "02/26 10:04", "0"
"C_Chat#M.1551145232.A.F33#00069", "v2v2123", "滾啦", "02/26 10:05", "0"
"C_Chat#M.1551145232.A.F33#00070", "qwaszx401", "888", "02/26 10:05", "0"
"C_Chat#M.1551145232.A.F33#00071", "leoleoaakk", "幹C洽怎麼也開始被一堆政治腦入侵了，滾啦==", "02/26 10:08", "0"
"C_Chat#M.1551145232.A.F33#00072", "pkisgoodpoiu", "笑死，公司知道你這樣浪費帳號會扣你錢嗎", "02/26 10:09", "0"
"C_Chat#M.1551145232.A.F33#00073", "iris486", "五毛一堆", "02/26 10:10", "0"
"C_Chat#M.1551145232.A.F33#00074", "patrickhao", "88888888888888", "02/26 10:10", "0"
"C_Chat#M.1551145232.A.F33#00075", "Smallwuu", "88", "02/26 10:13", "0"
"C_Chat#M.1551145232.A.F33#00076", "a43164910", "還以為我在八", "02/26 10:16", "0"
"C_Chat#M.1551145232.A.F33#00077", "kurumi999", "貝西啊貝西", "02/26 10:16", "0"
"C_Chat#M.1551145232.A.F33#00078", "greatloser", "又是你 滾出西洽好嗎", "02/26 10:18", "0"
"C_Chat#M.1551145232.A.F33#00079", "baozi", "最會裝中立的就是滯台舔共支那畜牲好嗎", "02/26 10:19", "0"
"C_Chat#M.1551145232.A.F33#00080", "fored", "拜託 滾", "02/26 10:20", "0"
"C_Chat#M.1551145232.A.F33#00081", "wryyyyyyyy", "可撥", "02/26 10:21", "0"
"C_Chat#M.1551145232.A.F33#00082", "HenryFCC", "五毛滾", "02/26 10:24", "0"
"C_Chat#M.1551145232.A.F33#00083", "spooky221", "來亂的是吧。", "02/26 10:43", "0"
"C_Chat#M.1551145232.A.F33#00084", "sharkshana", "進桶不送 你一個人慢慢統去", "02/26 10:46", "0"
"C_Chat#M.1551145232.A.F33#00085", "nakomone", "？工三小政治腦", "02/26 10:46", "0"
"C_Chat#M.1551145232.A.F33#00086", "PunkGrass", "來錯版了吧", "02/26 10:46", "0"
"C_Chat#M.1551145232.A.F33#00087", "umdfk", "覺得比較像反串...", "02/26 10:49", "0"
"C_Chat#M.1551145232.A.F33#00088", "dustmoon", "這沒資格當貝西啦 94一個鬧版仔", "02/26 10:56", "0"
"C_Chat#M.1551145232.A.F33#00089", "sawaman", "鬧版該永桶惹8", "02/26 11:02", "0"
"C_Chat#M.1551145232.A.F33#00090", "zx0919174856", "你幹嘛講出來 有人會崩潰XDDD", "02/26 11:03", "0"
"C_Chat#M.1551145232.A.F33#00091", "nanako81240", "水準真好", "02/26 11:07", "0"
"C_Chat#M.1551145232.A.F33#00092", "umdfk", "88 去辦新帳號吧", "02/26 11:09", "0"
"C_Chat#M.1551145232.A.F33#00093", "orangepekoe", "蠢蛋 慢走不送", "02/26 11:13", "0"
"C_Chat#M.1551145232.A.F33#00094", "ru04j4", "888888888", "02/26 11:20", "0"
"C_Chat#M.1551145232.A.F33#00095", "kazamitaketo", "版主真噁心，噁噁噁噁噁噁噁噁噁噁！", "02/26 11:23", "0"
"C_Chat#M.1551145232.A.F33#00096", "cjy1201", "88888", "02/26 11:23", "0"
"C_Chat#M.1551145232.A.F33#00097", "hanasshi1414", "這樣就綠？", "02/26 11:24", "0"
"C_Chat#M.1551145232.A.F33#00098", "Kuromi0929", "8888", "02/26 11:35", "0"
"C_Chat#M.1551145232.A.F33#00099", "srw234", "求仁得仁", "02/26 11:35", "0"
"C_Chat#M.1551145232.A.F33#00100", "DaYehNO1", "88 88 有沒有再來一份水桶", "02/26 11:43", "0"
"C_Chat#M.1551145232.A.F33#00101", "metalman0816", "可悲仔又出來討虛了，現實是不是沒朋友啊，可悲的9.2藍蛆。", "02/26 11:52", "1"
"C_Chat#M.1551145232.A.F33#00102", "s50189", "為什麼隔一個晚上還沒掰= =", "02/26 11:52", "0"
