"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1551352510.A.FBF#00000", "alinwang", "https://www.businessweekly.com.tw/article.aspx?id=37982&type=Indep<br><br>《還願》下架了！從1顆彩蛋惹政治爭議看：負面行銷如何操作才不會玩火自焚？<br><br>商業週刊<br><br>撰文者張庭瑜<br><br>國產電玩遊戲《還願》，近日引發兩岸政治爭議，在話題延燒數天後，該遊戲開發商赤燭<br>，2月26日在臉書粉絲專頁PO文，稱因《還願》遊戲本體在部分電腦出現無法開啟與遊玩<br>時偶有閃退現象，決定先行下架，重新進行軟體品質檢測。<br><br>赤燭呼籲各界利用這段時間從素材誤植風波中冷靜下來，團隊也會避免類似事情再度發生<br>，「希望《還願》重新上架STEAM時，我們能夠更加專注遊戲本身的內涵。」<br><br><br>「你還願了嗎？」這幾天最火熱的話題，這個資本額只有1百萬的新創團隊，一再讓大家<br>看到負面行銷的威力。<br><br>這款以家庭關係和宗教迷信為題材的國產恐怖遊戲，由台灣獨立遊戲開發團隊赤燭所製作<br>。上架不到1週，《還願》就登上全球PC遊戲數位發行平台Steam的即時銷售排行榜冠軍，<br>延續前作《返校》的好成績。<br><br>但上架才3天，就有網友發現，遊戲中某張符咒寫著「小熊維尼習近平」，周圍還寫著「<br>呢嘛叭唭」，被認為是「你媽87」的諧音。<br><br>一夕間，原本被中國網友譽為「國產神作」的《還願》，被貼上「台獨遊戲」標籤，讓《<br>還願》中國代理商Indievent宣布和赤燭終止合作。負責中國以外代理、同時也是赤燭背<br>後金主的唯晶科技也急切割，表示將和赤燭終止合作，並將要求賠償經濟損失。<br><br>從遊戲圈到非遊戲族群，從兩岸到國際，《還願》靠一個彩蛋就惹毛13億人的故事，已經<br>傳遍社群，無疑已成為這一年來最廣為人知的遊戲。<br><br>妙的是，它越爭議，遊戲越熱賣。<br><br>越爭議，熱度越高<br><br>從Google Trend搜尋熱度來看，《返校》在遊戲上架當週來到最高，之後熱度便逐日下滑<br>，上架1週後，搜尋熱度只剩頂點的3成。相較下，《還願》的搜尋熱度除了在上架當天達<br>到一波高峰，爆出爭議事件後，上架6天後的搜尋熱度反倒超越上架當天。<br><br>連行政院副院長陳其邁，都預告要化身實況主，直播玩《還願》。在海外，歐美遊戲媒體<br>Eurogamer和PCGamer也接連報導此爭議事件。<br><br>根據第三方監測網站STEAM SPY統計，《返校》上市1年賣出約21萬套。一名遊戲業者透露<br>，一款單機版遊戲下載量能破10萬，就算是表現不錯。而《還願》才上架1週，銷量區間<br>更已破百萬。不過根據赤燭最新聲明，目前網路嚴重高估銷量。<br><br>如今，彩蛋爭議事件又讓《還願》的討論度再創高峰。有傳言指出，這爭議並非意外，而<br>是赤燭團隊原本的計畫，替下一款以政治為主題的遊戲埋梗，但目前該說法已獲團隊否認<br>。<br><br>這次還願操作彩蛋，有人認為是無傷大雅的惡作劇，有人認為，「玩個遊戲也帶政治，不<br>累嗎？」。<br><br>但讓商品有點小爭議，用最低的成本，引發全部人討論，是否也是網路時代中，可參考行<br>銷術？<br><br><br>爭議行銷如何操作才不會玩過頭？<br><br><br>《哈佛商業評論》一篇「熱門不等於熱賣」一文，引述研究指出，稍具爭議的文章，比起<br>完全中性的文章，會獲得更多評論。但若以1分（完全中性）到7分（非常爭議）做區分，<br>超過4.6分後的內容，效益會遞減，討論會降低。因此企業要做爭議行銷，也該要尋找「<br>恰到好處的甜蜜點」（sweet spot）：形象或議題能產生足夠熱潮，以引發興趣，但又不<br>至於會引起疑慮不安，否則最後只會把重點轉移，從產品本身轉成別的議題。<br><br>這種爭議行銷，有很多微妙操作。舉例來說，行銷人員如果想炒熱網路上的討論，就設定<br>中度爭議性，若大家希望促進家庭成員和朋友之間的分享討論，或許就可以把爭議性再提<br>升，但要小心，別玩過頭，「一旦超過界線，情況會非常不利」。<br><br>確實，現在眾多網友關注的，不是還願遊戲場景和故事安排有多精細，己經變成遊戲中一<br>小塊元素所引爆的政治議題。<br><br>「我們真心希望，大家也能冷靜的把焦點回歸到我們的遊戲所傳達的核心，」赤燭團隊在<br>最新聲明中說。<br><br>爭議，讓《還願》再創討論熱潮，但踩到中國政治底線遭封殺，超過合理的「爭議甜蜜點<br>」也許也是團隊始料未及的。<br><br>責任編輯：黃楸晴<br>核稿編輯：洪婉恬<br><br>--<br>", "", ""
"C_Chat#M.1551352510.A.FBF#00001", "jinkela1", "這怎麼理解都無法理解成 行銷 吧", "02/28 19:16", "0"
"C_Chat#M.1551352510.A.FBF#00002", "Emerson158", "這評論直接理解這次事件是赤燭做負面行銷喔==?", "02/28 19:17", "0"
"C_Chat#M.1551352510.A.FBF#00003", "hinajian", "不可否認有的人就是打算這樣去理解，反正人只會去相信自己想相信的，唉", "02/28 19:17", "0"
"C_Chat#M.1551352510.A.FBF#00004", "jackwula9211", "原本根本沒有要拿來做賣點好嗎，又在亂寫了", "02/28 19:17", "0"
"C_Chat#M.1551352510.A.FBF#00005", "lingsk", "內容做得太爛 你打這種政治行銷意義也沒有", "02/28 19:18", "0"
"C_Chat#M.1551352510.A.FBF#00006", "eyb602", "光看板上一堆人都說赤燭是故意的就知道了", "02/28 19:19", "0"
"C_Chat#M.1551352510.A.FBF#00007", "deepseas", "本來把那個說成是彩蛋就有刻意為之的隱喻了...", "02/28 19:20", "0"
"C_Chat#M.1551352510.A.FBF#00008", "widec", "明明是靠一張符咒嚇毛13億喪屍的故事", "02/28 19:20", "0"
"C_Chat#M.1551352510.A.FBF#00009", "godviktor", "有說什麼時候上架嗎", "02/28 19:20", "0"
