"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1551936930.A.B16#00000", "GreenBeret", "輝夜的乳量，其實不足以用乳量2個字，只是胸部而已。<br><br>白銀說過要生9個，這樣小孩真的喝奶喝得飽嗎?? 除了小孩之外，白銀也要喝啊!!!<br><br><br>假設奶水不夠，可能要也讓早坂懷孕，叫女僕早坂餵輝夜的小孩喝奶。<br><br>如果再不夠，只能靠藤原千花幫忙餵奶了。<br><br>--<br>", "", ""
"C_Chat#M.1551936930.A.B16#00001", "Katsuyuki118", "你知道奶粉嗎？", "03/07 13:35", "0"
"C_Chat#M.1551936930.A.B16#00002", "Koyomiiii", "懷孕會有喇", "03/07 13:36", "0"
"C_Chat#M.1551936930.A.B16#00003", "minoru04", "藤原三姊妹都能養大了 平沒差", "03/07 13:36", "0"
"C_Chat#M.1551936930.A.B16#00004", "kinomon", "綠扁帽==", "03/07 13:36", "0"
"C_Chat#M.1551936930.A.B16#00005", "nahsnib", "有些人啊，腦子裏面就裝一些不正經的東西", "03/07 13:36", "0"
"C_Chat#M.1551936930.A.B16#00006", "AlianF", "我把早坂幹到懷孕就吸的飽惹", "03/07 13:38", "0"
"C_Chat#M.1551936930.A.B16#00007", "erogod", "還來啊", "03/07 13:38", "0"
"C_Chat#M.1551936930.A.B16#00008", "nebbiabards", "狗奶千花", "03/07 13:38", "0"
"C_Chat#M.1551936930.A.B16#00009", "g27834618", "= =", "03/07 13:39", "0"
"C_Chat#M.1551936930.A.B16#00010", "corlos", "吸早坂啊", "03/07 13:39", "0"
"C_Chat#M.1551936930.A.B16#00011", "LeoYuri", "生小孩後女性會脹奶，分泌乳汁。你健康教育課都在打手槍是不是？", "03/07 13:39", "1"
"C_Chat#M.1551936930.A.B16#00012", "finzaghi", "綠扁帽這id不知道被誰註冊走 整個變廢文大師", "03/07 13:39", "0"
"C_Chat#M.1551936930.A.B16#00013", "dube116", "2019還有人覺得胸部大小跟母乳量有關", "03/07 13:40", "0"
"C_Chat#M.1551936930.A.B16#00014", "hayate232", "胸部大小只是脂肪多寡，跟乳量無關 而且懷孕會脹奶，現在國中都沒上健康教育了?", "03/07 13:41", "0"
"C_Chat#M.1551936930.A.B16#00015", "Giornno", "畢竟乳腺從外表又看不出來，小朋友不知道也是很正常的", "03/07 13:41", "0"
"C_Chat#M.1551936930.A.B16#00016", "chigi", "科普一下 乳量分泌跟乳房大小沒有關係", "03/07 13:42", "0"
"C_Chat#M.1551936930.A.B16#00017", "a43164910", "2019了還有人相信母奶健康論", "03/07 13:42", "0"
"C_Chat#M.1551936930.A.B16#00018", "lian4302", "乳房大小和乳腺無關好嗎= =", "03/07 13:42", "0"
"C_Chat#M.1551936930.A.B16#00019", "rich22084", "又一個上課不認真的可撥處男", "03/07 13:42", "0"
"C_Chat#M.1551936930.A.B16#00020", "areysky", "沒上課？", "03/07 13:42", "0"
"C_Chat#M.1551936930.A.B16#00021", "hayate232", "比較麻煩的是擠初乳，奶粉要慎選就是，不然會吃太胖", "03/07 13:43", "0"
"C_Chat#M.1551936930.A.B16#00022", "NekoAnd", "可撥處男~可撥處男~可撥處男~可撥處男~可撥處男~可撥處男", "03/07 13:43", "1"
"C_Chat#M.1551936930.A.B16#00023", "rp20031219", "可憐", "03/07 13:44", "0"
"C_Chat#M.1551936930.A.B16#00024", "v789678901", "傻傻的健康課沒上好，胸部大小和乳腺發不發達沒關係", "03/07 13:44", "0"
"C_Chat#M.1551936930.A.B16#00025", "siro0207", "靠 所以我之前看的母奶最棒的文章都是假的喔...還寫了一堆母奶含有XX物質對幼兒很重要", "03/07 13:44", "1"
"C_Chat#M.1551936930.A.B16#00026", "balius", "大概只有國中生跟童貞肥宅才覺得胸部大小跟泌乳量有關…", "03/07 13:44", "0"
"C_Chat#M.1551936930.A.B16#00027", "corlos", "現在倒是很多台女願意餵，呵，我自己都喝牛奶長大的，現代人身上一堆毒是能多健康啊........", "03/07 13:45", "0"
"C_Chat#M.1551936930.A.B16#00028", "TWsomebody", "輝夜黑", "03/07 13:45", "0"
"C_Chat#M.1551936930.A.B16#00029", "hayate232", "母乳 確實不會造成 小孩肥胖，現在粉奶配方可以調整，到跟母乳一樣的成分還有就是 喝母乳 會比較黏媽媽，喝奶粉泡的很像自閉小孩", "03/07 13:46", "0"
"C_Chat#M.1551936930.A.B16#00030", "siro0207", "版上有沒有醫科的可以說明一下母奶?我的知識需要修正", "03/07 13:47", "0"
"C_Chat#M.1551936930.A.B16#00031", "Giornno", "奶粉也不見得比母乳健康好嗎，不用秀，大家都上過健康教育母乳的乳糖比牛奶的更易消化，畢竟是人體上的東西，但有些人體質不會，乳水不夠才需要找替代品*體質不好", "03/07 13:47", "1"
"C_Chat#M.1551936930.A.B16#00032", "SuperSg", "健康教育課打Ｏ槍害我一直笑，先不管正確知識為何，真的乳水不夠只能請女僕幫忙了(O)", "03/07 13:48", "0"
"C_Chat#M.1551936930.A.B16#00033", "a43164910", "喝奶粉自閉的說法都出來了 66666", "03/07 13:49", "0"
