"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1552001000.A.3EB#00000", "yamiyamiimu", "在出版大國日本，每年有成千上萬的創作者。<br><br>每天不斷的進行創作、並且投稿到出版社，以尋求出版的機會。<br><br><br>像是漫畫、插畫類的投稿比賽，可以直接將作品丟到電子信箱。<br><br>不過，如果是文字類的創作，<br>像是推理小說、輕小說、或是<br>一般文字類的書籍投稿。<br><br><br>礙於「語言隔閡」的關係，<br>一般都要先翻譯成對方的語言，才能投稿至國外的出版社。<br><br><br>那麼，比較令我好奇的是:<br>「日本目前有開放『跨語言投稿』的出版社」嗎?<br><br>還是他們的文字類投稿，都「僅限日文」?<br><br>--<br>", "", ""
"C_Chat#M.1552001000.A.3EB#00001", "Syoshinsya", "拜託，這可是日本耶？", "03/08 07:25", "0"
"C_Chat#M.1552001000.A.3EB#00002", "alex0929", "誰買？", "03/08 07:27", "0"
"C_Chat#M.1552001000.A.3EB#00003", "Yijhen0525", "光是在台灣你看過那一間出版社願意出全日文小說的，就算有那也只是極少量，商業考量能見度也不會多高", "03/08 07:29", "0"
"C_Chat#M.1552001000.A.3EB#00004", "Syoshinsya", "日本可是個極度保守 (鎖國) 的國家，代理跟審稿又不一樣…", "03/08 07:31", "0"
"C_Chat#M.1552001000.A.3EB#00005", "cutearia", "那你幹嘛不投本國再代理去日本就好?", "03/08 07:34", "0"
"C_Chat#M.1552001000.A.3EB#00006", "chung2007", "你講的那兩個都是日文寫稿的好嗎。", "03/08 07:37", "0"
"C_Chat#M.1552001000.A.3EB#00007", "tomer", "沒說不行啊 你可以投看看 哈哈…", "03/08 07:37", "0"
"C_Chat#M.1552001000.A.3EB#00008", "Yijhen0525", "你想問投稿還是代理？投稿的話沒有一間收非本國語言，的原文書代理一定有", "03/08 07:37", "0"
"C_Chat#M.1552001000.A.3EB#00009", "Syoshinsya", "那也是在歐美先出版再翻譯代到日本…", "03/08 07:39", "0"
"C_Chat#M.1552001000.A.3EB#00010", "th11yh23", "不用別的語言就是保守鎖國喔 什麼邏輯", "03/08 07:39", "0"
