"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1552018214.A.0BD#00000", "yamiyamiimu", "※ 引述《assassinASHE (拳打腳踢討拍懦夫)》之銘言：<br>: ※ 引述《yamiyamiimu (聖潔天使)》之銘言：<br>: : 在出版大國日本，每年有成千上萬的創作者。<br>: : 每天不斷的進行創作、並且投稿到出版社，以尋求出版的機會。<br>: : 像是漫畫、插畫類的投稿比賽，可以直接將作品丟到電子信箱。<br>: : 不過，如果是文字類的創作，<br>: : 像是推理小說、輕小說、或是<br>: : 一般文字類的書籍投稿。<br>: : 礙於「語言隔閡」的關係，<br>: : 一般都要先翻譯成對方的語言，才能投稿至國外的出版社。<br>: : 那麼，比較令我好奇的是:<br>: : 「日本目前有開放『跨語言投稿』的出版社」嗎?<br>: : 還是他們的文字類投稿，都「僅限日文」?<br>: 不懂像你那麼特立獨行的人<br>: 出版社什麼的 只追求利潤跟人氣<br>: 你怎麼看得上眼??<br>: 我要是你 我就天天動手寫 然後膠水黏成一本 在路邊賣<br>: 因為投給出版社 腦洞大開 人家不賞臉 不幫出<br>: 想自己出 又沒錢列印出來 只好用手寫<br>: 看看有沒有哪天在路上遇到伯樂什麼的 就幫你出了<br>: 不然你也是試試看什麼自製電子書<br>: 不過銷售量可能會很殘酷<br>: 連一次推爆都沒有過<br><br>因為日本有眾多的「宅女繪師」阿XD<br><br><br>為甚麼不想先在台灣出版?<br><br>這邊就連「肉」都沒有，<br>只剩「骨頭」是要做甚麼?<br><br><br>說實話，從「手刀葉、Riv、迷子燒、水佾、兔姬…」，<br>依序排列下去。<br><br>嘛，也大概是就畫畫「輕小說插圖」，那個等級吧。<br><br><br>至於那些等級更高的繪師，大多都是「日本18X遊戲公司」的繪師。<br><br>那個才是「我所追求的肉」阿！！！<br><br><br>於是乎，有沒有在台灣出版這件事情，好像不是那麼重要了。<br><br>誰叫「那些高手，大多在日本」呢?<br><br><br>這也沒辦法，畢竟人家的人口是我們的五倍，創作市場也比較成熟。<br><br>台灣的ACG產業，目前還在「萌芽期」，當然是不能比。<br><br><br>既然如此，去日本投稿「又有何不可」？<br><br>說不定哪天，還可以見到那些「搶手繪師們」呢！<br><br>這麼好的機會，又豈能錯過呢？<br><br>--<br>", "", ""
"C_Chat#M.1552018214.A.0BD#00001", "YoruHentai", "......", "03/08 12:10", "0"
"C_Chat#M.1552018214.A.0BD#00002", "Fm4n", "...板主要處理了嗎?", "03/08 12:11", "0"
"C_Chat#M.1552018214.A.0BD#00003", "justice00s", "很專業", "03/08 12:11", "0"
"C_Chat#M.1552018214.A.0BD#00004", "franktpmvu", "不會走路就想飛，連家門都走不出去", "03/08 12:12", "0"
"C_Chat#M.1552018214.A.0BD#00005", "iovoecu", "版主ㄋ==", "03/08 12:12", "0"
"C_Chat#M.1552018214.A.0BD#00006", "mod980", "我覺得我家前面的流浪貓喵兩聲都比你講的屁話有價值", "03/08 12:12", "0"
"C_Chat#M.1552018214.A.0BD#00007", "ntupeter", "你確定畫gal game的畫師等級比輕小畫師高?", "03/08 12:12", "0"
"C_Chat#M.1552018214.A.0BD#00008", "ntupeter", "要不要看看大手畫師畫輕小的多還是畫gal game的多?我就是在說日本阿幹", "03/08 12:14", "0"
"C_Chat#M.1552018214.A.0BD#00009", "BRANFORD", "不是可以心電感應？", "03/08 12:14", "0"
