"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1552497833.A.AA8#00000", "USD5566", "最近看到大家在討論左眼的夏娜這部輕小說<br><br>好像蠻經典的，也蠻多刺激的戰鬥描寫<br><br>其中google到一個用詞是她們也會開『寶具』的樣子<br><br>我記得FGO系列的歷史也蠻悠久的，也是把『寶具』這個詞發揚光大的創作<br><br>所以夏娜作者是看這詞好用就跟著用嗎？還是有其他創作淵源？<br><br>有沒有知情的板友能考古分享一下？感謝！<br><br>--<br>", "", ""
"C_Chat#M.1552497833.A.AA8#00001", "plzza0cats", "對", "03/14 01:24", "0"
"C_Chat#M.1552497833.A.AA8#00002", "angryfatball", "==", "03/14 01:24", "0"
"C_Chat#M.1552497833.A.AA8#00003", "S404NotFound", "FGO系列都說得出口= =", "03/14 01:24", "0"
"C_Chat#M.1552497833.A.AA8#00004", "affogatC", "==", "03/14 01:25", "0"
"C_Chat#M.1552497833.A.AA8#00005", "mahimahi", "我是不知道日文有沒有寶具這個詞啦 但那個時候覺得沒有FGO先去查一下FGO的F是什麼再來應該沒有很難？", "03/14 01:25", "1"
"C_Chat#M.1552497833.A.AA8#00006", "sakubo", "尼說4就4", "03/14 01:25", "0"
"C_Chat#M.1552497833.A.AA8#00007", "papertim", "魔戒是抄襲天堂的ㄏㄏㄏ", "03/14 01:25", "0"
"C_Chat#M.1552497833.A.AA8#00008", "BlackTea1023", "少來反串", "03/14 01:26", "0"
"C_Chat#M.1552497833.A.AA8#00009", "leoleoaakk", "下去", "03/14 01:26", "0"
"C_Chat#M.1552497833.A.AA8#00010", "zsefv333", "= =", "03/14 01:26", "0"
"C_Chat#M.1552497833.A.AA8#00011", "weiyilan", "對，綾波抄長門", "03/14 01:27", "0"
"C_Chat#M.1552497833.A.AA8#00012", "hedgehogs", "魔戒也抄天堂啊，都馬抄來抄去，一點原創都沒有", "03/14 01:27", "0"
"C_Chat#M.1552497833.A.AA8#00013", "jim924211", "金城武的臉也是抄我的", "03/14 01:27", "0"
"C_Chat#M.1552497833.A.AA8#00014", "erogod", "ㄏㄏ", "03/14 01:27", "0"
"C_Chat#M.1552497833.A.AA8#00015", "LeiaRolando", "這台是海牛鋼彈 抄攻擊正義鋼彈的", "03/14 01:28", "0"
"C_Chat#M.1552497833.A.AA8#00016", "StephenChou", "貝西 你要有所成長", "03/14 01:29", "0"
"C_Chat#M.1552497833.A.AA8#00017", "KiSeigi", "夏娜小說2002年 FATE遊戲2004年?", "03/14 01:34", "0"
"C_Chat#M.1552497833.A.AA8#00018", "Mydadisgay", "欸", "03/14 01:35", "0"
"C_Chat#M.1552497833.A.AA8#00019", "crazypitch", "告訴你一個洨秘密 其實都是抄封神的 本來是寶貝 結果日本本漢字學不好 寫去寶具惹驚不驚喜、意不意外?", "03/14 01:38", "1"
"C_Chat#M.1552497833.A.AA8#00020", "haoboo", "精靈寶鑽比魔戒還晩出很多...", "03/14 01:39", "0"
"C_Chat#M.1552497833.A.AA8#00021", "Syoshinsya", "滾", "03/14 01:40", "0"
"C_Chat#M.1552497833.A.AA8#00022", "Sischill", "封神抄FGO", "03/14 01:40", "0"
"C_Chat#M.1552497833.A.AA8#00023", "yuizero", "精靈寶鑽(1997)比魔戒(1937)還早出??", "03/14 01:43", "0"
"C_Chat#M.1552497833.A.AA8#00024", "dephille", "連google都不會少在這邊發廢文", "03/14 01:44", "0"
"C_Chat#M.1552497833.A.AA8#00025", "yuting90", "..", "03/14 01:48", "0"
"C_Chat#M.1552497833.A.AA8#00026", "TKvanish", "444", "03/14 01:48", "0"
"C_Chat#M.1552497833.A.AA8#00027", "melvin8052", "綾波抄長門", "03/14 01:50", "0"
"C_Chat#M.1552497833.A.AA8#00028", "sharkshana", "貝西 你要有所成長", "03/14 01:55", "0"
"C_Chat#M.1552497833.A.AA8#00029", "andy82116", "5566", "03/14 01:57", "0"
"C_Chat#M.1552497833.A.AA8#00030", "gaduoray", "夏娜的顏色", "03/14 01:58", "0"
"C_Chat#M.1552497833.A.AA8#00031", "Giornno", "對, FGO超偉大, 只怕沒有東西不是抄FGO的, 它是萬物起源", "03/14 02:01", "1"
"C_Chat#M.1552497833.A.AA8#00032", "zhenyuan", "恭喜你是第2,147,483,647個發現這件事的人", "03/14 02:10", "0"
"C_Chat#M.1552497833.A.AA8#00033", "mer5566", "西洽每隔一段時間就會出現新的釣魚仔", "03/14 02:13", "0"
"C_Chat#M.1552497833.A.AA8#00034", "truegod000", "浜風是抄瑪修的", "03/14 02:14", "0"
"C_Chat#M.1552497833.A.AA8#00035", "chaoni2472", "原來是沒有網路可以用的朋友呢", "03/14 02:16", "0"
"C_Chat#M.1552497833.A.AA8#00036", "lv256", "秦始皇就是抄Fgo的", "03/14 02:17", "0"
"C_Chat#M.1552497833.A.AA8#00037", "leawweikeng", "魔戒是抄天堂的", "03/14 02:19", "0"
"C_Chat#M.1552497833.A.AA8#00038", "mm0503885", "無聊釣魚文", "03/14 02:26", "0"
"C_Chat#M.1552497833.A.AA8#00039", "Rexia", "夏娜的聲音是抄襲伊織的", "03/14 02:26", "0"
"C_Chat#M.1552497833.A.AA8#00040", "suiminkusuri", "左三小", "03/14 02:26", "0"
"C_Chat#M.1552497833.A.AA8#00041", "amsmsk", "56水準給推", "03/14 02:28", "0"
"C_Chat#M.1552497833.A.AA8#00042", "jerry12251", "要發廢文也用心點好嗎", "03/14 02:31", "0"
"C_Chat#M.1552497833.A.AA8#00043", "LuMya", "隔個十年搞不好就有人當真了", "03/14 02:32", "0"
"C_Chat#M.1552497833.A.AA8#00044", "x6858168", "太明顯啦  爛餌", "03/14 02:33", "0"
"C_Chat#M.1552497833.A.AA8#00045", "mk1689", "你要學習成長啊", "03/14 02:34", "0"
"C_Chat#M.1552497833.A.AA8#00046", "aaron91114", "56不意外", "03/14 02:39", "0"
"C_Chat#M.1552497833.A.AA8#00047", "kuma5566", "好懷念 fate剛紅那陣子真的很多這種人", "03/14 02:44", "0"
"C_Chat#M.1552497833.A.AA8#00048", "gf833910", "這種事不要懷念好嗎", "03/14 02:46", "0"
"C_Chat#M.1552497833.A.AA8#00049", "hayate232", "第一次看到有人不怕死想黑夏娜，夏娜你還在媽媽十塊", "03/14 02:47", "0"
"C_Chat#M.1552497833.A.AA8#00050", "hayate232", "夏娜紅的時候你還在媽媽十塊", "03/14 02:49", "0"
"C_Chat#M.1552497833.A.AA8#00051", "leonho40412", "滾", "03/14 02:53", "0"
"C_Chat#M.1552497833.A.AA8#00052", "s92050509", "嘔嘔嘔", "03/14 02:57", "0"
"C_Chat#M.1552497833.A.AA8#00053", "w09351500", "來了來了，魔獸抄刀塔", "03/14 03:14", "0"
"C_Chat#M.1552497833.A.AA8#00054", "gfhnrtjpoiuy", "任天堂抄跑跑 炸彈超人抄爆爆王", "03/14 03:19", "0"
"C_Chat#M.1552497833.A.AA8#00055", "yellow3621", "廢物", "03/14 03:25", "0"
"C_Chat#M.1552497833.A.AA8#00056", "LineFriends", "\夏娜再戰20年/", "03/14 03:28", "0"
"C_Chat#M.1552497833.A.AA8#00057", "nightops", "滾", "03/14 03:32", "0"
"C_Chat#M.1552497833.A.AA8#00058", "tLoking", "左眼", "03/14 03:38", "0"
"C_Chat#M.1552497833.A.AA8#00059", "asiaking5566", "4", "03/14 04:17", "0"
"C_Chat#M.1552497833.A.AA8#00060", "GKKR", "夏娜我老婆", "03/14 04:25", "0"
"C_Chat#M.1552497833.A.AA8#00061", "dc871512", "FGO看世界？？？", "03/14 04:44", "0"
"C_Chat#M.1552497833.A.AA8#00062", "Freeven", "廢到笑", "03/14 04:51", "0"
"C_Chat#M.1552497833.A.AA8#00063", "lolic", "可以 這個很討噓", "03/14 06:42", "0"
"C_Chat#M.1552497833.A.AA8#00064", "chaoni2472", "樓上你沒有噓到，我幫你", "03/14 06:46", "0"
"C_Chat#M.1552497833.A.AA8#00065", "ryanmulee", "其實新條茜是抄瑪修的", "03/14 06:49", "0"
"C_Chat#M.1552497833.A.AA8#00066", "lolic", "好 回來補噓了", "03/14 06:55", "0"
"C_Chat#M.1552497833.A.AA8#00067", "ataky", "其實是抄怒羅江門的", "03/14 07:01", "0"
"C_Chat#M.1552497833.A.AA8#00068", "AdmiralAdudu", "夏娜也敢黑 誰給你的膽量", "03/14 07:04", "0"
"C_Chat#M.1552497833.A.AA8#00069", "niwa88", "菜逼八滾回巴哈", "03/14 07:39", "0"
"C_Chat#M.1552497833.A.AA8#00070", "kagakai3", "哇，好U默喔", "03/14 07:42", "0"
"C_Chat#M.1552497833.A.AA8#00071", "cross980115", "滾", "03/14 07:43", "0"
"C_Chat#M.1552497833.A.AA8#00072", "sos976431", "可以", "03/14 07:49", "0"
"C_Chat#M.1552497833.A.AA8#00073", "zxc88585", "貝西", "03/14 07:49", "0"
"C_Chat#M.1552497833.A.AA8#00074", "darkrainy", ".", "03/14 07:58", "0"
"C_Chat#M.1552497833.A.AA8#00075", "azazpoipoi", "可撥", "03/14 08:05", "0"
"C_Chat#M.1552497833.A.AA8#00076", "b7239921", "是抄哆啦A夢的 法寶+道具 啦", "03/14 08:06", "0"
