"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1553106935.A.8FA#00000", "balbalbanana", "一月底到二月都在看TARI TARI，寫TARI TARI的文章，沒有特別注意赤髮白雪姬的狀況<br><br>結果晚上無意間看到赤髮103話消息，讓我直接氣到從床上跳起來<br><br>一點睡意都沒有<br><br><br><br><br><br><br>簡單來說一句話就是： 光秀你在銃三毀！<br><br><br><br><br><br>追這部追了三~四年，幹！我一直都超喜歡光秀跟木木這對的<br><br>在我心目中裡面，這對一直都是我看了多部戀愛漫畫超喜歡的配角對<br><br>結果翻了100話你才告訴我他們不會在一起？<br><br>雖然西塞梅不差啦！但我真的氣到真的是想大喊 幹你光秀！<br><br><br><br><br>--------------------------------------------------------------<br><br>決定發錢讓大家開噓<br><br>目前本人P幣剩下不多(這三天一直都在發P幣，快用完了<br><br>這次原則上會是最後一波。<br><br>本文抽80噓送10P幣，在2019/03/21 23：59：59截止<br><br>然後抽2個噓送100P幣，當小獎<br><br><br>小獎中獎名單：37樓、74樓。<br><br>--------------------------------------------------------------<br><br>今晚沒意外是真的要睡不著了<br><br>--<br>", "", ""
"C_Chat#M.1553106935.A.8FA#00001", "a25853478", "幫噓", "03/21 02:35", "0"
"C_Chat#M.1553106935.A.8FA#00002", "owhfr69c", "好", "03/21 02:40", "0"
"C_Chat#M.1553106935.A.8FA#00003", "Tame394824", "幫", "03/21 02:40", "0"
"C_Chat#M.1553106935.A.8FA#00004", "Yamen", "推", "03/21 02:40", "0"
"C_Chat#M.1553106935.A.8FA#00005", "DevNull", "推", "03/21 02:40", "0"
"C_Chat#M.1553106935.A.8FA#00006", "ScriptKid", "推", "03/21 02:40", "0"
"C_Chat#M.1553106935.A.8FA#00007", "Laszlo", "推", "03/21 02:41", "0"
"C_Chat#M.1553106935.A.8FA#00008", "kickyourface", "光秀與木木感覺認知不同？我是蠻高興木木很乾脆的就放棄了", "03/21 02:41", "1"
"C_Chat#M.1553106935.A.8FA#00009", "HANSTW", "幫噓", "03/21 02:44", "0"
"C_Chat#M.1553106935.A.8FA#00010", "mk4188623", "噓起來", "03/21 02:44", "0"
"C_Chat#M.1553106935.A.8FA#00011", "Giornno", "你叫我噓我就噓啊？ 那不是很沒人格", "03/21 02:44", "0"
"C_Chat#M.1553106935.A.8FA#00012", "joe199277", "噓", "03/21 02:54", "0"
"C_Chat#M.1553106935.A.8FA#00013", "JJJJoe", "好", "03/21 03:33", "0"
"C_Chat#M.1553106935.A.8FA#00014", "kuria610478", "早點睡", "03/21 03:41", "0"
"C_Chat#M.1553106935.A.8FA#00015", "mi324", "好", "03/21 04:48", "0"
"C_Chat#M.1553106935.A.8FA#00016", "DivineSX", "幫QQ", "03/21 06:48", "0"
"C_Chat#M.1553106935.A.8FA#00017", "enders346", "幫噓", "03/21 07:16", "0"
"C_Chat#M.1553106935.A.8FA#00018", "Howard1420", "哇操，三小", "03/21 07:37", "0"
"C_Chat#M.1553106935.A.8FA#00019", "ak69628", "好", "03/21 08:29", "0"
"C_Chat#M.1553106935.A.8FA#00020", "XiaKo", "光秀你在銃三毀！", "03/21 08:56", "0"
"C_Chat#M.1553106935.A.8FA#00021", "fatyi", "噓", "03/21 09:21", "0"
"C_Chat#M.1553106935.A.8FA#00022", "suits890726", "G", "03/21 09:25", "0"
"C_Chat#M.1553106935.A.8FA#00023", "makinoyui", "六花聖光術", "03/21 09:32", "0"
"C_Chat#M.1553106935.A.8FA#00024", "TWsomebody", "噓", "03/21 09:39", "0"
"C_Chat#M.1553106935.A.8FA#00025", "MPSS", "噓", "03/21 10:08", "0"
"C_Chat#M.1553106935.A.8FA#00026", "overfourbb", "差一點XX", "03/21 12:30", "0"
"C_Chat#M.1553106935.A.8FA#00027", "zxczxczcz", "噓，噓", "03/21 12:43", "0"
"C_Chat#M.1553106935.A.8FA#00028", "aaron5555", "錢", "03/21 13:12", "0"
