"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1553577203.A.CD3#00000", "jennykam", "看到 赫夫帕夫ㄉ設定<br><br>我覺得 jk羅琳太欺負人ㄌ<br><br><br><br>赫夫帕夫根本就是...姆咪、四葉的代名詞...簡單說 94 砲灰...或砲灰預備軍<br><br>赫夫帕夫最強ㄉ人 也只是 高級砲灰<br><br>砲灰...也有層次的分別<br><br><br>知道自己被分類帽分到赫夫帕夫要怎麼半....?<br><br><br>--<br>", "", ""
"C_Chat#M.1553577203.A.CD3#00001", "linceass", "會 邊 哭 邊 刪", "03/26 13:13", "0"
"C_Chat#M.1553577203.A.CD3#00002", "chiayu5566", "他很會邊哭邊刪", "03/26 13:13", "0"
"C_Chat#M.1553577203.A.CD3#00003", "Charlie8522", "邊哭邊刪", "03/26 13:13", "0"
"C_Chat#M.1553577203.A.CD3#00004", "peterturtle", "專出公務員", "03/26 13:14", "0"
"C_Chat#M.1553577203.A.CD3#00005", "a125g", "笑死 邊哭邊刪", "03/26 13:14", "0"
"C_Chat#M.1553577203.A.CD3#00006", "Julian9x9x9", "講話…幹嘛…斷斷續續的…", "03/26 13:14", "0"
"C_Chat#M.1553577203.A.CD3#00007", "YoruHentai", "滾", "03/26 13:14", "0"
"C_Chat#M.1553577203.A.CD3#00008", "Tkuers", "可以了沒 還要幾篇 找不到事情幹是不是", "03/26 13:15", "0"
"C_Chat#M.1553577203.A.CD3#00009", "AdmiralAdudu", "因為他邊哭邊刪", "03/26 13:15", "0"
"C_Chat#M.1553577203.A.CD3#00010", "alinalovers", "你 打 字 不 能 好 好 打 ？ ？ ？", "03/26 13:15", "0"
"C_Chat#M.1553577203.A.CD3#00011", "polanco", "西追被佛地魔嚇到邊哭邊刪文", "03/26 13:16", "0"
"C_Chat#M.1553577203.A.CD3#00012", "leoleoaakk", "樓下支援邊哭邊刪圖", "03/26 13:16", "0"
"C_Chat#M.1553577203.A.CD3#00013", "alinalovers", "然 後 ， 補 噓 ㄏ ㄏ，https//i.imgur.com/K71rOp6.jpg", "03/26 13:17", "0"
