"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1554049015.A.27E#00000", "jschenlemn", "本篇提供大家回報各種ACGN相關官方的愚人節消息 （如果不想發文的話啦）<br><br><br><br><br>另外，慶祝愚人節<br><br>無論推、噓、→都可以獲得41P的紀念P幣...<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>騙你der~<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>祝各位板友愚人節快樂～～～～<br><br><br><br><br><br><br><br>--<br>", "", ""
"C_Chat#M.1554049015.A.27E#00001", "chses910372", "沉下去吧", "04/01 00:17", "0"
"C_Chat#M.1554049015.A.27E#00002", "dklash", "幹 騙我", "04/01 00:17", "0"
"C_Chat#M.1554049015.A.27E#00003", "AdomiZA", "是在那邊…", "04/01 00:17", "0"
"C_Chat#M.1554049015.A.27E#00004", "zxc50385", "幹", "04/01 00:17", "0"
"C_Chat#M.1554049015.A.27E#00005", "Batato", "滾", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00006", "JJJJoe", "再騙啊QQ", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00007", "boss0322", "41呢", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00008", "a1773042", "幹", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00009", "gxu66", "...", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00010", "Durum", "給我發o", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00011", "jiqoo", "先噓再說", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00012", "shawjiunnluo", "41", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00013", "kevin50605", "騙", "04/01 00:18", "0"
"C_Chat#M.1554049015.A.27E#00014", "jiss555", "滾拉幹", "04/01 00:19", "0"
"C_Chat#M.1554049015.A.27E#00015", "ciaadya", "騙我", "04/01 00:19", "0"
"C_Chat#M.1554049015.A.27E#00016", "Jetinacn", "錢", "04/01 00:19", "0"
"C_Chat#M.1554049015.A.27E#00017", "rainnawind", "M殺小", "04/01 00:19", "0"
"C_Chat#M.1554049015.A.27E#00018", "JNP2", "那個露營 x南極 神神神神神", "04/01 00:19", "0"
"C_Chat#M.1554049015.A.27E#00019", "DivineSX", "愚人節快樂", "04/01 00:19", "0"
"C_Chat#M.1554049015.A.27E#00020", "crimsonmoon9", "錢啦！", "04/01 00:20", "0"
"C_Chat#M.1554049015.A.27E#00021", "justinchiao", "滾", "04/01 00:20", "0"
"C_Chat#M.1554049015.A.27E#00022", "anpinjou", "你成功的得到一個紅喜氣", "04/01 00:21", "0"
"C_Chat#M.1554049015.A.27E#00023", "Tkuers", "X! 騙我!", "04/01 00:22", "0"
"C_Chat#M.1554049015.A.27E#00024", "daidairu", "幹  給我錢", "04/01 00:22", "0"
"C_Chat#M.1554049015.A.27E#00025", "Asoupbro", "給錢啦", "04/01 00:23", "0"
"C_Chat#M.1554049015.A.27E#00026", "mnbvcxz2411", "勸你是發錢哦", "04/01 00:23", "0"
"C_Chat#M.1554049015.A.27E#00027", "vm00110", "我要噓爆你  騙你der", "04/01 00:24", "0"
"C_Chat#M.1554049015.A.27E#00028", "ray930151", "幹被騙", "04/01 00:24", "0"
"C_Chat#M.1554049015.A.27E#00029", "ga2006221985", "幹", "04/01 00:24", "0"
"C_Chat#M.1554049015.A.27E#00030", "wl2340167", "垃圾人發垃圾公告配合垃圾板，讚，愚人節玩笑啦", "04/01 00:24", "0"
"C_Chat#M.1554049015.A.27E#00031", "eric10902", "噓爆你", "04/01 00:25", "0"
"C_Chat#M.1554049015.A.27E#00032", "A880507", "下去", "04/01 00:25", "0"
"C_Chat#M.1554049015.A.27E#00033", "balbalbanana", "yee", "04/01 00:25", "0"
"C_Chat#M.1554049015.A.27E#00034", "s2637726", "幹你娘", "04/01 00:25", "0"
