"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1556678592.A.3D8#00000", "sasaki3630", "https://i.imgur.com/L63dlpu.jpg<br>昨天把我存的石頭  還有呼符抽掉<br><br>想說沒孔沒梅林的我<br><br>終於要有拐了<br><br>結果彩光金卡術職<br><br>穩到我大叫，結果轉過來是陳小姐.....<br><br><br>默默的把遊戲長點擊<br><br>解除安裝了<br><br><br>再見了，梅林<br><br>再見了，FGO<br><br><br>各位，不要想我，也不要為我流淚<br><br>我只是，心累了<br><br><br># 傳說畫下休止符.<br><br>--<br>", "", ""
"C_Chat#M.1556678592.A.3D8#00001", "ssarc", "玩膩了就砍，這才是大人", "05/01 10:44", "0"
"C_Chat#M.1556678592.A.3D8#00002", "mayolane", "掰掰，讓我們一起用推送四天王走吧", "05/01 10:44", "0"
"C_Chat#M.1556678592.A.3D8#00003", "Giornno", "講得它曾經在你手機裡面一樣", "05/01 10:44", "0"
"C_Chat#M.1556678592.A.3D8#00004", "waitan", "結果梅林就來了", "05/01 10:44", "0"
"C_Chat#M.1556678592.A.3D8#00005", "three88720", "幫你QQ", "05/01 10:44", "0"
"C_Chat#M.1556678592.A.3D8#00006", "firezeus", "喔", "05/01 10:44", "0"
"C_Chat#M.1556678592.A.3D8#00007", "ren740719", "雲帳號嗎?", "05/01 10:45", "0"
"C_Chat#M.1556678592.A.3D8#00008", "gaym19", "然後過沒幾天就準備發文說因為有寶五賴光的關係決定復出，有種點 直播砍從者 順便證明自己不是雲玩家", "05/01 10:45", "0"
"C_Chat#M.1556678592.A.3D8#00009", "candbilly153", "喔", "05/01 10:45", "0"
"C_Chat#M.1556678592.A.3D8#00010", "Foreveryears", "讚", "05/01 10:46", "0"
"C_Chat#M.1556678592.A.3D8#00011", "openbestbook", "你怎麼用來用去只有這步?", "05/01 10:46", "0"
"C_Chat#M.1556678592.A.3D8#00012", "john701966", "雲", "05/01 10:46", "0"
"C_Chat#M.1556678592.A.3D8#00013", "Haruna1998", "沒看id差點被騙哈哈", "05/01 10:46", "0"
"C_Chat#M.1556678592.A.3D8#00014", "jason60314", "安啦 下個卡池就回來了，又會繼續回來雲", "05/01 10:47", "0"
"C_Chat#M.1556678592.A.3D8#00015", "lanjack", "啊不就雲？我敢保證這個ID以後還是會發雲FGO廢文", "05/01 10:47", "0"
"C_Chat#M.1556678592.A.3D8#00016", "sasadog", "他媽的雲帳號砍了有差嗎 我還可以砍一百個雲帳號呢", "05/01 10:47", "0"
"C_Chat#M.1556678592.A.3D8#00017", "KudanAkito", "你想看官方說我們真的錯了嗎", "05/01 10:47", "0"
"C_Chat#M.1556678592.A.3D8#00018", "littlesun543", "讚哦", "05/01 10:48", "0"
"C_Chat#M.1556678592.A.3D8#00019", "Krishna", "無課貧民玩家根本沒人會想念你", "05/01 10:48", "0"
"C_Chat#M.1556678592.A.3D8#00020", "boshrush", "其實就算你說的是真的，我覺得你帳號還蠻鳥..還不如刷一個有梅林 豬葛的帳，也比你現在這廢帳好..", "05/01 10:48", "0"
"C_Chat#M.1556678592.A.3D8#00021", "zxcv820421", "小妹不要走QQ", "05/01 10:49", "0"
"C_Chat#M.1556678592.A.3D8#00022", "gugucaca", "別擔心，過幾天就會又一篇復出文，說單抽奇蹟中梅林", "05/01 10:49", "0"
"C_Chat#M.1556678592.A.3D8#00023", "polanco", "就不要之後還看見你發FGO廢文", "05/01 10:49", "0"
"C_Chat#M.1556678592.A.3D8#00024", "dephille", "你可以跟ptt也說再見嗎", "05/01 10:50", "0"
"C_Chat#M.1556678592.A.3D8#00025", "s87879961", "閱", "05/01 10:50", "0"
"C_Chat#M.1556678592.A.3D8#00026", "Galneryus", "預言5/7前會雲一隻梅林（至少）", "05/01 10:51", "0"
