"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1557931649.A.FB5#00000", "posen2012", "昨天研究了一下<br><br>為什麼一拳超人二期這麼多負評<br><br>很多人都把戰犯歸給JC<br><br>確實BGM和些許節奏不夠好 但感覺這樣還不夠客觀<br><br>我就回去補ONE的原作版<br><br>我終於知道原因了<br><br>其實JC只是忠實還原村田的漫畫<br><br>真正的戰犯其實就是......<br><br>村田本人<br><br>什麼武術大會根本不是ONE原本的劇情<br><br>怪人鬧場也是村田自己加的<br><br>塞一堆無謂的劇情 一堆瑣碎的怪人和英雄<br><br>整體來說讓作品內容變得超瑣碎<br><br>推測ONE是不好意思拒絕村田的熱情才讓他附加劇情<br><br>結果反而把原本簡潔有力的劇情變得無從聚焦<br><br>結論就是<br><br>JC其實做的沒很差<br><br>而是村田自己加的劇情本身就破壞作品<br><br>這是一點個人的看法啦~<br><br>--<br>", "", ""
"C_Chat#M.1557931649.A.FB5#00001", "DsLove710", "農場", "05/15 22:48", "0"
"C_Chat#M.1557931649.A.FB5#00002", "stussy", "先噓標題", "05/15 22:48", "0"
"C_Chat#M.1557931649.A.FB5#00003", "zxc8424", "村田跟ONE在西洽版地位是神級 想懟他們自己要有覺悟", "05/15 22:48", "0"
"C_Chat#M.1557931649.A.FB5#00004", "s9018124", "你知道村田版劇情基本上都是one提供的嗎", "05/15 22:48", "0"
"C_Chat#M.1557931649.A.FB5#00005", "dolp", "你知道村田加畫的分鏡都是one給的嗎？", "05/15 22:48", "0"
"C_Chat#M.1557931649.A.FB5#00006", "Koyomiiii", "ONE當初有和村田討論", "05/15 22:48", "0"
"C_Chat#M.1557931649.A.FB5#00007", "deed0903", "說得對", "05/15 22:49", "0"
"C_Chat#M.1557931649.A.FB5#00008", "madeinheaven", "JC那個分鏡和打鬥畫面爛得要死 你跟我說沒很差?????", "05/15 22:49", "1"
"C_Chat#M.1557931649.A.FB5#00009", "fman", "噓標題，也噓你根本不懂村田的漫畫", "05/15 22:49", "0"
"C_Chat#M.1557931649.A.FB5#00010", "yyes5210", "看標題就知道是廢文", "05/15 22:49", "0"
"C_Chat#M.1557931649.A.FB5#00011", "dolphintail", "村田還是要照one的草稿去畫的", "05/15 22:50", "0"
"C_Chat#M.1557931649.A.FB5#00012", "linbada", "最新一集 傑諾斯的臉不忍直視==", "05/15 22:50", "0"
"C_Chat#M.1557931649.A.FB5#00013", "egg781", "你到底是多愛JC?", "05/15 22:50", "0"
"C_Chat#M.1557931649.A.FB5#00014", "longkiss0618", "建議標題改本版比較喜歡的"辣個男人"", "05/15 22:50", "0"
"C_Chat#M.1557931649.A.FB5#00015", "kevin1996", "標題", "05/15 22:50", "0"
"C_Chat#M.1557931649.A.FB5#00016", "rock5421", "嗯", "05/15 22:50", "0"
"C_Chat#M.1557931649.A.FB5#00017", "ciafbi007", "好了啦 也太雲了吧", "05/15 22:51", "0"
"C_Chat#M.1557931649.A.FB5#00018", "Application", "喔", "05/15 22:51", "0"
"C_Chat#M.1557931649.A.FB5#00019", "kid725", "你知道新加的故事都是ONE加進去的嗎 不是村田的鍋", "05/15 22:52", "0"
"C_Chat#M.1557931649.A.FB5#00020", "RabbitHorse", "都怪村田畫太精緻  害jc掉漆啦", "05/15 22:53", "0"
"C_Chat#M.1557931649.A.FB5#00021", "gaym19", "你知道村田版的分鏡跟劇情都是ONE給的嘛?", "05/15 22:54", "0"
"C_Chat#M.1557931649.A.FB5#00022", "whathefuc", "喔", "05/15 22:54", "0"
"C_Chat#M.1557931649.A.FB5#00023", "loser30cm", "講人話", "05/15 22:56", "0"
"C_Chat#M.1557931649.A.FB5#00024", "starlity", "摳連", "05/15 22:56", "0"
"C_Chat#M.1557931649.A.FB5#00025", "umdfk", "你確定要打這個", "05/15 22:57", "0"
"C_Chat#M.1557931649.A.FB5#00026", "kbccb01", "噓給你 不客氣", "05/15 22:57", "0"
"C_Chat#M.1557931649.A.FB5#00027", "swxswxet", "推你一個頭腦清晰 適合從政", "05/15 22:57", "0"
"C_Chat#M.1557931649.A.FB5#00028", "gurenmaru", "......乾村田屁事，你是不是不知道村田和one關係很好啊...", "05/15 22:58", "0"
"C_Chat#M.1557931649.A.FB5#00029", "lcic", "滾", "05/15 22:58", "0"
"C_Chat#M.1557931649.A.FB5#00030", "Freeicy", "這標題根本...", "05/15 23:01", "0"
"C_Chat#M.1557931649.A.FB5#00031", "LouisLEE", "你是不知道one有負責出重製板劇情的部份?", "05/15 23:02", "0"
"C_Chat#M.1557931649.A.FB5#00032", "zxc6422000", "你484姓細谷阿 完全沒查資料就放話", "05/15 23:03", "0"
