"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1558982188.A.D6D#00000", "CiaoMei", "利益申報:本人漫畫黨 動畫前三季皆看過兩遍以上<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>看了前面的文好像是一片好評啊<br><br>不是吧？平行世界嗎？有另一集17嗎？不可能啊？<br><br>這集怎麼看都太崩了啊...<br><br>--<br>", "", ""
"C_Chat#M.1558982188.A.D6D#00001", "wiwi12345678", "先幫補血，霸權不能批", "05/28 02:39", "0"
"C_Chat#M.1558982188.A.D6D#00002", "yuechen", "還好吧 你先看一拳 再看巨人", "05/28 02:39", "0"
"C_Chat#M.1558982188.A.D6D#00003", "SpursTony09", "這裡巨人是批不得的", "05/28 02:40", "0"
"C_Chat#M.1558982188.A.D6D#00004", "Augustus5", "動畫黨看完這話直接高潮，覺得沒啥問題w", "05/28 02:41", "0"
"C_Chat#M.1558982188.A.D6D#00005", "iundertaker", "嘛，雖然我覺得這季跟前幾季相比確實有點小退步，但我覺得這集做得蠻不錯的啊", "05/28 02:41", "1"
"C_Chat#M.1558982188.A.D6D#00006", "XSR300", "可是我噴爆一拳 但是巨人還好 雖然有很多慕人物很崩 但是節奏比一拳好多了", "05/28 02:41", "1"
"C_Chat#M.1558982188.A.D6D#00007", "asdfg5435", "我知道你想要這個 成全你XD", "05/28 02:42", "0"
"C_Chat#M.1558982188.A.D6D#00008", "bpq302302", "可是我很感動，先幫你補血", "05/28 02:42", "0"
"C_Chat#M.1558982188.A.D6D#00009", "gn02159816", "你活在自己的世界", "05/28 02:42", "0"
"C_Chat#M.1558982188.A.D6D#00010", "CIA7", "好 給你", "05/28 02:44", "0"
"C_Chat#M.1558982188.A.D6D#00011", "g27834618", "好好好 想釣魚 我不會被騙的 嘻嘻", "05/28 02:44", "0"
"C_Chat#M.1558982188.A.D6D#00012", "winston11tw", "不爽不要看", "05/28 02:45", "0"
"C_Chat#M.1558982188.A.D6D#00013", "wiwi12345678", "老實講這集有很多藍光該補強來的地方 像是韓吉出現的時候 米卡莎的臉不見了 鎧巨又開始浪了 這之後一定會重畫 還有很多比例問題 但是在這裏不能批巨人所以巨人沒有問題 結案", "05/28 02:46", "1"
"C_Chat#M.1558982188.A.D6D#00014", "constant", "我兩邊都有看 我個人感想動畫做的讓人好理解", "05/28 02:46", "0"
"C_Chat#M.1558982188.A.D6D#00015", "g27834618", "魚餌太爛了 嘻嘻 而且還挑這種深夜 貝西不行哦", "05/28 02:47", "0"
"C_Chat#M.1558982188.A.D6D#00016", "banana1", "不是完美,還可以改進。但說製作誠意0分是沒看過其他動畫?", "05/28 02:50", "1"
"C_Chat#M.1558982188.A.D6D#00017", "g27834618", "好可惜 如果你po再早點 畫面一定很紅 哈哈", "05/28 02:50", "0"
"C_Chat#M.1558982188.A.D6D#00018", "Vinnie0605", "兵長跟米卡莎那兩幕我也是有點出戲沒錯XD，但整體還算滿意", "05/28 02:50", "0"
"C_Chat#M.1558982188.A.D6D#00019", "Syoshinsya", "眞紅耶", "05/28 02:50", "0"
"C_Chat#M.1558982188.A.D6D#00020", "dazzledaze", "大哥幫幫忙 看了你的內文只覺得“崩”字不是這樣給你亂用der", "05/28 02:51", "1"
"C_Chat#M.1558982188.A.D6D#00021", "Vinnie0605", "零分製作誠意是有點over啦 印象中作畫人數不是超多", "05/28 02:53", "0"
"C_Chat#M.1558982188.A.D6D#00022", "Stan6003", "動畫組0分？對不起 光這句就值得我噓爆你", "05/28 02:55", "0"
"C_Chat#M.1558982188.A.D6D#00023", "iundertaker", "噓你0分製作，我也不認為這次有達到我期望中的標準，但看得出來製作組已經很用心了", "05/28 02:57", "1"
"C_Chat#M.1558982188.A.D6D#00024", "swxswxet", "論點很標新立異 看得出來你透過反串來讚頌這部作品 幫，你補個血", "05/28 02:57", "0"
"C_Chat#M.1558982188.A.D6D#00025", "death76519", "本來以為你想說的是一些作畫比較失敗的畫面 結果都在扯你覺得節奏不順的地方...", "05/28 02:58", "1"
"C_Chat#M.1558982188.A.D6D#00026", "MushingKing", "品質確實前兩季比較高 這集也不算完美 不過0分製作也太誇張 照這標準今年你能看的動畫應該沒幾部了", "05/28 03:00", "1"
"C_Chat#M.1558982188.A.D6D#00027", "g27834618", "他講0分= = 就是來釣魚的阿 不用太認真回吧", "05/28 03:05", "0"
"C_Chat#M.1558982188.A.D6D#00028", "zuraKatsura", "這個該不會是上一篇的朋友吧XDDD", "05/28 03:06", "0"
"C_Chat#M.1558982188.A.D6D#00029", "e49523", "只講了節奏不順 運鏡僵硬 BGM脫線 哪裡節奏不順 哪裡運鏡僵硬 BGM哪裡脫線你沒講啊", "05/28 03:08", "1"
