"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560657043.A.A1A#00000", "qazxc1156892", "媒體來源: 聯合報<br><br><br>記者署名: 李京昇、陳雅玲、蔡維斌、姜宜菁<br><br><br>完整新聞標題: 李佳芬哽咽挺夫：他一天當三天在做<br><br><br>完整新聞內文:<br><br><br>韓國瑜拚總統黨內初選第三場造勢活動，昨在雲林登場，不僅前二場缺席的立委「神力女<br><br>超人」許淑華壓軸主持、韓妻李佳芬哽咽落淚、韓國瑜下猛藥面對香港反送中議題，拒絕<br><br>一國兩制，更公開吃了宿敵王世堅的豆腐，不少韓粉都覺得這場造勢亮點十足。<br><br><br><br><br><br>許淑華壓軸主持韓國瑜雲林造勢，讓原本已經情緒高漲的韓粉頓時更是熱情澎湃，她說，<br><br>舉辦造勢活動不是要凸顯韓家軍的動員能力，是大家悶得太久，需要一個出口。<br><br><br><br><br>雲林是李佳芬的娘家，這場造勢，對韓國瑜及李家意義格外不同。李佳芬表示，她的丈夫<br><br>韓國瑜選後迄今都沒有改變，為人單純、做事不分黨派，一天當三天在做，她夫妻倆會把<br><br>大家的付出放在心頭，「吃一口、還人一斗」，回到「後頭厝」讓他們一個月來被抹黑的<br><br>怨氣、委屈都煙消雲散。<br><br><br><br><br>雲林縣前縣長張榮味家族公開力挺韓國瑜，不僅張榮味胞妹張麗善以家人稱韓國瑜，張榮<br><br>味女兒、前立委張嘉郡也在韓國瑜夫婦抵達前到場力挺聲援。她說，行政院長蘇貞昌剪輯<br><br>影片抨擊韓市長，在現在國民黨最關鍵時刻，絕對要團結一致，不能讓民進黨分化。<br><br><br><br><br><br>完整新聞連結 (或短網址): https://reurl.cc/bj6oy<br><br><br><br><br>備註:奧斯卡最佳女主角<br><br>--<br>", "", ""
"Gossiping#M.1560657043.A.A1A#00001", "popy8789", "太早", "12/06 00:22", "0"
"Gossiping#M.1560657043.A.A1A#00002", "ANiZan9991", "2樓雙蛋被盜", "12/06 00:22", "0"
"Gossiping#M.1560657043.A.A1A#00003", "kathyiscute", "五樓包莖", "12/06 00:22", "0"
"Gossiping#M.1560657043.A.A1A#00004", "GentelMark", "雙人枕頭若無妳 也會孤單", "12/06 00:22", "0"
"Gossiping#M.1560657043.A.A1A#00005", "Julian9x9x9", "五樓偷走二樓懶蛋", "12/06 00:22", "0"
"Gossiping#M.1560657043.A.A1A#00006", "g8330330", "做什麼? 感覺很色", "36.235.8.201 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00007", "threebig", "假鬼假怪", "122.121.128.46 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00008", "FatalLuna", "???", "111.242.154.204 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00009", "gaym19", "那高雄還做得那麼爛 他效率異於常人是不是", "114.44.63.239 06/16 11:51", "1"
"Gossiping#M.1560657043.A.A1A#00010", "qazsedcft", "難怪這麼快就要出來選", "111.251.149.214 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00011", "jeff0811", "王金平表示：", "111.254.6.32 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00012", "garyjcw", "噁", "223.138.144.47 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00013", "yyyyyyyv", "瘋狂做愛", "223.136.123.187 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00014", "johnwu", "副導演也要出來演了", "180.177.115.73 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00015", "deepdish", "恩恩 造勢很積極", "220.134.89.190 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00016", "highyes", "真心想看屁眼俠拖垮車輪黨 初選非含不投", "1.160.138.243 06/16 11:51", "1"
"Gossiping#M.1560657043.A.A1A#00017", "C13H16ClNO", "就跟跑步游泳一樣 你分化我也分化", "61.230.168.54 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00018", "excia", "結果一問三不知一天到晚被打臉 你時間都用在選總統上面了", "180.217.86.222 06/16 11:51", "1"
"Gossiping#M.1560657043.A.A1A#00019", "Leo4891", "所以做了啥？認真還做不到啥  這種人很恐怖", "59.115.154.63 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00020", "watashiD", "悶太久，需要出口？尻槍喔", "220.141.124.66 06/16 11:51", "0"
"Gossiping#M.1560657043.A.A1A#00021", "motan", "難怪瘦到這樣", "42.76.167.190 06/16 11:52", "0"
"Gossiping#M.1560657043.A.A1A#00022", "HappyKH", "所以巡視登革熱五分鐘作秀？", "150.116.232.57 06/16 11:52", "0"
"Gossiping#M.1560657043.A.A1A#00023", "wolver", "我還以為是林志玲結婚後 一天當三天做", "59.126.50.163 06/16 11:52", "0"
"Gossiping#M.1560657043.A.A1A#00024", "blue1234", "難怪會哭 做到腿軟 還要出來幫忙造勢", "101.9.97.246 06/16 11:52", "0"
"Gossiping#M.1560657043.A.A1A#00025", "Pietro", "是做一天睡三天吧？", "101.14.213.182 06/16 11:52", "0"
"Gossiping#M.1560657043.A.A1A#00026", "KangSuat", "他一天當三天在做...秀", "61.227.247.200 06/16 11:52", "0"
"Gossiping#M.1560657043.A.A1A#00027", "dlam002", "拼造勢還真辛苦", "101.12.203.141 06/16 11:52", "0"
