"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560667240.A.FBD#00000", "pikachu22011", "1.媒體來源:<br>中時電子報<br>謝雅柔<br><br>3.完整新聞標題:<br>唯一一次投票就是投韓！20年日本華僑曝原因<br><br>4.完整新聞內文:<br>高雄市長韓國瑜宣布投入國民黨總統黨內初選後，昨到雲林斗六人文公園進行第三場的造<br>勢活動，現場依舊擠滿大批支持者。其中有名旅居日本20多年的華僑葉桂芬也力挺，她說<br>20多年來唯一一次回台投票，就是去年投給韓國瑜，她從5月31日回台，每一場韓造勢都<br>會參加，一直待到韓國瑜出線才會離台。至於為何會回來挺韓國瑜？葉桂芬道出內心話令<br>人動容。<br><br>昨地的雲林造勢活動主題訂為「台灣心雲林情 後頭厝來相挺」，不同台北凱道、花蓮的<br>造勢，由李佳芬先發言，當她講到看到「後頭厝（台語，娘家）」的鄉親相挺非常感動時<br>，當場熱烈盈眶，一度掩面而泣。韓致詞時，感謝來自國內外的民眾相挺，也感謝嘉義市<br>長黃敏惠、雲林縣長張麗善及在地的議會、水利會、農會、鄉鎮長、代表會和多名高雄市<br>議會議員等。<br><br>據中評社報導，旅居日本20多年的華僑葉桂芬也現身力挺。至於為何會回來挺韓國瑜？葉<br>桂芬提到，住在日本已經20多年，這段時間她都沒有回到台灣投票，因為台灣政治紛紛擾<br>擾，讓她沒有回台的動力，但是韓國瑜出現之後，她觀察韓很久，發現韓很真誠、接地氣<br>，又有膽識，勇於將民進黨長期執政的高雄翻轉過來，所以去年年底首次回來投票，就是<br>投給韓國瑜。<br><br>葉桂芬指出，這幾個月看到韓不斷被抹黑、抹紅、抹黃，不管韓國瑜做了哪些努力，都會<br>被放大攻擊，讓高雄施政無法正常進行下去，尤其是民進黨高雄市議員在議會質詢的內容<br>，根本就是為了反對而反對。為了下一代，她覺得韓被逼到不選都不行，所以她要站出來<br>拋磚引玉，雖然住在日本，還是要趕回來，一場場參與韓國瑜的造勢，實際觀察韓說什麼<br>，做了哪些事。<br><br>葉桂芬提到，她從5月31日回台，已經決定會待到國民黨初選結束，如果韓勝出，她會先<br>回到日本，號召更多日本華僑一起回台參加造勢活動，如果不是韓出線，她可能會待在日<br>本，也不會回台投票了。<br><br>5.完整新聞連結 (或短網址):<br>https://www.chinatimes.com/realtimenews/20190616000855-260407?chdtv<br><br>6.備註:<br>吉娃娃最愛的日本皇民都改挺韓國瑜了 還要繼續執迷不悟!<br><br>--<br>", "", ""
"Gossiping#M.1560667240.A.FBD#00001", "mack860120", "馬來西亞", "42.77.72.18 06/16 14:41", "0"
"Gossiping#M.1560667240.A.FBD#00002", "DOOHDLIHC", "浪費選票", "1.165.180.37 06/16 14:41", "0"
"Gossiping#M.1560667240.A.FBD#00003", "leek106", "華僑又不怕被統一，幹", "36.229.48.41 06/16 14:41", "0"
"Gossiping#M.1560667240.A.FBD#00004", "highyes", "真心想看屁眼俠拖垮車輪黨 初選非含不投馬來西亞的朋友也很關心台灣呢！", "1.160.138.243 06/16 14:41", "1"
"Gossiping#M.1560667240.A.FBD#00005", "UniversalGod", "有腦嗎？", "180.217.100.194 06/16 14:41", "0"
"Gossiping#M.1560667240.A.FBD#00006", "Ericz7000", "又跳板==", "220.133.25.31 06/16 14:41", "0"
"Gossiping#M.1560667240.A.FBD#00007", "f0960010", "拜託不要來害我們這些生活在台灣的", "111.185.138.223 06/16 14:41", "0"
"Gossiping#M.1560667240.A.FBD#00008", "Cordierite", "喔", "114.47.1.76 06/16 14:42", "0"
"Gossiping#M.1560667240.A.FBD#00009", "tim8177414", "這種直接稱呼人渣了", "59.102.135.111 06/16 14:42", "0"
