"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560684703.A.FB1#00000", "dandandanbao", "1.媒體來源:<br>中時<br>賴佑維<br><br>3.完整新聞標題:<br>韓國瑜謁靈：工程建設沒有可不可能的事情，只有意志力問題<br><br>4.完整新聞內文:<br>高雄市長韓國瑜16日到桃園市頭寮靈寢追思故總統蔣經國，韓國瑜表示，經國先生就像是<br>包青天、胡雪嚴的複合體，包含操守、官員清廉、衝經濟、傾聽民意。針對十大建設當年<br>被視為天方夜譚，韓說，工程建設，只有意志力的問題，沒有可不可能。<br><br>韓國瑜說，因為福至心靈，這幾天特別想向經國先生致意，16日下午恰好有時間，就搭乘<br>高鐵到台灣，再搭乘計程車到頭寮靈寢。不少民眾得知，特別趕來高喊韓國瑜「凍蒜」，<br>因17日為韓生日，也高唱生日快樂歌提前為韓慶生。1名記者採訪過程跌倒，韓也趕快扶<br>起記者，展現親民一面。<br><br>有媒體詢問，經國先生當年推動十大建設，很多人認為不可行，對比韓的政策常被批評不<br>可能，是不是很類似？韓國瑜則說，「根本沒有可能不可能的事情，只有意志力的問題。<br>」他以日本連通北海道、歐洲人穿越阿爾卑斯山、大陸青藏高原鐵路為例，強調「是要不<br>要做、願不願意做！」<br><br>韓也認為，40多年前看十大建設，不都是天方夜譚嗎？結果經國先生讓台灣經濟脫胎換骨<br>。他又說，未來政府執政，要真的了解台灣建設，不要動不動、不同政黨提出來，「就先<br>上去甩兩個巴掌。」他補充，尤其是南北一定要「雙拉升」，在加上中部，讓台灣整體上<br>升。<br><br>5.完整新聞連結 (或短網址):<br>https://www.chinatimes.com/realtimenews/20190616002114-260407?chdtv<br><br>6.備註:<br>1450不懂什麼叫有志者事竟成 它們只是一群不會思考不努力的敗類<br><br>--<br>", "", ""
"Gossiping#M.1560684703.A.FB1#00001", "ssaw5166", "這是什麼年代的思維XD，憨總還活在十大建設的時代嗎？憨總知道什麼叫永續發展嗎？", "114.136.247.61 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00002", "cwj9999", "舔共韓專程去酸反共蔣？", "124.218.132.61 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00003", "e0936276915", "印度的網軍又在吠了", "101.13.98.32 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00004", "Rrrxddd", "支持興建 台灣海峽跨海大橋", "126.33.23.149 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00005", "shinobunodok", "工程人員：不要瞎掰好嗎", "1.172.106.4 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00006", "jackchen1025", "我用意志力做出一個搭到美國的橋，以後大家就開車就好了", "223.137.57.37 06/16 19:32", "1"
"Gossiping#M.1560684703.A.FB1#00007", "ohrring", "不愧是我大韓市長   意志力打通中央山脈", "111.71.39.99 06/16 19:32", "1"
"Gossiping#M.1560684703.A.FB1#00008", "tom501062003", "非韓不投 唯一支持", "180.217.122.229 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00009", "kkman321", "白癡死了 高雄之恥，但是初選民調電話我會支持韓國瑜我也靠意志力發大財", "58.115.168.192 06/16 19:32", "0"
"Gossiping#M.1560684703.A.FB1#00010", "neowfish", "智障", "211.72.1.115 06/16 19:33", "0"
