"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560688630.A.BC1#00000", "stupid0319", "1.媒體來源:<br><br>中時<br><br>2.記者署名<br><br>19:18 2019/06/16 中時  賴佑維 、 蔡孟哲<br><br>3.完整新聞標題:<br><br>韓國瑜謁靈：工程建設沒有可不可能 只有意志力問題<br><br>4.完整新聞內文:<br><br>高雄市長韓國瑜16日到桃園市頭寮靈寢追思故總統蔣經國，韓國瑜表示，經國先生就像是<br>包青天、胡雪嚴的複合體，包含操守、官員清廉、衝經濟、傾聽民意。針對十大建設當年<br>被視為天方夜譚，韓說，工程建設，只有意志力的問題，沒有可不可能。<br><br><br>謁陵談蔣經國　韓：他是包青天+胡雪巖<br>韓國瑜說，因為福至心靈，這幾天特別想向經國先生致意，16日下午恰好有時間，就搭乘<br>高鐵到台灣，再搭乘計程車到頭寮靈寢。不少民眾得知，特別趕來高喊韓國瑜「凍蒜」，<br>因17日為韓生日，也高唱生日快樂歌提前為韓慶生。1名記者採訪過程跌倒，韓也趕快扶<br>起記者，展現親民一面。<br><br>有媒體詢問，經國先生當年推動十大建設，很多人認為不可行，對比韓的政策常被批評不<br>可能，是不是很類似？韓國瑜則說，「根本沒有可能不可能的事情，只有意志力的問題。<br>」他以日本連通北海道、歐洲人穿越阿爾卑斯山、大陸青藏高原鐵路為例，強調「是要不<br>要做、願不願意做！」<br><br>韓也認為，40多年前看十大建設，不都是天方夜譚嗎？結果經國先生讓台灣經濟脫胎換骨<br>。他又說，未來政府執政，要真的了解台灣建設，不要動不動、不同政黨提出來，「就先<br>上去甩兩個巴掌。」他補充，尤其是南北一定要「雙拉升」，在加上中部，讓台灣整體上<br>升。<br><br>(中時 )<br><br>#韓國瑜 #經國先生<br><br>5.完整新聞連結 (或短網址):<br><br>https://www.chinatimes.com/realtimenews/20190616002114-260407?chdtv<br><br>6.備註:<br><br>台灣人只有韓有遠見,高雄在韓的強力意志力下,已經發大財了,路也平了<br><br>2020非韓不投,民進黨為了黑韓才胡說國道沒辦法通花蓮<br><br>--<br>", "", ""
"Gossiping#M.1560688630.A.BC1#00001", "james732", "幹你出錢", "223.140.15.108 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00002", "DouglasT", "只有智力的問題 不是意志力", "140.109.189.169 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00003", "diyaworld", "http//i.imgur.com/44gXACd.jpg", "1.200.217.242 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00004", "ghost008", "聽起來就是 人有多大膽 地有多大產", "111.83.199.36 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00005", "gaexpa9920", "大躍進在台灣 超英趕美", "61.228.184.176 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00006", "handsomeKim", "幹你娘嘴砲征服世界", "1.200.58.126 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00007", "MrXD", "神棍", "111.253.206.221 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00008", "Atwo", "用意志力做工程 可以 這很韓", "118.171.149.51 06/16 20:37", "0"
"Gossiping#M.1560688630.A.BC1#00009", "color3258", "韓謁靈", "114.43.104.201 06/16 20:37", "0"
