"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560691850.A.AE7#00000", "v840122v", "館長與柯文哲直播<br>問到了兩岸一家親說法<br>是大陸統戰的話語<br>柯文哲回應說<br>你統我 我也可以統你<br>今天台灣生活環境<br>要讓對岸人民羨慕<br>要讓大陸人羨慕台灣人的生活<br>到時候是誰統誰<br>也有回應三腳督<br>我從頭到尾就沒有要出來選<br>大家都要把民調納入我<br>我也沒辦法<br><br><br>--<br>", "", ""
"Gossiping#M.1560691850.A.AE7#00001", "kinomon", "沒空", "223.138.15.243 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00002", "nayaya", "XDDD", "220.135.225.123 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00003", "newstarting", "樓下1450來噓", "175.180.94.62 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00004", "sheagia", "不就一中各表 北七喔，我也想知道台獨畜怎麼獨立", "101.13.236.255 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00005", "Deraemon", "笑死", "118.168.165.6 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00006", "zoeapezoo", "能開live文ㄇ", "124.9.160.26 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00007", "Hirano", "200年內看做不做得到", "61.227.140.72 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00008", "henryhao", "好了啦", "220.135.42.38 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00009", "QBey", "反攻大陸", "110.26.62.63 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00010", "dahanjian", "智障嘴砲", "220.142.92.162 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00011", "kairi5217", "...你拿什麼東西統人家？挑釁？", "27.242.131.127 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00012", "ckshcliff", "有夠中二的話術", "118.167.65.224 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00013", "kyoiori100", "笑死 真以為這麼簡單", "61.58.183.146 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00014", "kinmengon", "這。有點太幻想化了，可能他還只是市長 真的還沒到國家領導人的高度吧", "101.136.250.127 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00015", "ulycess", "推柯P，三民主義統一中國", "42.76.30.34 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00016", "NTUT56", "不忍噓 XD", "1.161.5.168 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00017", "Admire710", "屁話", "111.82.166.210 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00018", "hahaha0204", "怎麼統回去？", "118.166.51.111 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00019", "aleezible", "這三小理論……= =", "36.237.193.41 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00020", "sanos168", "三民主義統一中國", "114.45.2.96 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00021", "notmine", "沒實力在跟人家大小聲", "49.216.4.35 06/16 21:31", "0"
"Gossiping#M.1560691850.A.AE7#00022", "bluenan", "不能為了洨波浪就轉彎", "114.34.107.8 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00023", "thenorth", "韓總學一下 真正的被動民調是這樣搞的", "223.136.108.28 06/16 21:32", "1"
"Gossiping#M.1560691850.A.AE7#00024", "nihow78", ".......阿北還是當市長就好...", "49.216.181.10 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00025", "blacktruth", "沒實力還大小聲", "114.39.182.107 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00026", "insect0816", "假鬼假怪啊 最好是沒要選啦", "223.138.179.40 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00027", "WTF55665566", "懶得吐槽了 不過他說他不選欸，這算是首次表態不選了？真的是無言 柯在統獨的觀念跟我們家無知的老一輩差不多...他還真別出來", "36.228.28.58 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00028", "KCKCLIN", "XDDDDDDDD 牠汁錢就說統戰輸人要研發，不管垃圾選不選 講幹話就是要罵同理你也可以狂攻擊民進黨阿  只會裝可憐柯基犬是裝笨掩飾壞啦 賤種蠢渣柯糞這是你們主子說過的話喔 別又說人抹黑", "36.233.163.232 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00029", "fifi0828", "柯應該不會選了啦 完全開啟嘴砲模式惹", "119.14.45.103 06/16 21:32", "1"
"Gossiping#M.1560691850.A.AE7#00030", "lescholar", "真的這樣講喔 騙三歲小孩", "111.240.133.23 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00031", "puppetired", "走鐘成這樣~~~~人類真的好可怕~~~~", "113.196.150.159 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00032", "audi0909", "扁鑽買了沒?", "27.52.5.191 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00033", "Lizus", "從頭到尾都沒要選 但整天對總統議題發言??", "114.47.164.155 06/16 21:32", "1"
"Gossiping#M.1560691850.A.AE7#00034", "teremy", "唉.....", "1.172.54.78 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00035", "Maiar", "嘴砲 還嘴輸草包的征服宇宙.....", "36.229.29.161 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00036", "noobismeok", "被強暴了，然後說我統你?台灣統得贏中國，少說笑了", "219.68.161.79 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00037", "oxoxx", "可以走自己的路嗎？為什麼一定要跟理念不同的國家一起，再去吵架", "114.137.187.159 06/16 21:32", "1"
"Gossiping#M.1560691850.A.AE7#00038", "Reisuty", "白目，應該要分割統治才對，如果不是日本殖民，民初台灣也會有軍閥", "118.168.6.209 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00039", "spongegod", "這不就之前他講的要把民主送到中國去", "39.9.98.30 06/16 21:32", "1"
"Gossiping#M.1560691850.A.AE7#00040", "leek106", "跟洪秀柱87%相似", "36.229.48.41 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00041", "antilibra", "原來不要理他就可以反統戰UN常任理事國   不愧是157的學霸   佩服聽說國政白皮書都快寫好惹呢   ㄎㄎ", "27.52.139.166 06/16 21:32", "1"
"Gossiping#M.1560691850.A.AE7#00042", "babyMclaren", "英粉怎看待今天英皇舔共啊", "27.147.57.172 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00043", "fred240753", "好吧…", "42.76.134.99 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00044", "tomo1026", "這三小理論啊....中國資源就是這麼多，你要他羨慕? 他把全部資源丟在重點城市你哪拚得過", "111.240.224.164 06/16 21:32", "0"
"Gossiping#M.1560691850.A.AE7#00045", "icecold52", "柯P這句真的太天真了 把中共想的太美好想要中共突然開放民主自由 是不可能的", "123.193.176.28 06/16 21:33", "1"
"Gossiping#M.1560691850.A.AE7#00046", "panzerbug", "身在台灣 心懷大陸  柯韓一家", "223.137.161.212 06/16 21:33", "0"
"Gossiping#M.1560691850.A.AE7#00047", "NTUT56", "梗圖小組加油 柯最近的言論又做一堆梗圖了6/23我看大家還是不要去比較好", "1.161.5.168 06/16 21:33", "1"
"Gossiping#M.1560691850.A.AE7#00048", "sprucewind", "你想統習大，幹這話比韓導還扯", "36.236.94.84 06/16 21:33", "0"
"Gossiping#M.1560691850.A.AE7#00049", "Captain5566", "推柯P 實力不夠照樣能統一中國", "122.118.223.239 06/16 21:33", "0"
"Gossiping#M.1560691850.A.AE7#00050", "jack2324", "穩了，明天民調+10趴，可是國台辦那關嘛唉呀沒差啦，國台辦會讓他補考的", "118.160.124.209 06/16 21:33", "1"
"Gossiping#M.1560691850.A.AE7#00051", "trf835rea", "https//i.imgur.com/E8Fmuak.jpg，https//i.imgur.com/3Qw2ggO.jpg", "101.13.11.213 06/16 21:33", "0"
"Gossiping#M.1560691850.A.AE7#00052", "abramtw", "柯p當上中國國家主席時 就是反攻大陸成功日", "1.169.241.174 06/16 21:33", "1"
