"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560736591.A.2A7#00000", "sky936122", "又見狂言！黃智賢：「我們這代要把台灣帶回家、帶回中國」<br><br>政治中心／綜合報導<br><br>中國近日在廈門舉辦「海峽論壇」，身為台灣資深媒體人的黃智賢，不僅參加活動，今（<br>16）日還上台發言，屢次哽咽，指出「一國兩制」是中國「對台灣最大的尊重與體貼」，<br>甚至針對兩岸議題直言「我們這一代要把台灣帶回家、帶回中國」，讓不少網友傻眼！<br><br>綜合媒體報導，第11屆海峽論壇16日上午舉行開幕大會，黃智賢在場發表壓軸演說，她數<br>度激動哽咽，並提出一國兩制是「對台灣最大的尊重與體貼」，黃智賢並強調，兩岸分隔<br>70年仍未統一，這是中華民族最大的痛，不要讓悲劇繼續下去，大陸、台灣聯合起來才有<br>未來。她甚至主張疾呼兩岸要坐下來談，「我們這一代要把台灣帶回家、帶回中國」。<br><br>對此網友紛紛表示不可思議，有人直言「不要回台灣了，歡迎在中國定居」、「這不能撤<br>銷國籍嗎？」、「台灣健保很好用，但是中國人有病就不要在台灣看醫生囉^_^」、「嫌<br>臺灣不好，中國那麼好，太平洋又沒加蓋，覺得中國好就游過去」。而日前黃智賢才評論<br>「反送中」遊行時，指出香港年輕人「有上街抗爭打警察的自由耶！」大讚其為「一國兩<br>制的成功」，強調香港回歸後比過去英國殖民時更自由，「你不知道表示你更是腦殘！」<br>極端言論引爆網友怒火，這回再談論「一國兩制」是中國「對台灣最大的尊重與體貼」，<br>想必又會激怒不少台灣人。<br><br><br><br>https://reurl.cc/2kZGO<br><br><br><br>--<br>", "", ""
"Gossiping#M.1560736591.A.2A7#00001", "kent", "自己先移民過去啊", "1.160.95.21 06/17 09:56", "0"
"Gossiping#M.1560736591.A.2A7#00002", "meredith001", "白色力量 柯糞快來推", "114.136.103.144 06/17 09:57", "0"
"Gossiping#M.1560736591.A.2A7#00003", "eko112", "偉哲你看你妹...", "114.47.113.143 06/17 09:57", "0"
"Gossiping#M.1560736591.A.2A7#00004", "awesomeSS66", "你以為KMT辦的到嗎 唯有柯P 兩岸統一", "111.248.11.144 06/17 09:57", "1"
"Gossiping#M.1560736591.A.2A7#00005", "woods0598", "台灣的鬼", "114.46.47.122 06/17 09:57", "0"
"Gossiping#M.1560736591.A.2A7#00006", "skylers0317", "不要啊 你誰？", "118.160.117.244 06/17 09:57", "0"
"Gossiping#M.1560736591.A.2A7#00007", "lily7777", "你自己先回妳家...妳家不是我家...乖一", "123.205.13.43 06/17 09:57", "1"
"Gossiping#M.1560736591.A.2A7#00008", "ttk620", "這啥鬼", "125.224.70.172 06/17 09:57", "0"
"Gossiping#M.1560736591.A.2A7#00009", "Ilat", "欸 麻煩對岸同胞們快把這智障賤婊帶回去好嗎", "36.229.137.199 06/17 09:57", "1"
"Gossiping#M.1560736591.A.2A7#00010", "lmc66", "柯粉：上兵伐謀，智賢有勇有謀", "180.204.195.249 06/17 09:58", "0"
"Gossiping#M.1560736591.A.2A7#00011", "thenorth", "自己去啦幹", "223.136.108.28 06/17 09:58", "0"
"Gossiping#M.1560736591.A.2A7#00012", "hong414", "支持 回去統他們", "49.216.194.192 06/17 09:58", "0"
"Gossiping#M.1560736591.A.2A7#00013", "enjoyyou", "他哥應該很無奈", "60.249.146.33 06/17 09:58", "0"
"Gossiping#M.1560736591.A.2A7#00014", "gotopark", "請不要用台灣的健保", "27.242.64.47 06/17 09:58", "0"
"Gossiping#M.1560736591.A.2A7#00015", "jil", "憑你?", "111.246.149.127 06/17 09:58", "0"
"Gossiping#M.1560736591.A.2A7#00016", "moneydream", "推一個.不演.真誠.其他比他噁心", "27.246.5.216 06/17 09:59", "0"
"Gossiping#M.1560736591.A.2A7#00017", "HarrisLind", "帶回日本啦操", "126.228.179.194 06/17 09:59", "0"
"Gossiping#M.1560736591.A.2A7#00018", "clkdtm32", "靠 別把我們拖下水吧", "118.165.112.234 06/17 09:59", "0"
"Gossiping#M.1560736591.A.2A7#00019", "if2", "先把你哥帶回去", "42.72.195.134 06/17 09:59", "0"
"Gossiping#M.1560736591.A.2A7#00020", "elainakuo", "不演的叛國 還有人支持的話是真心支持一堆人根本騙說愛台灣 內心愛中華人民共和國", "36.225.41.99 06/17 09:59", "1"
"Gossiping#M.1560736591.A.2A7#00021", "legendmtg", "垃圾", "202.246.252.97 06/17 10:00", "0"
"Gossiping#M.1560736591.A.2A7#00022", "nildog", "滅中華民國宣言是吧...", "175.97.17.42 06/17 10:00", "0"
"Gossiping#M.1560736591.A.2A7#00023", "haha7456", "有病就要看醫生", "111.83.82.233 06/17 10:00", "0"
"Gossiping#M.1560736591.A.2A7#00024", "blinkin", "應該慶幸台灣不會亂用顛覆國家的名義抓人", "42.73.93.147 06/17 10:01", "1"
"Gossiping#M.1560736591.A.2A7#00025", "nextpage", "他有這種思維實在是滿奇葩的，尤其事他這年紀這一代根本都是在台灣出生長大的，哪來對中國有這種幻想？ ==", "36.235.102.235 06/17 10:01", "1"
"Gossiping#M.1560736591.A.2A7#00026", "osiris34", "哪代？", "101.10.12.26 06/17 10:01", "0"
"Gossiping#M.1560736591.A.2A7#00027", "Aubameyang", "甲賽啦幹", "36.229.112.38 06/17 10:01", "0"
"Gossiping#M.1560736591.A.2A7#00028", "insist0511", "這種可以取消國籍了吧 叛國賊", "42.74.78.10 06/17 10:01", "0"
"Gossiping#M.1560736591.A.2A7#00029", "hitsukix", "有病 要回去自己回去啊", "115.82.172.219 06/17 10:01", "0"
"Gossiping#M.1560736591.A.2A7#00030", "deangod99", "有種先過去領中國身分證 放棄台灣國籍不然都只是騙騙中國人而已", "60.249.247.152 06/17 10:02", "1"
"Gossiping#M.1560736591.A.2A7#00031", "davidkung112", "庶民真誠！！", "223.139.46.19 06/17 10:02", "0"
"Gossiping#M.1560736591.A.2A7#00032", "WeGoYuSheng", "根本黑暗騎士", "115.82.77.93 06/17 10:02", "0"
"Gossiping#M.1560736591.A.2A7#00033", "newstyle", "偉哲的妹妹", "42.73.43.33 06/17 10:02", "0"
"Gossiping#M.1560736591.A.2A7#00034", "husky5566", "馬的，噁心！", "106.104.34.179 06/17 10:03", "0"
"Gossiping#M.1560736591.A.2A7#00035", "ytw8216", "不能把垃圾打包寄回中國嗎", "1.34.161.65 06/17 10:03", "0"
"Gossiping#M.1560736591.A.2A7#00036", "SJphoto", "可以不用回來台灣", "69.203.6.207 06/17 10:03", "0"
"Gossiping#M.1560736591.A.2A7#00037", "shizai", "噁爛", "101.137.90.159 06/17 10:05", "0"
"Gossiping#M.1560736591.A.2A7#00038", "dcoog7880", "X的", "118.161.3.214 06/17 10:05", "0"
"Gossiping#M.1560736591.A.2A7#00039", "miu2915", "對岸同胞 可以讓她簽留營好嗎", "223.140.174.120 06/17 10:05", "0"
"Gossiping#M.1560736591.A.2A7#00040", "erinyang81", "認真問，台灣沒有法律可以治治她們嗎？", "175.182.131.24 06/17 10:05", "1"
"Gossiping#M.1560736591.A.2A7#00041", "marsonele", "為什麼一個家庭可以有兩種極端立場出現", "123.195.47.196 06/17 10:07", "1"
"Gossiping#M.1560736591.A.2A7#00042", "sionxp", "這種人 可以當 主持人", "61.219.64.19 06/17 10:07", "0"
"Gossiping#M.1560736591.A.2A7#00043", "suntw", "這種傢伙算是通敵", "106.104.88.100 06/17 10:08", "0"
"Gossiping#M.1560736591.A.2A7#00044", "ps1", "叛國抓到了", "39.8.65.71 06/17 10:08", "0"
"Gossiping#M.1560736591.A.2A7#00045", "citywind", "想回去妳自己回去", "36.224.91.22 06/17 10:08", "0"
"Gossiping#M.1560736591.A.2A7#00046", "whiteflora6", "保密防碟人人有責，抓起來。", "180.217.188.173 06/17 10:09", "0"
"Gossiping#M.1560736591.A.2A7#00047", "Daz2005i", "可悲的是 台灣人還是有人支持這種言論", "61.216.8.211 06/17 10:09", "1"
"Gossiping#M.1560736591.A.2A7#00048", "kosuke", "沒加蓋 還不快滾回妳的支那俎國，這些舔共垃圾都是嘴巴愛中國而已", "118.160.112.236 06/17 10:09", "0"
"Gossiping#M.1560736591.A.2A7#00049", "DeadKaster", "有種放棄台灣國籍 孬孬", "27.52.190.68 06/17 10:10", "0"
"Gossiping#M.1560736591.A.2A7#00050", "wby0122", "幹", "180.204.1.7 06/17 10:10", "0"
"Gossiping#M.1560736591.A.2A7#00051", "awaken", "等台灣統一中國的時候我會考慮", "42.73.148.54 06/17 10:10", "0"
"Gossiping#M.1560736591.A.2A7#00052", "kevinkeynes", "妳們那一代？誰說妳能決定？噁心的投共", "42.77.243.56 06/17 10:10", "1"
"Gossiping#M.1560736591.A.2A7#00053", "chihiun", "現在叛國都不用處理的是嗎????????", "61.221.247.248 06/17 10:10", "0"
"Gossiping#M.1560736591.A.2A7#00054", "miacp", "一個家庭雙邊押寶，兩邊都能賺真D爽", "199.249.230.72 06/17 10:11", "0"
"Gossiping#M.1560736591.A.2A7#00055", "soarling", "要死為什麼不自己去勒", "114.137.254.220 06/17 10:11", "0"
"Gossiping#M.1560736591.A.2A7#00056", "Freeven", "你他媽要死去中國自己滾回去，操", "180.217.143.70 06/17 10:11", "0"
"Gossiping#M.1560736591.A.2A7#00057", "wwvvkai", "偉哲你妹 雖然你們家兩邊押寶 但是壓過頭", "220.135.180.61 06/17 10:11", "1"
"Gossiping#M.1560736591.A.2A7#00058", "Yehpin2823", "妳自己不會先回家", "27.247.104.54 06/17 10:13", "0"
"Gossiping#M.1560736591.A.2A7#00059", "malanna", "帶你媽", "180.177.12.226 06/17 10:14", "0"
"Gossiping#M.1560736591.A.2A7#00060", "ajingyong", "這一家人不錯，有智慧，雞蛋不放同一籃", "36.232.61.134 06/17 10:14", "1"
"Gossiping#M.1560736591.A.2A7#00061", "cschuan", "跟柯講的差不多", "202.89.121.108 06/17 10:15", "0"
"Gossiping#M.1560736591.A.2A7#00062", "key123987", "資進黨管一下好不好", "36.229.20.105 06/17 10:15", "0"
"Gossiping#M.1560736591.A.2A7#00063", "yushes920179", "你可以自己過去啊 操？ 有問過其他人意見？", "220.141.54.212 06/17 10:15", "1"
"Gossiping#M.1560736591.A.2A7#00064", "loveoichi", "先把這台奸撤銷國籍，不得使用健保", "49.217.133.60 06/17 10:16", "0"
"Gossiping#M.1560736591.A.2A7#00065", "LuckyQ", "臺灣不是中國的,要回去滾回去", "218.166.150.12 06/17 10:16", "0"
"Gossiping#M.1560736591.A.2A7#00066", "hikari22", "英糞什麼都要扯柯煩不煩", "27.52.102.85 06/17 10:17", "0"
"Gossiping#M.1560736591.A.2A7#00067", "ageha40113", "有病看醫生 但不准用臺灣健保！", "110.50.178.7 06/17 10:17", "0"
"Gossiping#M.1560736591.A.2A7#00068", "yy222499", "哥哥管一下", "49.216.128.234 06/17 10:17", "0"
"Gossiping#M.1560736591.A.2A7#00069", "JHGF2468A", "為什麼不是妳自己過去就好，襙你媽的垃圾賤婊子，最好死在半路上，幹你娘破麻，襙他媽的祖宗十八代", "49.218.63.61 06/17 10:20", "1"
"Gossiping#M.1560736591.A.2A7#00070", "tify0217", "還好你們那代快死光了", "36.233.107.27 06/17 10:20", "0"
"Gossiping#M.1560736591.A.2A7#00071", "GrowUp", "他們是外省家族還是有嚐到甜頭嗎?怎麼對中國這麼這麼癡狂想當中國人還把台灣拖下水", "42.77.125.240 06/17 10:21", "1"
"Gossiping#M.1560736591.A.2A7#00072", "ewjfd", "那妳們那一代的都去死一死，狗屎老人 扯台灣後腿", "61.224.158.226 06/17 10:21", "0"
