"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560752467.A.BEE#00000", "wx1112tz", "1.媒體來源:<br>新頭殼<br><br>2.記者署名<br>周煊惠<br><br>3.完整新聞標題:<br>港百萬人上街「積怨已久」 柯P：善意提醒 別給人家指三道四<br><br>4.完整新聞內文:<br>不滿香港政府硬推《逃犯條例》，加上12日港警對抗爭民眾的暴力對待，香港昨（16）日<br>大批民眾上街要求撤回修法與香港特首林鄭月娥下台，主辦單位稱參與人數高達200萬 1<br>人，勝過上週日103萬人紀錄。台北市長柯文哲今重申，他認為香港問題不是一條法令就<br>讓百萬人上街，一定只是「冰山一角」、「積怨已深」，但他也說，作為旁邊的台灣，只<br>是善意提醒，「我們也不要去給人家指三道四」、「我們也不要去講人家哪裡不對」。<br><br>柯文哲上午出席台以青少年台北會面活動，會前接受媒體聯訪，被問到怎麼看港府暫緩修<br>《逃犯條例》，柯文哲表示，政策三原則：民意、專業、價值，他倒覺得香港的問題是這<br>樣，不會是因為一條法令，大家一百多萬人上街頭，這不可能嘛，「這一定是冰山一角、<br>一定是積怨已深」，所以有時候累積的民怨要怎麼處理，香港政府要去思考。<br><br>柯文哲提到，作為旁邊的台灣，「我們只是善意提醒，我們也不要去給人家指三道四」，<br>他相信不管每個地方、每個地區，它有它的尊嚴，「 我們也不要去講人家哪裡不對」。<br><br>有媒體詢問，傳聞「白色聯盟」組黨，是否有和柯文哲聯繫，柯文哲說「沒有」，「至少<br>到現在為止沒有」。柯也意有所指地表示，三國演義第一句話「天下大事，分久必合、合<br>久必分」，就是分分合合，也滿自然的。<br><br>媒體追問，「白色聯盟」邀時代力量立委黃國昌入黨，是否和柯文哲也有合作空間，柯聽<br>聞後，反問「我是很奇怪黃國昌不是還在時代力量嘛？他要脫黨了嗎？」並稱自己已經很<br>久沒看到黃國昌了。<br><br>至於兩人路線是否相同？柯文哲指出，「黃國昌如果是打弊案還滿厲害的，其他的就……<br>沒什麼特別有印象的」，若未來要合作，柯認為看合作內容，他也不曉得，一切再說。<br><br>至於柯文哲昨與網紅「館長」陳之漢專訪直播時說，不要忘記明朝的故事，袁崇煥被自己<br>人幹掉，滿清才入關，「我們自己內部要曉得，內部利用機會幹掉自己人」。柯今被問到<br>是台灣袁崇煥？他說，「不會吧，那應該是（前行政院長）賴清德，怎麼會是我？」柯更<br>稱，他要演努爾哈赤，不要演袁崇煥，隨後又笑說努爾哈赤在寧遠城被火砲打死，能不能<br>換一個比較好的角色？「當多爾袞好了。」<br><br>5.完整新聞連結 (或短網址):<br>https://newtalk.tw/news/view/2019-06-17/260854<br><br>6.備註:<br>原來柯文哲口口聲聲講民主自由人權<br>還有分地區阿<br>「我們也不要去講人家哪裡不對」<br>香港人有錯嗎？相信應該是沒有<br><br>那香港政府定調暴動、用槍對準平民  也不能說他不對嗎？<br>這不是最基本的譴責嗎？ 現在全世界關心民主和這件事的人<br>都在指責中國和港府不對耶<br><br><br>也是啦  不要理它 不要挑釁  只是小波浪～～～<br><br><br>「我們也不要去給人家指三道四」、「我們也不要去講人家哪裡不對」<br>中國在對台灣喊一堆雞八毛的時候  你這套怎麼不搬出來用<br><br>相信不管每個地方、每個地區，它有它的尊嚴<br>幹你娘哩 結果總統在捍衛我們的尊嚴  你公開嘴她是抗中嗆中<br><br>我操 柯屁自助餐吃好吃滿唷<br><br>真懷念2014聲援香港的阿北 https://reurl.cc/qjLVD<br>--<br>", "", ""
"Gossiping#M.1560752467.A.BEE#00001", "markban", "娘炮文哲", "49.214.193.178 06/17 14:21", "0"
"Gossiping#M.1560752467.A.BEE#00002", "VVizZ", "臭俗辣", "211.21.120.163 06/17 14:21", "0"
"Gossiping#M.1560752467.A.BEE#00003", "a71y242", "我只會說柯狗死了", "39.9.233.77 06/17 14:21", "0"
"Gossiping#M.1560752467.A.BEE#00004", "bicedb", "這是中國人的事 台灣人沒資格說三道四", "180.176.208.45 06/17 14:21", "0"
"Gossiping#M.1560752467.A.BEE#00005", "hyuchi0202", "散步仔關台灣屁事 中國內政", "114.36.4.119 06/17 14:22", "0"
"Gossiping#M.1560752467.A.BEE#00006", "bbo9527", "可是我看你嘴美國也很開心阿", "123.205.63.122 06/17 14:22", "0"
"Gossiping#M.1560752467.A.BEE#00007", "MurMur", "2014你撐香港的表態 怎麼態度差那麼多~", "114.24.29.33 06/17 14:22", "0"
"Gossiping#M.1560752467.A.BEE#00008", "nakayamayyt", "兩百萬人不守秩序就是不對 不過柯師父心存善念 就不指責暴民了", "118.161.172.76 06/17 14:22", "1"
"Gossiping#M.1560752467.A.BEE#00009", "KangSuat", "善意提醒香港人別太囂張，香港人作為中國公民要守中國法令", "61.227.247.200 06/17 14:22", "0"
"Gossiping#M.1560752467.A.BEE#00010", "SinShih", "柯就是欠譙而已 沒別的了", "42.74.196.167 06/17 14:22", "0"
"Gossiping#M.1560752467.A.BEE#00011", "ekoj", "對上中國  能期待他說什麼？", "61.230.45.141 06/17 14:23", "0"
"Gossiping#M.1560752467.A.BEE#00012", "mailismine", "唇亡齒寒", "59.124.191.190 06/17 14:23", "0"
"Gossiping#M.1560752467.A.BEE#00013", "AIDM", "幹我真的聽不下去", "111.241.215.88 06/17 14:23", "0"
"Gossiping#M.1560752467.A.BEE#00014", "eric82531", "阿北怎ㄌ", "223.141.2.57 06/17 14:23", "0"
"Gossiping#M.1560752467.A.BEE#00015", "holioholio", "舔共柯不愧是舔共柯", "203.69.34.205 06/17 14:23", "0"
"Gossiping#M.1560752467.A.BEE#00016", "powershift", "所以只對中國善意？人家對台灣只有疝意", "36.226.161.120 06/17 14:23", "1"
"Gossiping#M.1560752467.A.BEE#00017", "RCmk199x", "幹柯粉還說不舔共？", "101.13.99.159 06/17 14:24", "0"
"Gossiping#M.1560752467.A.BEE#00018", "userpeter", "推備註！", "180.177.56.101 06/17 14:24", "0"
"Gossiping#M.1560752467.A.BEE#00019", "j31712", "別給人家(中國)指三道四，但可以嘴美國 XD", "97.127.34.219 06/17 14:24", "1"
