"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560766246.A.9D2#00000", "oppo5566", "柯：獨派很奇怪！喊一邊一國卻管另一國幹什麼<br><br>2019-06-17 16:30聯合報 記者楊凱竣╱即時報導<br><br>為了要求退回「逃犯條例」法案，200萬香港民眾自發性參與反送中遊行活動，香港特首林<br>鄭月娥15日也宣布暫緩修訂，台北市長柯文哲上午參加台灣與以色列青少年交流活動時被記<br>者問到，柯文哲回應「我不認為是因為一條法令，一百多萬人上街頭，不可能嘛，這一定是<br>冰山之一角，一定是積怨已深，所以有時候累積的民怨怎麼處理，是香港政府要去思考的。<br>」媒體也問柯，是否認為自己是台灣袁崇煥？柯笑說應該是賴清德，他自己是努爾哈赤，又<br>說想改當多爾袞。<br><br>而柯文哲16日上網紅館長直播時批，獨派聲稱「一邊一國」卻不斷管其他國家的事，柯文哲<br>17日再強調，「愛的相反詞不是恨，是冷漠，如果是你說一邊一國，每天去管人家，管另外<br>一國另外一邊的事幹什麼，也是奇怪欸！」<br><br><br>https://udn.com/news/story/6656/3876914<br><br><br>慘了，講出實話，又要被1450罵了QQQQ<br><br>--<br>", "", ""
"Gossiping#M.1560766246.A.9D2#00001", "sjlee1127", "支那市長", "36.225.21.230 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00002", "kent", "罵中國心疼了？", "1.160.95.21 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00003", "lwamp", "樓下1450噓", "180.217.152.87 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00004", "l19", "1450快噓", "220.132.104.86 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00005", "yel203zxc", "那美國更無聊啦，管那麼遠幹嘛", "223.139.114.223 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00006", "lesnaree2", "覺青口中的他國事務是浮動的標準", "175.96.96.17 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00007", "n00298", "這啥邏輯", "42.73.18.88 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00008", "believefate", "你不說要統人家中國 怎麼你又不管了", "42.75.5.56 06/17 18:11", "1"
"Gossiping#M.1560766246.A.9D2#00009", "albert1229", "廠工1450英粉要進攻了！說實話不行逆", "36.233.206.245 06/17 18:11", "1"
"Gossiping#M.1560766246.A.9D2#00010", "kuosha", "敵國侵略不用關心？", "49.217.1.234 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00011", "sbflight", "死共狗", "180.217.189.6 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00012", "hoks", "慘，又要被出征了", "49.216.25.23 06/17 18:11", "0"
"Gossiping#M.1560766246.A.9D2#00013", "c780412", "因為國內不少人想被統阿 我都開始懷疑你你也想被統了", "124.218.150.193 06/17 18:12", "1"
"Gossiping#M.1560766246.A.9D2#00014", "tysh710320", "去甲賽啦 敢你娘哩", "111.241.32.18 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00015", "zeldo", "因為那一國要併吞我們啊。", "36.225.2.139 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00016", "ROBrandenbur", "澳洲人也管滿遠的", "114.136.80.133 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00017", "bloodyway", "人家褲子脫一半要上你了 你還在那冷漠", "223.137.72.164 06/17 18:12", "1"
"Gossiping#M.1560766246.A.9D2#00018", "darkbrigher", "超北市長整天管總統哩", "111.242.30.156 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00019", "mared", "哈哈 覺青不是很喜歡他國事務嗎？覺青崩潰", "223.137.36.242 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00020", "gogobar", "台獨狗賤種柯黑真的是人渣集合體", "182.73.55.146 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00021", "Handway", "毫無普世價值", "49.215.208.90 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00022", "ice80712", "1450又生氣了", "42.73.207.243 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00023", "abramtw", "裝笨 還是真的不懂民主普世價值", "1.169.241.174 06/17 18:12", "0"
"Gossiping#M.1560766246.A.9D2#00024", "hoks", "有台灣價值說啥都對，就如中國信用評比", "49.216.25.23 06/17 18:13", "0"
"Gossiping#M.1560766246.A.9D2#00025", "sinon0123", "人家褲子脫一半要上你了 你還在那冷漠那你去跟你主人國台辦講", "175.181.244.80 06/17 18:13", "1"
"Gossiping#M.1560766246.A.9D2#00026", "monkeydieboy", "師傅這句話我無法理解 煩請版上柯學家們說文解字一下", "223.139.119.125 06/17 18:13", "1"
