"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560785297.A.CBA#00000", "MAGPUL", "1.媒體來源:<br>※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）<br><br>聯合<br>2.記者署名<br>※ 沒有記者署名的新聞會被版主刪除喔<br>記者蔡孟妤╱即時報導<br><br>3.完整新聞標題:<br>※ 標題沒有完整寫出來 ---> 依照板規刪除文章<br>再不補助登革熱 韓國瑜：有人得登革熱算蘇院長頭上<br><br>4.完整新聞內文:<br>※ 社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！<br><br>高市長韓國瑜上中天電視台「新聞深喉嚨」戶外開講節目，與會來賓紛紛砲轟中央卡韓，<br>請求登革熱防疫補助受阻，總統府秘書長陳菊還說有第二預備金可用。韓國瑜撂重話說，<br>如果行政院再不撥款，「再有人得登革熱，就算蘇院長頭上」。<br><br>「新聞深喉嚨」今到高雄鳳山五甲龍成宮舉行戶外開講節目，韓國瑜再次針對登革熱防疫<br>，呼籲行政院一定要重視，一定要讓疫情壓下來。<br><br>主持人王又正批行政院重視的不是壓疫情，是壓韓國瑜。來賓謝寒冰也痛批行政院長蘇貞<br>昌自甘墮落當錦衣衛，故意在院會用攝影機不斷拍韓；高市前市長陳菊說有第二預備金可<br>用，但第二預備金不是這樣用的，現再把錢用光，接下來怎辦。<br><br>謝寒冰說，韓去拜訪高雄9立委，但不是閃躲，就是叫他去用第二預備金，陳菊連第二預<br>備金多少都不清楚，此事重點是中央要給經費！韓國瑜也撂重話說：「行政院再不撥款補<br>助，若高雄再有人得登革熱，算蘇院長頭上，就這麼簡單！」<br><br>韓國瑜說，針對登革熱疫情，當然中央地方要一起努力，蚊子不分藍綠，呼籲市民一定要<br>把環境弄好，並配合鄰、里長和市府，把家園弄乾淨，自己讓高雄發光發熱，同時也需要<br>中央給高雄錢。「希望中央、高雄聯手面對登革熱，身為市長我必須拜託，也希望鄉親團<br>結起來。」<br><br>新聞局長王淺秋說，陳菊說她過去登革熱疫情控制的非常好，4、5年來登革熱數字都是個<br>位數，「請問各位這5年來幾位數？五位數！」另陳菊說的第二預備金不是5億，是4億。<br><br>王淺秋還說，現在衛福部已把高市的申請補助送到蘇貞昌那，呼籲蘇以高雄人命為優先，<br>「現在不敢罵他，錢在他手上，請蘇院長趕快撥預算給高雄！」<br><br>高市立委參選人、國民黨高市議員陳美雅說，高市登革熱疫情只看到一個人去行政院彎腰<br>，又去立院為高市民鞠躬哈腰，「民進黨再怎野蠻，也不該卡防疫救命錢」，高市防疫專<br>款費用，也是納稅人的錢，防疫不分中央地方和藍綠，「高雄市民進黨立委你在哪裡？」<br>請中央盡速補助登革熱專案經費。<br><br><br>5.完整新聞連結 (或短網址):<br>※ 當新聞連結過長時，需提供短網址方便網友點擊<br>https://udn.com/news/story/6656/3877408<br><br>6.備註:<br>※ 一個人一天只能張貼一則新聞，被刪或自刪也算額度內，超貼者水桶，請注意<br><br>--<br>", "", ""
"Gossiping#M.1560785297.A.CBA#00001", "r30385", "87", "122.146.71.220 06/17 23:28", "0"
"Gossiping#M.1560785297.A.CBA#00002", "ted01234567", "好好笑", "114.25.93.148 06/17 23:28", "0"
"Gossiping#M.1560785297.A.CBA#00003", "zold", "這個人的新聞.............膩了", "49.216.244.223 06/17 23:29", "0"
"Gossiping#M.1560785297.A.CBA#00004", "Jason0813", "一直跑造勢活動還敢講防疫", "36.224.173.40 06/17 23:29", "0"
"Gossiping#M.1560785297.A.CBA#00005", "T8", "光頭何苦為難光頭，超無恥的 韓國瑜這個爛貨", "223.137.63.138 06/17 23:29", "0"
"Gossiping#M.1560785297.A.CBA#00006", "shyangwang", "可恥", "103.3.194.12 06/17 23:29", "0"
"Gossiping#M.1560785297.A.CBA#00007", "saisai34", "老實說 好像有點不太對", "124.12.69.121 06/17 23:29", "0"
"Gossiping#M.1560785297.A.CBA#00008", "rookiecop", "所以還有錢啊 那叫個屁啊，錢花在哪 列細目出來看看不就好啦", "125.230.210.145 06/17 23:29", "0"
"Gossiping#M.1560785297.A.CBA#00009", "Szss", "搞砸了 算別人頭上", "49.214.180.122 06/17 23:29", "0"
