"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560832762.A.54E#00000", "changbsd", "1.媒體來源:<br>※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）<br>ETtoday<br><br>2.記者署名<br>※ 沒有記者署名的新聞會被版主刪除喔<br>記者陳家祥／台北報導<br><br>3.完整新聞標題:<br>※ 標題沒有完整寫出來 ---> 依照板規刪除文章<br>蔡英文2020「毀柯滅韓」？柯文哲直言好害怕、要媒體別做幫兇<br><br>4.完整新聞內文:<br>※ 社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！<br>民進黨總統初選結果日前出爐，由尋求連任的總統蔡英文出線，同是在參選總統動態上受<br>到關注的柯文哲，談到有名嘴爆料小英下一步是「毀柯滅韓」，柯文哲則無奈表示，「打<br>只是皮肉傷啊，毀滅是消滅」、「我好害怕」。<br><br>名嘴黃暐瀚日前在臉書分析總統大選，若以籃球比賽比喻，對蔡英文來說「初選勝賴」是<br>她的第一節，接下來的第二節比賽，主軸叫做「毀柯滅韓」；他認為，毀柯用「抹紅戰」<br>，正好這波香港反送中，百萬人走上街頭，台灣的年輕人大多反中，柯文哲的「兩岸一家<br>親」，變成解釋不了的「不反中」證據。<br><br>對此，柯文哲18日結束北市首件危老重建案開工典禮後，受訪被問及此事時還糾正提問媒<br>體，是黃暐瀚指「毀柯滅韓」，非「打柯滅韓」，他直言自己有上網查過，打不會怎麼樣<br>，「打只是皮肉傷啊，毀滅是消滅。」<br><br>對於毀柯行動會不會成功、蔡英文陣營會怎麼打的提問，柯文哲則對媒體表示，「要靠你<br>們幫忙，你們不要做幫兇就比較不容易」、「不曉得，還沒想出來」。<br><br>媒體還問到，會不會擔心被消滅？柯文哲說，「This is good question」，稱自己好害<br>怕，反正每天晚上看call in節目就知道，一定會透漏訊息的。<br><br>5.完整新聞連結 (或短網址):<br>※ 當新聞連結過長時，需提供短網址方便網友點擊<br>https://www.ettoday.net/news/20190618/1469703.htm<br><br>6.備註:<br>※ 一個人一天只能張貼一則新聞，被刪或自刪也算額度內，超貼者水桶，請注意<br>畜牲空心蔡又要出招了<br>果然是畜牲，用陰招陰掉缺德後，又想挖洞給柯跳<br>這種畜牲真的要消滅牠.......畜牲空心蔡<br><br>--<br>", "", ""
"Gossiping#M.1560832762.A.54E#00001", "obovqq", "怕怕QQ", "27.52.128.215 06/18 12:39", "0"
"Gossiping#M.1560832762.A.54E#00002", "threebig", "看到柯就是噓啦", "114.40.69.229 06/18 12:39", "0"
"Gossiping#M.1560832762.A.54E#00003", "g8330330", "你的備註很糟糕阿", "36.235.8.29 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00004", "awesomeSS66", "馬尾漢", "114.25.122.95 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00005", "pomelo0129", "柯請假去雲林沒空理啦", "101.9.97.86 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00006", "MrXD", "會怕就好 但還是會打你", "111.253.206.221 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00007", "aa55667878", "好恐怖喔", "73.222.85.71 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00008", "gunfighter", "堅決打倒所有反動派", "39.8.160.41 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00009", "generally", "柯屁要先滅掉DPP,以報一箭之仇", "61.228.189.85 06/18 12:40", "0"
"Gossiping#M.1560832762.A.54E#00010", "cosmosQQ", "你們還在发大财？？？....紫色媒體？一堆渣想要讓KMT重返中國？", "42.74.234.116 06/18 12:41", "0"
"Gossiping#M.1560832762.A.54E#00011", "miacp", "1450噓起來！", "37.220.36.240 06/18 12:41", "0"
"Gossiping#M.1560832762.A.54E#00012", "EggAcme", "黃暐瀚的話能信?", "36.234.144.170 06/18 12:41", "0"
"Gossiping#M.1560832762.A.54E#00013", "Omara", "人家根本沒在理你了，你是在害怕空氣喔?", "1.175.180.48 06/18 12:41", "0"
