"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560834079.A.F8C#00000", "nnnn", "臉書卦點說明：<br>內容說明該黨對九二共識的堅持立場，他們認為這利於和平發展兩岸關係，<br>並且反對台獨。<br><br>（繁體中文 20 個字）<br><br>臉書連結：https://bit.ly/2XUqpCb<br><br>ＦＢ內容：<br>【堅持九二共識！曾永權副主席籲大陸穩定執行兩岸協議】<br><br>國民黨曾永權副主席兼秘書長昨日參加「海峽論壇」開幕式，強調「九二共識」就是兩岸<br>交流的壓倉石，也像是摩天大樓裡的阻尼器，可以妥善維繫兩岸之間的和平穩定發展，絕<br>對值得兩岸共同珍惜與堅持。如果執政者利用政治算計，持續污蔑「九二共識」，惡意挑<br>動兩岸人民的敏感神經，阻礙兩岸之間的交流，則必然會在接下來的選舉中，繼續被選民<br>用選票唾棄。<br><br>曾副主席也特別對大陸方面提出幾項呼籲，包括兩岸之間已經簽署的協議應穩定克服阻礙<br>、堅決穩定的執行；希望大陸方面能夠維持陸生與陸客一定的人數與品質；以及兩岸之間<br>曾經建構的「農產品緊急採購機制」，也應穩定且堅定的執行。<br><br>曾副主席強調，中國國民黨堅持九二共識、反對台獨，在這樣的基礎上，推動兩岸交流、<br>維護台海和平！<br><br>#兩岸交流壓倉石<br>#九二共識不是一國兩制<br>#國民黨反對一國兩制<br><br><br>※ 臉書爆卦請用ＦＢ當標題，並附上２０繁體中文說明卦點，違者水桶一個月。<br><br>※ 注意！濫用ＦＢ爆卦視同鬧板文處理。<br><br>※ 記得要附上來源網址。<br><br>--<br>", "", ""
"Gossiping#M.1560834079.A.F8C#00001", "kent", "共匪都不跟你九二共識了 國民黨還在國王新衣", "1.160.95.21 06/18 13:01", "1"
"Gossiping#M.1560834079.A.F8C#00002", "TPDC", "？", "211.21.101.138 06/18 13:01", "0"
"Gossiping#M.1560834079.A.F8C#00003", "s820912gmail", "https//i.imgur.com/t0yDdoi.jpg", "101.14.244.29 06/18 13:01", "1"
"Gossiping#M.1560834079.A.F8C#00004", "WeGoYuSheng", "吃屎", "115.82.77.93 06/18 13:02", "0"
"Gossiping#M.1560834079.A.F8C#00005", "legendmtg", "九二共識不是一國兩制是什麼，整天睜眼說瞎話 垃圾黨", "202.246.252.97 06/18 13:02", "0"
"Gossiping#M.1560834079.A.F8C#00006", "sonota", "所以要一制 ？", "150.116.104.48 06/18 13:02", "0"
"Gossiping#M.1560834079.A.F8C#00007", "WTF55665566", "幹你娘賣台政黨，票投國民黨 台灣變香港", "223.136.102.67 06/18 13:02", "0"
"Gossiping#M.1560834079.A.F8C#00008", "bozesow", "想被統就是了", "101.12.184.160 06/18 13:02", "0"
"Gossiping#M.1560834079.A.F8C#00009", "yu750205", "九二就沒共識啊…到底跟誰在共識啦～", "124.12.53.230 06/18 13:02", "0"
