"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560835756.A.5FC#00000", "nnnn", "1.媒體來源:<br>中央社<br><br>2.記者署名<br>（中央社記者梁珮綺台北16日電）<br><br>3.完整新聞標題:<br>柯文哲：務實處理問題 知道在做什麼<br><br>4.完整新聞內文:<br>台北市長柯文哲今天指出，自己務實處理面對的問題，台灣需要的是生存、經濟變好及國<br>防夠強，「我知道我在幹什麼」，而任何事情蓋棺才能論定，他從未做過對不起台灣的事<br>。<br><br>柯文哲表示，前行政院長賴清德說自己是「務實的台獨工作者」，他認為，說出口就代表<br>不務實，自己在做什麼應該自己知道就好。他並引用民進黨前主席黃信介名言「台獨可以<br>做不可以說，統一可以說不可以做」，認為不用大聲嚷嚷。<br><br>柯文哲晚上接受館長（陳之漢）訪談，內容包括香港反送中遊行、兩岸關係及2020總統選<br>舉。<br><br>柯文哲在與館長進行直播時重申，自己是外科醫師出身，相當務實，如2017台北世大運和<br>平落幕、青天白日旗能進場、總統蔡英文以總統身分上台，就是他達成的目標，如台中東<br>亞青運就無法舉辦，他並詢問若只能二選一，會選哪一個。<br><br>柯文哲說，任何事情應蓋棺後才能論定，他從沒做過對不起台灣的事，他只是不喜歡藍綠<br>兩黨利用中美對抗局勢牟取個人利益，「什麼撿到槍、撿到砲，就沾沾自喜」。<br><br>對於兩岸關係，他說，親美友中是國家戰略，台灣的價值觀與美國比較接近，但不需要對<br>中國惡言相向，而是要務實處理面對的問題，「台灣整體利益以及人民福祉是最大考量」<br>，柯文哲說，台灣要清楚知道在美中對抗下需要什麼。<br><br>他認為，台灣軟實力夠強，所以要有信心，如讓中國人覺得台灣人的生活比較高尚、高級<br>，進而心生羨慕，否則若被認為無用，一切就完蛋。<br><br>柯文哲表示，或許可以介紹習近平看前總統蔣經國傳，慢慢釋放民主，「台灣可以給大陸<br>當參考，看有沒有可能」。<br><br>而在香港爆發反送中遊行後，柯文哲未明確表態支持或反對一國兩制，曖昧不明的態度，<br>讓日前他探視在台港生時被質問。<br><br>柯文哲說，一國兩制若成功，就不會有100萬人上街頭，宣傳應要七分真三分假，遊行只是<br>冰山一角，顯示積怨已深，因老百姓不可能為了一條法令就上街頭，「汽油桶已經在那，<br>火柴點下去就爆了」。<br><br>至於認為台灣是不是一個主權國家時，柯文哲說，國家組成三要素是土地、人民與政府，<br>「台灣是不是一個國家，是，但不正常」，因全世界只有2%國家承認台灣為一個國家，當<br>務之急是求生存，而後壯大自己，最後再想該怎麼辦。<br><br>他說，兩岸政策上他會堅持台灣主權，「跟國民黨不一樣的地方，是沒有當買辦，沒有做<br>生意」。<br><br>被問到軍購問題時，他表示，若美國要台灣交保護費，台灣不能不交，只是國防戰略應統<br>一，「台灣最近買M1戰車就怪怪的」，認為應加強海軍與空軍。<br><br>他認為，台灣的軍事力量在全世界排行前20名，只是運氣比較不好，對手是第二名，否則<br>相較於印尼、菲律賓，台灣還是強國。<br><br>5.完整新聞連結 (或短網址):<br>https://bit.ly/2WQmxAE<br><br>6.備註:<br>柯師父表示台灣運氣不好，對手是第二名，之前卻將第二名的對手比喻成警察，<br>第一名的美國被比喻成銀行，顯然他真的很務實，非常清楚自己在做什麼。<br>但是這跟台北市政有關嗎?<br><br>--<br>", "", ""
"Gossiping#M.1560835756.A.5FC#00001", "Xaymaca", "好  那怎麼面對高雄市長的問題?", "99.199.111.4 06/18 13:30", "0"
"Gossiping#M.1560835756.A.5FC#00002", "MurMur", "又變軍購專家了", "114.24.29.33 06/18 13:30", "0"
"Gossiping#M.1560835756.A.5FC#00003", "deepdish", "務實(X)先嘴先贏(O)", "220.134.89.190 06/18 13:30", "0"
"Gossiping#M.1560835756.A.5FC#00004", "threebig", "專心去舔共啦 這個你最會了 其他都不懂", "114.40.69.229 06/18 13:30", "1"
"Gossiping#M.1560835756.A.5FC#00005", "hong414", "你這樣不也說出口了QQ", "49.216.194.192 06/18 13:30", "0"
"Gossiping#M.1560835756.A.5FC#00006", "louis0210", "https//i.imgur.com/OkbMwWq.jpg", "1.161.41.221 06/18 13:31", "0"
"Gossiping#M.1560835756.A.5FC#00007", "ayuan", "柯seafood嘴砲功力最強惹", "118.168.192.28 06/18 13:31", "0"
"Gossiping#M.1560835756.A.5FC#00008", "nidhogg", "我最務實神功又來了，白痴", "117.19.210.51 06/18 13:31", "0"
"Gossiping#M.1560835756.A.5FC#00009", "gglong", "頭號韓粉 柯屁", "111.82.193.86 06/18 13:31", "0"
