"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560842097.A.F3F#00000", "DuDu", "新頭殼newtalk<br>周煊惠 台北市報導<br>小英喊嚴肅面對 柯P：我兩岸照稿唸 又說我選擇性亞斯伯格<br><br>總統蔡英文昨（17）日在澎湖聲援香港人民「反送中」行動時，對台北市長柯文哲喊話「<br>柯市長作為一個民選市長，對民主政治這件事要更嚴肅面對」。柯文哲今 (18) 日受訪則<br>酸回，人家說柯文哲什麼都亂講話，只有談到兩岸關係的時候照稿唸，從來不失言，「所<br>以人家說選擇性的亞斯伯格症，啊話都你們在說」、「一下說我嚴肅、一下說我不嚴肅，<br>奇怪！」<br><br>柯文哲上午出席北市首件危老重建工程開工典禮，會後接受媒體聯訪，對於柯昨指前行政<br>院長賴清德是袁崇煥遭質疑比喻失當，柯文哲說，人家每天講一句話，為何都一定要去穿<br>鑿附會，「何必這麼辛苦捏？」他認為，像他那天對小英說「恭喜皇上、賀喜皇上」，這<br>也是俏皮話而已，「你一定要柯文哲說小英是皇上，天吶！人活在世間，不要那麼嚴肅，<br>好不好？」<br><br>針對蔡總統對柯文哲喊話，身為民選市長，應該要對民主政治更嚴肅面對，媒體也追問柯<br>的看法。柯認為，其實他已經很嚴肅了，「奇怪，柯文哲什麼都亂講話，只有談到兩岸關<br>係的時候照稿唸，從來不失言，所以人家說選擇性的亞斯伯格症，啊話都你們在說」、「<br>一下說我嚴肅、一下說我不嚴肅，奇怪！」<br>https://newtalk.tw/news/view/2019-06-18/261246<br>6.備註:<br>說我選擇性啊嘶背骨症.....奇怪！<br><br>--<br>", "", ""
"Gossiping#M.1560842097.A.F3F#00001", "kent", "本來就選擇性啊", "1.160.95.21 06/18 15:15", "0"
"Gossiping#M.1560842097.A.F3F#00002", "VVizZ", "你念的是A版還是B版", "211.21.120.163 06/18 15:15", "0"
"Gossiping#M.1560842097.A.F3F#00003", "henryhao", "C", "218.161.49.97 06/18 15:15", "0"
"Gossiping#M.1560842097.A.F3F#00004", "STi2011", "不要有敵意麻", "59.125.79.58 06/18 15:15", "0"
"Gossiping#M.1560842097.A.F3F#00005", "zold", "～～～因為你不敢對中國政府「失言」～～～", "49.216.244.223 06/18 15:16", "1"
"Gossiping#M.1560842097.A.F3F#00006", "billray99", "嚴肅地舔，還是舔，很難懂嗎？", "123.204.134.240 06/18 15:16", "0"
"Gossiping#M.1560842097.A.F3F#00007", "sassuck", "zzzzzzzzzzzzzzzzzzz", "210.201.88.192 06/18 15:16", "0"
"Gossiping#M.1560842097.A.F3F#00008", "cd12631", "前兩天嗆很大發現帶風向失敗 今天轉型政治受虐兒形象 再把爸媽拖出來救援", "1.171.170.29 06/18 15:16", "1"
"Gossiping#M.1560842097.A.F3F#00009", "gy5566gy", "AB稿", "45.55.157.204 06/18 15:16", "0"
"Gossiping#M.1560842097.A.F3F#00010", "flybirdy", "他說的話已經沒參考價值了", "42.74.229.194 06/18 15:16", "0"
"Gossiping#M.1560842097.A.F3F#00011", "aleezible", "意思是叫你別那麼雙標，國內外嘴賤程度請一致好嗎", "101.137.110.119 06/18 15:17", "1"
"Gossiping#M.1560842097.A.F3F#00012", "sinon0123", "你媽媽說總統不能太軟 你又說挑釁", "175.181.244.80 06/18 15:17", "0"
"Gossiping#M.1560842097.A.F3F#00013", "Khatru", "原來你自己也知道喔！", "39.13.193.34 06/18 15:17", "0"
"Gossiping#M.1560842097.A.F3F#00014", "teremy", "AB稿還敢講...", "59.125.251.106 06/18 15:17", "0"
"Gossiping#M.1560842097.A.F3F#00015", "threebig", "完全不想在電視上看到柯 太噁心了", "114.40.69.229 06/18 15:18", "0"
"Gossiping#M.1560842097.A.F3F#00016", "kyowinner", "看來還是很在意網路唷", "175.182.249.37 06/18 15:18", "0"
"Gossiping#M.1560842097.A.F3F#00017", "Falcone", "松永久秀", "220.135.87.176 06/18 15:18", "0"
"Gossiping#M.1560842097.A.F3F#00018", "pslr1", "講的自己多重要似的", "49.218.75.186 06/18 15:19", "0"
"Gossiping#M.1560842097.A.F3F#00019", "MurMur", "照誰的搞?", "114.24.29.33 06/18 15:19", "0"
"Gossiping#M.1560842097.A.F3F#00020", "winnietslock", "每天一幹話  每日任務完成", "223.136.178.228 06/18 15:19", "0"
"Gossiping#M.1560842097.A.F3F#00021", "icecold52", "柯P自己愛嘴不要怪別人檢討好嗎", "123.193.176.28 06/18 15:19", "0"
"Gossiping#M.1560842097.A.F3F#00022", "mirza", "柯 寬以律己,嚴以待人了.GG思咪達", "111.252.18.212 06/18 15:19", "0"
"Gossiping#M.1560842097.A.F3F#00023", "hannahw0536", "風向好亂 給箭頭", "110.50.153.121 06/18 15:19", "0"
"Gossiping#M.1560842097.A.F3F#00024", "cwj9999", "敗壞亞斯伯格症名聲的噁心阿北", "223.139.162.34 06/18 15:20", "0"
"Gossiping#M.1560842097.A.F3F#00025", "nidhogg", "垃圾政治受虐兒還在消費亞斯伯格啊", "117.19.210.51 06/18 15:20", "0"
"Gossiping#M.1560842097.A.F3F#00026", "a1chemy", "他是不懂“選擇性”是什麼嗎？", "111.250.94.90 06/18 15:20", "0"
