"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560851115.A.B79#00000", "richshen", "1.媒體來源:<br><br>中時<br><br>2.記者署名<br><br>戴安瑋<br><br>3.完整新聞標題:<br><br>黑韓蚊子治不好 張善政一句反嗆爆蘇貞昌<br><br>4.完整新聞內文:<br><br>行政院長蘇貞昌、高雄市長韓國瑜連日來為了登革熱防治槓上，韓國瑜要求中央補助，若<br>中央不給，高雄再有一起登革熱就算蘇貞昌的，蘇貞昌則酸韓說，一隻蚊子都治不好，還<br>整天趴趴走想治國。對此，前行政院長張善政說，蘇貞昌心中只有藍綠沒有市民外，更公<br>開嗆蘇揆，「小英頂多挑你做副手，你也不可能當總統，你幹嘛豁這一招」。<br><br><br>張善政上節目「政治神邏輯」接受訪問時，針對蘇貞昌、韓國瑜為了登革熱一事槓上一事<br>表示，蘇貞昌就是心中有藍綠的政治人物，眼中只看到韓國瑜，沒有高雄市民；蘇貞昌眼<br>中應看到的是高雄市民感染登革熱、在發燒痛苦的高雄市民，而不是只有藍綠，只看韓國<br>瑜。<br><br>張善政並公開與蘇貞昌嗆聲說，蘇貞昌院長請你心中不要有藍綠，小英不管怎麼樣，頂多<br>只有挑你做副手（副總統），你也不可能當總統，你幹嘛豁這一招。<br><br>張善政表示，他在當行政院長時，心中沒有藍綠，幫高雄市長陳菊、台南市長賴清德防治<br>登革熱。當時賴清德市長向張善政爭取成立「國家蚊媒傳染病防治研究中心」即時運作，<br>很快地獲得協助，使得2016年台南只有兩個本土病例，2017年零病例。<br><br><br>5.完整新聞連結 (或短網址):<br><br>https://www.chinatimes.com/realtimenews/20190618003418-260407?chdtv<br><br>6.備註:<br><br>蛤?<br><br>「小英頂多挑你做副手，你也不可能當總統，你幹嘛豁這一招」<br><br>這句話就能讓喜韓兒高潮?<br><br>喜韓兒的腦到底裝什麼?<br><br><br>七月民調<br><br>#非韓不投!<br><br>--<br>", "", ""
"Gossiping#M.1560851115.A.B79#00001", "song6", "喔", "39.13.197.210 06/18 17:45", "0"
"Gossiping#M.1560851115.A.B79#00002", "highyes", "真心想看屁眼俠拖垮車輪黨 初選非含不投", "1.160.138.243 06/18 17:45", "1"
"Gossiping#M.1560851115.A.B79#00003", "eunhailoveu", "中時日常", "111.71.48.65 06/18 17:45", "0"
"Gossiping#M.1560851115.A.B79#00004", "s155260", "嗆爆？", "223.140.168.46 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00005", "Gilardino", "這邏輯?", "59.124.115.133 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00006", "yazeroplus", "就對人不對事，跳過問題直接人身攻擊韓導的得意技，底下嘍囉學著用", "1.163.50.212 06/18 17:46", "1"
"Gossiping#M.1560851115.A.B79#00007", "R10K", "這嗆爆什麼？", "117.19.236.117 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00008", "TokyoKind", "真的垃圾話多", "114.137.37.81 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00009", "wts4832", "張善政花蓮善款的事情到底搞定了沒", "1.200.214.55 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00010", "tenfu", "張善政 都沒戲了 還刷存在感", "114.25.33.172 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00011", "Benbenyale", "炮灰嗆光頭", "101.137.230.137 06/18 17:46", "0"
"Gossiping#M.1560851115.A.B79#00012", "lovejamwu", "這傢伙原來也是那麼瞎.當時大家還捧咧", "36.227.144.240 06/18 17:47", "1"
"Gossiping#M.1560851115.A.B79#00013", "witnessg", "可撥的含糞  媽媽知道你在1450嗎Q_Q", "36.230.33.117 06/18 17:47", "0"
"Gossiping#M.1560851115.A.B79#00014", "gaym19", "嗆暴?", "114.44.58.209 06/18 17:47", "0"
"Gossiping#M.1560851115.A.B79#00015", "dlam002", "嗆？有說什麼重點嗎？", "101.12.203.141 06/18 17:47", "0"
"Gossiping#M.1560851115.A.B79#00016", "vanadiu", "又是一個 刷存在的", "101.136.199.61 06/18 17:47", "0"
