"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560904145.A.50B#00000", "DowJones", "旺報<br><br>https://www.chinatimes.com/newspapers/20190619000160-260301?chdtv<br><br>川普連任兩張牌 握在北京手上<br><br><br><br>04:09 2019/06/19 旺報 呂佳蓉、北京<br>https://i.imgur.com/fFQbGKg.jpg<br>貿戰、朝鮮半島和談是川普連任兩大障礙。（新華社資料照片）<br><br><br><br>美國總統川普即將面臨連任的挑戰，有利他連任的兩大利多，一是中美貿易達成協議，二<br>是朝鮮半島和平協議，只要北京不點頭，川普顯然都難有巨大進展，兩大利多，隨時變成<br>兩大障礙。<br><br>中國人民大學國際關係學院外交學系主任李慶四表示，美方不應該期待在單方面傷害大陸<br>後，自身能全身而退，隨著美國離大選越來越接近，川普出牌也將到盡頭，因為出牌副作<br>用會越來越大。<br><br>從貿易摩擦來看，李慶四表示，美國的消費者生活支出增加，豆農也遭受到影響，這證明<br>貿易摩擦只有輸家沒有贏家。至於北韓問題，在川普上台後，美方將朝鮮半島問題與中美<br>關係綑綁，大陸因應也需通盤考慮，大陸要解綁的方式，就是加強與北韓的互動。<br><br>中國國際問題研究院研究員郭憲綱表示，中美貿易摩擦與北韓問題都需要大陸。中美貿易<br>摩擦沒有贏家，只有輸家；而北韓問題，在宣布大陸國家主席習近平出訪北韓前，大陸在<br>北韓問題上扮演一特殊角色，美方在這兩者問題上，沒辦法以一國之力，而有所作為。<br><br>郭憲綱指出，從川普連任的觀點上來看，中美貿易摩擦的影響顯然比北韓問題影響得多。<br>近來民調顯示出，川普在連任上並不樂觀，代表中美貿易摩擦影響選民利益。至於北韓問<br>題，對於美國選民的影響並不大，美朝關係緊張，但也不至於到開戰，不緊張對於美國選<br>民也沒有太大實質影響。<br><br>至於習近平訪問北韓的意涵，郭憲剛表示，外界大都將習近平將訪問北韓一事與中美關係<br>聯繫起來。但事實上，北韓領導人金正恩訪華多次，在外交上，大陸領導人勢必該回訪。<br>他強調，大陸盼北韓局勢能夠緩和，但是美國與北韓關係緊張，談判陷入僵局，並沒有與<br>大陸有直接聯繫。<br><br>郭憲綱表示，大陸是在朝鮮半島上能發揮影響力，大陸做為聯合國安理會的一員，又是北<br>韓的鄰國，本身與北韓又有較特殊的關係，因此能發揮一定影響。但是，這個影響早在習<br>近平訪問北韓就存在。整體而言，大陸的對朝政策不會發生變化。<br><br>#川普<br><br><br>--<br>", "", ""
"Gossiping#M.1560904145.A.50B#00001", "barber", "汪汪", "211.20.224.194 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00002", "zxasqw0246", "旺", "130.245.192.29 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00003", "bassblacktea", "旺", "36.239.110.241 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00004", "ckbdfrst", "汪汪", "61.224.185.104 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00005", "owhaha", "看到中國報就....", "59.125.219.193 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00006", "hsunting2000", "自以為是", "210.69.191.1 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00007", "lin0129", "汪汪汪", "175.96.83.175 06/19 08:29", "0"
"Gossiping#M.1560904145.A.50B#00008", "hit1003", "嘖嘖", "36.230.227.129 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00009", "joujima", "狗報啊", "104.132.213.107 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00010", "huemeop", "喔", "36.229.187.157 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00011", "armfire1911", "死狗報，整個公司應該吊路燈", "223.141.50.99 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00012", "cecille", "狗", "117.19.149.237 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00013", "mopigou", "看標題就知道是狗報", "114.44.118.216 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00014", "g8330330", "拿出點實力好嗎 美國根本不痛不癢", "36.235.8.29 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00015", "ciswww", "赫然發現川普手上有50張牌", "128.32.129.119 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00016", "kavengany", "標題一看就知道是哪家", "42.77.231.38 06/19 08:30", "0"
"Gossiping#M.1560904145.A.50B#00017", "elainakuo", "汪汪", "36.225.41.99 06/19 08:31", "0"
"Gossiping#M.1560904145.A.50B#00018", "wwf0322", "87", "27.242.204.205 06/19 08:31", "0"
"Gossiping#M.1560904145.A.50B#00019", "threebig", "看標題就知道是哪家報紙", "114.40.103.3 06/19 08:31", "0"
"Gossiping#M.1560904145.A.50B#00020", "jimihsu", "習近平當皇帝都不用想連任問題", "114.24.31.125 06/19 08:31", "0"
"Gossiping#M.1560904145.A.50B#00021", "twptt", "噁", "223.140.170.240 06/19 08:32", "0"
"Gossiping#M.1560904145.A.50B#00022", "kmshy", "這種草包新聞大多都跳仔在發", "223.139.53.254 06/19 08:33", "0"
"Gossiping#M.1560904145.A.50B#00023", "hill1", "看標題就知道是來自那邊的報紙", "223.137.81.146 06/19 08:34", "0"
"Gossiping#M.1560904145.A.50B#00024", "haha7456", "汪汪汪汪", "111.83.82.233 06/19 08:34", "0"
"Gossiping#M.1560904145.A.50B#00025", "jeffery95099", "...", "110.26.64.224 06/19 08:34", "0"
"Gossiping#M.1560904145.A.50B#00026", "elec1141", "摁 全世界都怕中國 你們可以下去了", "223.137.251.35 06/19 08:34", "0"
"Gossiping#M.1560904145.A.50B#00027", "Lenney33", "狗報", "1.164.10.79 06/19 08:35", "0"
"Gossiping#M.1560904145.A.50B#00028", "td770715", "支那又淫了", "59.120.133.194 06/19 08:35", "0"
"Gossiping#M.1560904145.A.50B#00029", "APUDOOR", "北京？", "101.9.208.213 06/19 08:35", "0"
"Gossiping#M.1560904145.A.50B#00030", "WGG5566", "汪汪汪", "211.21.223.1 06/19 08:36", "0"
"Gossiping#M.1560904145.A.50B#00031", "floyd", "新加坡的朋友你好", "117.56.101.7 06/19 08:36", "0"
"Gossiping#M.1560904145.A.50B#00032", "ZhouGongJin", "怎麼可能，別鬧了。習的地位更危險", "114.47.102.142 06/19 08:36", "1"
"Gossiping#M.1560904145.A.50B#00033", "otld", "喔喔 中國是最大贏家耶", "36.239.203.13 06/19 08:37", "0"
"Gossiping#M.1560904145.A.50B#00034", "wayhowhown", "中國怎麼都很愛這種ㄚQ的標題 笑死", "101.136.172.203 06/19 08:38", "0"
"Gossiping#M.1560904145.A.50B#00035", "gz", "支那持續自慰中", "220.128.102.67 06/19 08:38", "0"
"Gossiping#M.1560904145.A.50B#00036", "gunfighter", "未看先猜 狗報", "27.246.166.51 06/19 08:39", "0"
"Gossiping#M.1560904145.A.50B#00037", "sixis", "支那自古以來的精神勝利法，中國這次又贏了", "223.137.67.50 06/19 08:39", "1"
"Gossiping#M.1560904145.A.50B#00038", "konichiwaman", "?平行時空？", "12.145.6.12 06/19 08:39", "0"
"Gossiping#M.1560904145.A.50B#00039", "GenesisXD", "哦哦 中國又要成最大贏家了 讚", "223.136.71.124 06/19 08:41", "0"
"Gossiping#M.1560904145.A.50B#00040", "timetolove", "狗報這樣寫，代表中國快沒招因應了", "27.247.40.191 06/19 08:42", "0"
"Gossiping#M.1560904145.A.50B#00041", "soarling", "喔 川川很怕", "114.137.254.220 06/19 08:43", "0"
"Gossiping#M.1560904145.A.50B#00042", "forbeat", "趣味的報紙", "27.242.170.34 06/19 08:43", "0"
"Gossiping#M.1560904145.A.50B#00043", "balius", "狗報又在自慰惹", "211.20.105.128 06/19 08:44", "0"
"Gossiping#M.1560904145.A.50B#00044", "BRANFORD", "中國恐終成最大贏家", "106.105.185.11 06/19 08:45", "0"
"Gossiping#M.1560904145.A.50B#00045", "war3", "垃圾畜生報", "49.216.9.50 06/19 08:47", "0"
"Gossiping#M.1560904145.A.50B#00046", "LordOfCS", "笑了哈哈哈哈哈哈哈哈", "223.140.99.121 06/19 08:48", "0"
"Gossiping#M.1560904145.A.50B#00047", "sado0079", "狗報", "182.93.47.10 06/19 08:48", "0"
"Gossiping#M.1560904145.A.50B#00048", "ms0545173", "厲害了 你的國", "49.217.128.89 06/19 08:49", "0"
"Gossiping#M.1560904145.A.50B#00049", "randolph80", "中共報就是中共報", "49.217.7.229 06/19 08:51", "0"
"Gossiping#M.1560904145.A.50B#00050", "gn00027535", "87報", "223.140.58.187 06/19 08:51", "0"
"Gossiping#M.1560904145.A.50B#00051", "iocal", "旺報是不是認為中國才是全世界的老大啊", "114.47.17.68 06/19 08:52", "0"
"Gossiping#M.1560904145.A.50B#00052", "SupCat", "智障", "27.52.62.4 06/19 08:53", "0"
"Gossiping#M.1560904145.A.50B#00053", "chriter", "旺中，幹推錯補噓", "114.44.204.164 06/19 08:55", "0"
"Gossiping#M.1560904145.A.50B#00054", "Zeroyeu", "有病", "117.56.249.235 06/19 08:55", "0"
"Gossiping#M.1560904145.A.50B#00055", "coupon", "翻墻不累嗎", "180.217.99.58 06/19 08:58", "0"
"Gossiping#M.1560904145.A.50B#00056", "BaGaJohn5566", "智障", "27.52.200.51 06/19 08:58", "0"
"Gossiping#M.1560904145.A.50B#00057", "voyhanxu", "新加坡人你好", "111.82.2.144 06/19 08:58", "0"
"Gossiping#M.1560904145.A.50B#00058", "chriter", "科科", "114.44.204.164 06/19 08:59", "0"
"Gossiping#M.1560904145.A.50B#00059", "alpha008", "狗報汪汪", "220.128.123.190 06/19 08:59", "0"
"Gossiping#M.1560904145.A.50B#00060", "kixer2005", "笑死", "180.217.205.97 06/19 09:00", "0"
"Gossiping#M.1560904145.A.50B#00061", "ZhaiMan", "犬報不意外", "101.11.20.3 06/19 09:02", "0"
"Gossiping#M.1560904145.A.50B#00062", "DrGun", "好啦好啦美國總統能不能連任你中共說了算啦", "118.160.98.140 06/19 09:04", "1"
"Gossiping#M.1560904145.A.50B#00063", "bimmers0", "匪報", "172.58.16.71 06/19 09:05", "0"
"Gossiping#M.1560904145.A.50B#00064", "jamison04", "那習得懶趴是不是也被川普緊握啊嘻嘻", "39.10.1.94 06/19 09:06", "1"
"Gossiping#M.1560904145.A.50B#00065", "gtsp0964", "真棒~中國又淫了", "114.34.31.212 06/19 09:07", "0"
"Gossiping#M.1560904145.A.50B#00066", "steven0503", "支共馬前卒又來吠了 自以為是 笑死", "114.40.178.229 06/19 09:08", "0"
"Gossiping#M.1560904145.A.50B#00067", "victciv", "明明是墨西哥移民以及和伊朗關係，而且美國打算限制中國人在美就業，以保障國人就業機會", "1.162.154.16 06/19 09:09", "0"
"Gossiping#M.1560904145.A.50B#00068", "a6300202", "川普連牌都不屑跟中國打啦", "39.8.41.214 06/19 09:09", "0"
"Gossiping#M.1560904145.A.50B#00069", "Scott850205", "低能", "42.77.81.154 06/19 09:12", "0"
"Gossiping#M.1560904145.A.50B#00070", "ytw8216", "狗報旺旺叫，笑死，有種打下去，每年都給民進黨助選還不夠，現在要給川普助選", "1.34.161.65 06/19 09:17", "1"
"Gossiping#M.1560904145.A.50B#00071", "patiger", "未看先猜狗報", "223.139.230.78 06/19 09:22", "0"
"Gossiping#M.1560904145.A.50B#00072", "notmine", "噁", "49.216.4.35 06/19 09:24", "0"
"Gossiping#M.1560904145.A.50B#00073", "huyee", "汪汪汪", "223.141.113.120 06/19 09:27", "0"
"Gossiping#M.1560904145.A.50B#00074", "lbvowrc", "汪汪", "101.12.180.69 06/19 09:32", "0"
"Gossiping#M.1560904145.A.50B#00075", "ulamong", "IP 新加坡", "123.193.116.250 06/19 09:53", "0"
"Gossiping#M.1560904145.A.50B#00076", "oops66", "白癡旺報 自以為", "210.61.209.67 06/19 09:58", "0"
"Gossiping#M.1560904145.A.50B#00077", "GAinvisible", "我們最想要的東西～ 只握在喜歡的人手上～", "27.52.62.192 06/19 09:58", "1"
"Gossiping#M.1560904145.A.50B#00078", "Playlemon", "看標題就知道是噁爛狗報。幹你娘！", "211.75.238.193 06/19 10:06", "0"
"Gossiping#M.1560904145.A.50B#00079", "GABA", "雙規川普啦", "223.136.183.230 06/19 10:11", "0"
"Gossiping#M.1560904145.A.50B#00080", "spawnzeta", "跳板仔", "42.75.222.171 06/19 10:12", "0"
"Gossiping#M.1560904145.A.50B#00081", "x0003", "大家623見", "114.136.165.91 06/19 10:16", "0"
"Gossiping#M.1560904145.A.50B#00082", "johnruby", "新加坡習粉", "140.112.217.58 06/19 10:17", "0"
"Gossiping#M.1560904145.A.50B#00083", "hundal", "垃圾統媒狗文章", "36.227.36.166 06/19 10:38", "0"
"Gossiping#M.1560904145.A.50B#00084", "liudwan", "哇中國可以操控美國呀！", "39.10.1.7 06/19 10:52", "0"
"Gossiping#M.1560904145.A.50B#00085", "incubus46", "汪汪", "42.76.234.11 06/19 11:05", "0"
"Gossiping#M.1560904145.A.50B#00086", "YandereLove", "厲害了", "42.72.195.120 06/19 11:13", "0"
"Gossiping#M.1560904145.A.50B#00087", "G8DA", "跳板仔去死", "61.230.79.200 06/19 11:18", "0"
"Gossiping#M.1560904145.A.50B#00088", "lnicole2224", "汪", "114.136.220.217 06/19 11:34", "0"
"Gossiping#M.1560904145.A.50B#00089", "sample", "旺報 呂佳蓉、北京  新聞稿要先給北京審過？？ 呂記者妳相信你自己的文章嗎？", "67.247.96.216 06/19 11:58", "1"
"Gossiping#M.1560904145.A.50B#00090", "abc5555590", "支那屎報", "49.215.211.68 06/19 12:05", "0"
"Gossiping#M.1560904145.A.50B#00091", "philandsam", "看標題就能聽見狗叫聲 果然沒錯", "101.136.35.138 06/19 12:29", "0"
"Gossiping#M.1560904145.A.50B#00092", "SuperVito", "新加坡推推", "42.73.124.117 06/19 12:55", "0"
"Gossiping#M.1560904145.A.50B#00093", "woods0598", "https//i.imgur.com/V9krHBT.jpg", "42.76.44.244 06/19 17:04", "0"
"Gossiping#M.1560904145.A.50B#00094", "Cindy0228", "汪汪", "61.226.222.151 06/19 18:22", "0"
"Gossiping#M.1560904145.A.50B#00095", "jacky1205", "哈哈", "220.141.103.205 06/19 23:36", "0"
"Gossiping#M.1560904145.A.50B#00096", "kolokolo5566", "https//i.imgur.com/aImk1Vh.png", "42.76.89.79 06/20 21:17", "1"
