"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560922456.A.5E2#00000", "uhmeioura", "1.媒體來源:<br>中時電子報<br>王子瑄<br><br>3.完整新聞標題:<br>前官員：韓帶一隻蚊子北上咬垮12人!<br><br>4.完整新聞內文:<br>高雄市長韓國瑜日前為高雄登革熱疫情，痛批中央遲遲不撥5300萬補助款，專程北上請求<br>立院朝野委員支持。同時，總統蔡英文、行政院長蘇貞昌、內政部長徐國勇，在記者會上<br>「笑嘻嘻」態度備受抨擊，蘇更與韓隔空互槓。對此，前行政院發言人、傳播學者胡幼偉<br>直言，韓根本是帶了一隻蚊子去台北，一下子咬垮了蔡、蘇、前高雄市長陳菊、高雄九立<br>委！<br><br>昨日（18）蘇貞昌受訪大罵，病媒蚊在高雄，不在立法院，也不在前院長王金平，韓國瑜<br>是不是跑錯地方？連一隻蚊子都治不好，還四處趴趴走，還説要治國，會不會太荒唐！<br><br>對此，胡幼偉在臉書發文，直言：「老韓不是『一隻蚊子都治不好』，他是帶了一隻蚊子<br>去台北，一下子咬垮了阿昌、花媽、高雄九立委和蔡阿姨啊！。」更打趣道：「這是威漫<br>最新人物，叫『蚊人』。」<br><br>文章一出，吸引近500人按讚與數十人分享。網友紛紛留言：「中央到底撥不撥款來高雄<br>防治登革熱？！高雄讓韓國瑜當市長，高雄人就不是台灣的人民了嗎？綠營眼中只有綠市<br>長執政才是台灣人民？？這也太扯了吧！一言堂概念嗎？#看看那幾個人幸災樂禍的嘴臉<br>」、「2016年1月7日 - 管碧玲在造勢場合稱得過登革熱才是正字標記最純的高雄人。…<br>…沒得過登革熱，高雄的血統就嘸純」，嗯這像幹話嗎」、「我今天才知道，原來，在他<br>們眼裡，高雄人不是台灣人……」<br><br>5.完整新聞連結 (或短網址):<br>https://www.chinatimes.com/realtimenews/20190619001188-260407?chdtv<br><br>6.備註:<br>真希望資進黨的狗官們都得登革熱<br><br>--<br>", "", ""
"Gossiping#M.1560922456.A.5E2#00001", "Roooz", "原來是媒介啊", "115.82.255.48 06/19 13:34", "0"
"Gossiping#M.1560922456.A.5E2#00002", "james732", "日本來的朋友你好", "223.140.15.108 06/19 13:34", "0"
"Gossiping#M.1560922456.A.5E2#00003", "highyes", "真心想看屁眼俠拖垮車輪黨 子瑄 又是你", "114.42.66.209 06/19 13:34", "1"
"Gossiping#M.1560922456.A.5E2#00004", "clifflee", "狗報，500人讚數十分享就當寶", "210.242.160.66 06/19 13:34", "0"
"Gossiping#M.1560922456.A.5E2#00005", "ericisfish", "備註= =", "140.123.110.234 06/19 13:34", "0"
"Gossiping#M.1560922456.A.5E2#00006", "a4302f", "白粉9.2開始上班囉", "101.9.198.58 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00007", "Allen0315", "紅媒狗報滾", "36.228.35.168 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00008", "barber", "汪汪", "60.249.136.57 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00009", "hoin", "回去睡你的研究生啦", "210.61.51.228 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00010", "shau7276", "病媒韓", "42.75.96.10 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00011", "evan1004", "把翻牆垃圾刪號可以嗎", "61.220.204.206 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00012", "CJY1025", "智障文", "180.217.170.146 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00013", "HailHydra", "王子瑄寫這麼多垃圾不累嗎", "111.71.48.220 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00014", "wwvvkai", "日本的朋友", "101.12.5.105 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00015", "LinBaoYan", "日本", "114.43.74.130 06/19 13:35", "0"
"Gossiping#M.1560922456.A.5E2#00016", "ojmalone", "咬垮？平行世界嗎？怎麼看都韓草包低能", "114.44.13.15 06/19 13:36", "1"
"Gossiping#M.1560922456.A.5E2#00017", "WTF55665566", "旺旺要不要改名成搞笑小說出版社啊", "223.137.57.212 06/19 13:36", "1"
"Gossiping#M.1560922456.A.5E2#00018", "walter41", "若發生在氣爆時估計得笑噴出來…", "172.104.56.33 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00019", "okgod", "王子軒正常發揮", "111.82.9.133 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00020", "AndyWT", "是韓狗帶蚊子幫你吹喇叭吧奈米屌", "61.228.195.32 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00021", "echoo", "王子瑄快要有現世報了", "133.1.95.249 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00022", "eko112", "咬垮韓自己吧，一個蚊子 更凸顯無能~XD", "1.174.95.134 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00023", "cage820518", "看成咬蚊子", "219.91.56.82 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00024", "kimiboy", "平行時空?真的猛吹捧的垃圾媒體", "61.224.56.155 06/19 13:36", "0"
"Gossiping#M.1560922456.A.5E2#00025", "fredsu", "凸", "101.14.163.55 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00026", "a710689", "這麼智障的新聞果然是中屎集團出品", "27.247.199.30 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00027", "sober716", "日本地震還好嗎", "61.216.88.127 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00028", "impact999", "新聞當臉書使用 厲害了支那媒體", "114.35.52.48 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00029", "SupCat", "低能", "27.52.62.4 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00030", "xup6lin", "承認在搞鬥爭了哄", "114.36.244.50 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00031", "abomgo", "智障", "111.82.7.114 06/19 13:37", "0"
"Gossiping#M.1560922456.A.5E2#00032", "gaym19", "王子瑄大記者整天想這些真的很厲害", "114.42.165.52 06/19 13:38", "0"
"Gossiping#M.1560922456.A.5E2#00033", "nivanar", "跳板仔到底要不要抓啦", "59.125.23.30 06/19 13:39", "0"
"Gossiping#M.1560922456.A.5E2#00034", "qk3380888", "中時刷新三觀", "49.215.141.122 06/19 13:39", "0"
"Gossiping#M.1560922456.A.5E2#00035", "w87778566", "子瑄要一起吃晚餐嗎", "180.217.101.23 06/19 13:39", "0"
"Gossiping#M.1560922456.A.5E2#00036", "s81048112", "笑死 明明就是韓導被抓包和團隊無能", "27.247.224.39 06/19 13:39", "0"
"Gossiping#M.1560922456.A.5E2#00037", "zz71", "垃圾跳板仔滾", "115.82.225.107 06/19 13:39", "0"
"Gossiping#M.1560922456.A.5E2#00038", "oxiz", "這什麼智障話？真幼稚 沒內涵不要曝低能", "114.37.26.116 06/19 13:40", "0"
"Gossiping#M.1560922456.A.5E2#00039", "yankeehater", "87", "114.44.248.175 06/19 13:40", "0"
"Gossiping#M.1560922456.A.5E2#00040", "squall410339", "有夠低能", "49.217.191.62 06/19 13:41", "0"
"Gossiping#M.1560922456.A.5E2#00041", "ArgusX", "午休結束馬上上工, 也算很認真的", "111.250.196.180 06/19 13:41", "0"
"Gossiping#M.1560922456.A.5E2#00042", "ak904", "誰垮了？？？真的很會做夢", "111.249.14.40 06/19 13:41", "0"
"Gossiping#M.1560922456.A.5E2#00043", "takechance", "韓國瑜蚊子型替身，被叮會變韓粉", "114.43.160.34 06/19 13:41", "0"
"Gossiping#M.1560922456.A.5E2#00044", "K0RVER", "還在崩潰發廢文喔  快去抓蚊子", "223.138.207.64 06/19 13:41", "0"
