"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560942819.A.50C#00000", "lovea", "上電台談參選總統 韓國瑜：海內外要他選、沒辦法只好訴諸人民<br><br>https://news.ltn.com.tw/news/politics/breakingnews/2827035<br><br>2019-06-19 13:11  自由<br><br>〔記者王榮祥／高雄報導〕高雄市長韓國瑜今上電台談參選總統，指出不敢忘記高雄市民<br>的期待，但海內外聲浪大、一直要他選總統，到最後沒有辦法，只好訴諸人民。<br><br>韓國瑜說，高雄鄉親心裡一定又掙扎又矛盾，怎麼他才選上市長又跑去選總，他自己也問<br>過自己，但不是說為選舉而選舉。<br><br>韓國瑜表示，他選上高雄市長後、一心為高雄打拚，到現在為止，週一到週五以高雄市政<br>為主，星期六、日如果外面人、其他縣市約他造勢或說明會，去一下就趕快回高雄，他不<br>能忘記自己是高雄市長，且高雄工作那麼多。<br><br>假設反過來，週一到週五在外面造勢、週六回高雄，這不像話嘛，自己肩膀上的工作很清<br>楚，市民把選票給他，就是有期待有希望，他不敢忘記。<br><br>他強調，只是海內外聲浪一直要韓國瑜選總統，到最後沒辦法，一邊是高雄市政、一邊是<br>中華民國國政，兩邊壓力都來，只好訴諸人民，如果民調過就往前衝，民調沒過也是人民<br>決定。<br><br>韓國瑜透露，大概從今年春節開始，外面聲浪越來越大，他至今瘦了5公斤，他要跟市民<br>報告，市政絕對不會忘記，未來若選上總統，總統腦袋一轉，在高雄上班，那高雄建設不<br>得了，他不會離開高雄，這是對高雄的承諾。<br><br>對於外界建議辭職參選，韓國瑜認為那是一種聲音、是民進黨的，國民黨團有國民黨團的<br>聲音，但還沒到那部分、他不可能放棄，也想到一種全台沒發生過的選舉模式，把競選組<br>部放高雄。<br><br>--<br>", "", ""
"Gossiping#M.1560942819.A.50C#00001", "yang421", "海內外十四萬萬中國人都要韓選總統呀！", "118.160.187.67 06/19 19:14", "1"
"Gossiping#M.1560942819.A.50C#00002", "enzoyu", "我先", "223.141.136.28 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00003", "bill750121", "你白癡喔", "223.140.194.155 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00004", "CyrilHuang", "嘔嘔嘔嘔", "42.75.229.161 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00005", "F0314", "幹 簽名檔恐怖連結", "1.200.55.232 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00006", "hayate232", "又在被動了?", "220.141.96.74 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00007", "headcase", "海外是中國的意思嗎", "39.9.202.25 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00008", "mhlee", "離高雄遠一點 快點滾蛋ok?真是受不了他欸 可以離職去選他的總統嗎", "180.204.11.85 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00009", "WeGoStyle", "都是被動", "180.217.220.10 06/19 19:14", "0"
"Gossiping#M.1560942819.A.50C#00010", "LinBaoYan", "https//i.imgur.com/wnwykzM.jpg", "111.249.71.25 06/19 19:15", "0"
"Gossiping#M.1560942819.A.50C#00011", "deepdish", "都是THEY要我選 我不得不選", "220.134.89.190 06/19 19:15", "0"
"Gossiping#M.1560942819.A.50C#00012", "pippen456", "一個媽祖要他選一個海內外要他選XD", "1.161.225.56 06/19 19:15", "0"
"Gossiping#M.1560942819.A.50C#00013", "orfan", "那你有聽生在高雄活在高雄國中生的話嗎", "180.177.94.87 06/19 19:15", "0"
"Gossiping#M.1560942819.A.50C#00014", "richjohn", "黃袍加身，只好被動繳五百萬", "101.9.86.109 06/19 19:15", "0"
