"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560943714.A.91F#00000", "zh2399stf", "賀！連中學生市長獎都希望韓選總統<br><br>發錢  每推50P 發到爆<br><br>http://huaxia.com/xw/twxw/2019/06/6135717.html<br><br>韓國瑜出席一中學畢業典禮遭女生傳信盼他選2020<br><br>華夏經緯網 2019-06-14 10:02:56<br>記者 侯哲<br><br>據台灣《中時電子報》報導，畢業季來臨，高雄市長韓國瑜要與“2018學年度模範生、市<br>長獎”畢業生合影，韓國瑜13日到美濃中學，透過與每位學生合影讚許他們的表現可作為<br>學習表率。當中有畢業生一上台，被鏡頭捕捉到，馬上偷塞一封信給市長，原來是班上同<br>學，希望韓國瑜可以選2020，因此特別用紙筆寫下好傳話給韓國瑜。另外，有不少畢業生<br>的家長，是超級韓粉，表示看到韓很興奮，且不斷拿起相機狂拍他。<br><br>據報導，韓國瑜期勉在場畢業生一定要養成三個習慣，第一是養成自主學習習慣，老師不<br>在身邊也可以自動自發。第二是廣交各種不同好友；第三則是打開心胸，廣納各界信息，<br>做個充滿正能量的人。<br><br>韓國瑜一個一個與學生合照時，輪到一名女同學時，她急忙遞了一封信給市長，韓國瑜馬<br>上將信塞進口袋內保存。中天新聞訪談該位女同學，信中寫了什麼？她說，這是我同學寫<br>的信要給市長，希望市長可以選2020。老師也在一旁說，這名同學非常崇拜韓市長。<br><br>不只學生喜歡韓市長，現場許多家長也都是對著韓國瑜猛拍照，有人說“很期待這天的到<br>來，等很久了”、“托小孩的福，我才能到現場看到真人韓市長”、“他是我們未來的領<br>導人”、“就是特地來看韓國瑜的”。<br><br>--<br>", "", ""
"Gossiping#M.1560943714.A.91F#00001", "PlayStationR", "推，錢", "223.137.113.172 06/19 19:28", "0"
"Gossiping#M.1560943714.A.91F#00002", "lunRUSSELL", "華夏經緯網是三洨", "36.236.78.161 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00003", "haha98", "少女殺手", "223.140.147.120 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00004", "azt911231", "一中有女生？", "42.77.223.54 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00005", "hmt17", "華夏經緯網?", "61.228.222.49 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00006", "ding0214", "錢", "42.75.159.130 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00007", "YO945", "推，讚錢推穩了推推推推", "114.136.205.181 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00008", "rindesu", "我不信，樓下信嗎", "101.12.24.45 06/19 19:29", "0"
"Gossiping#M.1560943714.A.91F#00009", "dbdudsorj", "這是核准媒體？", "223.141.67.92 06/19 19:29", "0"
