"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561019186.A.BD6#00000", "ilbonchimmol", "1.媒體來源:<br>ETtoday新聞 記者李唯甄、賴君欣／高雄報導<br><br>3.完整新聞標題:<br>喊話化學兵幫防疫遭爆根本「沒申請」韓國瑜：沒溝通就遞公文沒效果<br><br>4.完整新聞內文:<br>高雄登革熱疫情持續延燒，卻有媒體報導有國軍高層爆料，稱高市府從頭到尾都沒來申請<br>化學兵支援，質疑韓國瑜動作「慢半拍」，對此，韓國瑜表示，環保局這兩天就會到軍隊<br>跟國軍溝通，預計7月1日化學兵就會來噴藥，「為什麼還會有人挑剔我們，我們實在搞不<br>清楚」。<br><br>媒體報導有國軍高層爆料，指韓國瑜頻頻喊話，要中央幫忙協調請國軍幫忙防疫，但早在<br>端午節前夕，化學兵就都已經整裝待命，卻一直沒接到申請，「無用武之地」，對此，韓<br>國瑜20日受訪表示，「化學兵如果突然來了，怎麼噴藥？範圍在哪裡？他們不見得了解」<br>，所以一定要先溝通，「環保局這兩天就會去軍隊裡跟他們溝通」。<br><br>「如果溝通沒有做好，我們忽然遞這公文，我想沒辦法達到效果」，韓國瑜表示，化學兵<br>預計在7月1日就會正式開始噴藥，而市府這陣子也持續在進行防疫工作，「這幾天我們最<br>重要的就是溝通，這個沒有問題啊，為什麼還會有人挑剔我們，我們實在搞不清楚」。<br><br>5.完整新聞連結 (或短網址):<br>https://www.ettoday.net/news/20190620/1471673.htm<br><br>6.備註:<br>只有發公文 資進黨政府根本不會鳥你 要把事情鬧大 資進黨才會怕<br><br>--<br>", "", ""
"Gossiping#M.1561019186.A.BD6#00001", "ginx03", "？？？？？？？？？", "42.73.200.132 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00002", "NewShiisDog", "又在卡韓 非韓不投啦", "180.217.86.11 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00003", "squall410339", "好啦好啦你最委屈全世界都要幹你好不好，他媽給我閉嘴垃圾", "49.216.255.76 06/20 16:27", "1"
"Gossiping#M.1561019186.A.BD6#00004", "kivan00", "又來了 XDDDD，國軍卡韓 2020一定要教訓", "114.46.197.147 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00005", "rednah", "2020市長重選：李四川大戰黃鼠狼", "101.9.163.167 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00006", "redumbrella", "所以就是沒申請啊", "111.82.128.181 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00007", "arsonlolita", "你先用韓文發一篇", "61.228.157.75 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00008", "highyes", "真心想看屁眼俠拖垮車輪黨 初選非含不投", "114.42.66.209 06/20 16:27", "1"
"Gossiping#M.1561019186.A.BD6#00009", "cooldogy1973", "韓導的話術強到可以出書了", "118.160.178.66 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00010", "paulkao", "幹 就是只會搞政治", "114.136.36.62 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00011", "EggAcme", "沒公文，你要化學兵去哪邊消毒，要派多少人誰知道阿?", "36.232.134.65 06/20 16:27", "1"
"Gossiping#M.1561019186.A.BD6#00012", "YoCheng", "？？？", "111.82.192.130 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00013", "jeff0025", "幹你娘  都你的毛", "175.98.141.254 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00014", "G8PIG", "柯p不出來的話，我就投韓教訓dpp", "111.243.253.137 06/20 16:27", "0"
"Gossiping#M.1561019186.A.BD6#00015", "sustainer123", "神經病", "223.139.137.214 06/20 16:28", "0"
"Gossiping#M.1561019186.A.BD6#00016", "cmcmcmcm2", "備註？", "42.77.100.251 06/20 16:28", "0"
"Gossiping#M.1561019186.A.BD6#00017", "abramtw", "人命關天 還要申請才出動？？？", "1.163.237.223 06/20 16:28", "0"
"Gossiping#M.1561019186.A.BD6#00018", "bluenan", "韓國垃圾跳板", "219.68.228.247 06/20 16:28", "0"
"Gossiping#M.1561019186.A.BD6#00019", "WilliamWill", "誰收到公文還不鳥？說不出來是在造", "42.72.149.24 06/20 16:28", "1"
"Gossiping#M.1561019186.A.BD6#00020", "shihTWpeter", "到底有什麼毛病啊 光頭", "49.219.180.255 06/20 16:28", "0"
"Gossiping#M.1561019186.A.BD6#00021", "abaush", "不清楚不知道不了解 韓導三不", "101.9.195.97 06/20 16:28", "0"
"Gossiping#M.1561019186.A.BD6#00022", "wastetheone", "果然全世界都在卡韓", "1.200.203.70 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00023", "Realite", "原來登革熱是這兩天才發生", "223.140.227.14 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00024", "luche", "遊行的人納麼多不找些來幫忙噴藥?", "36.231.66.67 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00025", "abcyting", "...............", "27.242.44.117 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00026", "laroserose", "你不都放話溝通而己? 放放話就要人要錢? 你有鳥公文什麼鬼", "112.105.150.10 06/20 16:29", "1"
"Gossiping#M.1561019186.A.BD6#00027", "supe1", "原來溝通就是四處放話..學起來..", "163.23.167.136 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00028", "hbj1941", "意外嗎？迪士尼，阿諾前例自己不會看？", "49.215.255.54 06/20 16:29", "1"
"Gossiping#M.1561019186.A.BD6#00029", "syk1104", "國軍請自動自發好嗎", "111.83.88.170 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00030", "antilibra", "這兩天才溝通然後之前在喊要化學兵？所以到底有沒有被卡？   都你的毛", "39.12.73.158 06/20 16:29", "1"
"Gossiping#M.1561019186.A.BD6#00031", "cwj9999", "垃圾韓草包", "42.74.240.189 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00032", "lesasa", "淦 毛病真多", "111.83.116.224 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00033", "a0913", "誰支援一下公告圖 化學兵不來取消噴藥", "218.210.62.4 06/20 16:29", "0"
"Gossiping#M.1561019186.A.BD6#00034", "tkucuh", "但是你連溝通都沒有。", "61.221.161.18 06/20 16:30", "0"
"Gossiping#M.1561019186.A.BD6#00035", "zka", "到處作秀  演給誰看", "223.137.96.242 06/20 16:30", "0"
"Gossiping#M.1561019186.A.BD6#00036", "jiunyee", "逆馬的..", "123.205.57.205 06/20 16:30", "0"
"Gossiping#M.1561019186.A.BD6#00037", "abramtw", "化學兵在不出動 每一隻蚊子都算在蘇的頭上啾咪", "1.163.237.223 06/20 16:31", "1"
"Gossiping#M.1561019186.A.BD6#00038", "meredith001", "1450又在抹紅我們韓總", "114.137.106.125 06/20 16:31", "0"
"Gossiping#M.1561019186.A.BD6#00039", "oops66", "???? 現在是都不照規矩來 你想怎樣就怎樣?", "210.61.209.67 06/20 16:31", "1"
"Gossiping#M.1561019186.A.BD6#00040", "PePePeace", "幹你娘 那你一開始在靠北靠木三小", "1.165.42.105 06/20 16:31", "0"
"Gossiping#M.1561019186.A.BD6#00041", "gaym19", "靠么喔沒公文是要怎麼出動啦，還是你們公文都不會附範圍現場沒人指揮得", "114.42.167.136 06/20 16:31", "0"
"Gossiping#M.1561019186.A.BD6#00042", "becketliao", "供三小", "111.83.85.59 06/20 16:31", "0"
"Gossiping#M.1561019186.A.BD6#00043", "lemon7242", "就算這樣 為何這兩天才溝通？", "111.184.170.94 06/20 16:31", "0"
"Gossiping#M.1561019186.A.BD6#00044", "rusticolus", "高雄環保局為什麼拖到現在才去溝通", "123.194.156.60 06/20 16:31", "0"
"Gossiping#M.1561019186.A.BD6#00045", "notea", "智障", "114.45.134.32 06/20 16:32", "0"
"Gossiping#M.1561019186.A.BD6#00046", "kurtsgm", "...................", "36.231.145.181 06/20 16:32", "0"
"Gossiping#M.1561019186.A.BD6#00047", "balius", "發公文沒用我看改發檄文好了...", "211.20.105.128 06/20 16:32", "0"
"Gossiping#M.1561019186.A.BD6#00048", "antilibra", "八軍團都幫南部縣市多久了   你先擬好計畫    搞不好先聯絡一下    先於公文協助都可以", "39.12.73.158 06/20 16:32", "1"
"Gossiping#M.1561019186.A.BD6#00049", "CavendishJr", "你的溝通方式是在媒體前面放話，這樣有效果嗎", "101.136.134.153 06/20 16:33", "1"
"Gossiping#M.1561019186.A.BD6#00050", "PePePeace", "10天前在靠北要化學兵10天後你說沒溝通無恥政客看多了 就屬你最無恥", "1.165.42.105 06/20 16:33", "1"
"Gossiping#M.1561019186.A.BD6#00051", "cooldogy1973", "一聽就是嘴炮被人發覺了又說新謊，反正韓粉一定買單啦", "118.160.178.66 06/20 16:33", "0"
"Gossiping#M.1561019186.A.BD6#00052", "lovejamwu", "他真的很愛說話", "36.227.144.240 06/20 16:33", "0"
"Gossiping#M.1561019186.A.BD6#00053", "oops66", "承認就是沒發公文很難? ㄠ成這樣很難看ㄟ", "210.61.209.67 06/20 16:33", "1"
"Gossiping#M.1561019186.A.BD6#00054", "bole", "韓國瑜下台 謊話連篇 沒溝通你喊屁啊 可惡", "163.15.167.204 06/20 16:33", "1"
"Gossiping#M.1561019186.A.BD6#00055", "zold", "沒遞交公文，然後在媒體一直放話？？？～～～除了製造鬥爭對立以外，還會做什麼？", "49.216.244.223 06/20 16:33", "0"
"Gossiping#M.1561019186.A.BD6#00056", "gerund", "超會搞鬥爭", "111.246.31.178 06/20 16:34", "0"
"Gossiping#M.1561019186.A.BD6#00057", "gaym19", "真他媽智障 公文不就是溝通，這行政能力真的連大學生都不如欸 有夠悲哀", "114.42.167.136 06/20 16:34", "0"
"Gossiping#M.1561019186.A.BD6#00058", "elainakuo", "https//i.imgur.com/tTvRmzw.jpg", "27.242.62.145 06/20 16:34", "0"
"Gossiping#M.1561019186.A.BD6#00059", "hbj1941", "沒公文在去公告噴灑範圍，你他媽的化學兵可以自己跑去亂噴嗎？幹0糧", "49.215.255.54 06/20 16:34", "1"
"Gossiping#M.1561019186.A.BD6#00060", "MK250", "有夠垃圾.不發公文還靠背不幫忙,抓包說挑剔", "123.204.129.249 06/20 16:34", "1"
"Gossiping#M.1561019186.A.BD6#00061", "Szss", "整天放話", "49.218.116.158 06/20 16:34", "0"
"Gossiping#M.1561019186.A.BD6#00062", "polo5615", "先幹後補 高招高招", "27.242.161.179 06/20 16:34", "0"
"Gossiping#M.1561019186.A.BD6#00063", "qoo53895", "笑死  不遵守行政流程的草包  你他媽你是人家上級機關？", "140.120.220.3 06/20 16:34", "1"
"Gossiping#M.1561019186.A.BD6#00064", "ccucwc", "所以是誰在慢慢來？啊不就你高市府？該做的沒做是在靠北三小？", "122.130.224.51 06/20 16:34", "0"
"Gossiping#M.1561019186.A.BD6#00065", "antilibra", "整天在那放話    到底是想踩多少人來成就自己的正當性？", "39.12.73.158 06/20 16:35", "1"
"Gossiping#M.1561019186.A.BD6#00066", "OGC218", "喇叭嘴，你有派人溝通嗎？直接公文先發不會", "49.217.240.117 06/20 16:35", "1"
"Gossiping#M.1561019186.A.BD6#00067", "piex", "不重要，我們發大財", "122.116.124.251 06/20 16:35", "0"
"Gossiping#M.1561019186.A.BD6#00068", "anchime", "莊孝維", "223.137.94.217 06/20 16:35", "0"
"Gossiping#M.1561019186.A.BD6#00069", "mulasaki", "北七", "219.84.252.236 06/20 16:35", "0"
"Gossiping#M.1561019186.A.BD6#00070", "zold", "～～～遞交公文很難嗎？？？？？？～～～", "49.216.244.223 06/20 16:36", "0"
"Gossiping#M.1561019186.A.BD6#00071", "MK250", "就全都別人的錯", "123.204.129.249 06/20 16:36", "0"
"Gossiping#M.1561019186.A.BD6#00072", "beartsubaki", "發公文先嘛 連這點小事都做不好喔", "123.194.132.25 06/20 16:36", "0"
"Gossiping#M.1561019186.A.BD6#00073", "cloudin", "...........", "203.145.212.240 06/20 16:36", "0"
"Gossiping#M.1561019186.A.BD6#00074", "bole", "這證明了 韓國瑜前幾天都在說謊，這證明了 韓國瑜前幾天都在說謊這證明了 韓國瑜前幾天都在說謊這證明了 韓國瑜前幾天都在說謊這證明了 韓國瑜前幾天都在說謊", "163.15.167.204 06/20 16:36", "0"
"Gossiping#M.1561019186.A.BD6#00075", "OGC218", "北七，公文送出去再談細節啦，草包！被國中生嗆，嘟嘟賀良啦！X！", "49.217.240.117 06/20 16:37", "0"
"Gossiping#M.1561019186.A.BD6#00076", "doggy2525", "你這叫溝通喔? 我操你的", "61.223.145.138 06/20 16:37", "0"
"Gossiping#M.1561019186.A.BD6#00077", "silentence", "白癡市府 我沒公文我去開行庫拿錢 OK?幹嘛跟你溝通和發文  直接去拿不就好實習生市長 還要人款便便給他爽錢要不要乾脆也給別人領阿", "49.216.16.21 06/20 16:37", "1"
"Gossiping#M.1561019186.A.BD6#00078", "jeff12280", "那你在媒體面前靠杯三小==", "220.133.116.191 06/20 16:37", "0"
"Gossiping#M.1561019186.A.BD6#00079", "e52155", "不發公文連開會都開不了，這傢伙就是習慣了不留紀錄的予取予求。", "223.139.249.64 06/20 16:37", "1"
"Gossiping#M.1561019186.A.BD6#00080", "AwesomeLin", "根本沒把人民性命當回事", "223.139.171.174 06/20 16:38", "0"
"Gossiping#M.1561019186.A.BD6#00081", "pondaha", "科科 哪來的智障?到底懂不懂公務流程啊？小屁孩回家去玩", "61.227.202.121 06/20 16:38", "0"
"Gossiping#M.1561019186.A.BD6#00082", "MVPGGYY", "沒公文軍隊就移動不會出事嗎......", "180.217.201.193 06/20 16:38", "0"
"Gossiping#M.1561019186.A.BD6#00083", "CCC000", "你只忙造勢 登革熱都沒在管還在靠邀，乾哩 先別管國軍消毒了 星期六台中造勢先", "1.168.215.121 06/20 16:38", "0"
"Gossiping#M.1561019186.A.BD6#00084", "flymomo2001", "幹啊你也沒溝通就先放話人家卡你是三", "101.15.131.157 06/20 16:38", "1"
"Gossiping#M.1561019186.A.BD6#00085", "andy3580", "備註真的是完美的韓粉 直接代言無腦", "111.71.123.93 06/20 16:39", "0"
"Gossiping#M.1561019186.A.BD6#00086", "ROSEXIII", "幹都你的話!投他的都去死", "42.75.68.215 06/20 16:39", "0"
"Gossiping#M.1561019186.A.BD6#00087", "ccucwc", "沒公文誰知道要噴哪噴多大？要備多少藥？人員怎麼調度？神經病", "122.130.224.51 06/20 16:39", "1"
"Gossiping#M.1561019186.A.BD6#00088", "silentence", "把化學兵當他北農的小欸是不是 愛怎麼叫都不用公文的齁「環保局這兩天就會去軍隊裡跟他們溝通」  那之前到底在幹嘛?", "49.216.16.21 06/20 16:39", "1"
"Gossiping#M.1561019186.A.BD6#00089", "lordray1", "供三小", "180.217.201.39 06/20 16:39", "0"
"Gossiping#M.1561019186.A.BD6#00090", "MayDayXX5566", "韓：我說叫你來就來發公文是殺小，給我來就對了 幹", "27.246.109.11 06/20 16:39", "0"
"Gossiping#M.1561019186.A.BD6#00091", "ga652206", "韓國韓粉", "27.242.34.250 06/20 16:40", "0"
"Gossiping#M.1561019186.A.BD6#00092", "pondaha", "模擬城市好嗎？", "61.227.202.121 06/20 16:40", "0"
"Gossiping#M.1561019186.A.BD6#00093", "guitar0225", "當政府還是古代的衙門嗎", "112.105.52.153 06/20 16:40", "0"
"Gossiping#M.1561019186.A.BD6#00094", "kivan00", "爛戲演了2週 環保局連噴哪都不知道", "114.46.197.147 06/20 16:40", "0"
"Gossiping#M.1561019186.A.BD6#00095", "wenx2062", "韓市長的溝通=到處放話 沒做到就是卡韓", "60.248.24.150 06/20 16:40", "1"
"Gossiping#M.1561019186.A.BD6#00096", "hbj1941", "你當現在是皇帝，說出兵就出兵？", "49.215.255.54 06/20 16:41", "0"
"Gossiping#M.1561019186.A.BD6#00097", "Ruid", "三小，公文才是最重要的吧，管你要不要溝通", "118.167.74.147 06/20 16:41", "1"
"Gossiping#M.1561019186.A.BD6#00098", "jimmy885", "說笑話吧，行政用溝通?沒公文誰敢動啊公文下來國軍不動那是國軍失職", "106.1.85.92 06/20 16:41", "1"
"Gossiping#M.1561019186.A.BD6#00099", "PePePeace", "疫情爆發到現在 除了靠北要錢啥都沒做", "1.165.42.105 06/20 16:42", "1"
"Gossiping#M.1561019186.A.BD6#00100", "deltarobot", "所以你勾了沒", "115.82.135.27 06/20 16:42", "0"
"Gossiping#M.1561019186.A.BD6#00101", "kivan00", "你有規劃公文出去人家就去噴了 是卡幾點", "114.46.197.147 06/20 16:42", "1"
"Gossiping#M.1561019186.A.BD6#00102", "Glycolysis73", "國軍是執行，溝通要噴那？跟本就是市府一團亂。", "49.217.160.15 06/20 16:42", "1"
"Gossiping#M.1561019186.A.BD6#00103", "fv", "這樣也可以凹", "223.137.110.16 06/20 16:43", "0"
"Gossiping#M.1561019186.A.BD6#00104", "jimmy885", "所以問題在於你市府吧，要噴哪都不知道", "106.1.85.92 06/20 16:43", "1"
"Gossiping#M.1561019186.A.BD6#00105", "darkcake", "第一天上班喔 不知道政府都用公文溝通?", "220.141.70.188 06/20 16:43", "1"
"Gossiping#M.1561019186.A.BD6#00106", "Andebull", "？？？？？？這是什麼腦....", "39.8.42.50 06/20 16:43", "0"
"Gossiping#M.1561019186.A.BD6#00107", "alfiema", "公三小，公文先出去然後同步規劃噴灑區躬", "188.206.71.35 06/20 16:43", "1"
"Gossiping#M.1561019186.A.BD6#00108", "holyhelm", "還來啊玩不膩", "223.138.116.65 06/20 16:43", "0"
"Gossiping#M.1561019186.A.BD6#00109", "s72005ming", "白痴嗎？你他媽的滾啦！", "220.134.107.163 06/20 16:44", "0"
"Gossiping#M.1561019186.A.BD6#00110", "mocca000", "公三小？？？？？？", "49.217.130.58 06/20 16:44", "0"
"Gossiping#M.1561019186.A.BD6#00111", "Rise68", "這傢伙年輕時有沒有被揍過啊？我好想扁他一頓", "114.136.203.58 06/20 16:44", "1"
"Gossiping#M.1561019186.A.BD6#00112", "PePePeace", "要不是外省人 我看這咖小連要飯都不會簡單講就是市府連要噴哪都還沒規劃啦", "1.165.42.105 06/20 16:45", "1"
"Gossiping#M.1561019186.A.BD6#00113", "CCC000", "人家都準備好等你了 你在那邊還要溝通!!", "1.168.215.121 06/20 16:45", "1"
"Gossiping#M.1561019186.A.BD6#00114", "HRyan", "淦那之前是在嘴三小", "42.73.98.49 06/20 16:45", "0"
"Gossiping#M.1561019186.A.BD6#00115", "cheaptool", "這三小", "42.75.93.210 06/20 16:46", "0"
"Gossiping#M.1561019186.A.BD6#00116", "greedypeople", "工三小", "114.47.21.26 06/20 16:46", "0"
"Gossiping#M.1561019186.A.BD6#00117", "gz", "韓國瑜 就是一個垃圾政客 垃圾 幹你媽的垃圾", "220.128.102.67 06/20 16:46", "1"
"Gossiping#M.1561019186.A.BD6#00118", "y91yi39", "謊話連篇", "219.85.171.46 06/20 16:46", "0"
"Gossiping#M.1561019186.A.BD6#00119", "PePePeace", "結果就先靠北要化學兵 軍隊都準備好了才說一嘴幹話順便說被黑", "1.165.42.105 06/20 16:47", "1"
"Gossiping#M.1561019186.A.BD6#00120", "black205", "他到底誰選的", "49.218.66.16 06/20 16:47", "0"
"Gossiping#M.1561019186.A.BD6#00121", "sionxp", "這個人 做事可以不要黑箱嗎！每次都先喊 在補公文 根本沒有紀律", "61.219.64.19 06/20 16:47", "0"
"Gossiping#M.1561019186.A.BD6#00122", "SQ7183", "不愧是草包 厲害了", "183.237.23.196 06/20 16:47", "0"
"Gossiping#M.1561019186.A.BD6#00123", "nello", "ㄧ開口就在說幹話的代表", "117.56.51.37 06/20 16:48", "0"
"Gossiping#M.1561019186.A.BD6#00124", "f8954017", "智障ㄟ", "111.241.215.69 06/20 16:48", "0"
"Gossiping#M.1561019186.A.BD6#00125", "bread220", "他媽的要先申請才會有後續啊幹，他媽的這不是草包怎樣才叫草包", "59.125.187.85 06/20 16:49", "1"
"Gossiping#M.1561019186.A.BD6#00126", "tttonyyyy", "韓國人支持韓國瑜", "61.64.177.237 06/20 16:49", "0"
"Gossiping#M.1561019186.A.BD6#00127", "mis1114", "每次都喊話好像別人不幫，爆出來才說先溝通", "61.65.97.171 06/20 16:49", "1"
