"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561020179.A.F44#00000", "dandandanbao", "1.媒體來源:<br>ETtoday新聞雲 地方中心／綜合報導<br><br>3.完整新聞標題:<br>開直播大吐苦水！韓國瑜「到行政院像丐幫一樣」：搞得好像我是大草包<br><br>4.完整新聞內文:<br>高雄市長韓國瑜和衛生局長林立人、環保局長袁中新，20日在臉書開直播討論登革熱、愛<br>河議題，過程中他也忍不住大吐苦水表示，「網路上剪輯把我搞得像大草包一樣」、「我<br>到行政院去真的像丐幫一樣」。<br><br>韓國瑜表示，「我覺得現在就是對高雄市、對我韓國瑜，很多人喜歡剪（影片），剪了以<br>後去放，像自由經濟貿易區我們答了10幾分鐘，結果剪了40秒，我去行政院開會，行政院<br>蘇院長叫我去開，我就去了，我拜託他們幫我們高雄市建設，從頭到尾一個多小時，沒有<br>一個部長被照，只有我一個，兩支攝影機對著我，然後就到網路上修理」。<br><br>韓國瑜還表示，「有人要黑我，所以剪了一個剪輯，好像我是大草包一樣」而他表示，「<br>網路上要黑，要剪貼來批判我，我也沒辦法，為了對高雄市登革熱疫情有幫助，我不好意<br>思講，我真的是忍了一肚子辛酸啊！我到行政院去，真的像丐幫一樣，發給我錢我真的非<br>常感謝，我從來沒有一句酸言酸語，這種口水戰對高雄沒有幫助」。<br><br>5.完整新聞連結 (或短網址):<br>https://www.ettoday.net/news/20190620/1471559.htm<br><br>6.備註:<br>認真做事的市長竟然被資進黨如此對待 怎能不讓人憤慨!<br><br>--<br>", "", ""
"Gossiping#M.1561020179.A.F44#00001", "highyes", "真心想看屁眼俠拖垮車輪黨 初選非含不投", "114.42.66.209 06/20 16:43", "1"
"Gossiping#M.1561020179.A.F44#00002", "kent", "自介喔", "1.164.242.243 06/20 16:43", "0"
"Gossiping#M.1561020179.A.F44#00003", "deann", "本來就是大草包阿", "61.220.51.98 06/20 16:43", "0"
"Gossiping#M.1561020179.A.F44#00004", "guitar0225", "丐幫幫主來皇城啦 討錢 ！", "112.105.52.153 06/20 16:43", "0"
"Gossiping#M.1561020179.A.F44#00005", "s820912gmail", "已自介", "180.204.76.9 06/20 16:43", "0"
"Gossiping#M.1561020179.A.F44#00006", "Wildsheep", "何必自我介紹呢市長", "42.77.126.242 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00007", "agong", "韓選上後 行政院就小弟圍事 韓粉會強力監督", "42.70.201.186 06/20 16:44", "1"
"Gossiping#M.1561020179.A.F44#00008", "chen44", "本來就是", "223.136.198.45 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00009", "jimmy885", "去行政院就睡覺，開直播就精神來了，本職網紅兼差當市長，高雄人的選擇", "106.1.85.92 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00010", "speed678", "只會媽媽十塊的草包", "111.242.133.183 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00011", "mack860120", "....", "42.77.37.120 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00012", "aa1052026", "才知道自己是乞丐喔", "123.0.200.85 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00013", "rednah", "市長重選預測：李四川大戰黃鼠狼", "101.9.163.167 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00014", "monitor", "做不來就早點辭職專心去選總統，別耽誤高雄的市政了", "223.136.12.50 06/20 16:44", "0"
"Gossiping#M.1561020179.A.F44#00015", "qdto", "屁眼俠", "101.11.2.181 06/20 16:44", "0"
