"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561087553.A.73A#00000", "OmegaWind", "中天遭惡意抹黑술東京電視台不認歪曲報導<br><br><br>2019/06/21  中時電子報  張怡文 、 周郁蘋 、 王玉汝 、 陳科廷<br><br><br>日本東京電視台節目《未來世紀GIPANGU》19日晚間播出的專題報導中，採訪台灣店家時<br>，扭曲報導有線業者提供接收中天新聞台頻道的折扣優惠，中天強調絕非事實，對此，資<br>深媒體人謝寒冰認為，日本節目播出20分鐘後，PTT就有高清截圖和懶人包，質疑就像是<br>事先分工預謀。東京電視台扭曲報導如此明確，該台至今卻仍不認歪曲報導。<br><br><br>中天昨日聲明中即說明，經中天新聞採訪該店家還原真相，老闆喊冤東京電視台的採訪內<br>容根本被移花接木，直指責東京電視台曲解原意。東京電視台該節目工作人員接受中天記<br>者電訪指出，播放的內容就是他們採訪的內容，沒有任何歪曲報導，表示他們已經盡全力<br>做相關調查，不願意透露相關消息來源。<br><br>中天新聞在昨已發聲明指出，日本東京電視台播出內容非事實，並將對日本東京電視台提<br>出相關告訴。中天聲明也強調，東京電視台曲解店家原意，並呼籲外界不要再以訛傳訛。<br><br>中天聲明稿：<br><br>有關日本東京電視台於近日所播送之「ZIPAGU」節目內容中，指述部分台灣店家若接收、<br>收看特定之電視頻道(並影射接收本公司中天新聞台之頻道)，系統業者即提供若干收視費<br>金額減免之優惠，就上述情事絕非事實。<br><br>經本台記者向上述受訪之店家進行查證、採訪，該店家斷然否認前述日本媒體報導之內容<br>，並指責日本東京電視台係斷章取義，曲解原意。<br><br>針對日本東京電視台前述未經查證之不實報導，業已嚴重損害中天新聞台之信譽等法益，<br>中天新聞特此澄清，其內容絕非事實，並將對日本東京電視台提出相關告訴，亦同時敬告<br>、呼籲同業及其他第三人切勿以訛傳訛或轉述前開不實報導，否則本公司將保留相關法律<br>追訴權利。<br><br>https://www.chinatimes.com/realtimenews/20190621002469-260404?chdtv<br><br>--<br>", "", ""
"Gossiping#M.1561087553.A.73A#00001", "kidboy619", "我先", "1.163.70.58 06/21 11:26", "0"
"Gossiping#M.1561087553.A.73A#00002", "Rrrxddd", "垃圾 日本電視台操，這裡只有我有資格嘴", "126.35.75.27 06/21 11:26", "0"
"Gossiping#M.1561087553.A.73A#00003", "Beccaria", "支那媒體照照鏡子然後滾回支那幹你娘", "115.82.226.157 06/21 11:27", "0"
"Gossiping#M.1561087553.A.73A#00004", "cometfr", "連國外媒體也認證，沒辦法說民進黨打壓好生氣", "27.52.62.6 06/21 11:27", "1"
"Gossiping#M.1561087553.A.73A#00005", "kamayer", "對於播放屹立不搖 就算大地震也不轉畫面中妖台回中國去吃屎吧", "61.227.124.38 06/21 11:27", "1"
"Gossiping#M.1561087553.A.73A#00006", "zxcasd848", "統媒氣到發抖中", "1.200.212.240 06/21 11:27", "0"
"Gossiping#M.1561087553.A.73A#00007", "kokokko416", "中時救火", "125.231.99.9 06/21 11:27", "0"
"Gossiping#M.1561087553.A.73A#00008", "rofellosx", "不對老闆友承認不是600是500 數字不對叫扭曲事實??保留舊是告不成阿", "61.219.246.61 06/21 11:28", "1"
"Gossiping#M.1561087553.A.73A#00009", "nomimono", "哈哈 我相信東京電視台喔", "1.170.247.189 06/21 11:28", "0"
"Gossiping#M.1561087553.A.73A#00010", "imkoalatw", "還在保留追溯權喔", "223.141.22.15 06/21 11:28", "0"
"Gossiping#M.1561087553.A.73A#00011", "bimmers0", "日本認証匪報，旺旺最好有自知之明，台灣人不是白癡，", "172.56.17.11 06/21 11:28", "0"
"Gossiping#M.1561087553.A.73A#00012", "fuhaho", "不是說要吉？", "122.146.94.178 06/21 11:29", "0"
"Gossiping#M.1561087553.A.73A#00013", "five615", "說真的 很容易查證啊 不覺得真的有給錢親中背景是一回事 發錢是另一level", "98.246.166.205 06/21 11:29", "1"
"Gossiping#M.1561087553.A.73A#00014", "bimmers0", "遲早必須面對司法", "172.56.17.11 06/21 11:30", "0"
"Gossiping#M.1561087553.A.73A#00015", "a15801580max", "中時報中天，笑死根本沒人黑你，陳述事實而已", "101.9.172.115 06/21 11:30", "1"
"Gossiping#M.1561087553.A.73A#00016", "lmf770410", "被說中了吧", "111.82.71.120 06/21 11:30", "0"
"Gossiping#M.1561087553.A.73A#00017", "sjlee1127", "垃圾支那", "223.140.238.47 06/21 11:31", "0"
"Gossiping#M.1561087553.A.73A#00018", "roader28", "汪", "223.138.168.183 06/21 11:31", "0"
"Gossiping#M.1561087553.A.73A#00019", "Ericz7000", "垃圾支那狗報每天報信假新聞", "42.73.9.79 06/21 11:31", "0"
"Gossiping#M.1561087553.A.73A#00020", "armani1209", "好喔", "114.137.125.77 06/21 11:31", "0"
"Gossiping#M.1561087553.A.73A#00021", "Myfun", "完全就是老共補貼的套路，坐等正常媒體消失被滅！", "1.170.16.65 06/21 11:32", "1"
"Gossiping#M.1561087553.A.73A#00022", "colawei", "我選擇相信東京電視台", "101.10.39.108 06/21 11:32", "0"
"Gossiping#M.1561087553.A.73A#00023", "BlowjobFace", "狗幫狗", "39.10.32.234 06/21 11:32", "0"
"Gossiping#M.1561087553.A.73A#00024", "soarling", "中日媒體大戰", "114.137.254.220 06/21 11:32", "0"
"Gossiping#M.1561087553.A.73A#00025", "ak904", "看來中天很急 立刻去警告該店家 XDDD", "111.249.14.216 06/21 11:32", "0"
"Gossiping#M.1561087553.A.73A#00026", "login", "屎報必噓 我比較相信東京電視台", "211.21.7.151 06/21 11:33", "0"
"Gossiping#M.1561087553.A.73A#00027", "ebeta", "全世界都知道夭天是中共的鷹爪，惟獨NCC不知道，只會打馬賽克", "39.12.233.81 06/21 11:33", "1"
"Gossiping#M.1561087553.A.73A#00028", "sepzako", "下賤敗類的無恥垃圾中夭跟日本電視台相比我比較信後者", "39.10.3.5 06/21 11:33", "1"
"Gossiping#M.1561087553.A.73A#00029", "bill750121", "說說而已 不會", "123.51.217.168 06/21 11:33", "0"
"Gossiping#M.1561087553.A.73A#00030", "turst", "韓導的御用綜藝台!", "61.220.221.73 06/21 11:33", "0"
"Gossiping#M.1561087553.A.73A#00031", "ash9911911", "急成這樣 很明顯了ㄏㄏ", "112.104.72.182 06/21 11:34", "0"
"Gossiping#M.1561087553.A.73A#00032", "whiteflora6", "人家現在關注罷工，沒人鳥你啦。", "180.217.184.60 06/21 11:34", "0"
"Gossiping#M.1561087553.A.73A#00033", "naidy", "垃圾媒體狗急跳牆囉", "114.137.153.242 06/21 11:34", "0"
"Gossiping#M.1561087553.A.73A#00034", "login", "中夭有種就直接告 一定心虛不敢啦...", "211.21.7.151 06/21 11:35", "0"
"Gossiping#M.1561087553.A.73A#00035", "cwj9999", "公認跟中共一樣屬垃圾等級", "223.139.234.190 06/21 11:36", "0"
"Gossiping#M.1561087553.A.73A#00036", "stellvia2359", "無恥敗類", "27.247.39.185 06/21 11:36", "0"
"Gossiping#M.1561087553.A.73A#00037", "aju0921", "笑死惹 日本抹黑你要幹麻????????", "36.225.23.59 06/21 11:37", "0"
"Gossiping#M.1561087553.A.73A#00038", "zxc556615", "給法院認證一下阿", "39.8.225.89 06/21 11:37", "0"
"Gossiping#M.1561087553.A.73A#00039", "louis222", "把新聞台作成造神台還好意思跳腳", "42.77.178.223 06/21 11:37", "0"
"Gossiping#M.1561087553.A.73A#00040", "foucas", "這篇廠公覺青1450 1487 54088都好嗨!", "220.133.4.185 06/21 11:39", "0"
"Gossiping#M.1561087553.A.73A#00041", "pcpcpcpcpcpc", "共媒就是要噓，垃圾就是垃圾", "223.138.19.86 06/21 11:39", "0"
"Gossiping#M.1561087553.A.73A#00042", "danielqwop", "XD", "220.129.144.4 06/21 11:39", "0"
"Gossiping#M.1561087553.A.73A#00043", "gincod", "事實阿  一群人渣記者的正義？", "42.76.152.5 06/21 11:40", "0"
