"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561093231.A.0B7#00000", "rick102233", "12歲韓粉都知道台灣地區教育出了問題<br><br>綠蛆連12歲韓粉都不如嗎？<br><br>以下全文，綠蛆好好看看，檢討一下<br><br>各位長輩們大家好,我不是在替韓國瑜阿伯說話,至從他做高雄市市長不知道替高雄做多少事<br>情,還是有很多人不滿意,我說跟我同年紀的同學,他們大部分都對韓國瑜不滿,這是我們教育<br>已經出問題了,為甚麼大部分的小朋友都會支持民進黨,這是很嚴重的的事情,請一些長輩不<br>要再把我們這一代的小朋友教壞了,像昨天高雄那位資優生為甚麼他會說那些話就是他知道<br>只有單方面而已,他所提到的為甚麼韓國瑜阿伯競選的時候所提出的政見都還沒有實現就要<br>去選總統,他沒有考慮到韓國瑜阿伯想要做的事情都被中央卡住了,韓國瑜才為了要實現高雄<br>的選民,他才不得已出來選總統,這是我個人的所知和想法。<br>(很感謝一位長輩幫我找回來了謝謝)<br><br>https://i.imgur.com/r7ssPhS.png<br>看到這位12歲韓粉<br><br>就知道台灣地區還有救<br><br>祖國韓國瑜貼吧同胞替台灣地區的民眾感到欣慰<br><br>--<br>", "", ""
"Gossiping#M.1561093231.A.0B7#00001", "noah23", "好了啦 喜韓兒", "101.12.0.95 06/21 13:00", "0"
"Gossiping#M.1561093231.A.0B7#00002", "SupCat", "跳板仔森氣氣什麼", "27.242.126.13 06/21 13:00", "0"
"Gossiping#M.1561093231.A.0B7#00003", "roywow", "才會養出這種跟黑道在一起的可憐人", "223.137.68.136 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00004", "firemothra", "六個月後見，反串仔", "122.121.123.121 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00005", "SFMAndroid", "高級反串", "114.136.227.181 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00006", "Justinniger", "荷蘭憨粉", "27.247.168.49 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00007", "pices", "真心覺得可憐", "223.140.13.106 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00008", "cockloveswet", "要反串不用跳到荷蘭吧= =", "42.74.165.87 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00009", "chirskey", "荷蘭韓粉", "175.97.17.213 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00010", "Spinner3", "不會去政黑取暖喔", "220.143.88.103 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00011", "sustainer123", "嘻嘻", "223.139.137.214 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00012", "Leo4891", "韓導做不好  都是dpp害的啦", "114.36.169.103 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00013", "SUMPO", "下去", "1.161.134.51 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00014", "mmnnm", "跳板還這麼邱...滾啦...", "163.16.240.165 06/21 13:01", "0"
"Gossiping#M.1561093231.A.0B7#00015", "whathefuc", "荷蘭有什麼好吃的？", "42.73.15.111 06/21 13:02", "0"
"Gossiping#M.1561093231.A.0B7#00016", "cheaptool", "12歲不上課的韓粉？", "42.77.183.71 06/21 13:02", "0"
"Gossiping#M.1561093231.A.0B7#00017", "DarkyIsCat", "可憐低端人口", "49.218.32.130 06/21 13:02", "0"
"Gossiping#M.1561093231.A.0B7#00018", "aclock", "以後韓總想做的事還會被中國卡住", "101.136.194.57 06/21 13:02", "0"
"Gossiping#M.1561093231.A.0B7#00019", "CavendishJr", "這不是12歲的口吻吧，頂多只有名字+稱呼比較像而已", "101.137.3.44 06/21 13:02", "1"
"Gossiping#M.1561093231.A.0B7#00020", "dragon50119", "想開始找錯字是正常的嗎", "101.12.16.221 06/21 13:02", "0"
"Gossiping#M.1561093231.A.0B7#00021", "qsc787044", "沒救了", "49.215.240.78 06/21 13:02", "0"
"Gossiping#M.1561093231.A.0B7#00022", "DOUGOOD", "雖然連字都打錯，我還是尊重他的意見，說實在的有時候白的比黑的可怕", "101.137.82.13 06/21 13:03", "0"
"Gossiping#M.1561093231.A.0B7#00023", "scyycs6", "被卡住的解法是讓幫助國民黨其他人選上,而不是自己失信出來選吧", "223.136.77.170 06/21 13:03", "1"
