"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561114688.A.6CA#00000", "username1", "聽到一些內幕<br><br>1.警方出面清場，車道開通，空姐只能對大巴上去上班的空地勤同仁比中指，罵同仁是<br>資方狗。<br><br>2.空姐在機場假稱受指示代表公司代收護照，騙取出勤組員交出護照，被發現然後阻止<br>。<br><br>3.組員護照被搶，想讓公司保管護照，除了總公司櫃檯，也可以交二航廈三樓旅客報到<br>大廳長榮辦公室保管，要飛的時候再順便來拿。<br><br>4.下午有一離職多年員工看不不下去，自掏腰包花了幾萬元訂飲料，送機場請全體地勤<br>喝(一杯超過50那種)。<br><br>5.有後悔卻要不回自己護照向公司反應的，法務在研究是否構成侵占罪。<br><br>6.據統計，目前參加罷工多為資淺(張國煒時代)，年資都很低，沒經歷沒有四個月年終<br>的年代，不是被工會洗腦，就是已經找好退路了(星宇?)<br><br>7.因為罷工，機場地勤正在水深火熱。<br><br>備註:<br>不是投票9成支持?工會到底在怕甚麼?要用到這種手段?<br>說甚麼勞勞相挺？妳這樣地勤根本無法挺啊！<br><br><br>--<br>", "", ""
"Gossiping#M.1561114688.A.6CA#00001", "louis0210", "素喔", "223.140.163.240 06/21 18:58", "0"
"Gossiping#M.1561114688.A.6CA#00002", "s820912gmail", "貪婪台女 穿越層層", "101.9.141.84 06/21 18:58", "0"
"Gossiping#M.1561114688.A.6CA#00003", "fly0204", "不重要 重點是現場香不香", "118.171.7.166 06/21 18:58", "0"
"Gossiping#M.1561114688.A.6CA#00004", "hyuchi0202", "星羽才不用這種垃圾 要做不要哀，條件談好才來上班的吧? 坐地起價勒又不是經驗技術會提升的工作所以第6點一定是假的", "114.36.168.65 06/21 18:59", "0"
"Gossiping#M.1561114688.A.6CA#00005", "CharleneTsai", "有先問過星宇收不收嗎? = =", "114.35.122.106 06/21 18:59", "0"
"Gossiping#M.1561114688.A.6CA#00006", "roywow", "現在八卦這種謠言也會推了？", "223.137.68.136 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00007", "k1400", "如果你講假話呢？", "115.82.165.212 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00008", "sleepcat612", "不意外啦，跟台鐵產工一樣的一群腦包", "110.28.76.243 06/21 19:00", "1"
"Gossiping#M.1561114688.A.6CA#00009", "sonyabear", "飛天臭母豬", "111.82.111.87 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00010", "tiger911", "星宇最好會收", "175.180.166.82 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00011", "heyd", "這種員工星宇敢收?", "125.224.173.135 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00012", "mnb1234", "消息來源？不要刪文啊", "111.251.145.148 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00013", "s820912gmail", "貪婪台女不意外", "101.9.141.84 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00014", "james921736", "內幕從哪聽的？資方辦公室喔？", "223.136.169.7 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00015", "SigmundFreud", "讚喔，我幫你轉貼給工會", "110.28.2.140 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00016", "B777X", "無憑無據在這邊放假消息 小心被吉", "110.4.204.192 06/21 19:00", "0"
"Gossiping#M.1561114688.A.6CA#00017", "ae86936", "台灣最不缺就是工賊", "42.73.173.87 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00018", "Grothendieck", "74團幫噓", "114.137.178.105 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00019", "mysterydream", "這篇像風向文給箭頭", "1.162.19.31 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00020", "henryhao", "影片？現在有直播吧", "39.8.128.56 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00021", "eko112", "我敢說這批 應該已經沒人敢用了", "114.47.122.188 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00022", "love1987817", "第五 第六 你看看你 傻逼啦", "1.162.168.39 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00023", "derrick1220", "不行 全部送去印度", "101.136.214.237 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00024", "Cliffx", "真假", "111.83.36.25 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00025", "noname78531", "這群台女真的很優質 搞這些手段奧步", "117.19.212.108 06/21 19:01", "1"
"Gossiping#M.1561114688.A.6CA#00026", "wildli0422", "噓你造謠，證據拿出來", "115.82.139.126 06/21 19:01", "0"
"Gossiping#M.1561114688.A.6CA#00027", "feliz5566", "關我屁事 長榮自己喬好看要開除還是給錢就好", "27.246.162.144 06/21 19:02", "1"
"Gossiping#M.1561114688.A.6CA#00028", "hunder31", "這種星宇敢收唷？", "114.136.136.149 06/21 19:02", "0"
"Gossiping#M.1561114688.A.6CA#00029", "lmc66", "！", "101.11.19.11 06/21 19:02", "0"
"Gossiping#M.1561114688.A.6CA#00030", "NineGon", "是想帶什麼風向？", "34.243.242.198 06/21 19:02", "0"
"Gossiping#M.1561114688.A.6CA#00031", "danny00118", "啊證據咧", "49.215.212.41 06/21 19:02", "0"
"Gossiping#M.1561114688.A.6CA#00032", "pin0114", "別刪", "49.216.149.115 06/21 19:02", "0"
"Gossiping#M.1561114688.A.6CA#00033", "mm1314", "這樣也想帶？", "114.136.167.144 06/21 19:03", "0"
"Gossiping#M.1561114688.A.6CA#00034", "live1002", "星宇不可能收這些，小心被告", "61.230.45.192 06/21 19:03", "0"
"Gossiping#M.1561114688.A.6CA#00035", "johnps", "拔草測風向", "123.194.188.136 06/21 19:03", "0"
"Gossiping#M.1561114688.A.6CA#00036", "medlife0830", "真的噁心", "111.82.218.157 06/21 19:03", "0"
"Gossiping#M.1561114688.A.6CA#00037", "habbit33", "資方狗上班囉", "175.182.105.228 06/21 19:03", "0"
"Gossiping#M.1561114688.A.6CA#00038", "zephyr105", "你帳號保重", "180.217.172.87 06/21 19:03", "0"
"Gossiping#M.1561114688.A.6CA#00039", "DiMammaMia", "離職多年買飲料請地勤人員????", "114.136.169.85 06/21 19:04", "0"
"Gossiping#M.1561114688.A.6CA#00040", "amethystboy", "勞方加油", "61.231.68.82 06/21 19:04", "0"
"Gossiping#M.1561114688.A.6CA#00041", "milk250", "如果你證據拿出來就推你  聽來的ㄏㄏ", "61.231.97.29 06/21 19:04", "0"
"Gossiping#M.1561114688.A.6CA#00042", "PeikangShin", "哈哈 一堆奴隸人忍不住的跳出來幫資方吠", "42.76.58.221 06/21 19:04", "1"
"Gossiping#M.1561114688.A.6CA#00043", "MichaelRedd", "張國煒不可能會用啦，他最像張榮發的", "1.34.134.24 06/21 19:04", "1"
"Gossiping#M.1561114688.A.6CA#00044", "kidd085", "發這篇可以領多少啊？", "223.141.238.33 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00045", "Nigger5566", "我也想被空姐比中指", "42.75.219.244 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00046", "chaosly0124", "第一次看到這麼沒魄力的私人企業", "42.77.7.199 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00047", "LOVEMOON3427", "LOL", "49.159.9.197 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00048", "wolver", "這文跟某黨工型態類似", "59.126.50.163 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00049", "ice0101001", "長榮企工理事長貌似是桃工理事唷", "114.136.164.99 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00050", "pissyouoff", "貪婪公主哭起來！嗚嗚嗚嗚 我都是聽學姐的 我不知道...", "223.141.102.62 06/21 19:05", "0"
"Gossiping#M.1561114688.A.6CA#00051", "andy810719", "地勤加油，辛苦啦", "115.82.204.97 06/21 19:06", "0"
"Gossiping#M.1561114688.A.6CA#00052", "c918", "空姐連現在長榮都罷工了，你跟我說去星宇？", "101.13.98.24 06/21 19:06", "1"
"Gossiping#M.1561114688.A.6CA#00053", "peiring", "不要再聽說了", "49.217.82.147 06/21 19:06", "0"
"Gossiping#M.1561114688.A.6CA#00054", "s0450336", "真消息還是假消息", "111.71.89.239 06/21 19:06", "0"
"Gossiping#M.1561114688.A.6CA#00055", "mysterydream", "光是找好退路還要罷工就不常理了，卡", "1.162.19.31 06/21 19:06", "0"
"Gossiping#M.1561114688.A.6CA#00056", "peicandy", "空姐朋友請產假中、但臉書一堆支持罷工言論這怎麼算啊？", "111.242.232.15 06/21 19:06", "1"
"Gossiping#M.1561114688.A.6CA#00057", "DavidGuetta", "你被吉的話我請下面三樓吃雞排 沒憑沒據", "42.72.118.10 06/21 19:07", "1"
"Gossiping#M.1561114688.A.6CA#00058", "thousandwave", "哈哈 風向沒抓對學人瞎罷工", "114.137.180.148 06/21 19:07", "0"
"Gossiping#M.1561114688.A.6CA#00059", "milk250", "好耶", "61.231.97.29 06/21 19:07", "0"
"Gossiping#M.1561114688.A.6CA#00060", "sigit", "好了啦 下去領50", "117.56.175.127 06/21 19:07", "0"
"Gossiping#M.1561114688.A.6CA#00061", "knctw", "貪婪撈仔", "223.138.175.0 06/21 19:07", "0"
"Gossiping#M.1561114688.A.6CA#00062", "gogobar", "操你娘的母豬", "49.230.50.79 06/21 19:08", "0"
"Gossiping#M.1561114688.A.6CA#00063", "Leo3492351", "6不是大家都知道嗎", "27.247.139.101 06/21 19:08", "0"
"Gossiping#M.1561114688.A.6CA#00064", "ruokcnn", "好啦 公關公司來滅火了", "42.76.56.88 06/21 19:08", "0"
"Gossiping#M.1561114688.A.6CA#00065", "g801109g", "準備被吉", "223.136.162.126 06/21 19:08", "0"
"Gossiping#M.1561114688.A.6CA#00066", "canoism24", "帶風向沒品", "39.12.99.142 06/21 19:08", "0"
"Gossiping#M.1561114688.A.6CA#00067", "r326326", "造謠你好棒棒", "42.72.38.111 06/21 19:08", "0"
"Gossiping#M.1561114688.A.6CA#00068", "cob", "亂帶風向", "101.136.224.252 06/21 19:09", "0"
"Gossiping#M.1561114688.A.6CA#00069", "asgardgogo", "吱方派你來代風向?沒憑沒據的，你強姦母豬?", "120.108.85.217 06/21 19:09", "0"
"Gossiping#M.1561114688.A.6CA#00070", "a963", "有證據再說", "118.166.101.191 06/21 19:13", "0"
"Gossiping#M.1561114688.A.6CA#00071", "Oisiossos", "https//i.imgur.com/fLfdwZz.png", "110.50.154.93 06/21 19:14", "0"
"Gossiping#M.1561114688.A.6CA#00072", "erichang", "沒證據就不要出來亂講", "114.137.164.229 06/21 19:15", "0"
"Gossiping#M.1561114688.A.6CA#00073", "blus1986", "長榮快開除這些人", "114.137.163.90 06/21 19:15", "0"
"Gossiping#M.1561114688.A.6CA#00074", "pamafan", "喔…", "223.141.161.216 06/21 19:16", "0"
"Gossiping#M.1561114688.A.6CA#00075", "Exploration1", "你是員工嗎？根據？", "180.204.66.189 06/21 19:16", "0"
"Gossiping#M.1561114688.A.6CA#00076", "vivian02100", "帶風向?證據勒", "42.72.215.85 06/21 19:16", "0"
"Gossiping#M.1561114688.A.6CA#00077", "kinomon", "垃圾長榮滾", "223.139.237.147 06/21 19:17", "0"
"Gossiping#M.1561114688.A.6CA#00078", "madaco", "地勤嗎？", "101.8.160.221 06/21 19:17", "0"
"Gossiping#M.1561114688.A.6CA#00079", "Godist", "卡個證據", "39.8.62.45 06/21 19:21", "0"
"Gossiping#M.1561114688.A.6CA#00080", "iem2000", "呵呵", "175.180.249.65 06/21 19:22", "0"
"Gossiping#M.1561114688.A.6CA#00081", "dovepacket", "一堆女人蝦挺  都沒考量過後果", "49.216.146.51 06/21 19:22", "0"
"Gossiping#M.1561114688.A.6CA#00082", "myWDW", "放假消息嘍", "42.72.27.117 06/21 19:23", "0"
"Gossiping#M.1561114688.A.6CA#00083", "tttkaka", "這篇頗呵", "42.73.146.144 06/21 19:25", "0"
"Gossiping#M.1561114688.A.6CA#00084", "noname78531", "叭叭 原來是假的", "117.19.212.108 06/21 19:25", "0"
"Gossiping#M.1561114688.A.6CA#00085", "shangjay", "帶風向", "123.192.193.80 06/21 19:27", "0"
"Gossiping#M.1561114688.A.6CA#00086", "boss88893", "搞不好是 星宇 不要 才出來罷工  XD，張國煒時代進去  就自認為人家喜歡你?", "36.226.4.213 06/21 19:28", "0"
"Gossiping#M.1561114688.A.6CA#00087", "marc47", "這種爆掛充滿了設計、壞心眼ㄉ的字眼", "1.175.58.21 06/21 19:33", "0"
"Gossiping#M.1561114688.A.6CA#00088", "viodin", "真的嗎？", "60.251.54.123 06/21 19:33", "0"
"Gossiping#M.1561114688.A.6CA#00089", "PPPGGG", "噁心 ㄕㄠㄉㄞㄈㄥㄒㄉ", "42.77.82.196 06/21 19:33", "0"
"Gossiping#M.1561114688.A.6CA#00090", "darkpiano", "先去學怎麼帶風向吧", "111.71.36.39 06/21 19:34", "0"
"Gossiping#M.1561114688.A.6CA#00091", "zzxcasd", "沒看過這麼垃圾的工會", "36.236.68.62 06/21 19:34", "0"
"Gossiping#M.1561114688.A.6CA#00092", "bornwinner", "貪婪台女不意外", "42.75.88.67 06/21 19:34", "0"
"Gossiping#M.1561114688.A.6CA#00093", "liusean", "早上看新聞是纜車上的跟罷工的比中指", "115.82.39.220 06/21 19:35", "0"
"Gossiping#M.1561114688.A.6CA#00094", "griswold", "罷一波起碼要撈五年回來，懂?", "42.75.75.160 06/21 19:35", "0"
"Gossiping#M.1561114688.A.6CA#00095", "jjelm", "https//imgur.com/Q3xFx2l", "114.36.129.105 06/21 19:35", "0"
"Gossiping#M.1561114688.A.6CA#00096", "income19", "好喔", "118.150.127.49 06/21 19:36", "0"
"Gossiping#M.1561114688.A.6CA#00097", "focustage", "證據？", "175.97.16.132 06/21 19:36", "0"
"Gossiping#M.1561114688.A.6CA#00098", "nelsonhsiao", "資資", "49.216.9.86 06/21 19:37", "0"
"Gossiping#M.1561114688.A.6CA#00099", "mznxbc103", "資方狗企甲賽啦", "61.223.57.222 06/21 19:37", "0"
"Gossiping#M.1561114688.A.6CA#00100", "crossdunk", "星宇收我就都不搭星宇太可怕了", "36.231.134.139 06/21 19:38", "0"
"Gossiping#M.1561114688.A.6CA#00101", "zxc2266992", "帶啥風向", "114.35.201.225 06/21 19:40", "0"
"Gossiping#M.1561114688.A.6CA#00102", "i689tw", "https//imgur.com/KEP3hbk", "42.73.183.214 06/21 19:40", "0"
"Gossiping#M.1561114688.A.6CA#00103", "GDs", "資方都派出這種帶風向的還有人挺 可不可悲", "110.50.152.181 06/21 19:41", "0"
"Gossiping#M.1561114688.A.6CA#00104", "vanadiu", "這些婊子 只愛錢 都是噁心的狗東西......", "125.224.211.205 06/21 19:42", "1"
