"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561135407.A.E3D#00000", "chimeptt", "ETToday東森新聞雲<br><br>https://www.ettoday.net/news/20190621/1472814.htm<br><br>郭台銘下班「搭捷運」回家　一上車坐博愛座！隨扈緊張問：郭董幾歲<br><br><br>政治中心／台北報導<br><br>68歲的郭台銘21日交棒董事長一職，正式卸任，告別鴻海帝國，強調「換總統的頭銜比較<br>好」、「我永遠不回來」，全力爭取國民黨總統提名，也不會干涉公司運作。卸下董事長<br>身分，郭台銘轉頭就前往頂埔站搭捷運回家，說自己已經是一介平民，一上車就坐上博愛<br>座，隨行人員緊張地交頭接耳確認「郭總裁幾歲啦？」<br><br>鴻海員工列隊歡送，郭台銘在股東會後前往頂埔站，弟弟郭台強、兒子郭守正也特別到場<br>，他強調「今天正式卸任董事長，已經成為一介平民。」接著搭捷運回家。一路上月台、<br>車廂都湧進不少粉絲為他加油，高喊「郭董當選」，還有伯伯搶著握手要他「好好替國家<br>奮鬥！」<br><br>郭台強感性祝福，直說從商和從政完全是兩回事，自己也還在調適中，但是為了改善經濟<br>環境而努力是好事，祝福哥哥心想事成。郭台銘會後受訪時強調「我絕對不會再回來，而<br>且我絕對不再干涉，我要以中華民國的利益為第一優先。」被問到總裁的頭銜會不會保留<br>？他露出一抹微笑，搖搖頭連忙說了3次「不會、不會、不會」，覺得換總統的頭銜更好<br>。<br><br>郭台銘說，已經正式卸任，成為一介平民，所以「下班第一件事就是搭捷運回家」，且要<br>一路從頂埔搭回市政府站，然後走路回家。坐了快一小時才抵達，沿途簽名、合照、握手<br>都來者不拒，展現親和一面。《鏡周刊》報導，郭一上車就坐上深藍色的博愛座，讓隨行<br>人員緊張兮兮，不斷確認郭總裁年齡，就怕不符合規則。<br><br>郭台銘說，上一次搭捷運是象山站剛開通時，帶著媽媽出遊，陪媽媽從象山站一路搭到北<br>投站走走，被媒體追問以後不能叫郭董？ 他則開玩笑「我更想要總統頭銜！」<br><br><br><br><br><br><br>--<br>", "", ""
"Gossiping#M.1561135407.A.E3D#00001", "bonfferoni", "郭導", "27.52.96.44 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00002", "GoodMemory", "矯情", "220.129.1.32 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00003", "CREA", "太假了", "1.175.177.18 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00004", "chanicen", "有錢裝平民-.-", "123.192.218.247 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00005", "wang1b", "哈哈哈哈哈哈", "1.161.246.196 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00006", "RSoul", "這樣坐捷運…靠腰，沒有一般人過得去好嗎", "123.194.23.208 06/22 00:44", "1"
"Gossiping#M.1561135407.A.E3D#00007", "g8330330", "沒人坐的話。幾歲都能坐", "36.235.16.95 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00008", "qqq61004", "他媽的演給智障看 這麼會演去演八點檔", "180.218.129.192 06/22 00:44", "1"
"Gossiping#M.1561135407.A.E3D#00009", "ckbdfrst", "這太假了", "118.170.237.73 06/22 00:44", "0"
"Gossiping#M.1561135407.A.E3D#00010", "kamener", "平常有在坐嗎？還以為是張忠謀欸", "114.39.178.142 06/22 00:45", "0"
"Gossiping#M.1561135407.A.E3D#00011", "png", "平民還需要隨扈...", "220.129.198.26 06/22 00:45", "0"
"Gossiping#M.1561135407.A.E3D#00012", "temu2035", "博愛座誰都可以坐啊", "175.96.68.63 06/22 00:45", "0"
"Gossiping#M.1561135407.A.E3D#00013", "zold", "～～～～～～快吐了，好假～～～～～～繫鞋帶 舔盤子 博愛坐 ... 吸引媒體目光啊下次又要出哪招吸引媒體注意？", "49.216.244.223 06/22 00:46", "0"
"Gossiping#M.1561135407.A.E3D#00014", "hadumdum", "好了啦", "111.71.63.161 06/22 00:46", "0"
"Gossiping#M.1561135407.A.E3D#00015", "dream1124", "矯情做作…皇帝微服出巡的概念嗎？", "1.162.161.132 06/22 00:47", "0"
"Gossiping#M.1561135407.A.E3D#00016", "reaman", "鴻海的長官都很愛演  郭董是最愛演的", "27.246.74.183 06/22 00:47", "0"
"Gossiping#M.1561135407.A.E3D#00017", "kcclasaki", "庶民財產四千萬 平民財產成千上萬億。我只是畜生賤民......", "36.236.53.67 06/22 00:47", "1"
"Gossiping#M.1561135407.A.E3D#00018", "balberith", "所以他啥時要學聖文去市場端盤子啦", "36.237.126.61 06/22 00:48", "0"
"Gossiping#M.1561135407.A.E3D#00019", "nikewang", "好假...搭捷運回信義區豪宅", "121.130.188.2 06/22 00:48", "0"
"Gossiping#M.1561135407.A.E3D#00020", "zold", "郭董我教你： 扶老太太過馬路 ！！！！", "49.216.244.223 06/22 00:48", "0"
"Gossiping#M.1561135407.A.E3D#00021", "shenmue1001", "全台灣都知道鍋董有錢到靠北 演三小", "36.229.191.42 06/22 00:48", "1"
"Gossiping#M.1561135407.A.E3D#00022", "dream1124", "帶隨扈保護自己，卻還跑去坐捷運裝平民有種不配隨扈天天坐，而且不要選舉才搭", "1.162.161.132 06/22 00:49", "1"
"Gossiping#M.1561135407.A.E3D#00023", "pointa", "如果是蔡女皇座博愛座 覺青狗馬上推爆", "203.121.244.132 06/22 00:49", "0"
"Gossiping#M.1561135407.A.E3D#00024", "namie1231", "明天會騎機車、後天搭公車、大後天騎腳踏車。", "1.171.34.23 06/22 00:49", "1"
"Gossiping#M.1561135407.A.E3D#00025", "wwf0322", "太刻意反而很假", "49.217.120.239 06/22 00:49", "0"
"Gossiping#M.1561135407.A.E3D#00026", "higameboy", "這操作不行啦 要單獨坐 捕獲野生再po文", "114.37.190.145 06/22 00:50", "1"
"Gossiping#M.1561135407.A.E3D#00027", "vizjeco", "國民黨每個都要這樣嗎? 中國傳統?", "220.136.73.161 06/22 00:50", "0"
"Gossiping#M.1561135407.A.E3D#00028", "umo0721", "搭捷運=演戲，搭公車就推爆，叫記者不要跟啊", "223.136.71.84 06/22 00:50", "0"
"Gossiping#M.1561135407.A.E3D#00029", "shauhon", "一堆記者是怎樣", "101.14.161.71 06/22 00:50", "0"
"Gossiping#M.1561135407.A.E3D#00030", "stoxin", "本來就可以坐啊", "39.8.62.73 06/22 00:51", "0"
"Gossiping#M.1561135407.A.E3D#00031", "zold", "下次去機場坐在地上 接USB充電線如何？", "49.216.244.223 06/22 00:51", "0"
"Gossiping#M.1561135407.A.E3D#00032", "hatchet", "所以他出清所有的持股了嗎", "180.217.141.37 06/22 00:51", "0"
"Gossiping#M.1561135407.A.E3D#00033", "thunderman", "台北捷運不是不能有競選活動?", "223.140.117.67 06/22 00:51", "0"
"Gossiping#M.1561135407.A.E3D#00034", "echoo", "反正明年選完 自動改回坐轎車上班", "203.139.95.220 06/22 00:51", "0"
"Gossiping#M.1561135407.A.E3D#00035", "scu96", "太嫩了 連戰還親吻大地", "111.249.35.244 06/22 00:52", "0"
"Gossiping#M.1561135407.A.E3D#00036", "dream1124", "@pointa 蔡的確沒搭捷運上下班過啊，@umo柯搭一段時間，而且不是選舉才搭", "1.162.161.132 06/22 00:52", "0"
"Gossiping#M.1561135407.A.E3D#00037", "kenzo2002", "坐公車可以坐捷運不行喔", "111.71.43.189 06/22 00:52", "0"
"Gossiping#M.1561135407.A.E3D#00038", "Hohenzollern", "搭高鐵就算了 搭捷運就像舔洗碗精的盤子一樣做作", "1.162.201.25 06/22 00:53", "1"
"Gossiping#M.1561135407.A.E3D#00039", "pointa", "蔡女皇是個有錢的權貴哩 怎可能搭捷運", "203.121.244.132 06/22 00:53", "0"
"Gossiping#M.1561135407.A.E3D#00040", "kaiba541", "國民黨只會這種招數，但還是有人會吃", "1.160.34.230 06/22 00:53", "0"
"Gossiping#M.1561135407.A.E3D#00041", "ally2007", "不要裝了", "42.72.88.45 06/22 00:54", "0"
"Gossiping#M.1561135407.A.E3D#00042", "dream1124", "另外，柯的確可藉由公車路線上下班，這哪是為了給媒體拍而去搭捷運的@pointa 你可酸蔡權貴，但更顯得郭很假", "1.162.161.132 06/22 00:54", "0"
"Gossiping#M.1561135407.A.E3D#00043", "kenzo2002", "看看蔡皇有沒有坐過捷運跟公車啊", "111.71.43.189 06/22 00:54", "0"
"Gossiping#M.1561135407.A.E3D#00044", "wayneh1556", "郭導", "140.117.182.73 06/22 00:54", "0"
"Gossiping#M.1561135407.A.E3D#00045", "MagicSword", "太假了，要不要親吻大地一下？", "36.235.63.10 06/22 00:55", "0"
"Gossiping#M.1561135407.A.E3D#00046", "asuka99", "總統沒事搭捷運幹嘛 擾民嗎", "114.47.117.136 06/22 00:55", "0"
