"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561151868.A.EC4#00000", "Workforme", "1.媒體來源:<br>中央社<br><br>2.記者署名<br>編輯：林淑媛<br><br>3.完整新聞標題:<br>總統：提供年輕人合理住宅 我看得比什麼都重要<br><br>4.完整新聞內文:<br>總統：提供年輕人合理住宅 我看得比什麼都重要<br>最新更新：2019/06/21 22:17<br><br>（中央社台北21日電）總統蔡英文今天表示，年輕人在都會區生活壓力不低，如果有一個<br>合理、管理良善的住宅空間，可以減輕不少壓力；她說「這件事我看得比什麼都重要」，<br>讓年輕人減緩壓力，就是讓下一代有競爭力。<br><br>蔡總統今天到桃園參加「中壢一號社會住宅」開工典禮後，晚間在臉書發文指出，8年內<br>蓋12萬戶社會住宅，加上8萬戶現有住宅的「包租代管」，總共20萬戶，是她當選前的承<br>諾，也是她每天念茲在茲的問題。<br><br>總統說，常常在車上看到外面有空地，就請幕僚去問那塊地是誰的，有什麼用途？就是希<br>望能為年輕人多提供一些合理的住宅。<br><br>此外，總統也宣布好消息，從今年9月開始，政府擴大補助，提供單身青年和婚育家庭每<br>月新台幣2600元到5000元不等的租金補貼，希望大家負擔少一點，幸福多一點，也要順利<br>成家。<br><br>有關「中壢一號社會住宅」，蔡總統表示，她很謝謝桃園市長鄭文燦的用心，新一代的社<br>會住宅，不只環境好、設計佳，還結合長照、幼托等服務，讓年輕人可以安心入住，幸福<br>成家。（編輯：林淑媛）1080621<br><br>5.完整新聞連結 (或短網址):<br>https://www.cna.com.tw/news/aipl/201906210321.aspx<br><br>6.備註:<br>(￣▽￣)@m 螢幕前的年輕人 你怎麼看？<br><br>--<br>", "", ""
"Gossiping#M.1561151868.A.EC4#00001", "feliz5566", "去妳媽 閹割實價登錄", "27.246.162.144 06/22 05:19", "0"
"Gossiping#M.1561151868.A.EC4#00002", "rushingguy", "Ok唷 你做的努力很他媽不夠", "36.238.14.159 06/22 05:22", "0"
"Gossiping#M.1561151868.A.EC4#00003", "brianuser", "開放年輕人安樂死", "36.236.97.183 06/22 05:22", "0"
"Gossiping#M.1561151868.A.EC4#00004", "mopepe5566", "實價登錄都不敢弄好，怕得罪財團？爸爸靠炒房起家的富二代？", "167.179.89.38 06/22 05:22", "0"
"Gossiping#M.1561151868.A.EC4#00005", "aether982", "幹夠", "123.193.41.214 06/22 05:23", "0"
"Gossiping#M.1561151868.A.EC4#00006", "mopepe5566", "整天只想騙年輕人的票", "167.179.89.38 06/22 05:24", "0"
"Gossiping#M.1561151868.A.EC4#00007", "hunterh01", "她這兩天是不是終於幹掉賴太高興起笑了完全再開啟去年的敗票模式哩~~~", "47.148.174.178 06/22 05:24", "1"
"Gossiping#M.1561151868.A.EC4#00008", "k10055960", "我是覺得可以先幫一下身障者啦，身障者先天條件就不好ㄌ 居住環境要求又偏高 怎麼活?", "123.193.69.180 06/22 05:25", "0"
"Gossiping#M.1561151868.A.EC4#00009", "mk1689", "推小英總統，一本正經的講幹話。勞工是心頭肉喔", "180.204.195.234 06/22 05:25", "1"
"Gossiping#M.1561151868.A.EC4#00010", "icudy", "...", "118.171.146.126 06/22 05:26", "0"
"Gossiping#M.1561151868.A.EC4#00011", "chiangww", "這不噓什麼才要噓呢？", "122.116.47.16 06/22 05:26", "0"
"Gossiping#M.1561151868.A.EC4#00012", "hit168", "1450不出來戶主哦", "39.10.107.37 06/22 05:27", "0"
