"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561167328.A.DF6#00000", "smallptt", "蔡政府顧政權 打著民主反民主 抹紅媒體監督 與獨裁何異<br>https://bit.ly/2Y7TR7O<br><br>中時電子報<br>季節、朱真楷<br>2019年6月22日 上午5:50<br><br>中國時報【季節、朱真楷】<br><br>新聞透視民進黨以「中共利用親中媒體破壞民主體制」為由，宣布將派代表出席反紅遊行<br>，顯示蔡政府為延續2020政權，不惜在沒任何證據情況下蓄意抹紅媒體，藉此一刀切，將<br>所有檢視、批判政府的報導，全扣上親中大帽。或許，這種抹黑戰術有助蔡政府站上宣傳<br>至高點，但這種做法與其所言獨裁政權有何差異？<br><br>喊查滲透 製造對立<br><br>蔡英文日前表示，「來自境外的手」，透過製造錯假訊息，在網路、媒體散播，製造台灣<br>內部矛盾對立，讓社會陷入紛擾與分裂。接著，昨日民進黨中央更直白說，中共利用親中<br>媒體破壞民主體制，民進黨將派代表出席反紅遊行，以支持反滲透主張。<br><br>問題是，民進黨作為執政黨，全權掌握國安局、調查局，假若真有媒體如民進黨所言，受<br>中共滲透在台製造對立、破壞民主，以情報機構的能力，難道沒辦法掌握證據直接法辦？<br><br>亂扣紅帽 全為選舉<br><br>尤其近期以來，民進黨立院黨團打著「防制中共滲透」旗幟，陸續主導通過《國家安全法<br>》、《兩岸人民關係條例》、《災害防救法》、《刑法》、《國家機密保護法》的修法；<br>既然「武器」如此充足，為何不直接以現行法律進行制裁？還是說，蔡政府根本就只是虛<br>構故事、栽贓抹紅，所以才只能上街遊行喊空話？<br><br>更令民眾納悶的是，蔡政府為何要如此耗費精力扣媒體紅帽？其目的，恐怕就是著眼於<br>2020總統大選的政治利益。<br><br>操弄輿論 破壞民主<br><br>對蔡政府而言，大選期間必然得盡可能掃除任何有礙政權延續的障礙；所以，若能利用「<br>抹紅」這種一刀切手段，將媒體推向親中立場，久而久之，一旦讓選民產生刻板印象，屆<br>時當媒體再做出對執政者不利的報導，民進黨就能動輒以「被陸收買」、「假新聞」說法<br>，弱化媒體監督。<br><br>只是做為執政者，選擇在缺乏證據情況下，恣意抹紅媒體，其目的又是為求自身政治利益<br>，所以到底誰在操弄輿論、製造社會對立、破壞民主體制？權力薰心的民進黨，真的別再<br>打著民主反民主，讓台灣走回獨裁老路。<br><br>--<br>", "", ""
"Gossiping#M.1561167328.A.DF6#00001", "jeffky", "中狗死報", "101.11.1.112 06/22 09:35", "0"
"Gossiping#M.1561167328.A.DF6#00002", "YYA", "...", "39.9.166.41 06/22 09:35", "0"
"Gossiping#M.1561167328.A.DF6#00003", "believejoy", "哈哈哈哈哈", "101.12.208.46 06/22 09:35", "0"
"Gossiping#M.1561167328.A.DF6#00004", "jack0216", "噁", "180.204.24.195 06/22 09:36", "0"
"Gossiping#M.1561167328.A.DF6#00005", "plice", "綠共啊  人民智商超低der", "36.232.43.108 06/22 09:36", "0"
"Gossiping#M.1561167328.A.DF6#00006", "snsdakb48", "支那狗報跳腳就代表做對了", "1.161.149.96 06/22 09:36", "0"
"Gossiping#M.1561167328.A.DF6#00007", "yannicklatte", "旺旺", "49.216.5.156 06/22 09:36", "0"
"Gossiping#M.1561167328.A.DF6#00008", "GaryMatthews", "狗報", "24.4.68.241 06/22 09:36", "0"
"Gossiping#M.1561167328.A.DF6#00009", "swbthj", "旺中需要抹紅?", "36.236.114.175 06/22 09:36", "0"
