"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561182497.A.F7A#00000", "wwHui", "恭喜台灣又要被商人館帶風向了～<br><br>我是覺得媒體要怎樣報導是他的自由啦<br><br>大家為什麼不去反宗教台？<br><br>大家都是宗教台為什麼唯獨反中天？<br><br>難道台灣引以為傲的民主自由退步了嗎？<br><br>統媒的責任就是兩岸要統一<br><br>我們怎麼不務實一點互相諒解呢？<br><br>兩岸本來就一家親<br><br>台灣媒體要平衡不能沒有中天！<br><br>卦？<br><br>--<br>", "", ""
"Gossiping#M.1561182497.A.F7A#00001", "popy8789", "萬人響應 one人到場，One人大遊行走起來喔", "223.137.126.165 06/22 13:48", "0"
"Gossiping#M.1561182497.A.F7A#00002", "kinomon", "反串很辛苦喔", "223.139.237.147 06/22 13:48", "0"
"Gossiping#M.1561182497.A.F7A#00003", "Aotearoa", "工啥小", "61.56.160.147 06/22 13:48", "0"
"Gossiping#M.1561182497.A.F7A#00004", "wilson5566", "老實說你這篇想多久了呵呵", "175.96.85.121 06/22 13:49", "0"
"Gossiping#M.1561182497.A.F7A#00005", "Benetnasch", "台灣媒體平衡很簡單，只要留公視，其他台改成開放YT自媒體", "42.72.174.128 06/22 13:49", "1"
"Gossiping#M.1561182497.A.F7A#00006", "remix141529", "釣魚打那麼多字這麼辛苦幹嘛", "111.71.96.242 06/22 13:49", "0"
"Gossiping#M.1561182497.A.F7A#00007", "VttONE", "反串很勤", "39.10.2.26 06/22 13:49", "0"
"Gossiping#M.1561182497.A.F7A#00008", "qq05", "在中天那麼羞恥  當幫你推", "180.217.135.43 06/22 13:49", "0"
"Gossiping#M.1561182497.A.F7A#00009", "fred240753", "很急嗎", "42.76.201.98 06/22 13:50", "0"
"Gossiping#M.1561182497.A.F7A#00010", "lowsan", "用台灣資源還舔共才可笑", "111.184.10.96 06/22 13:50", "0"
"Gossiping#M.1561182497.A.F7A#00011", "evaji548", "XDDDDDDDDDDDD", "111.249.70.99 06/22 13:50", "0"
"Gossiping#M.1561182497.A.F7A#00012", "maple0425", "都是信仰 政客比宗教更容易實質影響你宗教台整天念經講故事又沒有實際權力中國台整天捧韓 選上總統是有權力的", "39.12.64.247 06/22 13:50", "1"
"Gossiping#M.1561182497.A.F7A#00013", "pingwawa", "很急齁", "42.77.78.252 06/22 13:50", "0"
