"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561205863.A.E61#00000", "Shinreieizou", "1.媒體來源:<br>TVBS 編輯 吳育文 報導<br><br>3.完整新聞標題:<br>韓國瑜開講 重砲轟民進黨得了權力中毒症<br><br>4.完整新聞內文:<br>高雄市長韓國瑜今(22日)赴台中造勢，稍早在晚間７點半已站上舞台開講，談到近日高雄<br>市登革熱狂爆疫情，他說他心中有奇怪的感覺，細數歷年登革熱疫情、災情，國民黨執政<br>下的行政院，並沒有因為政黨的不同，均即刻予以民進黨執政的高雄市、台南市支援，他<br>重砲轟擊民進黨，台灣是生命共同體，不能因為政黨不同就幸災樂禍，冷看著你災難發生<br>，這是可怕的事，他痛批民進黨中了「權力中毒症」。<br><br>5.完整新聞連結 (或短網址):<br>https://news.tvbs.com.tw/politics/1153970<br><br>6.備註:<br>資進黨整天只想要權力和怎麼選舉 該換個會為咱們庶民著想的領導<br><br><br>--<br>", "", ""
"Gossiping#M.1561205863.A.E61#00001", "mavs2kidd", "葛來分多 皮爾格林 史萊哲林", "180.176.54.202 06/22 20:17", "0"
"Gossiping#M.1561205863.A.E61#00002", "pHsueh", "滾", "59.115.227.188 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00003", "jorden", "自介?", "1.170.165.83 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00004", "randolph80", "含倒在自介", "42.0.70.105 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00005", "k4654564", "0分", "203.77.81.184 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00006", "w36501", "非韓不投", "59.115.242.102 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00007", "Calcifer", "支持市長北漂 北漂市長 韓國瑜", "223.138.160.4 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00008", "mayaman", "本版不歡迎自介文", "223.140.152.86 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00009", "Fongin", "韓導自介", "180.204.133.35 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00010", "z0953781935", "覺得台灣政治人物差不多都這樣", "39.9.171.232 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00011", "slimak", "瑞士韓粉 你好", "101.9.65.20 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00012", "kslxd", "自介啦幹", "118.165.117.155 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00013", "Feuerbach", "在罵江宜樺  XDDD", "111.240.78.70 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00014", "TSMConduty", "一直拉票欸，毛毛的", "123.194.181.72 06/22 20:18", "0"
"Gossiping#M.1561205863.A.E61#00015", "lairx", "瑞士", "223.136.150.243 06/22 20:19", "0"
"Gossiping#M.1561205863.A.E61#00016", "elainakuo", "https//i.imgur.com/HUY1wjq.jpg", "114.45.72.142 06/22 20:19", "0"
"Gossiping#M.1561205863.A.E61#00017", "ZIQQ001", "自介", "27.242.202.30 06/22 20:19", "0"
"Gossiping#M.1561205863.A.E61#00018", "Korsechi", "權力中毒症 市長當半年就去選總統", "36.238.53.187 06/22 20:19", "0"
"Gossiping#M.1561205863.A.E61#00019", "lakefox", "你先照照鏡子吧", "39.9.197.84 06/22 20:19", "0"
"Gossiping#M.1561205863.A.E61#00020", "jiayou", "瞎扯淡，水災時不知道是誰想阻止外國進來救災？", "42.72.123.118 06/22 20:19", "1"
"Gossiping#M.1561205863.A.E61#00021", "qaz214536", "瑞士現在早上嗎", "220.134.203.210 06/22 20:20", "0"
"Gossiping#M.1561205863.A.E61#00022", "louis0210", "我也想選了QQ", "111.71.62.204 06/22 20:20", "0"
"Gossiping#M.1561205863.A.E61#00023", "makapaka", "冷看你災難發生？啊高雄有災難的話，請問你高雄市長在做什麼？", "220.129.124.147 06/22 20:20", "1"
"Gossiping#M.1561205863.A.E61#00024", "sjlee1127", ".......", "111.241.61.82 06/22 20:20", "0"
"Gossiping#M.1561205863.A.E61#00025", "ck731122", "韓導變不出新把戲囉！準備GG", "39.12.171.20 06/22 20:20", "0"
