"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561257202.A.5C4#00000", "dreamspa", "https://www.chinatimes.com/newspapers/20190623000399-260118<br>2019/06/23 中國時報 季節、曾薏蘋<br><br>時代力量立委黃國昌今在凱道舉辦反紅媒遊行。學者與國民黨立委認為，<br>民主國家保障言論自由，不應隨意對媒體戴紅帽、潑紅漆。<br><br>王丰：真正的紅媒是東森、TVBS<br><br>時代力量立委黃國昌今在凱道舉辦反紅媒遊行，民進黨將派發言人群代表<br>出席，但學者與國民黨立委認為，民主國家保障言論自由，若認為特定媒<br>體有違法之處大可舉證提告，不應在沒有舉證的情況下，隨意對旺中戴紅<br>帽、潑紅漆，否則這就是黃國昌為抬升個人選情所做出的政治操作。<br><br>針對黃國昌發起反紅遊行，民進黨發言人李問表示，歡迎所有認同相同理<br>念的朋友，共同加入這個全球性的抵抗行動，台灣作為民主陣營的一員，<br>在推動修法上，當然不會缺席。<br><br>媒體自有特定立場<br><br>但台大政治系教授、國民黨總統初選參選人張亞中指出，言論自由是民主<br>社會最重要的元素，而媒體自由更是言論自由的支柱。目前民進黨政府已<br>經修改《國家安全法》，如果黃國昌等人認為某媒體是紅色媒體，受中國<br>大陸指使，大可提出證據，具狀向法院提出告訴，而不是用言論自由來隨<br>意給媒體戴紅帽子、潑紅漆。<br><br>張亞中還說，媒體與個人一樣，都會有特定的政治立場。關鍵在於有沒有<br>錯誤的報導，經營有沒有違法的行為。<br><br>他說，任何一個媒體能否生存與得到社會的肯定，取決於自身的報導是否<br>公正、深入，而非取決於不同政治立場者的個人好惡。在綠營所操弄的「<br>抗中」政治氛圍下，近日台灣已有雷同1950年代美國的麥卡錫主義，這種<br>以意識形態造成社會分裂、敵對的行為實不足取，只會傷害台灣社會的和<br>諧與團結，沒有任何好處。<br><br>呼籲民眾選票唾棄<br><br>國民黨立法院黨團總召曾銘宗指出，憲法第11條明文規定人民有言論講學<br>及著作出版自由，要落實言論與出版自由，必須要有新聞自由做為基礎；<br>另外，NCC組織法第1條也明文規定，為落實人民言論自由要給媒體自主經<br>營空間，而言論自由、新聞自由是自由民主國家最重要的基礎，黃國昌過<br>去是法律學者、現在是立委，他一定很清楚這些法律規範和民主國家的立<br>國精神。<br><br>因此，曾銘宗認為，黃國昌若要批評特定媒體，應明確指出媒體哪種作為<br>違法；相反的，在沒有具體事蹟下就給媒體戴紅帽、潑紅漆，不是一個政<br>治人物、一個法律學者該有的做為，這樣的遊行名不正、言不順，顯然只<br>是為了抬升他個人選情的選舉操作手段，呼籲民眾明年用選票唾棄他的行<br>為。<br><br>黃國昌窮途末路！蹭旺中熱度累積政治資本<br><br>#黃國昌<br><br>--<br>", "", ""
"Gossiping#M.1561257202.A.5C4#00001", "tomo1026", "怕了嘛", "111.240.214.41 06/23 10:33", "0"
"Gossiping#M.1561257202.A.5C4#00002", "kuijun228", "蔡衍明拿中共補助上百億還敢發錢請人嘴啊", "180.204.141.71 06/23 10:34", "1"
"Gossiping#M.1561257202.A.5C4#00003", "signm", "反正沒人去、怕什麼", "42.75.98.184 06/23 10:34", "0"
"Gossiping#M.1561257202.A.5C4#00004", "yellow319", "噁", "42.72.87.215 06/23 10:34", "0"
"Gossiping#M.1561257202.A.5C4#00005", "route22", "中屎宇宙", "1.163.179.197 06/23 10:34", "0"
"Gossiping#M.1561257202.A.5C4#00006", "a176893", "很怕", "104.248.159.62 06/23 10:34", "0"
"Gossiping#M.1561257202.A.5C4#00007", "s72005ming", "中天呼籲大家別遊行……，如果人少真的會被中天笑", "111.71.44.236 06/23 10:34", "0"
"Gossiping#M.1561257202.A.5C4#00008", "pkd20", "呵呵", "223.140.1.69 06/23 10:34", "0"
"Gossiping#M.1561257202.A.5C4#00009", "pp9960", "怕了", "114.36.168.10 06/23 10:35", "0"
