"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561259674.A.FD5#00000", "ak904", "UDN<br><br>韓國瑜台中造勢 痛批民進黨得了權力中毒症<br><br>高雄市長韓國瑜「決戰二○二○、贏回台灣」造勢場，昨移師台中，韓國瑜痛批民進黨政<br>府得了「權力中毒症」，與人民愈來愈遠；對於高雄登革熱疫情，更因為政黨不同就幸災<br>樂禍，他呼籲明年總統大選把民進黨拉下來，迎接中華民國的美好未來。<br><br>韓國瑜繼凱道、花蓮與雲林場造勢後，昨天韓粉聚集台中。韓進場時，全場「庶民選總統<br>、總統選庶民」聲不斷。韓致詞說，二○一五年高雄爆發登革熱，當時的行政院副院長張<br>善政結合中央、地方資源，共同撲滅疫情；二○一六年美濃大地震，已是行政院長的張善<br>政也到台南、撥款兩百億元，與台南市政府一起救災、重建。<br><br>韓國瑜說，現在民進黨執政的行政院，與國民黨執政時完全不同，「不能因政黨不同就幸<br>災樂禍，因所有台灣人都是生命共同體，不能因不是我的人，就要看你出洋相、鬧笑話，<br>看你災難發生」。<br><br>韓國瑜說，民進黨現在最大問題是得了「權力中毒症」，民進黨總統初選的民調，專家都<br>當成笑話，前總統陳水扁也說是笑話；以前的綠營立委蔡同榮推動公投，已故的立委盧修<br>一都充滿理想與熱情，但今天的民進黨領導中華民國，還值得尊敬嗎？<br><br>他批評，公投法好不容易立法，民進黨又修法「關回籠內」，就是得了「權力中毒症」，<br>每件事都離人民愈來愈遠，與廿年前的民進黨相比，現在的民進黨落後太多，那個勤政、<br>愛鄉土的民進黨已經完全失去。<br><br>喊話中小企業「拉進來 打出去」<br><br>韓國瑜昨也針對中部最多的中小企業喊話，他喊出「拉進來，打出去」，強調面臨中美貿<br>易戰，政府要做中小企業的後盾，延攬國外退休的經濟官員「拉進來」，外交部想辦法拚<br>經濟，設立海外據點幫中小企業「打出去」。<br><br>韓國瑜說，民進黨執政三年，沒有能力，無法與國外簽訂自由貿易協定，中美貿易戰衝擊<br>很大，即將來臨的經濟海嘯，就怕中小企業周轉不靈頂不住，一旦中小企業倒閉，將成為<br>台灣的災難。<br><br>台中市前市長胡志強與妻子邵曉鈴昨也上台挺韓，胡志強號召大家，一起把韓國瑜送到總<br>統府。昨天活動，主辦單位指人潮超過廿萬人，中市警方私下評估有十多萬人。<br><br>張善政曾撥兩百億台南賑災？<br><br>政院回應：韓國瑜烏龍說法<br><br>針對高雄市長韓國瑜昨天說，行政院前院長張善政曾撥款兩百億元幫助台南震災，「救災<br>不該有政黨之分」，行政院昨晚回應表示，這根本是烏龍說法，不解韓國瑜為何要製造「<br>假訊息」。<br><br>行政院官員表示，二○一六年二月六日台南震災，行政院核給台南卅二點七億元，張善政<br>曾提出匡列兩百億元「安家固園計畫」，改善土壤液化問題，但行政院並未核定通過計畫<br>、也無編列預算，台南市府根本無從申請，並無中央撥款兩百億給台南震災一事。<br><br>https://udn.com/news/story/120536/3887559?from=udn-catelistnews_ch2<br><br>6.備註:<br><br>完美自介<br><br>--<br>", "", ""
"Gossiping#M.1561259674.A.FD5#00001", "neifaye", "首噓", "220.128.230.160 06/23 11:14", "0"
"Gossiping#M.1561259674.A.FD5#00002", "johnwu", "韓導很會自介 都婊到自己", "180.177.115.73 06/23 11:14", "0"
"Gossiping#M.1561259674.A.FD5#00003", "vcx530", "講自己", "111.250.184.42 06/23 11:14", "0"
"Gossiping#M.1561259674.A.FD5#00004", "lesnaree2", "市長整天在想選舉才是權力中毒吧", "101.13.37.38 06/23 11:15", "0"
"Gossiping#M.1561259674.A.FD5#00005", "lmf770410", "對啊 權力中毒 放著市政不管瘋狂北中東造勢取暖", "111.82.50.55 06/23 11:15", "1"
"Gossiping#M.1561259674.A.FD5#00006", "wwvvkai", "自介", "61.56.182.169 06/23 11:15", "0"
"Gossiping#M.1561259674.A.FD5#00007", "Lailungsheng", "自", "101.137.172.109 06/23 11:15", "0"
"Gossiping#M.1561259674.A.FD5#00008", "ji394tb", "市長當成那樣還想總統", "36.227.74.196 06/23 11:15", "0"
"Gossiping#M.1561259674.A.FD5#00009", "hong414", "自表", "180.204.64.78 06/23 11:16", "0"
"Gossiping#M.1561259674.A.FD5#00010", "amurorei", "標準有嘴說別人，高雄登革熱好意思怪中央政府？", "114.46.140.71 06/23 11:16", "1"
"Gossiping#M.1561259674.A.FD5#00011", "neifaye", "2020一堆惡靈惡靈現形", "220.128.230.160 06/23 11:16", "0"
"Gossiping#M.1561259674.A.FD5#00012", "builttokill", "自介", "101.10.80.212 06/23 11:16", "0"
"Gossiping#M.1561259674.A.FD5#00013", "abduraff", "市長當不到半年就想選總統", "150.116.31.50 06/23 11:16", "0"
"Gossiping#M.1561259674.A.FD5#00014", "WolfTeacher", "幹你娘閉嘴啦", "27.52.96.44 06/23 11:17", "0"
"Gossiping#M.1561259674.A.FD5#00015", "brella", "幹你娘全家畜生", "39.9.201.26 06/23 11:17", "0"
"Gossiping#M.1561259674.A.FD5#00016", "AntiCompete", "噓文的都是1450", "114.39.123.49 06/23 11:18", "0"
"Gossiping#M.1561259674.A.FD5#00017", "rookiecop", "落跑市長有臉說別人啊 好笑 支持者也是", "125.230.210.66 06/23 11:18", "1"
"Gossiping#M.1561259674.A.FD5#00018", "g10", "幹，韓國瑜你才是 高雄還要被你糟蹋四年", "110.26.190.130 06/23 11:18", "0"
"Gossiping#M.1561259674.A.FD5#00019", "haruka281", "說句實話 韓導溜之大吉選總統不愛權", "27.247.34.236 06/23 11:18", "0"
"Gossiping#M.1561259674.A.FD5#00020", "kiyosumi", "選舉中毒症", "1.162.125.64 06/23 11:18", "0"
"Gossiping#M.1561259674.A.FD5#00021", "sid3", "看前交通部長  台鐵出包拍拍屁股高升董事長攤子留給後面收  權力比人命重要", "1.160.195.169 06/23 11:18", "1"
"Gossiping#M.1561259674.A.FD5#00022", "Tuscany", "請勿自介  謝謝合作", "118.160.233.221 06/23 11:19", "0"
"Gossiping#M.1561259674.A.FD5#00023", "kosakichan", "你看看高雄的慘況不就是你自己弄出來的嗎？", "114.137.168.3 06/23 11:20", "1"
"Gossiping#M.1561259674.A.FD5#00024", "neifaye", "垃圾政客還有人信 我也是笑了，打到你骨折啦  打出來咧", "220.128.230.160 06/23 11:20", "0"
"Gossiping#M.1561259674.A.FD5#00025", "sweetylake", "草包", "39.8.62.87 06/23 11:20", "0"
"Gossiping#M.1561259674.A.FD5#00026", "vios", "???", "36.229.205.133 06/23 11:20", "0"
"Gossiping#M.1561259674.A.FD5#00027", "madeathmao", "市長做不到一年就滿腦子選總統的人", "114.37.133.118 06/23 11:21", "0"
"Gossiping#M.1561259674.A.FD5#00028", "vodkalime607", "又自介了 他現在說什麼都自打臉XDD", "111.243.225.248 06/23 11:21", "1"
"Gossiping#M.1561259674.A.FD5#00029", "fivetobacco", "自介嗎", "114.46.59.88 06/23 11:21", "0"
"Gossiping#M.1561259674.A.FD5#00030", "roserta", "睜眼說瞎話的完美示範", "220.134.203.238 06/23 11:21", "0"
"Gossiping#M.1561259674.A.FD5#00031", "ZER", "不噓不行", "27.52.62.101 06/23 11:22", "0"
"Gossiping#M.1561259674.A.FD5#00032", "pimba17", "為了權力承認九二、親中共誰才中毒，不治理市政 跑去選總統 誰權力中毒？", "101.136.99.0 06/23 11:22", "0"
"Gossiping#M.1561259674.A.FD5#00033", "darkcake", "哇操 不敢離職選總統的說人權力中毒", "1.200.204.237 06/23 11:22", "0"
"Gossiping#M.1561259674.A.FD5#00034", "blowingwind", "剛上任當不到幾個月市長就想跑去選總統，自己打臉自己耶", "114.41.157.235 06/23 11:23", "1"
"Gossiping#M.1561259674.A.FD5#00035", "lordray1", "本板不歡迎自介", "180.217.236.238 06/23 11:23", "0"
"Gossiping#M.1561259674.A.FD5#00036", "wayhowhown", "韓國瑜有夠噁心嘔嘔嘔嘔嘔", "101.136.119.65 06/23 11:25", "0"
"Gossiping#M.1561259674.A.FD5#00037", "makapaka", "他講這句又會讓政論笑好幾天了，真的是沒文化只懂鬥爭，自婊專家", "220.129.99.151 06/23 11:25", "1"
"Gossiping#M.1561259674.A.FD5#00038", "neifaye", "噓到你叫XXX", "220.128.230.160 06/23 11:25", "0"
"Gossiping#M.1561259674.A.FD5#00039", "Fongin", "本板不歡迎自介", "36.224.18.116 06/23 11:25", "0"
"Gossiping#M.1561259674.A.FD5#00040", "Aerialy", "你知道自己在講什麼鬼東西嗎?", "118.170.3.217 06/23 11:28", "0"
"Gossiping#M.1561259674.A.FD5#00041", "cwhalf", "感謝高雄讓韓當選 否則2020一定是他當選", "118.166.68.216 06/23 11:28", "1"
"Gossiping#M.1561259674.A.FD5#00042", "oops66", "把屌拉進來 打槍打出去", "49.217.204.40 06/23 11:29", "0"
"Gossiping#M.1561259674.A.FD5#00043", "PPLong889", "不到半年想選總統而且，堅！不！辭！職！噓回來", "150.117.99.138 06/23 11:30", "1"
"Gossiping#M.1561259674.A.FD5#00044", "Franc1224", "又自界", "223.137.1.146 06/23 11:31", "0"
"Gossiping#M.1561259674.A.FD5#00045", "conanhide", "韓國瑜故意的，就算是錯的就是要熱度討", "42.74.199.103 06/23 11:32", "1"
"Gossiping#M.1561259674.A.FD5#00046", "SinShih", "根本自婊", "42.77.222.189 06/23 11:32", "0"
"Gossiping#M.1561259674.A.FD5#00047", "ilovebmw", "自介嗎？", "39.8.42.23 06/23 11:33", "0"
"Gossiping#M.1561259674.A.FD5#00048", "ironaxe", "精準自介，史上第一", "223.139.5.41 06/23 11:33", "0"
"Gossiping#M.1561259674.A.FD5#00049", "highyes", "真心想看屁眼俠拖垮車輪黨 初選非含不投", "36.226.65.180 06/23 11:33", "1"
"Gossiping#M.1561259674.A.FD5#00050", "cwhalf", "他怎麼好意思這樣說別人", "118.166.68.216 06/23 11:34", "0"
"Gossiping#M.1561259674.A.FD5#00051", "wildmad", "同溫層難以突破..+他們向心力很強…", "223.138.99.44 06/23 11:34", "0"
"Gossiping#M.1561259674.A.FD5#00052", "blg", "嘴炮王", "1.164.41.55 06/23 11:34", "0"
"Gossiping#M.1561259674.A.FD5#00053", "shizai", "低端韓粉最愛", "101.137.62.59 06/23 11:37", "0"
"Gossiping#M.1561259674.A.FD5#00054", "shiyo729", "他還真的一開口就是說謊", "101.12.131.106 06/23 11:39", "0"
"Gossiping#M.1561259674.A.FD5#00055", "vcx530", "一直講自己，一般人早就卡卡的，他到是挺自然的，已到口出誑語的境界", "111.250.184.42 06/23 11:41", "1"
"Gossiping#M.1561259674.A.FD5#00056", "mix5172000", "這邊不歡迎自介喔", "180.177.24.34 06/23 11:43", "0"
"Gossiping#M.1561259674.A.FD5#00057", "vcx530", "手上掛佛珠，嘴出誑語，夠噁心，壞事幹多", "111.250.184.42 06/23 11:43", "1"
"Gossiping#M.1561259674.A.FD5#00058", "tamynumber1", "又在自介了", "36.224.61.92 06/23 11:43", "0"
"Gossiping#M.1561259674.A.FD5#00059", "luli0034", "誰權力中毒還不明顯嗎", "39.13.34.88 06/23 11:45", "0"
"Gossiping#M.1561259674.A.FD5#00060", "ohohamy", "韓導：選舉可以賺錢", "58.10.140.78 06/23 11:45", "0"
"Gossiping#M.1561259674.A.FD5#00061", "aasaasaas947", "笑死你才中毒吧", "1.200.219.221 06/23 11:46", "0"
"Gossiping#M.1561259674.A.FD5#00062", "Ladesai99", "奇怪  怎麼每句話都能塞回他嘴裡啊？", "49.216.222.154 06/23 11:47", "1"
"Gossiping#M.1561259674.A.FD5#00063", "slimak", "自介", "115.82.147.102 06/23 11:47", "0"
"Gossiping#M.1561259674.A.FD5#00064", "sjlee1127", ".........", "118.167.158.151 06/23 11:48", "0"
"Gossiping#M.1561259674.A.FD5#00065", "koty6069", "想逃跑選總統的講這種話", "223.136.23.16 06/23 11:51", "0"
"Gossiping#M.1561259674.A.FD5#00066", "omaha", "噁心不噁心，這嘴臉", "218.187.128.231 06/23 11:51", "0"
"Gossiping#M.1561259674.A.FD5#00067", "kawapa", "中美貿易戰是影響在陸台商吧 活該傾中阿", "220.135.157.136 06/23 11:55", "1"
"Gossiping#M.1561259674.A.FD5#00068", "ChenYiBoy", "自婊", "36.229.95.133 06/23 11:58", "0"
"Gossiping#M.1561259674.A.FD5#00069", "kosuke", "當半年就帶職落跑 根本自婊界的至尊", "36.225.185.228 06/23 12:04", "0"
"Gossiping#M.1561259674.A.FD5#00070", "jesuscries", "反正會支持韓的也不會思考他說話的邏輯Zzz", "114.137.188.34 06/23 12:10", "1"
"Gossiping#M.1561259674.A.FD5#00071", "jxyz", "大港你贏", "223.137.24.46 06/23 12:10", "0"
"Gossiping#M.1561259674.A.FD5#00072", "DavidGuetta", "操你媽不是政治0分 經濟100 智障韓粉忘了喔", "223.140.48.110 06/23 12:11", "1"
"Gossiping#M.1561259674.A.FD5#00073", "louis82828", "市長當不到半年就肖想總統的人，做自我介紹嗎", "101.11.19.160 06/23 12:12", "0"
"Gossiping#M.1561259674.A.FD5#00074", "asdg62558", "呵呵", "111.82.8.180 06/23 12:36", "0"
"Gossiping#M.1561259674.A.FD5#00075", "SSCSFE", "ya", "49.218.20.3 06/23 13:02", "0"
"Gossiping#M.1561259674.A.FD5#00076", "dog990999", "是誰半年選總統？", "223.136.188.7 06/23 13:08", "0"
"Gossiping#M.1561259674.A.FD5#00077", "same01216", "自我介紹的垃圾", "118.232.113.74 06/23 13:15", "0"
"Gossiping#M.1561259674.A.FD5#00078", "pavacana", "整天罵中央又要跟中央要錢 真不要臉，自己的政見全部跳票 還有臉選總統", "114.42.99.198 06/23 13:32", "0"
"Gossiping#M.1561259674.A.FD5#00079", "linwayne", "可悲 可笑 可恥", "39.8.4.139 06/23 14:10", "0"
"Gossiping#M.1561259674.A.FD5#00080", "s8930335", "非含不投", "223.137.186.122 06/23 17:04", "0"
