"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561262178.A.D58#00000", "OGCOGCOGCOGC", "我真的快笑死了XDDDD<br><br><br>這人數XDDDDDDDDDDDD<br><br>韓市長的場子一棵樹下的人說不定都比這多勒XDDDDDDDDDDDDD<br><br><br><br>現實就是<br><br>根本沒什么人反中反共<br><br>現實就是台灣人大部分支持和平統一<br><br><br>以下開放獨吱覺青們崩潰XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD<br><br><br>※ 引述《oneJack (JackSon)》之銘言：<br>: http://i.imgur.com/KUZvqOX.jpg<br>: http://i.imgur.com/55LfseO.jpg<br>: 凱達格蘭大道上面人潮洶湧<br>: 看來應該有機會超過韓總台中造勢<br>: -----<br>: Sent from JPTT on my Asus ASUS_Z01QD.<br><br>--<br>", "", ""
"Gossiping#M.1561262178.A.D58#00001", "ok032898", "我還不來噓你", "39.8.62.151 06/23 11:56", "0"
"Gossiping#M.1561262178.A.D58#00002", "ILoveKMT", "哈哈 真的 綠蠅又鬧出一個大笑話了", "118.168.120.63 06/23 11:56", "0"
"Gossiping#M.1561262178.A.D58#00003", "tryagain24", "閣下反串反的不真喔", "1.34.123.219 06/23 11:56", "0"
"Gossiping#M.1561262178.A.D58#00004", "kevinlike", "泰國", "61.216.67.47 06/23 11:56", "0"
"Gossiping#M.1561262178.A.D58#00005", "LansingAltec", "184.82.104.238 (泰國)", "118.168.60.161 06/23 11:57", "0"
"Gossiping#M.1561262178.A.D58#00006", "AllBlack", "覺青誤國", "42.74.162.31 06/23 11:57", "0"
"Gossiping#M.1561262178.A.D58#00007", "jasonccr", "笑死", "223.136.203.37 06/23 11:57", "0"
"Gossiping#M.1561262178.A.D58#00008", "x5553434", "跳板五毛滾", "114.32.37.57 06/23 11:57", "0"
"Gossiping#M.1561262178.A.D58#00009", "Carsr", "呵呵 有你這樣人 台灣不意外不反共反中啊", "42.77.125.96 06/23 11:57", "1"
"Gossiping#M.1561262178.A.D58#00010", "whiteflora6", "讓我們歡迎泰國來的朋友~", "180.217.137.69 06/23 11:57", "0"
"Gossiping#M.1561262178.A.D58#00011", "maple0425", "https//i.imgur.com/hAjXZFX.jpg，有議員動員有差 嘻嘻", "39.8.65.194 06/23 11:58", "0"
"Gossiping#M.1561262178.A.D58#00012", "qq05", "連中國人都瞧不起", "180.217.168.242 06/23 11:58", "0"
"Gossiping#M.1561262178.A.D58#00013", "bybe", "泰國5毛仔", "101.13.3.156 06/23 11:58", "0"
"Gossiping#M.1561262178.A.D58#00014", "p2p8ppp", "泰國人真有國際觀", "101.9.84.175 06/23 11:59", "0"
"Gossiping#M.1561262178.A.D58#00015", "Linzoma", "祝你被勞改", "42.77.28.111 06/23 12:00", "0"
"Gossiping#M.1561262178.A.D58#00016", "iocal", "臺灣的事甘你屁事？閉嘴好嗎", "114.40.62.160 06/23 12:00", "0"
"Gossiping#M.1561262178.A.D58#00017", "whathefuc", "泰國人滾啦", "42.73.15.111 06/23 12:01", "0"
"Gossiping#M.1561262178.A.D58#00018", "mikefan12", "五毛週日還要上班喔", "223.136.117.202 06/23 12:01", "0"
"Gossiping#M.1561262178.A.D58#00019", "qweasdzzx", "可憐泰國人", "61.231.96.155 06/23 12:02", "0"
"Gossiping#M.1561262178.A.D58#00020", "remsuki", "賤畜", "223.139.88.133 06/23 12:03", "0"
"Gossiping#M.1561262178.A.D58#00021", "cuteme5566", "跳板仔很急", "114.136.211.173 06/23 12:03", "0"
"Gossiping#M.1561262178.A.D58#00022", "pupuputtt", "3挖低咖", "111.252.114.2 06/23 12:03", "0"
"Gossiping#M.1561262178.A.D58#00023", "sbilor", "五毛泰國人還是滾吧", "42.77.224.112 06/23 12:03", "0"
"Gossiping#M.1561262178.A.D58#00024", "zalora", "跳板仔的口氣真的很囂張", "42.74.133.167 06/23 12:03", "0"
"Gossiping#M.1561262178.A.D58#00025", "troops", "五毛先管好你們的豬瘟吧", "223.137.242.186 06/23 12:03", "0"
"Gossiping#M.1561262178.A.D58#00026", "GaryMatthews", "么么人", "24.4.68.241 06/23 12:05", "0"
"Gossiping#M.1561262178.A.D58#00027", "david22", "泰國人", "101.9.73.222 06/23 12:05", "0"
"Gossiping#M.1561262178.A.D58#00028", "hyaku", "噓", "27.246.171.176 06/23 12:05", "0"
"Gossiping#M.1561262178.A.D58#00029", "chestery", "滾", "59.126.158.245 06/23 12:06", "0"
"Gossiping#M.1561262178.A.D58#00030", "PPLong889", "泰國", "150.117.99.138 06/23 12:06", "0"
"Gossiping#M.1561262178.A.D58#00031", "faiya", "你今天不當奈及利亞人囉？", "114.136.224.136 06/23 12:06", "0"
"Gossiping#M.1561262178.A.D58#00032", "FUBAR", "專業釣手", "123.192.153.194 06/23 12:07", "0"
"Gossiping#M.1561262178.A.D58#00033", "vivihoney", "泰國的五毛講話...嘻嘻", "111.242.187.3 06/23 12:07", "0"
"Gossiping#M.1561262178.A.D58#00034", "urbunny", "就算韓粉也不要一國兩制好嗎", "50.24.127.30 06/23 12:07", "0"
"Gossiping#M.1561262178.A.D58#00035", "skuderic", "跳板仔 剛好測試2", "101.12.27.39 06/23 12:07", "0"
"Gossiping#M.1561262178.A.D58#00036", "albert1229", "欠噓", "223.141.27.131 06/23 12:07", "0"
"Gossiping#M.1561262178.A.D58#00037", "devilkool", "你不知道一堆獨吱討厭館長和黃國昌所以抵制這遊行嗎", "114.136.185.163 06/23 12:08", "1"
"Gossiping#M.1561262178.A.D58#00038", "NEIL8278", "跳板仔不處理一下嗎", "42.77.64.172 06/23 12:08", "0"
"Gossiping#M.1561262178.A.D58#00039", "xxp680", "有領500韓導場子人多阿 傻傻的", "118.171.99.169 06/23 12:08", "0"
"Gossiping#M.1561262178.A.D58#00040", "reemir", "XDDDDDDDDDDDDDDDDDDDDDD", "223.139.99.215 06/23 12:10", "0"
"Gossiping#M.1561262178.A.D58#00041", "bhirava2014", "兩點才開始，你在急什麼", "220.129.57.129 06/23 12:10", "0"
"Gossiping#M.1561262178.A.D58#00042", "moli85411", "活動下午兩點開始 是在嗨什麼？", "180.217.176.182 06/23 12:11", "0"
"Gossiping#M.1561262178.A.D58#00043", "pqweraddy", "泰國也有喜韓兒喔", "1.200.34.83 06/23 12:11", "0"
"Gossiping#M.1561262178.A.D58#00044", "xm32", "李益連？", "114.25.141.159 06/23 12:12", "0"
"Gossiping#M.1561262178.A.D58#00045", "rosy", "現場工作人員和綠黴記者都比參加人多很多", "180.217.142.44 06/23 12:12", "0"
"Gossiping#M.1561262178.A.D58#00046", "guitar0225", "泰國仔有何貴幹", "49.216.15.207 06/23 12:13", "0"
"Gossiping#M.1561262178.A.D58#00047", "jfriendtw", "解釋合理", "111.83.168.115 06/23 12:13", "0"
"Gossiping#M.1561262178.A.D58#00048", "red722", "跳板就是欠噓，更何況是未開化的五毛", "113.196.183.110 06/23 12:13", "0"
"Gossiping#M.1561262178.A.D58#00049", "stalin8410", "泰國", "101.136.225.90 06/23 12:14", "0"
"Gossiping#M.1561262178.A.D58#00050", "ad0705", "8888", "114.137.177.94 06/23 12:14", "0"
"Gossiping#M.1561262178.A.D58#00051", "frank072304", "垃圾閉嘴", "101.9.58.195 06/23 12:15", "0"
"Gossiping#M.1561262178.A.D58#00052", "hcc570910", "滾", "114.36.70.34 06/23 12:16", "0"
"Gossiping#M.1561262178.A.D58#00053", "hdotistyle", "泰國朋友 你好", "180.217.74.215 06/23 12:16", "0"
"Gossiping#M.1561262178.A.D58#00054", "s1492c026", "泰國也來了XDDDD 台灣事務真的很多國際友人關心耶", "101.10.41.12 06/23 12:16", "1"
"Gossiping#M.1561262178.A.D58#00055", "dingding69", "五毛先管好自家的豬吧！", "61.228.22.74 06/23 12:20", "0"
"Gossiping#M.1561262178.A.D58#00056", "bchen1222", "88", "114.136.123.172 06/23 12:20", "0"
"Gossiping#M.1561262178.A.D58#00057", "PLurk", "干你屁事 跳板垃圾", "114.26.200.74 06/23 12:20", "0"
"Gossiping#M.1561262178.A.D58#00058", "Leris0112", "三小", "111.251.13.20 06/23 12:21", "0"
"Gossiping#M.1561262178.A.D58#00059", "GrowUp", "中共贊助那麼多就掂掂啦", "42.77.125.240 06/23 12:21", "0"
"Gossiping#M.1561262178.A.D58#00060", "DamonAlbarn", "泰國韓粉安安", "223.139.0.75 06/23 12:21", "0"
"Gossiping#M.1561262178.A.D58#00061", "nicknikg", "本來就沒人反中，那全是民進黨的爪牙", "36.230.35.36 06/23 12:22", "0"
"Gossiping#M.1561262178.A.D58#00062", "milkteafood", "支那賤畜還沒下班哦", "117.19.163.0 06/23 12:22", "0"
"Gossiping#M.1561262178.A.D58#00063", "star99", "支那仔", "111.83.210.100 06/23 12:24", "0"
"Gossiping#M.1561262178.A.D58#00064", "shizai", "哦", "101.137.62.59 06/23 12:24", "0"
"Gossiping#M.1561262178.A.D58#00065", "oops66", "哩洗咧靠北喔", "49.217.204.40 06/23 12:26", "0"
"Gossiping#M.1561262178.A.D58#00066", "dlam002", "看到這隻崩潰就知道黃國昌做對了", "101.12.203.141 06/23 12:26", "0"
"Gossiping#M.1561262178.A.D58#00067", "Romaps", "么么人最愛，六四天安門事件 占占占占", "101.14.236.8 06/23 12:28", "0"
"Gossiping#M.1561262178.A.D58#00068", "gobby3958", "原來去泰國整形了阿 小妹", "125.224.138.57 06/23 12:29", "0"
"Gossiping#M.1561262178.A.D58#00069", "louisa0523", "哈哈哈哈 泰國", "36.224.6.151 06/23 12:33", "0"
"Gossiping#M.1561262178.A.D58#00070", "ikai99", "夭夭人", "1.200.194.75 06/23 12:43", "0"
"Gossiping#M.1561262178.A.D58#00071", "maiotosay", "^_^", "36.225.218.8 06/23 12:45", "0"
"Gossiping#M.1561262178.A.D58#00072", "window77", "人這麼少一定綠共打壓 明年投韓教訓綠共", "118.170.201.84 06/23 12:48", "1"
"Gossiping#M.1561262178.A.D58#00073", "cochon23", "支那人滾去支那", "115.43.90.187 06/23 12:51", "0"
"Gossiping#M.1561262178.A.D58#00074", "LordOfCS", "我國集會遊行甘你們支那賤畜屁事", "111.83.149.237 06/23 12:53", "0"
"Gossiping#M.1561262178.A.D58#00075", "zweibeee", "好了啦 別刷存在感", "1.200.62.3 06/23 12:58", "0"
"Gossiping#M.1561262178.A.D58#00076", "funeasy", "87", "114.137.146.7 06/23 13:01", "0"
"Gossiping#M.1561262178.A.D58#00077", "yabitang", "滾", "122.118.1.67 06/23 13:05", "0"
"Gossiping#M.1561262178.A.D58#00078", "waitang", "可悲泰國五毛", "49.159.30.134 06/23 13:06", "0"
"Gossiping#M.1561262178.A.D58#00079", "gz", "支那賤畜", "119.14.157.21 06/23 13:36", "0"
"Gossiping#M.1561262178.A.D58#00080", "replay1110", "泰國人就好好去當人妖，中國狗就專心吃屎就好了!!", "42.73.193.122 06/23 13:45", "1"
"Gossiping#M.1561262178.A.D58#00081", "ironaxe", "五毛看封面就早洩了，不用進正片", "223.139.5.41 06/23 13:47", "0"
"Gossiping#M.1561262178.A.D58#00082", "Kosmosinsel", "紅色還是噁心沒錯啊但你要幹就直接來不用這樣繞來繞去反而笑惹", "122.147.26.153 06/23 15:00", "1"
"Gossiping#M.1561262178.A.D58#00083", "tai6621", "滾回去舔習近平懶趴", "110.26.133.26 06/23 15:13", "0"
"Gossiping#M.1561262178.A.D58#00084", "bluewine1991", "要舔回家自己舔好嗎？", "36.231.168.49 06/23 15:16", "0"
"Gossiping#M.1561262178.A.D58#00085", "wwpuma", "支那五毛滾回去吃屎", "223.140.242.61 06/23 16:45", "0"
"Gossiping#M.1561262178.A.D58#00086", "raxy", "噓爆你只是剛剛好而已", "42.76.27.15 06/23 16:45", "0"
"Gossiping#M.1561262178.A.D58#00087", "polo125809", "哎呀 好少人啊", "27.52.42.100 06/23 18:25", "0"
"Gossiping#M.1561262178.A.D58#00088", "Molester5566", "哈哈哈哈哈哈哈", "114.136.200.41 06/23 22:44", "0"
"Gossiping#M.1561262178.A.D58#00089", "BURNFISH", "人真的少", "111.241.54.143 06/23 22:53", "0"
"Gossiping#M.1561262178.A.D58#00090", "fakeimage", "么么人", "223.136.5.57 06/24 03:27", "0"
