"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561269374.A.BA6#00000", "z1231002", "笑死<br>景福門都還可以開車通過<br>根本沒人<br>肥宅我隨便就找到停車位了<br>等等去拍幾個笑死照片打卡<br>看看這個反紅媒崩潰<br>晚上再看看館長直播崩潰的樣子<br>呵呵<br>萵苣準備大統一台灣健身業界<br>館長不過是流星<br>掰掰<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Gossiping#M.1561269374.A.BA6#00001", "erik8866", "..........", "58.114.27.31 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00002", "zouelephant", "喔", "223.136.53.220 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00003", "aram9527", "謝謝你的反串！", "101.15.130.106 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00004", "wudatou", "紅線都是白衣人 還有很多人還沒到勒 五毛都很急", "101.136.157.201 06/23 13:56", "1"
"Gossiping#M.1561269374.A.BA6#00005", "lozupomelo", "..............????", "59.127.204.35 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00006", "xyz30800", "來了", "39.13.38.106 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00007", "mix5172000", "？", "39.9.35.37 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00008", "TCMRYUTARO", "悲哀", "27.242.190.134 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00009", "chestery", "so?", "59.126.158.245 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00010", "vInzMing", "反串給推", "101.9.35.168 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00011", "t81511270", "好了啦 不要再激大家到現場惹", "36.234.140.205 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00012", "liveinmyway", "鍵盤停車？", "42.73.109.138 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00013", "saya2185", "?", "114.25.9.133 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00014", "WalterWhite", "偏不噓", "39.9.129.198 06/23 13:56", "0"
"Gossiping#M.1561269374.A.BA6#00015", "Bainite", "你的智商QQ", "114.137.74.101 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00016", "hacker10158", "下去領錢啦", "118.150.193.56 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00017", "ebod221", "嗯嗯", "118.169.131.231 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00018", "Luff543", "很急 呵", "223.137.204.107 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00019", "liusean", "很急著帶風向", "101.8.147.9 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00020", "bole", "中資共媒韓粉 真會說謊啊！", "42.77.179.43 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00021", "gold06181618", "感謝催人", "223.139.199.168 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00022", "LBJisGod", "抓", "42.73.53.73 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00023", "cct1527", "為何不辦在好樂迪就好!?", "101.10.1.136 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00024", "mhlee", "景福門好像沒借到路權欸 幹 怎麼搞得", "180.204.11.85 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00025", "iamasoldier", "你很可悲", "114.32.195.178 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00026", "gai6816", "很急", "122.121.97.43 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00027", "p200404", "你這樣子拿不到支那給的工讀費吧", "223.136.179.104 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00028", "mimi0609", "反串仔= =", "42.74.110.88 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00029", "formosanus", "很急著帶風向 給你", "123.193.138.252 06/23 13:57", "0"
"Gossiping#M.1561269374.A.BA6#00030", "forbake1", "鍵盤開車", "110.28.66.138 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00031", "nfhlve", "跳版不要選台灣拉 很丟臉耶", "114.32.105.149 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00032", "chlorideacid", "反串?", "111.252.63.184 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00033", "smb1013", "你的照片呢？", "36.230.199.34 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00034", "makenai19", "喔", "114.137.88.56 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00035", "pp45600", "兩點才開始不用急", "111.255.216.177 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00036", "qwerty110", "照片呢?", "118.166.42.231 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00037", "kill77845", "誒誒 太明顯沒錢誒 等下老大會叫你重po啊", "111.241.215.85 06/23 13:58", "1"
"Gossiping#M.1561269374.A.BA6#00038", "ptt8592", "QQ", "1.200.61.177 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00039", "guitar0225", "死了沒 笑死幾次了", "49.216.15.207 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00040", "windhsu", "你不是人就在現場，拍照來看看啊", "118.160.93.51 06/23 13:58", "0"
"Gossiping#M.1561269374.A.BA6#00041", "willy1103", "笑死 館導粉各種崩潰", "218.173.24.106 06/23 13:59", "0"
