"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561274690.A.C40#00000", "niangS", "以上發言，不代表工會，僅為個人立場<br>外面的雨很大，我的手也在抖<br>因為知道身為一個台女、一個空中服務生可能會被噓<br>可是我們沒有做錯什麼。<br><br><br>  「公司的誠意，這是我站出來的原因。」<br><br>台灣的勞工環境究竟有多嚴苛、對勞工有多少隱瞞。<br>與其說這只是一場罷工，我認為這是一場社會運動。<br><br>從傳統馬克思主義的角度切入，社會運動就是一場無產階級挑戰有產階級的過程。<br>從「一般規則」或是「普世價值」找出其中的問題並加以推動改變現況。<br><br><br>長榮航空之於我的問題是什麼------就是威權。<br><br><br>2014年曾經為了學校報告參與了一場勞權遊行，為的是外籍移工在台灣被剝削及過勞。<br>記得那時聽他們敘述，很多人跟他們說：「這麼累就回自己的國家，不爽不要做，幹嘛要<br>在台灣抗議。」大部分人是為了養家。<br><br>但當時我聽到最美好的答案，是有人告訴我，<br>「我的工作還是有很美好的地方，我放不下那個我照顧的阿公，他在家沒有人陪，我們下<br>午都去公園，一起曬太陽。」  必須要說，是在罷工投票前壓死線加入工會的。<br><br>因為我想到當初那些被剝削的移工。<br>我並不是最熱衷上班的那一些人，當初進公司跟大部分的妹子一樣對國外有美麗嚮往，<br>畢竟是個沒怎麼出過國的女子，而且剛好家裡有些狀況，就投了履歷進了公司。<br>對我來說這份工作有它的痛苦，也有它的美好。<br><br>「不爽不要做」可以，但也有人不可以。<br>這是某些學姊畢生的夢想的工作，她們喜愛服務人群。<br>這是某些學姊的不得不，必須為了生活、為了生計。<br>很多很多的學姊都是深愛著公司，但不得不站出來，<br>爭取更好的勞動環境，到底有什麼不對。<br><br>試著想想，當你自己認為自己值得更好的對待一點點，別人告訴你「那你不爽不要做」，<br>或是只是摸摸你的頭跟你說「加薪有天會輪到你」卻終日無期。<br>你為什麼沒有「不爽不要做」，你有沒有自己的不得不。<br><br><br>人類衝突的本質，在擁有較多資源的「少數」，藉由資源形成的優勢力量支配資源較少<br>的「多數」，以維繫這種資源分配不均的狀態。<br><br><br>在這場罷工之中有很多你們看不到的部分，為什麼「資方沒有誠意」。<br>罷工投票前工會預告要開始進行罷工投票日期後。<br><br>公司做法：<br><br>1.提早發出公告說，如有罷工造成任何公司損害，將停止任何優待機票、停發年終。<br>2.緊急更改交通車位置，阻礙組員投票。<br>3.請地面教官於地面勤務時柔性勸說資淺組員，如果公司要清算，會先找誰。<br>4.台北場投票時路權突然被借走。<br><br>在罷工發生前、損害發生前就提出懲罰方案的用意在哪?<br>在不斷來回協商中，公司予方案更是讓人無法理解。<br><br><br>說一個大家耳熟能詳的例子<br> ____________________________________________________________<br><br>「所以你們要告訴我們，為什麼是150不是140不是200？」<br><br>我們是人、是勞工、不是機器，<br><br>對日支費訴求，公司一直用這樣的方式質問我們？背後的語意是什麼，<br><br>就像住在同個屋簷下的婆婆質問媳婦買菜錢為什麼這麼貴，<br><br>「買個菜吃個飯要吃這麼多錢到底是要幹嘛，為什麼這麼浪費。」<br><br> ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿<br><br> 收入差距，是在這裡想討論的。<br><br>看看下面兩個對照：<br><br><br>「長榮航空總經理孫嘉明表示長榮航空去年客運營收達991億元，年增7.2%，長榮航從2014<br>年到2017年運能年增率2位成長，明顯高於全球及亞太業者，2018年更進行區域運能調整及<br>航網優化以提升單位收益。」<br><br>https://taronews.tw/2019/03/29/295156/（2019/03/29）<br><br>「我可以提醒大家一下2006年稅後虧損16億八千萬，當年度我們發了一個月的年終獎金；<br>2007年虧損18億多，我們發了兩個月年終獎金，2008年稅後虧損168億，我們一樣發了一個<br>月。」<br><br>https://www.youtube.com/watch?v=cjzS5W_LaIM （27分鐘開始）<br>兩段話皆是由孫總經理口中說出，在2019年3月29號的新聞中說出，長榮航空這三年，年年<br>獲利，但在2019年6月20號的協商中卻舉了2006-2008的虧損例。<br><br><br>上面一段話是說給董事會聽的，<br>下面一段話是說給員工聽的。<br><br>也許他想表達的是，在虧損時刻長榮航空仍然願意發給年終獎金給員工。<br>但他沒告訴你的是，員工與董事之間的差異。<br><br>「本公司年度如有獲利，應提撥員工酬勞不得低於1%及董事酬勞不得高於2%。」<br><br>2018年報P.71。<br><br>https://i.imgur.com/WpRlAlV.png<br>長榮航空董事9人。<br>員工族繁不及備載。<br><br>再次強調工會已解釋勞工董事意義，勞工董事也沒有要由工會內部成員出任，<br>但長榮航空還是要抓著這個訊息壓著打，為什麼呢？因為它「看起來」違法。<br>這就是公司打壓員工的方式。<br><br>工會要求參與公司治理的理由，<br>是希望員工在遇到公司不平等待遇打壓的時候，<br>能有為員工說話的份量。<br>聽過內部打壓的故事太多了，就不在這分享。<br><br>https://i.imgur.com/w6cqmo4.png<br>民國97年股東報告書客運營收500億，全年度營收906.56億，<br>107年股東報告書客運營收991億，全年度營收1356億。<br>那在這裡請問，每年載客量增加，營收增加，<br>大家的年終獎金有跟著共生共榮嗎？<br>那股東有沒有共生共榮，有。<br><br><br><br>我們真的很貪婪嗎？ 剛進訓練中心的第一天，大家都會看到一張圖，上面寫道<br>「訓練生——實習空服員——正式空服員——助理事務長——<br>副事務長——事務長——教官。」<br>我還記得教官戲謔地說，這就是我們空服員的一生。<br><br>當我曾經聽到資深的CP學姊說，「工作二十年，底薪才破四萬。」<br><br>我們沒有合理的升遷制度增加底薪，<br>爭取薪資水平的最好方式就是討論外站津貼。<br><br>https://i.imgur.com/n9CNQ80.png<br>https://i.imgur.com/tMLYnzU.png<br>大家常看到的這張圖長這樣<br>https://i.imgur.com/mFgYTuc.png<br>真實情況是這樣<br>https://i.imgur.com/6cJ3Dvd.png<br>國際航空薪資水平是這樣<br><br><br>我們硬生生，就是比人家少，不管公司公布的計算方式為何，<br>怎麼算就是少了人家一萬元甚至更多，<br>請問我們有比人家不認真上班嗎？我們的服務流程有比別人少嗎？<br>公司在股東報告書中沾沾自喜細數獲得的獎項，<br>我們也很驕傲空地內勤共同合作成就五星級的航空公司。<br><br><br>為什麼在討論協商提高待遇的同時，我們只能獲得這樣的回應。<br>為什麼在股東盈餘年年上升的同時，<br>卻也沒有像當初虧損識的氣魄，願意給全體員工相應的年終獎金？<br><br>長榮航空？是我們不值得嗎？<br>是在這樣年年收益增加的情況之下，<br>連要求能夠跟自己公司收益相應的薪資，都是貪婪？<br><br><br>還是公司願意提供能打破薪資玻璃天花板的解套，<br>給我們能夠增加底薪薪資水平的方案。<br><br><br>https://i.imgur.com/Zwr1732.png<br>再來看看這張圖， 我不知道大家怎麼理解的，<br>但我個人認為他就是降低工時的倒退，<br>套句郭台銘說的話「我所有的員工都是自願加班，因為他們可以領到更高的薪水。」<br>這句話的謬誤是什麼，如果今天公司員工有更好的勞動條件、勞動環境，在合理工時的情<br>況下就可以有對等的收入，會有人想加班嗎，這就是資方高傲的態度。<br><br>一間排名台灣前十的企業，如果真的是拿出誠意來談，會是這樣嗎？<br>如果是真心珍惜員工當作資產，會是用這樣的方式嗎。<br>公司告訴全世界，長榮航空平均薪資一百二十四萬。<br>事實是空服員年薪含年終，平均只有八十至九十萬左右。剩下的部分呢？大家自由想像。<br><br> https://ec.ltn.com.tw/article/breakingnews/2810370 （自由時報）<br><br>這就是資方的傲慢，<br>我們在資方的眼中就如每一位反對的鄉民所述，<br><br><br>我們只是空中端盤子的服務員，隨時可以取代。<br>如果公司是這樣看我們的，那又是怎麼看待其他員工呢？<br><br>如果這種態度發生在長榮航空的資方，<br>那有沒有發生在台灣的每個角落，<br>我們很幸運也很不幸，<br>幸運的是在這個勞方弱勢的年代能夠成立工會，為自己發聲。<br>不幸的是，之於台灣，現在還不是個勞權意識抬頭的時代。<br><br>最後在這裏我也想要道歉，<br>對不起各位旅客，<br>讓你們一趟趟充滿期待的旅程、迫切歸鄉的心緒、重要的商務會議因此遭受耽擱，<br>但直在罷工宣布的前一刻，我們沒有絲毫懈怠、<br>在飛機上仍然盡力提供好的服務給各位，一樣希望能夠讓各位旅客順利平安的回家，<br>在飛機上各位發燒生病、班機延遲可能趕不上轉機時、充滿惴惴不安的時，感同身受。<br><br>我們也想早日回到工作崗位，回歸正常的生活，沒有勞工不想賺取薪水。<br>但請原諒我們現在的不得不，因為公司只願意用對待機械的方式請我們計算薪水，<br>而不是他們口中的共生共榮，<br>因為公司主管和股東還在休六日，無法招開股東大會，<br>沒辦法立刻決定我們的下場、還沒決議如何讓我們回歸後「注意一點」。<br><br>對不起各位地勤、內勤還在服勤的同事們，<br>將你們推向第一火線，接受各界的壓力與攻擊，<br>所有人是因為愛同事、愛工作環境而願意加班，<br>也可以大家理解為何對正在罷工的我們，會充滿怒氣。<br><br>但請原諒我們的不得不，我們現在在做的事情不是為了對抗你們，<br>是為了對抗可以輕易說出「威權」兩字的公司高層。<br>希望在未來的某一天，當你們覺得勞動環境不如預期、日漸嚴苛時，<br>也想要站出來為自己發聲時，至少有一個好的範例，<br>可以不要再次的讓勞工被分化，讓勞工可以真正的並肩前行。<br><br>對不起我的家人， 也許會因為這樣，失去了這份工作，<br>可是我不怕，因為如果不這麼做，在未來我可能會失去更多。<br>希望那些曾經說過「這些罷工的空服員，真想看看你們父母的人」<br><br>我阿嬤在罷工第一天早中晚打了三通電話給我，只是問問我好不好，要小心安全，<br>我的爸媽在意的是我有沒有吃飽，有沒有多喝水。<br><br>當你們自己的孩子有一天，還是有機會站上街頭時，<br>希望你們不要對他們說出「自私」兩個字，<br>他們是在對抗試圖獲得自己覺得應有對等的待遇。<br><br><br>但我沒有對不起我自己，<br>沒有對不起長榮航空，<br>勞雇關係應當平等，<br>所以在這裡爭取我應當爭取的，<br><br><br>因為勞權，是爭取來的，以上。<br><br>--<br>", "", ""
"Gossiping#M.1561274690.A.C40#00001", "bengowa", "沒空", "49.215.236.44 06/23 15:25", "0"
"Gossiping#M.1561274690.A.C40#00002", "audiRS3", "太長了", "123.192.222.49 06/23 15:25", "0"
"Gossiping#M.1561274690.A.C40#00003", "yannicklatte", "太長", "49.216.5.156 06/23 15:25", "0"
"Gossiping#M.1561274690.A.C40#00004", "mayasky", "現在還說沒做錯什麼就可以噓了", "223.136.160.184 06/23 15:25", "0"
"Gossiping#M.1561274690.A.C40#00005", "peja1016", "不要再講故事了 沒空理你們", "223.138.109.59 06/23 15:26", "0"
"Gossiping#M.1561274690.A.C40#00006", "joker1218", "$$$$$$$$$$其他都是後來掰的吧", "219.85.33.141 06/23 15:26", "0"
"Gossiping#M.1561274690.A.C40#00007", "axc2003", "多給你60也不能解決你們提的那些問題，提出問題及數據來反駁好嗎 空中服務員", "110.28.45.153 06/23 15:26", "0"
"Gossiping#M.1561274690.A.C40#00008", "cutebaby511", "垃圾文章，是我的孩子 我會先叫她回來喝奶不要鬧了", "110.50.171.133 06/23 15:26", "0"
"Gossiping#M.1561274690.A.C40#00009", "darkholy", "幹，不要再作文了", "219.85.6.162 06/23 15:27", "0"
"Gossiping#M.1561274690.A.C40#00010", "mayasky", "是我孩子我也叫他飛完旅客來不及應變的灼那一班", "223.136.160.184 06/23 15:27", "1"
"Gossiping#M.1561274690.A.C40#00011", "OrzYeah", "加60元你就能比較早回家哦", "125.224.228.119 06/23 15:27", "0"
"Gossiping#M.1561274690.A.C40#00012", "luckid", "歹勢,現在真的沒空..", "1.173.28.59 06/23 15:27", "0"
"Gossiping#M.1561274690.A.C40#00013", "doomx", "長榮有沒有對不對你？在外人來看，答案很明顯不爽不要做，不是嗆別人嗆到爽？怎麼", "42.72.209.151 06/23 15:28", "1"
"Gossiping#M.1561274690.A.C40#00014", "qwert65732", "滾啦 繼續拍照打卡上傳ig啊，坐在外面爽 地勤被旅客狗幹 你有想過他們？沒有 你們這群公主只想到自己", "101.9.2.52 06/23 15:28", "0"
"Gossiping#M.1561274690.A.C40#00015", "h2o1125", "那設備怎辦  一日設備  終身設備", "111.82.86.165 06/23 15:28", "0"
"Gossiping#M.1561274690.A.C40#00016", "sarau", "光勞工董事解釋就很好笑了 要董事就出錢買股", "101.13.236.88 06/23 15:28", "1"
"Gossiping#M.1561274690.A.C40#00017", "Bestbass", "服務生 還要多少錢? 這些補貼就是要給你補償辛勞  不然你以為你可以拿多少", "1.169.206.198 06/23 15:28", "1"
"Gossiping#M.1561274690.A.C40#00018", "nowitzki0207", "別浪費力氣了，要感謝資方給工作", "118.167.65.64 06/23 15:29", "0"
"Gossiping#M.1561274690.A.C40#00019", "stock0907", "威權=反人權，聰明的消費者一定制裁威權專制", "223.136.236.248 06/23 15:29", "1"
"Gossiping#M.1561274690.A.C40#00020", "cutebaby511", "怎樣沒做錯？？ 你們權益是權益？別人出國不是權利？那就不要做啊！滾 好嗎 滾 好嗎？為什麼不回家喝奶呢？公主？", "110.50.171.133 06/23 15:29", "1"
"Gossiping#M.1561274690.A.C40#00021", "ru04hj4", "光美國公司在台灣分公司薪水就和美國不同公司本來就不民主 不是一人一票 是誰錢出", "111.251.211.112 06/23 15:29", "1"
"Gossiping#M.1561274690.A.C40#00022", "joker1218", "https//i.imgur.com/7WmAtXY.jpg", "219.85.33.141 06/23 15:29", "0"
"Gossiping#M.1561274690.A.C40#00023", "dddc", "沒空", "220.142.44.220 06/23 15:29", "0"
"Gossiping#M.1561274690.A.C40#00024", "CharleneTsai", "公司治理講民主？哈", "101.11.21.201 06/23 15:29", "0"
"Gossiping#M.1561274690.A.C40#00025", "mayasky", "要不要考慮從醫？60治百病，我賭可以拿到諾貝爾獎", "223.136.160.184 06/23 15:29", "0"
"Gossiping#M.1561274690.A.C40#00026", "chenyei", "支持勞工", "42.77.43.9 06/23 15:30", "0"
"Gossiping#M.1561274690.A.C40#00027", "sarau", "賺錢就算了 虧錢勞工董事責任在那?", "101.13.236.88 06/23 15:30", "0"
"Gossiping#M.1561274690.A.C40#00028", "doomx", "到自己就轉彎了？原來是罷工自助餐", "42.72.209.151 06/23 15:30", "0"
"Gossiping#M.1561274690.A.C40#00029", "peter5140", "夜宿機場，因為罷工影響到權益的旅客，空姐們有出錢賠嗎", "42.74.242.36 06/23 15:30", "1"
"Gossiping#M.1561274690.A.C40#00030", "killer1", "對不起我看完了就是錢 不是有八大訴求，根本只有$", "110.26.62.34 06/23 15:30", "0"
"Gossiping#M.1561274690.A.C40#00031", "GrandKI", "太長 請縮減至20字以內", "101.14.181.2 06/23 15:30", "0"
"Gossiping#M.1561274690.A.C40#00032", "weidersin", "貪", "114.43.50.218 06/23 15:30", "0"
"Gossiping#M.1561274690.A.C40#00033", "ru04hj4", "的多誰大聲", "111.251.211.112 06/23 15:31", "0"
"Gossiping#M.1561274690.A.C40#00034", "speedsun", "難道投資幾億進去 只能領23100？", "42.77.148.38 06/23 15:31", "0"
"Gossiping#M.1561274690.A.C40#00035", "wwvvkai", "+60 勞權就到位了 太厲害", "61.56.182.169 06/23 15:31", "0"
"Gossiping#M.1561274690.A.C40#00036", "stock0907", "消滅蔣匪餘孽，解救台灣同胞～制裁威權專制，捍衛基本人權", "223.136.236.248 06/23 15:31", "0"
"Gossiping#M.1561274690.A.C40#00037", "hyuchi0202", "智障滾", "223.136.91.58 06/23 15:31", "0"
