"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561276934.A.AFB#00000", "latiner123", "1.媒體來源:<br>※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）<br>中時電子報<br><br>2.記者署名<br>※ 沒有記者署名的新聞會被版主刪除喔<br>謝雅柔<br><br>3.完整新聞標題:<br>※ 標題沒有完整寫出來 ---> 依照板規刪除文章<br><br>為何韓粉仍堅定挺韓國瑜？他列七大原因<br><br><br>4.完整新聞內文:<br>※ 社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！<br><br>6月1日挺韓團體在總統府前凱道舉辦造勢大會，數十萬名韓粉冒雨力挺韓國瑜參選總統，<br>現場國旗飄揚的景象令許多人感動。合一行動聯盟召集人彭迦智日前也列出七大原因，並<br>認為這是韓國瑜被黨內同志群起圍攻時，被民進黨、時代力量抹黑、醜化時，6月1日韓粉<br>「仍堅定挺他的原因」。<br><br>合一行動Uaa2020聯盟日前在YOUTUBE上傳一段影片，內容為彭迦智分享何謂鐵桿深藍的韓<br>粉，以及他們要什麼？彭強調大多數的韓粉，不是只有效忠國民黨的深藍選民，還包括討<br>厭民進黨的中間選民，也包含一些厭惡國民黨的淺綠選民。<br><br>為什麼韓國瑜能獲得這麼多「非中華民國派」的選民支持？彭迦智認為，因為韓有其他「<br>藍綠候選人」所沒有的「正能量」。他也列舉七個例子，首先，他說韓國瑜擔任北農總經<br>理時，光榮歸公司，紅利歸員工，「責任歸自己」；韓擔任高雄市長時，光榮歸城市，賺<br>錢歸市民，「責任歸自己」，而未來需要的總統是什麼？彭認為是要光榮歸國家，發財歸<br>國民，責任歸自己，「因為太多的政客給人的印象是，他只喜歡『有權無責』」。<br><br>第二個例子，彭說當韓國瑜被「自己同黨」惡意影射、攻擊、扭曲、抹黑的時候，他一直<br>「表示尊重，不予還擊」，展現高度的「包容力」、「親和力」、「領袖魅力」。當他被<br>「台獨匪黨」惡意影射、攻擊、扭曲、抹黑的時候，他立刻「直球對決，迎頭痛擊」，展<br>現高度的「戰鬥力」、「說服力」、「領導能力」，反觀其他藍營的候選人常給人家是「<br>內鬥內行，外鬥外行」的印象。<br><br>至於第三個例子，彭說政界、商界都是「天下一般黑」，政界的人要成功，常要靠「踩下<br>隊友的頭」才能往上爬，商界的人要成功，也要靠「踩下同仁的頭」才能往上爬，但韓國<br>瑜的成功，卻是靠「幫助人、感動人」而獲得支持。第四例，「人民的懇求和託付」才是<br>政治人物最大的「參選正當性」。彭認為韓國瑜「肯答應接受黨的徵召」完全是「被爸爸<br>逼的」，沒有「落跑」的問題。他說有多數的「深藍選民」逼他選、有許多的「中間選民<br>」也逼他選、也有不少「淺綠選民」逼他選，「海外華僑」、「大陸台商」更是一面倒的<br>堅決逼他選，「連『我』也為了『救台灣』而不得不站出來逼他選」。<br><br>第五個例子，彭說韓國瑜對未來高雄的「市長補選」很有信心。他認為韓國瑜在極度缺乏<br>支援的情況下，不但橫掃綠營二、三十年的大本營、大票倉，還幫助全台灣藍營的縣市長<br>大選舉翻盤。彭直言，現在竟然有藍營的人表示，「韓市長如果選上總統，藍營就會失掉<br>高雄」。他說這種無恥的論調，只是讓人見識到他們的不上進、不中用、不要臉、沒骨氣<br>、沒自信、沒出息、沒藥救。<br><br>第六，彭認為，韓國瑜是唯一打破中國國民黨由李登輝總統所造成的「醬缸文化」的藍營<br>戰將。他說韓具有國父孫中山的思想，先總統蔣公的抱負，蔣經國總統的人格，他除弊，<br>他不屑「象牙塔內的政治家」，他重新擦亮中國國民黨的「黨魂」。彭說韓是真正「最典<br>型的中國國民黨黨員」。他的動力、熱情是為了「救台灣」、「救中華民國」，所以他說<br>「為中華民國不惜粉身碎骨」。<br><br>最後一點，彭說韓國瑜具有難得一見的領袖特質，能使許多原本「中間」甚至「偏綠」的<br>選民重新「認同中華民國」、「認同青天白日滿地紅國旗」，而不是「只是讓深藍選民感<br>覺復興」而已。他說若韓國瑜果真被「兄弟陣營」的攻擊而拉下來，會因而「含淚投某人<br>的韓粉」，真會只剩下「堅定忠黨愛國的深藍韓粉」，「中間選民」會離開拒絕投票、「<br>淺綠選民」會難過投不下去，「海外華僑」、「大陸台商」也不會買機票回來投票。<br><br>「2020是中華民國的關鍵時刻」，彭說他無意說韓國瑜「完美無瑕，永不犯錯」，人非聖<br>賢，孰能無過。他只是說明，「韓國瑜憑什麼使中國國民黨2018年選舉大獲全勝」，以上<br>七個例子就是原因。他認為，這也是韓國瑜被黨內同志群起圍攻時，被民進黨、時代力量<br>抹黑、醜化時，6月1日韓粉「仍堅定挺他的原因」。<br><br><br>5.完整新聞連結 (或短網址):<br>※ 當新聞連結過長時，需提供短網址方便網友點擊<br>https://www.chinatimes.com/realtimenews/20190623000848-260407<br><br>6.備註:<br>※ 一個人一天只能張貼一則新聞，被刪或自刪也算額度內，超貼者水桶，請注意<br>韓國瑜氣勢無法擋，戰勝2020<br><br>--<br>", "", ""
"Gossiping#M.1561276934.A.AFB#00001", "ComeThrough", "88", "39.10.62.21 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00002", "k4654564", "87", "223.136.180.255 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00003", "Gossiking", "分類沒列", "110.26.137.190 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00004", "cutbear123", "蘇利南在哪˙", "172.58.231.240 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00005", "aa95618", "87", "223.137.140.138 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00006", "r30385", "88888888", "223.139.198.66 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00007", "iphone15s", "滾", "122.118.1.67 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00008", "elynn889", "滾", "223.136.117.8 06/23 16:02", "0"
"Gossiping#M.1561276934.A.AFB#00009", "AirPenguin", "88888888888888888888888888888888888", "118.169.200.114 06/23 16:02", "1"
