"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561285575.A.BAB#00000", "Jokerzz", "如題<br><br>痾... 覺青自己討厭韓國瑜<br><br>中天常常報導 覺青就要幹譙<br><br>中天不會刻意抹黑中國<br><br>也只是報導中國好的一面<br><br>覺青就說是舔中媒體 不愛台灣?<br><br>黑人問號?? 全台灣就你們覺青最愛台灣<br><br>別人就是不是愛台灣就對了?<br><br>我說覺青的想法怎麼都這麼偏激阿<br><br>尊重 包容別人的意見很難嗎?<br><br>今天又不是逼著你看中天<br><br>你不喜歡中天你就轉台啊!<br><br>也沒有人 逼著你每天看中國時報不是嗎?<br><br>社會上有多元意見本來就很正常~<br><br>就因為中天得看法跟覺青不同 所以中天就該死?<br><br><br><br>最後我只能說 真可撥 完全踐踏了民主的價值~<br><br>--<br>", "", ""
"Gossiping#M.1561285575.A.BAB#00001", "anous", "對啊", "114.44.203.11 06/23 18:26", "0"
"Gossiping#M.1561285575.A.BAB#00002", "johnwu", "幹 你才可悲啦", "180.177.115.73 06/23 18:26", "0"
"Gossiping#M.1561285575.A.BAB#00003", "wwf0322", "ID", "49.219.68.136 06/23 18:26", "0"
"Gossiping#M.1561285575.A.BAB#00004", "kinomon", "google 防衛性民主跟外國代理人制度好ㄇ", "223.139.237.147 06/23 18:26", "1"
"Gossiping#M.1561285575.A.BAB#00005", "kkes0001", "4", "49.215.227.97 06/23 18:26", "0"
"Gossiping#M.1561285575.A.BAB#00006", "etfive217", "恩恩", "49.218.98.87 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00007", "Sougetu", "建議你發去政黑", "36.227.56.114 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00008", "alits1", "好了啦 快去看中天自慰", "101.10.6.117 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00009", "pxo", "然後呢，反對敵國的走狗有什麼問題嗎？", "223.137.14.211 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00010", "ttykimo", "去跟中國人說", "110.28.167.52 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00011", "kkman1123", "我先～", "114.40.23.127 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00012", "tw3002", "自由言論裡，不該包含主張摧毀自由言論", "111.71.0.111 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00013", "billkira", "這篇沒x 我", "111.253.45.243 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00014", "desho", "對阿 所以別人遊行是不能有不同意見就對了?", "36.239.215.140 06/23 18:27", "1"
"Gossiping#M.1561285575.A.BAB#00015", "freezeraven", "民主的價值就在於你可以在這邊講話而不會有任何懲處，先搞清楚民主是建立在什麼之上，不要舔中舔到腦子都化了", "61.228.186.160 06/23 18:27", "1"
"Gossiping#M.1561285575.A.BAB#00016", "p72910", "你文中的問題，我給你的回答是：對。", "1.164.7.5 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00017", "bkj123", "同意你的唉滴", "111.71.101.160 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00018", "Tigerman001", "先搞清楚第四權 弱智", "60.250.193.250 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00019", "s0450336", "屁，共媒就共媒", "114.136.10.47 06/23 18:27", "0"
"Gossiping#M.1561285575.A.BAB#00020", "jasonliu0105", "所以覺青就不能對旺中有不同意見？", "1.160.163.144 06/23 18:27", "1"
"Gossiping#M.1561285575.A.BAB#00021", "NSKB", "我都看三立，三立最中立，蘇院長不說謊", "180.204.19.66 06/23 18:27", "0"
