"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561293622.A.CA4#00000", "israelii", "民主，我是賤民你是主子<br><br>1<br>實在不是不好笑的。<br>有一種人，裝出莊嚴相貌，一副要為香港犧牲的樣子。<br><br>可是，被台獨港獨說成水深火熱的香港。<br>逃犯條例，從頭到尾沒有反送中者指控的劇情可以發生。<br>因為，言論，出版和政治，不在條例中，不能因此移送引渡。<br>而且，決定引渡與否的權力，百分之百在香港法官，不在北京。<br>你再怎麼討厭，瞧不起大陸。<br>只要香港的法官和法庭，決定不引渡，就引渡不了。<br><br>2<br>被台獨說成民主地獄般的香港，100萬人可以一而再，再而三上街頭遊行，示威，叫罵北<br>京。<br>太陽花主導者林飛帆，可以拿到特區政府給的港簽，飛去香港，指導同樂一番。<br><br>3<br>可是，自吹自擂是民主燈塔的台灣，在幹什麼呢？<br><br>只因為我在廈門演講，支持和平統一，一國兩制。<br>台獨腦殘們，就說要註銷我的台灣護照？<br>說要把我趕出台灣的，對我喊打喊殺的，抹黑的。<br>回應這種垃圾，實在是浪擲人生。<br>問題是，台灣沒有護照。<br>因為台灣不是一個國家。<br><br>4<br>可憐的台獨腦殘者，心靈活在平行時空。<br>不願承認，台灣是中華民國的一個省。<br>被台獨當成廁紙的中華民國憲法，國土包含大陸。<br>而且台獨教父李登輝，把“因應國家統一前之需要”，放進了憲法裡。<br>所以，台獨腦殘崩潰了。<br>因為絕不承認，依據憲法，我們必須跟大陸統一。<br>是心虛還是懼怕，竟不准我說話？<br>有臉說要捍衛民主人權？<br><br>5<br>然後，陸委會竟然宣布，要追究我在大陸演講的刑事責任！<br>媽呀！我好怕啊！<br>比白色恐怖還恐怖的台獨，比獨裁者還青面獠牙。<br>還好意思說民主人權這幾個字。我呸！<br><br>6<br>一邊聲援香港民主。一邊打壓我的言論自由和人權。好棒棒！<br>一邊戒嚴，一邊聲援香港反送中。<br>這種民主風範，希特勒也自嘆不如。<br><br>7<br>立法院火速三讀，通過國安法修訂。<br>這是一個讓獨裁者吃到飽的法律。<br><br>條文中，用這種可以讓獨裁者隨便解釋的“意圖”協助“境外敵對勢力”，“危害”“國<br>家安全”或“社會安定”，就可以逮捕，起訴，判刑七年以上。<br>影響社會安定，什麼意思？<br>國家安全什麼意思？意圖？什麼意思？<br>都是獨裁者說了算。<br><br>8<br>國安法，還可以祕密審判，所以，外界不會知道，被害人是如何無辜，就被羅織入罪了。<br><br>9<br>沒收了公投之後，立一個白色恐怖的法，為獨裁者服務。為香港呼號，<br>說逃犯條例是惡法的人們，對台灣立下這樣的100倍惡法，卻顯然是得意洋洋。<br><br>說台灣民主，我噗哧一聲，笑出來了。<br><br>來源：<br>https://www.facebook.com/1531192560454407/posts/2343801409193514?s=10000003233<br>7424&sfns=mo<br><br>--<br>", "", ""
"Gossiping#M.1561293622.A.CA4#00001", "FlynnZhang", "閉嘴好嗎", "101.13.76.167 06/23 20:40", "0"
"Gossiping#M.1561293622.A.CA4#00002", "wang0301", "這垃圾還活著？", "42.77.254.140 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00003", "lovegensokyo", "我先", "114.137.193.206 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00004", "cheinshin", "偉哲 妳妹", "101.13.44.98 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00005", "lmf770410", "要統一自己放棄健保過去吧老女人", "1.170.19.189 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00006", "LOVEBLUELA", "噗哧XD", "112.104.136.209 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00007", "oops66", "偉哲 你看你妹啦 又發瘋了", "49.217.204.40 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00008", "SoFanCy", "這女的很該死", "118.167.76.50 06/23 20:41", "0"
"Gossiping#M.1561293622.A.CA4#00009", "a921fish", "台灣是地區", "114.136.205.40 06/23 20:41", "0"
