"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561304298.A.EE2#00000", "johnny790218", "「柯粉上街反紅媒笑死人」！他曝柯文哲曾任用「這些人」<br><br>網紅「館長」陳之漢與時力立委黃國昌共同舉辦的「623反親中媒體大遊行」今（23）日<br>下午2點登場，知名導演李惠仁在台上向民眾喊話「絕對不能像柯市長說的『不用理他就<br>好』，不然今天大家為何要來遊行？」現場一片靜默，桃園市議員王浩宇也發文怒嗆柯文<br>哲，「柯粉上街反紅媒？我快要笑死，跟旺中集團有關係的人都曾擔任柯文哲兩岸小組的<br>委員，不知道柯文哲市長要不要跟柯粉報告一下」。<br><br>王浩宇今天在臉書上就反問：柯粉上街反紅媒？我真的快要笑死了！他提到在去年的韓流<br>崛起之前，旺中集團幾乎「明顯」支持柯文哲參選，對柯文哲的報導、態度都非常友善，<br>而王浩宇更接著大爆「旺旺集團副董事長胡志強、蔡衍明的哥哥蔡衍榮、中時電子報社長<br>賴岳謙」都曾經是柯文哲兩岸小組的委員之一。<br><br>王浩宇認為，這些事都顯現出柯文哲和蔡衍明的好交情，他指名要向柯文哲請教上次跟蔡<br>衍明吃飯是什麼時候，怒嗆「柯文哲要不要跟柯粉報告」！<br><br>不少網友也力挺他，留言表示「柯文哲政營一堆旺中集團的人，反紅根本是鬼扯騙選票」<br>、「賴岳謙都不處理，反什麼紅媒」。<br><br><br>自由<br>https://news.ltn.com.tw/news/politics/breakingnews/2831365<br><br>--<br>", "", ""
"Gossiping#M.1561304298.A.EE2#00001", "kyotaoyuan", "低能兒", "118.161.73.196 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00002", "abc5555990", "推浩宇哥 專門打臉柯粉www，反紅媒不敢 市政無感 整天忙選舉ww", "36.237.30.68 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00003", "hong414", "這咖別來鬧", "180.204.64.78 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00004", "Jason0813", "柯早說過了他是反假新聞", "39.8.62.46 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00005", "meredith001", "柯糞吃屎", "114.137.106.125 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00006", "ubcs", "這種上色 看都知道是哪些集團了", "111.240.39.215 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00007", "stoxin", "http//i.imgur.com/RRyiT6a.jpg 唯一支持", "39.8.62.73 06/23 23:39", "1"
"Gossiping#M.1561304298.A.EE2#00008", "tom501062003", "來了 kmt再次得利", "61.231.96.245 06/23 23:39", "0"
"Gossiping#M.1561304298.A.EE2#00009", "BlueBird5566", "弱智，還在蔡衍榮，是要被打臉幾次", "114.136.252.41 06/23 23:40", "1"
"Gossiping#M.1561304298.A.EE2#00010", "SamMark", "蔡衍榮是民進黨的，這咖竟然不知道？", "39.8.3.39 06/23 23:40", "0"
"Gossiping#M.1561304298.A.EE2#00011", "anchime", "苦笑", "36.230.111.198 06/23 23:40", "0"
"Gossiping#M.1561304298.A.EE2#00012", "awj32jo", "他把民進黨金主拖下水 這樣好嗎XDD", "36.229.150.166 06/23 23:40", "0"
"Gossiping#M.1561304298.A.EE2#00013", "hero720", "繼續啊", "36.224.121.37 06/23 23:40", "0"
"Gossiping#M.1561304298.A.EE2#00014", "iXXXXGAY5566", "蔡衍榮 綠營金主 到底要說幾次....", "123.194.139.202 06/23 23:40", "1"
"Gossiping#M.1561304298.A.EE2#00015", "aa01081008tw", "所以王認為上街的很多都是柯粉.哈哈", "122.118.41.243 06/23 23:40", "1"
"Gossiping#M.1561304298.A.EE2#00016", "zxcelephant", "蔡衍榮......", "39.12.38.178 06/23 23:40", "0"
