"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561306233.A.AD2#00000", "gungu", "笑死<br><br>反中天就反中天 硬要拐彎抹角說什麼反紅<br><br>下雨天跑去遊行 就只為了反一家媒體??<br><br>我真他媽的笑死<br><br>我雖然是統派 但我從來沒看過中天<br><br>自己愛看又愛嫌 也不知道什麼心態<br><br>說什麼餐廳強迫收看<br><br>我他媽的吃完飯就走了 我還管那邊電視播什麼<br><br>你們去餐廳是為了看電視??<br><br>一堆腦弱<br><br>我所接觸的紅色媒體 反而都是在油管看的<br><br>除了中共黨史100講<br><br>最近我看了幾部電影不錯<br><br>江澤民時代所拍攝的<br><br>大轉折之鏖戰魯西南<br>大轉折之挺進大別山<br>大決戰之遼瀋戰役<br>大決戰之淮海戰役<br>大決戰之平津戰役<br><br>我建議大家去看 這才是真正我黨中人的紅色情懷<br><br>誰在跟你們看中天<br><br>還特地跑去遊行 聽腦袋裝肉棒的人講幹話<br><br>不知道在想什麼...??<br><br>--<br>", "", ""
"Gossiping#M.1561306233.A.AD2#00001", "XXXXHAY", "好啦不要反串了", "27.247.197.62 06/24 00:10", "0"
"Gossiping#M.1561306233.A.AD2#00002", "a9009309", "下去吧", "125.227.11.121 06/24 00:11", "0"
"Gossiping#M.1561306233.A.AD2#00003", "louis10452", "我反反反中天", "111.82.99.163 06/24 00:11", "0"
"Gossiping#M.1561306233.A.AD2#00004", "zold", "紅色媒體不是只有中夭", "49.216.244.223 06/24 00:11", "0"
"Gossiping#M.1561306233.A.AD2#00005", "jary1232003", "閱", "42.76.109.63 06/24 00:11", "0"
"Gossiping#M.1561306233.A.AD2#00006", "rookiecop", "沒看中天算啥統派呵 XD", "125.230.210.129 06/24 00:11", "0"
"Gossiping#M.1561306233.A.AD2#00007", "halusai", "人家中夭拿中共錢幫中共說話 那你呢XDDD", "203.67.186.72 06/24 00:12", "1"
"Gossiping#M.1561306233.A.AD2#00008", "mask5", "滾", "101.14.244.139 06/24 00:12", "0"
"Gossiping#M.1561306233.A.AD2#00009", "ToyotaPrius", "下去", "39.12.198.49 06/24 00:12", "0"
"Gossiping#M.1561306233.A.AD2#00010", "kkman1123", "好哦紅的喜氣", "223.139.224.46 06/24 00:12", "0"
"Gossiping#M.1561306233.A.AD2#00011", "dennis1026", "閱，丙上", "223.139.26.57 06/24 00:12", "0"
