"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561312215.A.7F8#00000", "newhhj", "先來破解一下何謂「防衛性民主」<br><br>防衛性民主不防衛「言論」<br><br>https://whogovernstw.org/2017/12/30/jieyinsun1/<br><br>「2016年，透過聯邦參議院聲請，憲法法院再次審理NPD政黨解散案。聯邦憲法法院判決，NPD提倡以「種族」為區分依據的極權民族國家，意圖藉此取代現行的憲法秩序，蔑視民主原則、輕賤人類尊嚴，並和納粹有絕對連結。但因「目前缺乏具體的跡象證明，他們的作為能夠成功達成目的。」「若要防範NPD的行動，只需以一般政治手段應對即可。」「解散政黨的決議不該由意識形態決定」。簡單來說，法院認定NPD對德國民主不具有威脅的潛力，因此不予解散。」<br><br>簡單講，單純的言論不在「防衛性民主」的範圍裡面<br><br>其次，防衛性民主是憲法保留事項，要看憲法怎麼規定<br><br>憲法增修條文第5條第5項規定，「政黨之目的或其行為，危害中華民國之存在或自由民主之憲政秩序者為違憲。」<br><br>顯然按照憲法增修條文的防衛性民主，第一個該解散的是有台獨黨綱的民進黨。<br>現在民進黨還沒被解散，可能是因為台獨是喊假的。<br><br>再者，根據釋字644號的林子儀、許宗力的協同理由書，認為憲法的「防衛性民主」，僅針對政黨，而不像德國及於人民團體。但即使是德國，也不會把「防衛性民主」擴充到媒體上。<br><br>因此，連人民團體、集會遊行都可以主張共產主義或分裂國土了，防衛性民主顯然不能適用在「反旺中」。<br><br>至於德國禁止納粹言論，那是基於「反仇恨」言論，就像台灣可以比照，立一個法律，「沒有否定二二八事件的言論自由」，那也跟反旺中無關<br><br><br>好，那麼，為什麼現在忽然有人想要反旺中了? 過去幾年旺中一直是這樣啊<br><br>因為民進黨做得太糟了，看旺中的人變多了，旺中開始具備實質的影響力<br><br>因此黃國昌反的，其實是那些看旺中的人，要審查他們接觸的資訊<br>限制他們的政治權力<br>也就是說，黃國昌認為，台灣人民沒有選擇統一的政治權力<br><br>但這有一個矛盾，既然統一這麼糟，為什麼會擔心多數人民選擇統一?<br>於是黃國昌只好說，那麼看旺中/支持統一的人，笨、蠢、被洗腦<br>黃國昌只好以一個大家長式的角色，避免他們犯錯誤，要他們只能看黃國昌允許的媒體<br><br>但問題又來啦，民主不是說好一人一票嗎<br>有智商高的人(就假設黃國昌是)可以干涉智商低的人的道理嗎?<br><br>任何民主國家，都以最高標準保障政治性言論<br>就像美國也有共產黨，越戰的時候可以拿北越國旗<br>道理很簡單，如果執政者可以審查政治言論<br>那選舉還選個屁啊<br><br>當年國民黨的《懲治判亂條例》，把「為匪宣傳」處七年以上有期徒刑<br>整過多少黨外人士<br>現在民進黨居然要走回頭路，歷史也真是荒謬<br><br>當然，可能有人覺得看旺中的都是白癡智障，但好像人數又很多<br>要趕緊立法封殺。<br><br>不過通常傻瓜看天才，也覺得天才是傻瓜<br>這種觀點是互相的。<br>如果覺得對方蠢就可以剝奪他的政治權力，那台灣到底民主在那裡?<br><br><br><br><br><br>--<br>", "", ""
"Gossiping#M.1561312215.A.7F8#00001", "awesomeSS66", "樂芙是天才", "111.248.17.187 06/24 01:50", "0"
"Gossiping#M.1561312215.A.7F8#00002", "Ericz7000", "韓粉看不懂 只會說我不懂政治投智障", "59.127.81.29 06/24 01:50", "0"
"Gossiping#M.1561312215.A.7F8#00003", "verakaco", "樂芙不喜歡紅色", "42.72.194.79 06/24 01:51", "0"
"Gossiping#M.1561312215.A.7F8#00004", "u9005205", "可能是因為台獨是喊假的？獨台笑台獨，立憲沒台灣，修憲沒中國…", "223.140.36.97 06/24 01:52", "1"
"Gossiping#M.1561312215.A.7F8#00005", "dio0204", "樂芙不喜歡紅色 但也不喜歡戒嚴", "219.68.113.145 06/24 01:52", "0"
"Gossiping#M.1561312215.A.7F8#00006", "cyher", "樂芙不知在說三小", "180.217.244.249 06/24 01:52", "0"
"Gossiping#M.1561312215.A.7F8#00007", "stoxin", "樂芙與包容  非韓不投", "39.8.62.73 06/24 01:53", "0"
"Gossiping#M.1561312215.A.7F8#00008", "ckbdfrst", "講得好像沒有國家需要國安法", "118.170.237.73 06/24 01:54", "0"
"Gossiping#M.1561312215.A.7F8#00009", "bluenan", "歪理，統媒擺明是國安問題", "114.34.107.8 06/24 01:54", "0"
"Gossiping#M.1561312215.A.7F8#00010", "yinien", "很好。但遇到財團就要低頭。請好好感謝執政黨的用心良苦。英系大將明文規定禁止勞工突襲罷工。執政黨開啟丟包勞工模式。", "42.74.151.222 06/24 01:54", "1"
"Gossiping#M.1561312215.A.7F8#00011", "james732", "旺中這種垃圾為什麼有人會護航....對了，黃國昌反旺中已經很多很多年了", "39.8.62.172 06/24 01:55", "0"
"Gossiping#M.1561312215.A.7F8#00012", "deepdish", "又在混淆是非 根本中國共產黨代理人", "220.134.89.190 06/24 01:55", "0"
"Gossiping#M.1561312215.A.7F8#00013", "ckbdfrst", "你舉的例子至少都是德國的政黨 而中共是外國勢力 根本就不是台灣的政黨「撤照」本身已符目前國家規定 老早就有的制度 如果有問題 那你這幾年來怎不叫", "118.170.237.73 06/24 01:56", "1"
"Gossiping#M.1561312215.A.7F8#00014", "bluenan", "那美國也不用封華為，清孔子學院，請支那上床喝茶算了統媒就是外國勢力，中國怎不開放民視三立", "114.34.107.8 06/24 01:56", "1"
"Gossiping#M.1561312215.A.7F8#00015", "asd89501tw", "大家都知道台灣的憲法本來就不合時宜不然何苦凍省? 怎麼不反攻回南京?", "106.107.241.142 06/24 01:56", "1"
"Gossiping#M.1561312215.A.7F8#00016", "stoxin", "https//i.imgur.com/dwuSHdN.jpg 沒問題", "39.8.62.73 06/24 01:57", "1"
"Gossiping#M.1561312215.A.7F8#00017", "palapalanhu", "就看國安法內容囉", "36.228.231.51 06/24 01:57", "0"
"Gossiping#M.1561312215.A.7F8#00018", "asd89501tw", "所以顯然玩弄中華民國或者台灣的問題毫無意義 問題是我國的主權存續與否請問旺中看起來不像是要違害主權嗎?", "106.107.241.142 06/24 01:58", "1"
"Gossiping#M.1561312215.A.7F8#00019", "wayne62", "可以看一個類比：，14家媒體15記者被花蓮王「包養」 4人請辭https//reurl.cc/XMAvD", "150.116.177.120 06/24 01:58", "0"
"Gossiping#M.1561312215.A.7F8#00020", "ckbdfrst", "那國民黨執政時怎不廢除「可撤照」規定那國民黨執政時怎不廢除「可撤照」規定同樣的問題我一樣可以問你 快答呀", "118.170.237.73 06/24 01:58", "1"
"Gossiping#M.1561312215.A.7F8#00021", "ssivart", "地上找找看 可能可以找回大腦", "223.136.224.173 06/24 02:00", "0"
"Gossiping#M.1561312215.A.7F8#00022", "bluenan", "中天就是判國罪，放到哪國標準來講都一樣", "114.34.107.8 06/24 02:00", "1"
"Gossiping#M.1561312215.A.7F8#00023", "ckbdfrst", "你不敢回答我的問題，那多數民意要求撤照 哪裏不行沒有政治 多數民意決定的而且撤照是國民黨執政時就有的", "118.170.237.73 06/24 02:00", "0"
"Gossiping#M.1561312215.A.7F8#00024", "wayne62", "若有 台灣媒體 間接被中共資金 包養，這問題怎麼看都很嚴重啊", "150.116.177.120 06/24 02:01", "0"
"Gossiping#M.1561312215.A.7F8#00025", "ckbdfrst", "撤照哪裏違憲 那國民黨為何要違憲留撤照的規定 這可不是民進黨留下的", "118.170.237.73 06/24 02:02", "1"
"Gossiping#M.1561312215.A.7F8#00026", "bluenan", "你只會鑽牛角尖，中天就是外國勢力打手", "114.34.107.8 06/24 02:03", "1"
"Gossiping#M.1561312215.A.7F8#00027", "kuijun228", "笑死 今天就是因為該撤照沒撤照才引起遊行的哪來違憲 大法官釋字給我啊", "180.204.141.71 06/24 02:04", "1"
"Gossiping#M.1561312215.A.7F8#00028", "wyverns", "有人忽略了對準台灣的飛彈", "61.228.227.9 06/24 02:04", "0"
"Gossiping#M.1561312215.A.7F8#00029", "ckbdfrst", "NCC委員6/11評定中天不合格 限期改正，要求改善「倫理委員會」「獨立審查人」沒有政治理由啊 你不要自己偷加好嗎華腦且也沒有什麼不能政治理由 一切都你放屁你中天記者嗎？不要自己造謠好嗎", "118.170.237.73 06/24 02:05", "0"
"Gossiping#M.1561312215.A.7F8#00030", "tim012345", "立法就可以補起防禦性民主吧?憲法無法規定~那法律規定就好~", "111.249.21.132 06/24 02:06", "0"
"Gossiping#M.1561312215.A.7F8#00031", "ckbdfrst", "中天沒有達成限期改善的換照條件 GG啦不要再造謠帶風向了啦 很噁心知道嗎符合國民黨當初自己設立的撤照條件耶符合國民黨當初自己設立的撤照條件耶", "118.170.237.73 06/24 02:07", "1"
"Gossiping#M.1561312215.A.7F8#00032", "kuijun228", "亂比喻= =", "180.204.141.71 06/24 02:07", "0"
"Gossiping#M.1561312215.A.7F8#00033", "bluenan", "統一是人民的權利，撤照中天也人民權利現在人民就是要用權利撤照中天", "114.34.107.8 06/24 02:08", "1"
"Gossiping#M.1561312215.A.7F8#00034", "ckbdfrst", "看來是因為政治原因而不撤照", "118.170.237.73 06/24 02:09", "0"
"Gossiping#M.1561312215.A.7F8#00035", "kuijun228", "統一是政治問題不可以算 照你邏輯，滑坡腦加油", "180.204.141.71 06/24 02:09", "0"
"Gossiping#M.1561312215.A.7F8#00036", "wyverns", "你想讓極權統治自己？憲法掰掰～憲法哭哭了，人民有權利取消自己的民主", "61.228.227.9 06/24 02:09", "0"
"Gossiping#M.1561312215.A.7F8#00037", "bluenan", "那你帶個統一活動啊!看是撤照過還是統一言論自由不是給外國勢力拿來用的現在民意都是要撤照中天啊!你覺得是不是?", "114.34.107.8 06/24 02:10", "1"
"Gossiping#M.1561312215.A.7F8#00038", "Jimmy2010", "撤照不是政治立場 是他自己沒達到當初的條件 這是他自己畫押的 不用扯政治依法行政 洩洩指教", "161.23.217.88 06/24 02:10", "1"
"Gossiping#M.1561312215.A.7F8#00039", "ckbdfrst", "香港200萬人上街的民意 不報導", "118.170.237.73 06/24 02:11", "0"
"Gossiping#M.1561312215.A.7F8#00040", "chenbillups", "依法行政吧 台獨也順便清一清也好", "36.238.147.246 06/24 02:11", "0"
"Gossiping#M.1561312215.A.7F8#00041", "tim012345", "憲法針對政黨~沒有媒體~法律不能規定?", "111.249.21.132 06/24 02:12", "1"
"Gossiping#M.1561312215.A.7F8#00042", "bluenan", "蔡衍明收受中國資金宣傳統一，被撤照活該民意擺給你看!就要是撤照，統一民意在哪?", "114.34.107.8 06/24 02:12", "1"
"Gossiping#M.1561312215.A.7F8#00043", "wyverns", "你自己要提憲法，把民主擺在哪？以結果論，你就是想讓中共統", "61.228.227.9 06/24 02:12", "0"
"Gossiping#M.1561312215.A.7F8#00044", "ckbdfrst", "旺旺11年來領取中國政府152.6億台幣★", "118.170.237.73 06/24 02:13", "1"
"Gossiping#M.1561312215.A.7F8#00045", "kuijun228", "統一是政治問題所以不能用民意表決你邏輯就這樣啊，有沒有這麼愛自打巴掌啊", "180.204.141.71 06/24 02:14", "1"
"Gossiping#M.1561312215.A.7F8#00046", "wyverns", "給中共統，民主沒了、憲法也沒了，這麼愛憲法你的國土是秋海棠？", "61.228.227.9 06/24 02:14", "0"
"Gossiping#M.1561312215.A.7F8#00047", "bluenan", "韓粉都要支持統一嗎? 你說的是這個?韓禿都說不接受一國兩制，統一民意在哪?", "114.34.107.8 06/24 02:14", "0"
"Gossiping#M.1561312215.A.7F8#00048", "ckbdfrst", "陽信又不是媒體 可笑，你有本事去叫「撤照」違憲啦 叫叫叫目前撤照的理由是之前的 完全和這次無關", "118.170.237.73 06/24 02:16", "0"
"Gossiping#M.1561312215.A.7F8#00049", "bluenan", "旺旺收中國資金GOOGLE一大堆，功課也不做現在民意就是要中天撤照，不然你想怎樣?", "114.34.107.8 06/24 02:16", "1"
"Gossiping#M.1561312215.A.7F8#00050", "wyverns", "民主的弱點就是多數決會被極權利用，你這麼愛消滅民主，台灣海峽沒加蓋", "61.228.227.9 06/24 02:17", "0"
"Gossiping#M.1561312215.A.7F8#00051", "kuijun228", "你各位不要再跟他辯論 越說越想笑", "180.204.141.71 06/24 02:17", "0"
"Gossiping#M.1561312215.A.7F8#00052", "tim012345", "毀謗也是言論自由阿~法律竟然是罪~", "111.249.21.132 06/24 02:18", "0"
"Gossiping#M.1561312215.A.7F8#00053", "ckbdfrst", "2014年就被判「撤照」你是說2014有政黨違憲嗎？那也是KMT執政的2014年判的喔那我2014年以來怎沒看你罵KMT撤中天照？", "118.170.237.73 06/24 02:18", "1"
"Gossiping#M.1561312215.A.7F8#00054", "felix12", "那你叫中共讓我們開一家媒體宣揚台獨啊德國也不會讓你宣揚納粹思想", "107.77.213.149 06/24 02:19", "1"
"Gossiping#M.1561312215.A.7F8#00055", "bluenan", "旺旺..... 就是旺中啊 沒民意又愛辯", "114.34.107.8 06/24 02:19", "0"
"Gossiping#M.1561312215.A.7F8#00056", "wyverns", "完全沒有防範隔壁敵國的心態，捍衛民主，就是捍衛民主等被統了才捍衛言論自由，不就香港？", "61.228.227.9 06/24 02:19", "0"
"Gossiping#M.1561312215.A.7F8#00057", "chenbillups", "反正台灣人沒救了 逼政府和中共表態中共不能用軟的當然會想辦法用硬的", "36.238.147.246 06/24 02:20", "1"
"Gossiping#M.1561312215.A.7F8#00058", "ckbdfrst", "2014撤中天照理由是沒有「獨立審查人」2014年是誰執政？理由是政治理由？提醒你理由一直是這一條 沒變 你2014有叫嗎", "118.170.237.73 06/24 02:20", "1"
"Gossiping#M.1561312215.A.7F8#00059", "felix12", "德國不民主嗎，敵國資助媒體來洗腦統戰", "107.77.213.149 06/24 02:21", "0"
"Gossiping#M.1561312215.A.7F8#00060", "wyverns", "所以捍衛民主根本跟言論自由無關，民主是維持民主政權，自由在他底下", "61.228.227.9 06/24 02:21", "0"
"Gossiping#M.1561312215.A.7F8#00061", "ckbdfrst", "你照什麼謠是政治原因啊？你覺得是政治原因就是政治原因嗎？愛造謠的噁心文撤照理由就是2014年的 一直沒變撤照理由 改善倫理委員會 沒獨立審查人2014年理由 和今年理由完全一樣", "118.170.237.73 06/24 02:22", "1"
"Gossiping#M.1561312215.A.7F8#00062", "chenyei", "一國兩制，不是共產黨，也不是分裂國土，而是消滅台灣，所以沒有違憲的問題", "223.139.175.75 06/24 02:22", "1"
"Gossiping#M.1561312215.A.7F8#00063", "bluenan", "本來就要表態，不然你以為中美都在作功德", "114.34.107.8 06/24 02:22", "1"
"Gossiping#M.1561312215.A.7F8#00064", "charliet", "中國也每年從美日身上賺錢啊ㄏ", "36.227.19.195 06/24 02:22", "0"
"Gossiping#M.1561312215.A.7F8#00065", "brad5019", "中共想用台灣的民主反民主，當然是需要防衛性民主，還有那不是統一而是侵略，中共沒統治過台灣一天少在那邊講統一，噁心", "36.239.61.223 06/24 02:23", "1"
"Gossiping#M.1561312215.A.7F8#00066", "willywasd", "這個不是在棒球板捧朱，結果被打臉後就躲起來的ID嗎？", "223.136.131.113 06/24 02:23", "1"
"Gossiping#M.1561312215.A.7F8#00067", "wyverns", "你有沒有包含的概念？你被統以後就沒有言論自由，本末倒置", "61.228.227.9 06/24 02:23", "0"
"Gossiping#M.1561312215.A.7F8#00068", "ckbdfrst", "被我打臉了啦 再叫啊", "118.170.237.73 06/24 02:24", "0"
"Gossiping#M.1561312215.A.7F8#00069", "chenbillups", "台灣不要模糊空間 中共就只剩武統了", "36.238.147.246 06/24 02:25", "1"
"Gossiping#M.1561312215.A.7F8#00070", "kuijun228", "看文章就知道本人邏輯是怎樣了，你各位幹嘛浪費生命在這種人身上呢", "180.204.141.71 06/24 02:25", "1"
"Gossiping#M.1561312215.A.7F8#00071", "felix12", "如果獨立媒體有意識型態我們尊重，幹你的旺旺是敵國資助遑論還假新聞", "107.77.213.149 06/24 02:26", "1"
"Gossiping#M.1561312215.A.7F8#00072", "bluenan", "先射箭再畫靶，你還是先問韓支不支持統一講的好像以前就有模糊空間，反共反假的", "114.34.107.8 06/24 02:26", "1"
"Gossiping#M.1561312215.A.7F8#00073", "wyverns", "武統又怎樣？", "61.228.227.9 06/24 02:26", "0"
"Gossiping#M.1561312215.A.7F8#00074", "ckbdfrst", "按他歪理 美國也要尊重「通俄門」俄國資金 那美國大費周章調查幹嘛？幹嘛要調查2014年就是「撤照」、換照時沒通過2014年就是「撤照」、換照時沒通過就是撤照。你連這都要叫 可見水準", "118.170.237.73 06/24 02:26", "1"
"Gossiping#M.1561312215.A.7F8#00075", "bluenan", "金門還打過一仗，模糊空間在哪?", "114.34.107.8 06/24 02:28", "0"
"Gossiping#M.1561312215.A.7F8#00076", "ckbdfrst", "美國有外國代理人登記法好嗎，申請換照「沒通過」被判定「撤照」申請換照「沒通過」被判定「撤照」連這個都要辯 沒水準正式名稱叫「廢止許可」", "118.170.237.73 06/24 02:28", "0"
"Gossiping#M.1561312215.A.7F8#00077", "wyverns", "你口中的多數民意，不是台灣人", "61.228.227.9 06/24 02:28", "0"
"Gossiping#M.1561312215.A.7F8#00078", "bluenan", "假新聞有假新聞的打法，叛國罪層級不同韓禿連總統初選都還沒過，叫多數民意?", "114.34.107.8 06/24 02:30", "1"
"Gossiping#M.1561312215.A.7F8#00079", "ckbdfrst", "看來你對撤照很崩潰 那你可以稱為廢止許可 愛玩文字遊戲的 最lowXDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD", "118.170.237.73 06/24 02:30", "1"
