"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561315361.A.0EC#00000", "aalluubbaa", "蔡英文是同名的路人吧???<br>感謝館長發起反紅媒???????<br>以總統的立場跟高度，到底要多反智才會說出這句話????<br>還是她在講這句話的時候，完全脫離她總統的身分?<br><br>你民進黨完全執政<br>如果基於國家安全和社會安定，要約束媒體避免被中國進行政治操控，這件事情我百分<br>之百贊成。台灣不應該讓任何國家可以因為有錢就在台灣媒體進行政治操控。<br><br>這件事情需要被避免也應該避免。但是一個法治國家任何東西都要依法行事，如果怕有<br>中資介入、或是有他國政治力介入，你要有一個評斷依據，一個客觀標準，去限制和規<br>範這件事情。如果沒有這個法條請生出來，你他媽完全執政。如果有這個法條請一切依<br>法辦事，該怎麼做就怎麼做，台灣人民一定支持。如果有不足的地方拜託工作認真一點<br>，想辦法讓法規完善，這是政府部門的工作。<br><br>中時旺旺集團如果違法在台灣散布不實資訊、操弄台灣政治。那你做政府的在幹嘛??為<br>甚麼完全執政後，每天報紙電視電子報還是天天上演同樣戲碼??可能性只有兩種，一種<br>就是民進黨根本沒在管這件事情，那你還好意思在那邊像路人一樣謝謝館長???<br><br>另一種是紅媒不紅媒就法律層面來講，根本沒有違法。民眾可以表達他的言論自由，民<br>眾可以"覺得"中時旺旺是紅媒。遊行只要符合集會遊行法就可以，我也可以辦一個遊行<br>覺得地球是平的，這是大家的集會遊行自由。那紅不紅媒是這些遊行的人的意見，妳以<br>一個總統的高度，應該是保護所有不同立場意見聲音的人的自由，而不是幫著貼標籤。<br><br>如果一個國家一個政府，可以用這種方式去鬥爭一個不同聲音的人，這到底跟民粹有甚<br>麼兩樣??? 因為你是XX，所以你沒有新聞自由，而且還總統背書謝謝。<br><br>真的是民智未開的小島.....<br><br><br>※ 引述《jiern (jiern)》之銘言：<br>: 蔡英文：感謝館長發起「623反紅媒」遊行<br>: 2019年06月23日  大紀元<br>: https://i.imgur.com/u3K1v1k.jpg<br>: 【記者李怡欣 ／台北報導】針對23日下午民間發起「623反親中紅色媒體大遊行」，總統<br>: 蔡英文上午出席「泛太平洋暨東南亞婦女協會(PPSEAWA)第27屆國際年會開幕典禮」接受<br>: 媒體聯訪時表示，「很感謝陳之漢館長及所有發起這項活動的人」，相信遊行能提高台灣<br>: 社會對中國（中共）滲透台媒的覺醒。<br>: 網紅「館長」陳之漢23日在凱道舉辦「拒絕紅色媒體、守護台灣民主」大遊行，誓言將親<br>: 共媒體趕出台灣，因此受到排山倒海的壓力，囿於中國市場，廠商退合約、音樂公司不賣<br>: 他版權、代言、工商下架，還有人下追殺令要讓館長在台灣與直播界消失，館長知道中共<br>: 的勢力已經深深的滲透台灣，他說：「我還是願意選擇當英雄，保護台灣深愛的國家」，<br>: 他要做給全台灣人看，相信總有一天，台灣人會清醒，不再被中共控制。<br>: 對於623反紅媒活動，蔡英文表示，623活動代表台灣社會對於中國（中共）滲透到台灣媒<br>: 體的憂慮，相信遊行能提高台灣社會對這件事情的醒覺。另一方面，台灣社會所面臨的不<br>: 僅是媒體遭到滲透的威脅，其實在很多國家安全事務上，也是國人高度關注的事情。因此<br>: ，在這幾年來，政府持續強化國家安全作業。<br>: 蔡英文指出，今年以來，政府已經通過了很多的法案，有了法律授權，讓行政單位可以強<br>: 化很多國家安全上的措施。比如今年通過《國家安全法》修正案，還有很多像機密資訊保<br>: 護法令等，都是政府近年來的努力，尤其是最近修法一樣、一樣通過，使行政部門具有法<br>: 律授權，來保護國家安全。<br>: 蔡總統進一步提到，針對假訊息這件事，政府也在這段時間從立法、行政雙管齊下，來強<br>: 化對錯假訊息的處理，也希望透過我們強化的執法，和更堅實的法律基礎，以及與國際的<br>: 合作，一起來把錯假訊息從台灣社會移除。<br>: 新聞<br>: https://reurl.cc/KYlMn<br><br>--<br>", "", ""
"Gossiping#M.1561315361.A.0EC#00001", "G2S", "推小英 樓下每人50P", "218.173.150.164 06/24 02:43", "0"
"Gossiping#M.1561315361.A.0EC#00002", "colorclover", "總統傾全黨之力鬥倒電視台 才會被講肚量小吧", "39.12.107.71 06/24 02:44", "1"
"Gossiping#M.1561315361.A.0EC#00003", "lucifiel1618", "好", "192.76.172.81 06/24 02:44", "0"
"Gossiping#M.1561315361.A.0EC#00004", "shadowfoxs", "中天不倒 台灣不會好", "111.82.112.88 06/24 02:45", "0"
"Gossiping#M.1561315361.A.0EC#00005", "Purekim", "呿~ 她要是真做了又要被罵東廠了", "49.158.40.147 06/24 02:45", "0"
"Gossiping#M.1561315361.A.0EC#00006", "Hirano", "沒有自律的垃圾媒體跟我講新聞自由", "114.39.24.189 06/24 02:45", "0"
"Gossiping#M.1561315361.A.0EC#00007", "luckysmallsu", "最好是紅媒沒有違法啦要不要辦而已", "36.229.128.11 06/24 02:46", "1"
"Gossiping#M.1561315361.A.0EC#00008", "colorclover", "如果連立法委員都可以做到這種程度那其他立委在做什麼", "39.12.107.71 06/24 02:46", "1"
"Gossiping#M.1561315361.A.0EC#00009", "bear701107", "呵呵", "114.33.153.70 06/24 02:48", "0"
"Gossiping#M.1561315361.A.0EC#00010", "luckysmallsu", "新聞自由不適用統媒中天TVBS東森早都該撤照你就老實承認自己是韓粉吧不用假中立真的有夠噁", "36.229.128.11 06/24 02:49", "1"
"Gossiping#M.1561315361.A.0EC#00011", "BOOS0103", "統促 同心 中天 一起去中國入籍吧", "101.137.125.223 06/24 02:49", "0"
"Gossiping#M.1561315361.A.0EC#00012", "Sinful", "前幾年也沒有同性婚姻 凡事依法就吃屎較快人民都展現意志了 當然才會有立法的行動", "36.226.80.66 06/24 02:49", "1"
"Gossiping#M.1561315361.A.0EC#00013", "bluenan", "政府覺得控制中，人民覺得受不了其實還好韓禿二次拒絕一國兩制的，絕不可能促統", "114.34.107.8 06/24 02:50", "1"
"Gossiping#M.1561315361.A.0EC#00014", "l8652012", "他都上街頭反自己了 還能期望他幹嘛", "101.136.92.231 06/24 02:50", "0"
"Gossiping#M.1561315361.A.0EC#00015", "lucifiel1618", "ㄟ我推錯了啦幫我刪推文好爆？", "192.76.172.81 06/24 02:50", "0"
"Gossiping#M.1561315361.A.0EC#00016", "zxc1234529", "親愛的鄉民晚安 你想發大財嗎？", "118.160.9.138 06/24 02:50", "0"
"Gossiping#M.1561315361.A.0EC#00017", "Sinful", "政府能不能依照人民意志行事 才是民主真諦韓禿哪次說話算話了 他擺明以中共為依據啊", "36.226.80.66 06/24 02:51", "1"
