"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561338246.A.6DD#00000", "ergostepo", "要求政府關媒體 打著民主反民主<br><br><br>2019/06/24<br>中國時報 周毓翔<br><br><br>為選立委才上街頭？　名嘴怒轟黃國昌「為私利」<br><br><br>新聞透視以「捍衛民主自由」之名上街，要求政府關掉特定媒體，如此籲求，實在是讓「民<br>主自由」蒙羞！蔡英文總統昨對此竟表「感謝」！民進黨此舉是打著民主反民主，靠著洗腦<br>反洗腦，中華民國被譽為「亞洲民主燈塔」，蔡英文是民主燈塔領導人，竟視為當然，並心<br>存感謝？<br><br><br>未堅守中立 攻擊特定媒體 公廣集團染綠<br><br>公廣集團 小檔案<br><br><br>綠媒只批反送中 誰管閹割公投<br><br>媒體各有立場，放諸四海皆然，統獨不同立場的言論能夠並存，這樣的民主自由才值得驕傲<br>。當年民進黨前輩為捍衛言論自由，爭取廢除處罰「思想犯」的《刑法》100條，如今的民<br>進黨卻禁止媒體討論統一，如此專制的政權，與過去他們所抨擊的國民黨政權何異？<br><br>難道是因媒體的影響力已威脅到民進黨的政權，所以使出抹黑、清算、限縮經營與撤照等手<br>段，務求去之而後快？如果台灣只剩下與執政黨立場相合的媒體，請問國人會安心嗎？試問<br>，親綠媒體有盡到監督執政的責任嗎？<br><br>當《公投法》在立法院被民進黨優勢席位關進鐵籠之後，親綠媒體除了隨執政黨節拍起舞強<br>化「反送中」報導外，他們有嚴厲批判民進黨閹割公投的行為嗎？<br><br>綠營批判私營媒體立場偏頗，公營媒體有堅守中立立場嗎？中央社與公視臉書都曾出現批判<br>、嘲諷高雄市長韓國瑜，綠媒還跟著起鬨叫好，連公營媒體都如此偏頗，怎麼作為私營媒體<br>的典範？<br><br>通傳會(NCC)裁罰中天電視台，指控中天報導韓國瑜份量太多，但NCC對於同一事件或人物的<br>報導比例應為多少，NCC始終也拿不出一個標準，這難道不是先射箭再畫靶？事實上，現在<br>親綠電視新聞黑韓的報導比例更是驚人，綠營或是NCC有說過一句話嗎?<br><br>全交由市場機制 何來洗腦之說<br><br>綠營一直稱親中媒體是在「洗腦」，但不同媒體本來就有不同立場的支持者，若該立場不受<br>社會所接受，自然會被市場淘汰，觀眾都不愛看了，何來洗腦之說？反倒是民進黨不斷深入<br>校園，甚至出手更改課綱，資助小型網路媒體宣揚台獨，組建網軍帶動輿論風向，甚至把手<br>伸進公廣集團等作法，明目張膽地把政黨帶入校園、媒體，以國家機器引導意識形態，到底<br>是誰在洗腦誰？<br><br>綠營越是想撲滅他們口中所謂「親中媒體」，就越是遠離他們自己堅持的民主自由價值，這<br>樣做法與獨裁國家何異？現在更有綠營立委高呼要為此修法，不就是在落實把國家「一言堂<br>」化嗎？旺中集團不過是民進黨的照妖鏡，映照出民進黨確已罹患權力中毒。<br><br>https://www.chinatimes.com/newspapers/20190624000442-260102<br><br>沒差啦  蠢吱雙標也不是一兩天的事情了<br><br>--<br>", "", ""
"Gossiping#M.1561338246.A.6DD#00001", "powyo", "三立怎麼都沒人反 顏色正確就沒事了", "118.163.229.98 06/24 09:04", "0"
"Gossiping#M.1561338246.A.6DD#00002", "kinmenGD", "有這麼慌嗎？一早連發數篇廢文 嘻嘻", "210.59.241.79 06/24 09:04", "0"
"Gossiping#M.1561338246.A.6DD#00003", "tsrn46336686", "低能民主自助餐", "27.246.135.251 06/24 09:04", "0"
"Gossiping#M.1561338246.A.6DD#00004", "jigsoso", "樓下翻牆狗霸", "118.161.203.97 06/24 09:05", "0"
"Gossiping#M.1561338246.A.6DD#00005", "eric13141230", "巴西五毛", "101.13.57.84 06/24 09:05", "0"
"Gossiping#M.1561338246.A.6DD#00006", "s72005ming", "巴西同胞", "223.136.89.134 06/24 09:05", "0"
"Gossiping#M.1561338246.A.6DD#00007", "oldmangoes", "這不就報導了嗎？", "101.12.8.245 06/24 09:05", "0"
"Gossiping#M.1561338246.A.6DD#00008", "greenmaplex", "這記者真的很閒", "49.217.177.2 06/24 09:05", "0"
"Gossiping#M.1561338246.A.6DD#00009", "wayne62", ""全交由市場機制 何來洗腦之說" ?????那當年幹嘛推動 黨政軍退出三台？", "150.116.177.120 06/24 09:05", "1"
